第8話,ひとはパンのみにていくるものにあらず。でもパンは食べる
泰葉,......いい風ですね
クラリス,そうですね...とても優しい風が吹いております。ありがとうございました
泰葉,何がですか？
クラリス,肌を出さないようにしてくださったことです
泰葉,...気を使ったわけじゃないですよ？そっちのほうが似合うからですよ
クラリス,そういうことなのですね。でも...ありがとうございました
泰葉,これからどうしましょうか
クラリス,そうですね...私お腹が空いていまして
泰葉,奇遇ですね、私もです
クラリス,今日は事務所に？
泰葉,ええ、プロデューサーが待ってます
クラリス,私もです...なら...道中で何か買って帰りましょうか
泰葉,ちなみにおすすめとかは...
クラリス,ありませんわ
泰葉,あ、ない...
クラリス,ですが......
泰葉,はい？
クラリス,歩いてれば...導きがあるとおもいますよ
泰葉,それもそうですね
クラリス,泰葉さん
泰葉,はい？
クラリス,......焼き立ての小麦の匂いがしませんか？
泰葉,言われてみれば...これはパンの匂い...ですかね
クラリス,ここでよろしいのではないでしょうか？...お腹もそこそこ限界ですし
泰葉,あ、はい。そうしましょう
クラリス,なにか...強い力を感じましたね
泰葉,クラリスさんもですか？
クラリス,まあ悪意ではないようですし...問題ないと思います
泰葉,......わかりました
店員,いらっしゃいませー
クラリス,こういうお店は初めてですか？
泰葉,お恥ずかしながら...大丈夫です。わかりますよ
クラリス,そうですか...じゃあご自由に動きましょうか......お互い...がんばりましょう
泰葉,え？...は、はい。...よし、これでいいかな
クラリス,......泰葉さん
泰葉,...どうしたんですか？
クラリス,...そのパン...食べ切れますか？
泰葉,え？
クラリス,...パンの匂いは甘美です、空腹時につられてしまうと気がついたらすごい量になっていたりするものなのです
泰葉,じ、事務所の皆へのおみやげですから！
クラリス,あ、そうでしたか...疑って失礼いたしましたわ
泰葉,......ごめんなさい。調子に...のりました
クラリス,初めてなら仕方ありません...神は全てをお許しになるでしょう
泰葉,そういえばクラリスさんは会計中ですよね...
クラリス,誘惑に負けるのも仕方がありません...神は全てをお許しになるでしょう
泰葉,あ、はい。ただいま帰りました
クラリス,只今戻りました
???,お待ちしてました！
泰葉,わっ...みちるさん
みちる,それパンですよね！？パンですよね？ね？
泰葉,お、落ち着いてください...あの...はい、パン...です？
みちる,ありがとうございます！お二人ともあたしのために...
クラリス,一応私達の食事用なのですが...
みちる,こんなに食べきれないですよね？もちろん二人が優先してください！.........だめでしょうか...？
泰葉,いや...それは大丈夫ですよ
みちる,じゃあお金を...
クラリス,大丈夫ですよ。よろしければご馳走させていただきますわ
みちる,え、いいんですか？
泰葉,私も大丈夫です
みちる,やりました！事務所にパンが来る気配がしたので、いっぱい来てほしいって念じてた甲斐がありました！
クラリス,なるほど...あの時感じた力はみちるさんのものでしたか
泰葉,...そんな事ありえるんでしょうか？
クラリス,世界は不思議と可能性に満ちていますから...
泰葉,わかりました...でもこのメロンパンはダメなので
みちる,...わかっています。泰葉さんはメロンパニストですからそこは我慢します
メロンパン,ノーマル
三人,いただきます
泰葉,はむっ..あふっ....
クラリス,泰葉さんは本当に幸せそうに食べるんですね
泰葉,え？...あはは...お恥ずかしながら
クラリス,素晴らしいことですわ
みちる,ふごふご...ぷはっ...泰葉さんに食べられてパンも嬉しそうですから良いと思います。ふごふご...
クラリス,ほう...三食パンでございますか
みちる,フゴフゴたいしたものですね
泰葉,ダメなんですか？
クラリス,いいえ、一つで三回美味しい素晴らしいパンですわ
泰葉,はぁ...
クラリス,こちら側へ...ようこそおいでくださいました...
泰葉,あの、こちら側というのは......？
みちる,パンが好きな人です！
クラリス,食には関心がある方たちですわ
......なんか認めたくないのでメロンパンを頂く、少し冷めてしまったけれどフワフワのメロンパン,ホイップクリーム入
みちる,フゴフゴ～♪ようこそ...パンの世界へ～♪
泰葉,ごちそうさまでした
クラリス,ごちそうさまでした
みちる,ごちそうさまでした！
泰葉,思ったより残りましたね
...いやまって、私4個,+一個キープ
泰葉,みちるさん
みちる,はい？
泰葉,...何個食べました？
みちる,数えてません！
泰葉,あ、はい...
クラリス,人とは...不思議なものですね...
泰葉,いや、そういう問題ですかね
みちる,...で、この残りのパンなんですけど
泰葉,あ、ほしいですか？
みちる,あんドーナツだけ頂いてもいいですか？
クラリス,...一つでよろしいので？
みちる,そろそろ法子ちゃんが帰ってくるので差入れです！後は皆さんでどうぞ。...ごちそうさまでした！
泰葉,クラリスさんも何か...
クラリス,誘惑に負けそうなので、やめておきます
泰葉,あ、はい
クラリス,...では、私はこれで失礼いたしますわ...楽しい時間をありがとうございました
泰葉,あ、こちらこそ。お二人もありがとうございました
クラリス,また...一緒に行きましょうね
みちる,今度はあたしも一緒にいきますね！
泰葉,はい...よろしくおねがいします
裕美,ただいま
泰葉,おかえり、おやつがあるよ
ほたる,泰葉ちゃん？...帰り速かったんだね
裕美,ロケ楽しかった？
泰葉,うん、とっても
千鶴,それは...パン？誰かの差入れ？
泰葉,ロケ帰りにクラリスさんと買ってきたの。私はもう食べたから...皆よかったら
ほたる,...結構あるけど...他に誰かいた？
泰葉,みちるさんとクラリスさんがいたよ
裕美,...よく、パンが余ったね
泰葉,二人でちょっと買いすぎちゃって...
千鶴,お腹空いたし...とりあえず食べていい？
泰葉,もちろん、どうぞどうぞ
裕美,私クリームパンがいい
千鶴,私は...チョコのデニッシュにしようかな
ほたる,白玉いりあんぱんをください
泰葉,皆すごいね。あっという間に決めたね
ほたる,泰葉ちゃんはメロンパン別口で持ってるんだよね？
泰葉,え、なんでわかるの？
千鶴,むしろなんでわからないと思ったの？
泰葉,後は...3つか
千鶴,いちごカスタードのパイととチョコチップメロンパンが甘いの
裕美,カツサンドとダッカルビパンがあるね...どんな味なんだろうこれ
千鶴,おやつって言うには少しガッツリ感が否めないね
ほたる,泰葉ちゃん、これおゆはんにするの？
泰葉,どうせなら他の誰かに食べてほしいかな...
裕美,メロンパンかぶってるもんね...
ほたる,よし、良いこと考えた
泰葉,？
裕美,なにか当てがあるの？
ほたる,......オペレーション！アドベンチャーズ！
千鶴,...え？え？
むつみ,どうかしましたかっ！？
悠貴,緊急招集ですねっ！
泰葉,えぇ...なにこれぇ
裕美,これが噂の冒険トリオ...っ！
千鶴,なんで裕美ちゃんはこの状況を受け入れてるの？
むつみ,あ、みなさんお疲れ様です
悠貴,お疲れ様ですっ！
泰葉,......二人はレッスン終わり？
むつみ,はいっ！ほたるちゃんも一緒でした！
裕美,私もレッスン一緒だった
千鶴,...えぇ
ほたる,実はわりと近くにいました
悠貴,私カツサンドもらっていいですかっ！？
むつみ,私このダッカルビパンとかいうの挑戦してみます
泰葉,あ、状況説明もいらないんだね？...どうぞどうぞ。よし、あと2つだ
ほたる,泰葉ちゃん、ちょっと楽しくなってきてるでしょ
裕美,いちごのカスタードパイ...あ、ありすちゃんとか...？
ありす,呼びましたか？
全員,！？
泰葉,...あ、こんにちは。ありすちゃん
ありす,お疲れ様です皆さん...これは、アイリントンのいちごカスタードパイですね
泰葉,あ、わかるんだ。お、おお...
千鶴,なんかすごい！評論家みたい！
ありす,ちなみにオーブントースターで少しだけ温めるとサクサク感としっとり感が同時に楽しめるのでおすすめです
裕美,...すごい
むつみ,これが...いちごのスペシャリストですか
悠貴,さすがありすさんですっ！
ありす,いちごには自信があります
ほたる,ありすちゃんから光がみえる...
ありす,......で、あの
泰葉,もちろんだよ。どうぞ
ありす,ありがとうございます！
泰葉,後はチョコチップか
裕美,とりあえずいいんじゃない？私もう食べたいよ
泰葉,あれ？皆食べてなかったの？
ほたる,なんか...全員揃うまでまったほうがいいかなーって思ってた
泰葉,あ、なんかごめん...私もキープしてたノーマルメロンパンたべるね？
千鶴,じゃあ皆
全員,いただきます！
P,...あれ、泰葉、まだ帰ってなかったのか？
泰葉,あ、お疲れ様です...なんか帰りそびれちゃいました
P,お、おう...そっか。それはそれでいいけどさ...なんなら送っていくか？
泰葉,お願いします。今日は街のパン屋さんに行ってみたんですよ
P,仕事はメールは聞いてたけど飯はパンだったのか...なんか腹減ってきたわ
泰葉,あ、一個余ってるんですけど...食べます？
P,何？
泰葉,チョコチップメロンパンです
P,泰葉がメロンパン...なつかしいな...ごめんな、何送ればいいのかわかんなかったんだよな当時
泰葉,いえいえ、あれのおかげでメロンパンにハマりましたから
P,それならいいんだけどな...じゃあもらっていいか？
泰葉,はいどうぞ
P,泰葉？
泰葉,はい。あーん
P,...おおう、中々なことをしてくれるじゃないか
泰葉,...やってみたかったんですよこういうの...だめですか？
P,...一回だけな？
泰葉,はい♪
ありす,お礼......メロンパンがお好きなんでしたっけ、メロンパン...苺...パスタ...
柚,......泰葉チャン逃げてー超逃げてー
最終話,私は今日もまた食べる
P,さて......今日はどこに連れてってくれるんだ？
泰葉,ふふ、秘密です
P,やすは？やすはー？
泰葉,...はっ！大丈夫ですっ！
P,そ、そう？大丈夫ならいいんだが
泰葉,しかし私から誘ってきてくれると思ってませんでした
P,そうかな？...そうだな、確かに
泰葉,そうですよ...スーツじゃないプロデューサー、始めてみましたよ？
P,休みの日だし...最近服買ってないけどなあ。あれ、あの4人って...。な、あれって...
泰葉,行きましょう
P,いや、あれ...うちの事務所の...
泰葉,私達は何も見ていません...良いですね？
P,ｱｯﾊｲ。で、どこ行こうか
泰葉,とりあえず一緒に歩きたいです
P,泰葉は普段こういうところで買い物するのか？
泰葉,たまにGBNSの皆でくるんです、楽しいですよ
P,そっか。それはよかった
泰葉,例えばあの服屋とか...あ。...まあ今日は服を買わないので、とりあえずは用はないですね、行きましょう
P,なあ、緑はちゃんと混ざってるって教えたほうが良いんじゃないか？
泰葉,大丈夫です、朋さんなら余裕です
P,朋さん言っちゃってるじゃないか
.....通りがかったバーガーショップ,行くつもりはない
P,あ、あそこにはポジパのみなさんが...
泰葉,よくにていますが人違いです
P,でも高森さん可愛い会議やってない？
泰葉,多分藍子さんじゃなくて舞妓さんなんです
P,あ、そう...いやまってそれもおかしいぞ？。あれって...安部さんと佐藤さんだな...なんでラーメン屋なんかに
泰葉,お邪魔しちゃいけません。早く行きましょう
P,ああいう...のれんでらあめんって書いてあるのなんか良いよな。多分赤いカウンターなんだろうなあ
泰葉,今度連れてってください
P,ああいうところに女子高生が行くのはどうなんだろう...？
泰葉,......菜々さんも17歳ですよ？
P,...ああ、そうだったね。行こうか
泰葉,ここは...
P,今日はPCSの三人とセクシーギルティの三人が仕事してるはずだな
泰葉,お仕事の邪魔しちゃいけませんね
P,そうだな
泰葉,はぁ...はぁ......
P,いや...まあ、お疲れ様？
泰葉,おかしいですよ......！この街は......！
P,そりゃあ。事務所から一番近いんだからさ...当たり前じゃないかと思うんだ
泰葉,......言われてみれば
P,まあ、面白かったから俺はいいけどな
泰葉,...そうですか...楓さんやむつみちゃんと遊ぶより楽しかったですか？
P,二人？...どうだろ...そもそもそんなにいかねえからな...
泰葉,浮気者
P,本気がどこにもないんだが...
泰葉,まさかよそに女を？
P,待って、泰葉は俺のなんなの？
泰葉,......娘？
P,...そっちかあ...親父さんと仲悪かったっけ？
泰葉,この時計はお父さんのプレゼントです
P,気に入ってるもんなそれな
泰葉,はい、問題ありませんね
P,というかな...歩きっぱなしだし、腹減ってきたんだが...
泰葉,そうですね、そろそろ行きましょうか
P,...意外なチョイスだな
泰葉,...ステーキってあまり食べないじゃないですか
P,まあ、焼肉より頻度は低いかな
泰葉,いっぱいお肉が食べたいなってぼやいた時に光ちゃんがですね
P,へー......
泰葉,なんか、ステーキとか食べたいな...こうがっつりと
千鶴,ゆっくりステーキとか言ってみる？
裕美,...でもあそこいつも並んでるイメージあるよ
泰葉,並ぶのやだー...
ほたる,泰葉ちゃーん...お膝ですよー...
泰葉,わーい...おひざー...
裕美,ああ泰葉ちゃんがダメ人間モードに...大丈夫ほたるちゃん
ほたる,何も、問題は。ないです
