白坂小梅,所属している……プロダクションが……合併した………。
小梅,アイドルも……一杯……増えたけど……。………。………。………。お、おはよう……ございます。誰にも……気づかれてない。今日の予定もレッスン……。れ、レッスン……行って……きます。…………
P,おはようございます。
小梅,あっ……。
P,おはよう、白坂。こんな所で突っ立ってどうしたんだ？
小梅,き、気づいて……くれた。
P,今日はレッスンだったっけ？頑張ってきなよ。
小梅,う、うん……。い、良い人……。皆と同じように…私にも……優しくしてくれる……。
P,先輩、おはようございます。地味子じゃなくて白坂ですよ……。俺達までそんな呼び方してどうするんですか……。……それに、自分の担当アイドル来たのに気づいて無かったんですか？。そんな事は無いと思いますけどね……。…………。だったらそうならないようにしないと……。まぁ……そうですね。そんな言い方ないでしょう……！。…………
トレーナー,はいみんな、今日はダンスレッスンを行います。じゃあ、まずペアを作ってお互いのダンスのチェックしてください。
小梅,…………。み、皆……仲の良い子とペア……組んでる……。あ、あのっ……。…………
トレーナー,……し、白坂さんは先生とペア組もっか……。
小梅,は、はい……。
トレーナー,はい！はい！そこでターン！
小梅,……わっ……
トレーナー,だ、大丈夫！？白坂さん？
小梅,だ、大丈夫……。
トレーナー,良かった……、でも気をつけてね？
小梅,…………
トレーナー,どうしたの？
小梅,だ、大丈夫……
トレーナー,そっか、それならもう一回はじめからやりましょうか。皆、レッスンお疲れ様です。ミニライブまであと少しですが、それまでにしっかりと練習して行きましょう！
P,時間が空いたからレッスンの見学に来たのは良いけど……、改めて見るとやっぱり人数が多いなぁ……。
トレーナー,Pさん、お疲れ様です。
P,お疲れ様です。
トレーナー,どうでした？レッスンの見学は？
P,うーん、やっぱりSプロに所属してたアイドル達のレベルは高いですね。
トレーナー,そうですね、私も教えがいがあります。そう言えばどの子のプロデュースを担当されるか目星はついてるんですか？
P,んー、そこは僕の意思で決まる事じゃ無いですからね……。
トレーナー,あー、言われてみればそうでしたね……。
P,……話変わりますけど白坂って元々Sプロ所属でしたよね？前からあんな感じなんですか？
トレーナー,えっ！？し、白坂さんですか……そうですね……。
P,………
トレーナー,い、良い子なんですけど……ちょっと変わってますよね……。
P,……そうですか
小梅,…………。帰ってホラー映画……見ようかな……。あっ……前に借りたかった新作……あるかな……。…………。見たかった新作……またレンタル中……。ど、どうしよう……かな……。…………。これにしよう………。…………。ブラッドソースポップコーン……売り切れてる……。…………。普通の塩味にしよう……。た、ただいま……。
小梅母,お帰りなさい、小梅。
小梅,えへへ……今日もいっぱいレッスン…したよ。
小梅母,小梅の所属してるプロダクションが大きくなってもう一週間ね……。新しい人達とは仲良くやっているかしら？
小梅,う、うん……皆、良い人ばっかりだから……。
小梅母,それならママも安心だわ。小梅も毎日こんなに頑張ってるんだから、すぐに立派なアイドルに慣れるわね。
小梅,いっぱいいっぱい……レッスンしてるからもうすぐだよ……。
小梅母,ふふっ、楽しみだわ。
小梅,…………。勢いで借りたのは……良いけど……。…………。この映画……何…？。んっ……眩し……。結局夜更かししちゃった………。ひ、陽の光……当たりたくないけど……。学校行かなきゃ……。今日も……一日頑張ろう……。お、お疲れ……様です。今日も……気づかれてない。予定はレッスン……。……あっ……。レッスンの前に……女子寮の花壇に水やり…行かないと……。れ、レッスン……行って……きます。…………。今日はPさん……いない……。…………。Pさんって……変な人……。
P,……変な人とは酷いな。
小梅,！？
P,頑張ってる？
小梅,ち、ち、違う！？
P,……何が？
小梅,へ、変な人って……そ、そういう……意味じゃなくて……。
P,じゃあどういう意味？
小梅,…………。は、恥ずかしくて……死にたい
P,……まぁ悪い意味じゃ無いみたいで良かったよ。てっきり白坂に嫌われてるのかと思ってから。
小梅,き、嫌う……なんて……。P、Pさんは……どうして……こ、ここに？
P,今まであんまり話す機会も無かったしね、ちょっと白坂と話してみたくなってね。
小梅,は、話……？
P,担当じゃない僕と話すのはやっぱり変？
小梅,そ、そ、そんなこと……。
P,それなら良かった。
小梅,………
P,花壇の水やり御苦労様。助かってるよ。他にもゴミ捨てとか白坂って実家暮らしなのに女子寮の事までやってもらって……。
小梅,………。う、嘘………。
P,後、連絡事項当番、提出資料回収係だったっけ？ちょっとやりすぎな気もするけどね……。白坂一人にやらせすぎだって言ってるんだけどなかなか動いてくれなくて……。
小梅,全部……知ってる……私がやってた事……。
P,ん？どうかした？
小梅,う、ううん………
P,………白坂はアイドルの仕事は楽しい？
小梅,う、うん……レッスン……た、楽しい……。
P,そっか……楽しんでやってるならそれが一番かな。……白坂はどうしてアイドルになろうと思ったの？
小梅,………。わ、私……ほ、ホラー映画を見ているときが、い、一番幸せです……。で、でも……社長がほ、ホラー映画より……楽しい事教えてくれるって……。
P,意外だな……社長がスカウトしたのか……。
小梅,……だから、ア、アイドルに……な、なれたら、もっと楽しい…事…見つかるかなって。そ、それに……パパと…ママも…よ、喜んでくれるし……。だ、だから……大変だけど……頑張ろうって……。
P,………
小梅,……や、や、やっぱり……へ、変……？
P,……素敵な理由だと思うよ。
小梅,で、でも……わ、私に……できるかな……？
P,できるよ。
小梅,…………
P,……君ならできるよ、必ずね。
小梅,で、でも……わ、私……だ、ダンスも…う、歌も上手じゃ…無いし…。
P,なら……上手になるように練習すれば良い。周りを見て、焦る事もあるだろうけどさ……少しづつでも前に進めば良いんだよ。
小梅,…………
P,頑張れ……小梅。
小梅,……あっ……。……な、名前……呼んでくれた……。誰も呼ばないのに……この人は呼んでくれた……。こんな風に笑いかけてくれるのも……私の事応援してくれるのも……。……この人だけ……。
トレーナー,今日のレッスンはここまでです。お疲れ様でした。
小梅,………。今日も……ダンス……上手くいかなかった……。ど、どうしよう……残って練習……しようかな……。
