ぷちかれ,ﾎﾟﾃﾃｰ!。ﾎﾟﾃｯﾌﾟ…。ﾎﾟﾋｭｰﾎﾟﾋｭｰ。ﾎﾟﾃ。ﾎﾟﾃﾃｰ♪
P,みるみるうちに芋が減る…
ネネ,ニンジン、オレンジ、小松菜、リンゴ～♪
悠貴,か、加蓮さん…
加蓮,大丈夫、ネネちゃんならそうそう凄いのは出してこないはず……多分…
ネネ,ゴーヤ、ピーマン、オクラにニンニク～♪
悠貴,よ、用事を思い出しましたっ！！
加蓮,救急車待たせてるから私行くねっ！！
ネネ,冗談ですよ、飲めるものしか入れてませんから安心してください
悠貴,だってぇ……何か冗談に思えないんですよう…
加蓮,心臓に悪過ぎるからね…？
ネネ,二人とも食生活が偏ってるからいけないんですよ？ちゃんと生のお野菜も食べて、バランスよくですね…
星花,ネネさん、お客様がいらしてますけれど
ネネ,はい？私にですか？
ちびネネ,ﾏｯﾃﾁｶﾞｳ
ネネ,えっ私！？
悠貴,わわっ、ちっちゃなネネさんですっ
加蓮,また増えたかぁ…
ちびネネ,ｺﾚｶﾞﾅｲﾄﾁｶﾞｳ
ネネ,あ、レモン……確かに、一味足りないと思ってたんですよね
亜季,流石にネネ殿はちっちゃくてもネネ殿でありますなー
ぷちあき,ﾚｰｼｮﾝ!
悠貴,へ、ヘルシーサバイブの皆さん、勢揃いですねっ
加蓮,皆仲良しで妬けちゃうよね～、全くさ～
ちびネネ,ﾏｯﾃﾆｹﾞﾙ
ネネ,ふぇっ？二人とも！？
悠貴,走る青春の一ページっ！！
加蓮,走れTOBEASTAR！！！
ネネ,ちょっと待って下さいーっ！ホントに飲めるものしか入れてませんからーっ！
亜季,いやー、二人とも良い走りですなぁ…
星花,ネネさんのドリンクの賜物、ですわね…
ぷちあき,ｹｲﾚｲｹｲﾚｲ-
P,読書感想文？
未央,夏休みの宿題でさ、皆のお薦め本聞いてみようと思って♪
ぷちみお,ｵﾓｯﾃ!
P,聞くのはいいが、それ全部夏休み中に読むのは無理なんじゃないか？
ぷちみお,ｼﾞｬﾅｲｶ?
未央,それは確かにそうかもだけど…ほら、私って読書家っぽい名前じゃん、本だ、見よう！
P,…………
ぷちみお,ﾎﾝﾀﾞﾐﾖｰ!
P,…………暑いなぁしかし今日も
ぷちみお,ｱﾂｲﾅｧ
未央,笑ってよー！
P,どうしたんだ未央、顔真っ赤だぞ？
未央,ふぇぇぇん！
ぷちみお,ﾏｹﾇｶﾗ-!
ユミラウネ,ｺｺﾅﾗﾐﾂｶﾗﾅｲﾈｯ
P,…どう思う？
ネネ,えっと…隠れてるつもりなんですよね、アレ…
ユミラウネ,…………
P,顔、丸見えだし…そもそも鉢植えの真ん前にいるし…
ネネ,い、一応後回しにしましょうか……
ユミラウネ,…………
P,またもアイスが足りない…まぁ人数いるし仕方ないか…
ユミラウネ,ｼﾞｬｱｶｲﾆｲｯﾃｸﾙﾈｯﾄﾘｻｰﾝｯ
P,鳥を使役して飛んでいった…食べられたりしないのかアレ…
ユミラウネ,ﾊｲｺﾞﾎｳﾋﾞﾋﾏﾜﾘﾉﾀﾈ!
鳥さん,～～♪
