モバマスより小日向美穂,たぬき
Ｐ,ウコンの力よし。ヘパリーゼよし。キャベジンよし、ハイチオールＣよし。トマトジュースよしッ、大粒ラムネよしッ、味噌汁の作り置きよしッ！
美穂,ど、どうしたんですか、急に……？
Ｐ,ああ美穂、今夜は飲み会でな。二日酔い対策をちょっと
美穂,それにしたって凄い重装備ですね……。うちのお父さんだってここまでしないですよ？
Ｐ,メンバーが楓さんと茄子さんとちひろさんなのだ
美穂,あぁ～～…………。ちなみに予定は、何時から何時までとか……？
Ｐ,１９時からお嬢様がたが満足するまで……
美穂,ひえぇ
Ｐ,というわけで美穂よ、俺は行く。もし帰ってこなかったら、その時は……
美穂,え、縁起でもないこと言わないでくださいよぉ！
Ｐ,じゃあ最初の一杯は……俺は生でいきますけど、どうします？
楓,私も最初は生で♪茄子ちゃんは？
茄子,では私も～♪
ちひろ,あ、私カシスオレンジお願いします
Ｐ,カシオレ笑
ちひろ,何がおかしいんですか尻にエナドリ突っ込みますよ
Ｐ,怖ッ。ま、確かに最初はビールってのも形骸化した慣習ですわな
茄子,あぁ、あれってそれなりの理由があるらしいですよ？
Ｐ,理由？どんな？
茄子,ほら、最初のドリンクってみんな一度に注文するじゃないですか。そこでバラバラだと店員さんも大変だし、なかなか乾杯できなくなるからって。だから大人数の飲み会では、最初はとりあえず生！なんですって
楓,あら、人のたくさんいる飲み会ではそんな事情もあるんですねぇ。それにしても茄子ちゃん、よくご存じで。ぱちぱち～
茄子,えへんっ
ちひろ,つまり四人でカシオレを頼んでも全然問題ないということですはい私の勝ち
Ｐ,負けましたサーセン。あ、注文お願いしまーす
楓,それでは音頭は言い出しっぺの私が……えー、こほん。おめでとうございまーす♪
Ｐ,何がだよ！
茄子,今日の善き日を終えたことが、ということで～。かんぱ～い♪
ちひろ,かんぱーい、今日もお疲れ様ですー♪
楓,ここは軍鶏がおいしいんですって。ほら、ちょうど軍鶏鍋がオススメってメニューに
茄子,あ、いいですねぇ鍋！
ちひろ,最近めっきり寒くなりましたからねぇ
Ｐ,じゃ鍋で攻めますか。すいませーん
ちひろ,ん～っ、おいしい！醤油ベースの割り下に、軍鶏の旨味がよく染み出て……
Ｐ,にんにく風味がよく効いてますね。これは温まりそうだ
茄子,やっぱり筋肉の締まりがいいんですかねぇ、身に歯ごたえがあって噛む度においしい♪
楓,それで、追って飲むお酒が……
一同,ぷはーっ！
ちひろ,――それにしても、もう１２月なんですね
Ｐ,まったくで。あーやだやだ、時間の流れが早いってのは恐ろしい
楓,今月もイベント尽くしですねぇ。師走も、どうぞよろしくお願いしわす……ふふっ
茄子,おまかせくださいっ。年末年始こそ茄子の出番ですよ～♪。それと……京都の件、お手伝いできなくてすみません
Ｐ,ああ、いいんですよ。結果的になんとかなったわけだし
茄子,何があったかは把握していたんですけど、どうしても出雲を離れられなくて……
Ｐ,……ええと、ご実家で何かお仕事とかでしたっけ
茄子,そうなんですよぉ。大事な会議があって、１０月の半分が準備、１１月まるまる使う感じで～
Ｐ,ちなみにどんな会議なんです？
茄子,あ、聞きたいですか？
Ｐ,……や、やっぱやめときます
楓,まあまあ、いいじゃないですか。それより今は目の前の軍鶏をもしゃもしゃ食べましょう♪
ちひろ,そういう雲の上のなにがしかを気にするだけ疲れますよー。私もう慣れちゃいました
Ｐ,つよ……何この人……。いやしかしほんとうまいな
茄子,ねー。このお出汁でくたくたになった長ネギもまた……♪
Ｐ,つみれうめー。出汁を吸った身がほろほろ崩れて、肉の旨味と一緒に口の中に広がる
ちひろ,この、玉ひもって言うんですか？軍鶏の卵の黄身……ホクホクしてて、味も濃くて……
楓,それで、合わせたお酒がまた……
一同,くーっ！
楓,では二次会ということで、おめでとうございまーす
Ｐ,おめでとーっす
ちひろ,もう何がおめでたいかもわかりませんね
茄子,毎日ふわっとお祝いするくらいで人生ちょうどいいんですよ～
Ｐ,なんたるポジティブ……
ちひろ,見習いたい……
Ｐ,……で、こっちが本物の電気ブランなんすね。色も味も偽と全然違うなぁ
茄子,ああ、京都で偽電気ブラン飲んだんでしょう？いいな～、私も飲みたかったですよう
ちひろ,偽って何なんですか。密造酒なんじゃ……？
楓,まあ、たぬきのやることですから♪
Ｐ,ていうかスペアリブでかッ
楓,これはこうやって、ナイフで切り分けて……
ちひろ,うん、おいしい！なんだろ、すごく上等なハムっていうか……燻製されてるけど、お肉の旨味は全然損なわれてない感じ
茄子,こっちの豚肉の塩漬けもおいしいですよ～
Ｐ,塩漬け……？というか、煮凝りっぽいというか
楓,いわゆるアイスバインとは違うんですよね。塩漬けした豚肉をハーブと一緒に煮汁で固めた、フランスのテリーヌみたいな……はいどうぞ
Ｐ,うめぇ！
ちひろ,今自然にあーんしましたね
茄子,しちゃいましたね～
楓,他にはほら、人気のメンチカツなんか
Ｐ,うぅむ肉々しい……！酒も合うけどご飯も合いそうな感じですね。こんなに肉の旨味が強いとは
ちひろ,今更つっつくものでもないんでしょうねぇ
茄子,当たり前のことみたいですね～
ちひろ,あ、すいませーん。ハチブドーの赤おねがいしまーす
茄子,では私は、ハチブドーパンチをお願いします～
Ｐ,電気ブランサワーを
楓,オールドと、生をもう一杯♪
ちひろ,……それにしても、度数４０以上のお酒にチェイサーで生ビールってのも凄すぎですよね
楓,このお店はそれが基本ですから。ビールなんてお水ですよ♪
茄子,あ、ほら見てください。向こうじゃ飲みながら文庫本を読んでる方までいらっしゃいますよ～
Ｐ,しかし、神谷バー……神谷かぁ
楓,神谷。奈緒ちゃんも、成人したら一緒に飲みに行きたいですねぇ
Ｐ,奈緒はどうなんだろうな、飲める方になるか無理な方になるか
ちひろ,あと３年……ええと１７歳は他には、美穂ちゃん、菜帆ちゃん、卯月ちゃん、美嘉ちゃん、奏ちゃん、茜ちゃん？
Ｐ,美穂と菜帆はすげー強くなりそう、熊本の子だし
茄子,わかりますわかります～。それで、奏ちゃんが案外弱かったり？
Ｐ,ははは、ありそう。茜は酒より料理って感じになりそうですね
ちひろ,美嘉ちゃんはそんなに飲む感じはしませんねぇ。強い弱いじゃなくて、ちゃんと自分でセーブしそうっていうか？
Ｐ,そりゃ～～美嘉はそうですよ。自己管理が凄いんだ。あいつは凄い、うん、酒に飲まれるなんてあり得ない
楓,卯月ちゃんも強いですよ。私、保証しちゃいます
ちひろ,あ、酒飲みとしてはそう見えます？
楓,ええもう。もしくはものすごく弱いかです。そのどっちかですね、保証しちゃいます♪
Ｐ,そんな極端な
茄子,１７歳の子達は三年後として、それより近いのは……
ちひろ,イヴちゃんとフレデリカちゃん、志希ちゃんと周子ちゃん……
Ｐ,……あヤッベ
茄子,そんなことないですよ～♪
楓,今のうちから肝臓を鍛えておかなきゃいかんぞう♪
Ｐ,まずイヴとフレデリカの時点で曲者の予感しかしないんですが大丈夫なんですかね。ふいー……座敷は落ち着くなー……
ちひろ,アットホームなお店ですね
茄子,それじゃ、レモンサワーとホッピー、焼酎ということで～♪
楓,ここの焼き鳥はタレがすごくいいんですよ。一本どうぞ
Ｐ,どうもどうも……うわほんとだウマッ。なんですかこのタレ！？
楓,実はここ昔から鰻屋さんをやってまして。夜メニューの焼き鳥にもタレを流用してるんです
ちひろ,なるほど秘伝のタレが焼き鳥にも……！ん～、おいしいっ
Ｐ,そういえばさっきの、未成年の子達のお酒予想ですけど……茄子さんはアレですね
茄子,はい？
Ｐ,いや、ほんとに２０歳なりたてなのかなぁって。ぶっちゃけ１００年前から飲み慣れてますって感じするけど
