モバP(以下P表記),これなら女神にも負けませんね
保奈美,ほんと？ふふ。ありがとうPさん
P,言葉に尽くせないほど綺麗です。今日のお相手が羨ましい
保奈美,あら、嬉しい事言ってくれるのね。でも、まぁ、そうね。楽しみだわ
P,そうですか
保奈美,嫉妬してる？
P,それは、まぁ、するでしょうよ
保奈美,そう。それは良かった
P,時間です、行きますよ
保奈美,はい。それじゃ、エスコートしていって頂戴ね
P,勿論です
保奈美,……Pさん。今、どんな気分？
P,そうですね……。親ってのは、こうやって娘の成長を見届けなきゃいけないのかと思うと泣きそうになりますよ。まぁ、今回はブライダル系の撮影なんですけども
保奈美,ちょっとPさん。現実に戻るの早すぎよ。もうちょっと空気読めないのPさん
P,こういうのは早めに言っておかないと受け付けない人もいるので
保奈美,気にするほど読み手なんかいないわよこのスレ
P,その発言ちょっとどうかなーって思うんですが
保奈美,メタに走ったのPさんでしょうに
P,そうですけど、こう、保奈美さんがそういう発言するとファンの印象がね？
保奈美,別にネラーでもアイドルになった人いるじゃない？ほら、今せいゆ
P,やめましょうもうこの話題。折角白い綺麗なドレス着てるんですからもっと真っさらな話しましょうよ
保奈美,本当の結婚式ならともかくお金が渦巻いてるここで真っさらっていうのもねぇ……あ、このドレス１着50万ですって。少し高めって感じかしら？
P,白さとはかけ離れた内容ですね。というか相場知ってるんですか？
保奈美,女の子の夢だもの。ちょっとは調べたりするものよ
P,みてくださいこの照れた表情。値段の話さえなければこんな複雑な心境はなかったのに
保奈美,流石に高望みしすぎじゃないかしらね
P,藍子なら年相応の反応をしてくれたと思いますよ
保奈美,暗に年増って言うのやめて頂戴、ねっ
P,あああああ踵はアカン！！！。痛ったた……別に保奈美さんをおばさん呼ばわりしたつもりなんてないのに
保奈美,減らず口叩くわね。カルシウム足りてないんじゃない？
P,理不尽だよぅ……今日の保奈美さんなんか怖いんですけど……
保奈美,別に怒ってる訳じゃないのよ？ただ気に食わない事があったってだけで
P,それって結局怒ってるのでは……
保奈美,いえね？ブライダル系のお仕事ができるのはアイドルとして凄い名誉な事だと思うわ。でも、でもね。Pさん。一つだけ言いたい事があるの
P,なんでしょう？何か不備でも……
保奈美,このお仕事のキャッチコピー。式を挙げれなかった女性たちへ。～２０代の内に最高の結婚式を～……これどういう事かしら？
P,…………てへぺろ☆
保奈美,フンッッ！！！
P,だから踵はああああああああ！！！！。いやですね、これは、その、アレですよ
保奈美,洗いざらい正直に話さなければ足の甲を踏み抜くから
P,この仕事の募集みた瞬間からうわこれ保奈美さんにぴったりじゃんって思ったので申請したらなんか通っちゃいました！！
保奈美,どういう意味よそれ！！
P,正直に話したのに！！
保奈美,何が既婚者よ私はまだ現役バリバリの高校生よ！！
P,割れる！割れちゃいます！これ以上は本当に足が潰れるッ！！
保奈美,１６歳だから！若い内に結婚式を挙げるのをテーマにしてると思ったら！蓋を開けてみたらこんなのよマジふざけてんのこれアァン！？
P,保奈美さん口調が頭悪い感じになってます！あとグリグリすんのやめてくださいほんと痛い！
保奈美,もうすぐ１８歳が結婚可能年齢になるかもしれないから！きっと私と同じくらいの若い世代をターゲットにしてるんだって一人で納得してたのに！それなのに！２０代ってなによこちとらまだ振袖通した事すらないわよ！！
P,わかってます！保奈美さんは若い！若いですから！！
保奈美,それ瑞樹さんに毎回言ってる常套句じゃないの！！
P,もうどうすればいいんですかッ！！！
保奈美,まぁこのくらいで勘弁してあげましょう
P,この人ガチで踏み潰す気だったよ、眼光がちげえよ……
保奈美,この円らな垂れ目を見て何をいうのかしらPさんは
P,円らな垂れ目ってその時点でもう色々おかしいですけど、少なくとも広江礼威が描くレベルの鋭さでしたよ
保奈美,酷いわPさん……後であつーいモノを一発イれてあげる。覚悟しろ
P,春先とはいえまだ肌寒いですもんね、ははっ
保奈美,さて、チャペルに着いた訳だけど、これはなんというか
P,カメラや照明のコードとかでゴッチャゴチャしてますね。信心深い人なら憤死するかも
保奈美,教会所有の礼拝じゃないから問題ない、って言っても通じないでしょうね。きっと
P,まぁ最近は教会式や神前式じゃなくて、チャペルでの人前式が増えて来てますから少しずつ寛容になってきてるんじゃないですか？世間的に
保奈美,人前式って、神様じゃなくて家族や友人に向けて結婚を誓うっていう？
P,ええ。誓いの言葉も自分たちで考えるので、大まかな流れさえ守れば自由に式の空気を作り出す事ができるので割と人気なんですよ
保奈美,んー、そういうのもありなのかしら。でも、宗教に囚われないっていうのは時代の流れなのかもしれないわね
P,(こういう言い方が年増っぽいんだよなぁ)
保奈美,さぁ行くわよPさん早く壇上まで連れて行きなさいよ
P,じゃあ全体重乗せてる足をどかしてくれませんか！！
保奈美,誰が体重上からナンバー３よ！！
P,一言も言ってないんですけど！なんか逆に凄い！！
保奈美,最近ね。最近、かな子ちゃんから相談がくるの。また太っちゃった……２キロもって。そうね、そうよね。アイドルだったら気になるわよね。でも、でもねかな子ちゃん、あなたそれでも私のBMIより低いのよ。私を超える事は出来ないのよ……！！
P,やばいなんか変なスイッチ入ったこの人！あと計算は特訓後を基準としてます！！
保奈美,私なんか３キロも太ったのに！！
P,割と看過できないのも飛び出しやがった！！誰か、誰かぁ！！
保奈美,美味しいから大丈夫だよって、なんか本当に大丈夫な気がしてくるから魔法の言葉よね
P,美味しいですかポッキー。衣装が汚れるのでこぼさないでくださいね
保奈美,Pさんが至れり尽くせりしてくれてるから大丈夫よ。まるで雛鳥の気分
P,ああ、言ったそばから。俺のハンカチが食べカスだらけに
保奈美,Pさん、もう一本
P,はいはい
保奈美,さあ、撮影の時間ね！私の美貌に酔いしれるといいわ！！
P,んー、なんか違うというか保奈美さんらしくないのでNGです
保奈美,うん、確かにどことなく私のキャラじゃない気がする。他に何か上手い言い回しないかしら
P,ssだと何故か普通にならない某無個性アイドルみたいな個性の貪欲さですね
保奈美,いい加減団地妻とか愛人とかふざけた印象を取っ払いたいのよ
P,そういうレッテルは一度付くと最後まで取り憑かれますからねぇ
保奈美,知ってる？私、ネネちゃんと菜穂ちゃんと三人セットで三大人妻キャラとか若妻三人衆なんて言われてるのよ？
P,なんか凄いしっくりきますね
保奈美,私だけでもこのキャラから抜け出さなきゃ……でないともうじき永遠の未成年若妻って色々と未来を先取りしたレッテルが増えてしまうわ
P,１８が成人になる訳ですからね。数十年後には下手したら社会問題になる可能性も
保奈美,いやよ、そんな伝説に残るのは……！絶対に逃げ切ってみせるんだから！
P,(もう手遅れなんだよなぁ)
保奈美,手遅れにしたのはどこのどいつよ。言ってごらんなさい。ん？
P,さっきからなんで筒抜けなんですかね！ごめんなさい！
保奈美,でも本当にこういう仕事って競争率高いから。気に食わない事ってのはつまりね、Pさんには感謝と怨恨の二つが入り混じってるこの現状に対してよ。お分かり？
P,そこに感謝は本当にありますか……？
保奈美,あるわよ一厘くらいは
P,まさかの１：９９９
保奈美,冗談よ。半分くらいは
P,……怒ってますか？
保奈美,まぁ、申請した理由があんなんだったらね。……少しでも想像しちゃったのが滑稽で
P,……？
保奈美,こっちの話。もうそんなに怒ってないわ。お楽しみがまだ残ってる訳だし
P,あの、保奈美さん
保奈美,なぁに？言われなくても、この撮影は思いっきり楽しむつもりよ。心配しないで
P,そうじゃなくて。その、面白がって申請したのは謝ります。でも……
保奈美,でも？
P,これで少しは保奈美さんの仕事の幅も広がる筈です。仕事が増えれば最終的には歌の仕事に繋がります。形振り構わずやった事は反省してますが、二人の夢の為に、って思ったら止まれませんでした
保奈美,………ふぅん
P,また今度、お詫びしますから。どうか許してください
保奈美,………。仕方ないわね。そこまで言われたら許すしかないじゃない
P,保奈美さん……！ありがとうございます。次のオフは有給取りますからね、なんでもしますよ
保奈美,………………。いいのよPさん。そこまでしなくても、本当はそこまで怒ってなかったから
P,いえ、でも保奈美さんを傷付けたのは事実ですし、何よりこっちの気が済まな
保奈美,だから、大丈夫よPさん。今からお詫びしてもらうから
P,………へっ？。保奈美さん、それは一体どういう意味で……？
ディレクター(以下D),ゴホンッ、ん、あのー、ちょっといいですか(棒)
P,あ、はい。どうしました？
D,実はー、えー、ちょっとトラブルが起きてしまいまして(棒)
P,トラブル？……そんな空気のようには感じられないんですが……あっ。そういえば男優さんが居ませんね。遅刻ですか？
D,はい。あのー……あっいや違う、違います。えっと実はですね……
P,……？渋滞に巻き込まれたとかですか？確かあの人、まだ一度も仕事を休んだ事がない人だと聞いてたんですが
D,あのー、その彼がですね。急病で倒れてしまったようなんですよ(棒)
P,………、……は？
D,はい、急病なら仕方ないですよね(棒)
P,……ちょっと待ってくださいね。なんか話が読めてきてしまったので
D,いやー、困ったなぁ。代打の人も今日は忙しくて他の撮影に回っているから居ませんし(棒)
P,はぁ、そうですか。つまり？
D,いやー、誰か代わりになる人がいないかなー。このままだと撮影できないなー(棒)
P,………
D,丁度ここに、ステージコードだって適当な事言ったらひょいひょいタキシード着てくれたプロデューサーの人が都合よくいてくれれば………(棒)
P,………………。ああああああああ謀られたあああああああああああああああああああああああああああああああッッッッッッ！！！！。おかしいと思ったんだ、全部！タキシードなんて着る機会ないから二つ返事でレンタルしたけど！！
D,あ、都合よく条件に合う人が。ちょっとそのまま壇上に上がって貰っていいですか(棒)
P,うるせぇよくも騙したな！あとその棒読み止めろ！！
D,あ、はい。とにかく時間押してきたのでさっさと上がって貰っても？
P,面倒臭そうに言うな！くっそ、どうしてこんな事に！
D,先週西川さんから連絡がきましてね。こちらとしても男優さんの出演料払わなくて済むので直ぐにゴーサイン出しました
P,これだから他人の企画を丸呑みするのは嫌なんだ！くそう、くそう！！
保奈美,あはははははっ！それよ、その顔が見たかったのよ！
P,たったこれだけの為にずっと黙ってたんスか保奈美さんんん！！
保奈美,楽しかったわぁ。Pさんが私の手の上で踊り続けるのを高みで眺めるのは！
P,畜生、なんかめっちゃ様になってる！
保奈美,可愛いPさん。仕事と私の狭間でずっと悩んでたのね。最後はこうなるって事も知らずに！
P,ウェディングドレスを着た悪役なんて炎上もんですよ！目を覚ましてください！
