若干闇抱えたＰ(以降Ｐ表記),………寒い
Ｐ,何なんだこの寒さは。暖冬だとか散々言っておきながらいまさら本格的に冬の本気を出してこなくてもいいじゃあないか。寒くなったら朝布団から出るのがどれだけの苦痛か分かっているのか。シャワーを浴びて温まったな、よし出るかとぬれた体で風呂場から出た途端鬼のような冷気にさらされるのがどれだけの苦行だと。……まあ、季節に愚痴っても仕方ない。こうも寒いと仕事もままならないしな……なんか暖かいものでも作ってくっか。う～…寒っ。動くと余計寒いでごぜーますよ。って訳で何か買い出しに行くぞ森久保ぉ！！
乃々,ひぃぃっ！ひ、独り言だったんじゃなかったんですか！？
Ｐ,こんな寒い中一人で外出るなんて御免だ道連れじゃあ森久保ぉ！
乃々,お、お構いなくっもりくぼは一人でおるすばんしてます…机の下のオブジェだと思ってって、あうっ、あうっ！
Ｐ,豚足買ってやるから付き合え寂しいんじゃ森久保ぉ！
乃々,そこは手羽先だと思うんですけど！
Ｐ,寒い！
乃々,寒いんですけど！冷たい風が肌に突き刺さるんですけど！
Ｐ,耳がっ！指が千切れる！。おのれディケイド…貴様のせいで今年の冬も寒くなってしまった！あ、森久保ちゃんとマフラー巻きなさい
乃々,んぶぶっ、巻きすぎなんですけど…もりくぼの視界ゼロになったんですけど
Ｐ,あと手袋も、イヤーマフも、ついでに上着ももう２着ぐらい羽織らせよう
乃々,あぅぅ…されるがままです…もりくぼは所詮プロデューサーさんの操り人形なんですね…
Ｐ,その台詞、泰葉の前で絶対言うなよ？…よし出来た。寒くないか森久保
乃々,だ、大丈夫…です。………視界と身動きが、若干悪いですけど…
Ｐ,あはは、原型留めなくなっちゃったなあ。よーし、んじゃ買い出し行くぞー！クソ寒いからラーメンでも作るぞモコ久保ぉ！
乃々,か、勝手に人の苗字を改変しないでください…。あと、視界が悪いので…あまり先に行かないでほしいんですけど…
Ｐ,あー、こんな寒いのに誰か外で水撒きやがったな…気をつけろ森久保ー、足元凍ってるところあ。…。足元凍ってるところあるから、転ぶなよー？
乃々,危険性は確かに伝わったんですけど
Ｐ,買い置きストック無くなってたからなぁ…ついでに色々買い込んでおくか。森久保ー、カートに乗るか？
乃々,もりくぼはそこまでお子様じゃないんですけど
Ｐ,冗談だって。お茶目なプロデューサージョークだよ。コーヒーやお茶も補充しとくか、あとティッシュにゴミ袋にお茶菓子に……ああ森久保。お手伝いのご褒美だ。何か好きなお菓子買ってやるぞ
乃々,ご褒美なら一人静かな時間が欲しかったんですけど……そんな子供みたいな手で安息を破られたもりくぼのご機嫌が治ると思われるのは心外です…。…３００円以上でもいいですか？
Ｐ,好きになさい
乃々,…わーい
