周防桃子,……ふぅ
ミリP,以下P
桃子,え……
P,おわっ？！
桃子,お、お兄ちゃん……？い、い、今の……
P,あぁ？うん。聞いてたよ
桃子,な、な、な……
P,すき焼きだろ？今日のメニューは
桃子,は？
千枝,唯と
唯,千枝の
二人,ぽてとまっしゃー料理帖！
桃子,て、テレビだったんだ……よかった
大槻唯,ということで、今日のゲストは
佐々木千枝,ストレイライトの皆さんです！
芹沢あさひ,どうも、よろしくっす
黛冬優子,わぁ、ふゆ。いつも楽しみにして見てましたぁ
和泉愛依,どうも……
唯,あははは……
千枝,どうかしましたか？
唯,愛依ちゃんも冬優子ちゃんも、化けの皮をかぶっててやりにくいよー
あさひ,今日はすき焼きって聞いてたんで楽しみっす！
冬優子,でもぉ、関西風とか関東風とかあるんですよねぇ？
唯,あはは……えっと今日のは、19
愛依,平成
あさひ,新しいっすね？斬新っす！
千枝,では作り始めますね
唯,まず、玉葱を輪切りにしてフライパンで牛脂で炒めるよ☆
あさひ,うわぁ、本格的っす！
冬優子,割下じゃないから関西風なのかな？
千枝,で、火が通りましたら取り出しておきます
ストレイライト,？？
唯,次に、厚めに切った牛肉を一枚ずつ並べて同じ用に炒めるね♪
千枝,牛脂が手に入らない場合はバターで代用してください
唯,それで、炒め終わったら玉葱と一緒にお皿に盛りつけて、醤油かソースで頂いちゃおう！
冬優子,えっと……これって
あさひ,ただの牛肉の炒め物っす
愛依,しかも、下味無し？
あさひ,あ、でもこのソースおいしいっす！
唯,でっしょ！ゆい達の手作りなんだ
冬優子,えっ！？ソースまで手作り？
愛依,マジ、ヤバいな……
千枝,ソースの作り方は番組の最後でお知らせしますね
唯,他にも昭和
千枝,ある野球選手の考案だそうで……まず牛肉のロースとキャベツのざく切をフライパンでバターで炒めて
愛依,キャベツ……？
唯,そしたら、砂糖を入れます
冬優子,も、もしかして、味付けってこれだけ？
千枝,はい。でもこれだけではなくて、小鉢に大根おろしと玉子の黄身を入れてポン酢を入れて掻き交ぜます
あさひ,なるほど。これにさっきの肉を入れるんすね
唯,せいかーい！
千枝,では皆さんどうぞ
愛依,あふあふ、けっこういける……
あさひ,おかわりっす！
冬優子,バターの塩分とお砂糖でこんな味に……
あさひ,おいしいけど、これってすき焼きっすかね？
唯,まぁ、好きに作って食べるからすき焼きなんだよ、きっと♪
P,そうか、なんでも好きなのを調理するからすき焼きか……うまいな
桃子,うん……。桃子……まだ子供だからそんな目では……
P,桃子？
桃子,あ……(///)
P,大丈夫……か？
桃子,うぅ……。お…兄…ちゃん
P,も、桃子……？。んっ！？
桃子,お兄ちゃん……好きだよ。構って欲しいからって、わざと冷たくしてはぐらかしたりしたり
P,あ……桃子？そのな……
桃子,好きになって……ごめんなさい……
P,桃子っ！
桃子,あ……
P,……すまん。そんな風に思ってくれていたなんて
桃子,…………うん、わかっていた
P,だから……その
桃子,もう……いいよ
P,え……と
桃子,お断りの返事は7年先まで待ってあげるよ
P,……あぁ、わかった。これからもよろしくな
桃子,うんっ！
P,なんて言ってたのが7年前か
桃子,うん……
P,はぁ……初めて抱いた時に気をつけていたつもりだったけど
桃子,うん……Pって鈍感だからね
P,……じゃあ、桃子の実家へ挨拶に行かないとな
桃子,うんっ！
あさひ,いやぁ、ハンバーグの時といい、千枝ちゃんはやっぱり頼りになるっすね
冬優子,あん時は、あさひが響子ちゃんの絵をけなしたからでしょ！
愛依,まぁまぁ……
唯,やっはろー
千枝,お久しぶりです
あさひ,千枝ちゃーん！
千枝,きゃっ
冬優子,あさひ！その誰かれ抱き付くのはやめなさい！
愛依,まぁまぁ、それより唯ちゃんも久しぶりじゃん
唯,そだねー、先々月にカラオケに行った以来だねー☆
冬優子,あら？二人はそんな仲だったの？
唯,うん、美嘉ちゃんや恵美ちゃんも一緒だよー♪
愛依,マジヤバ埼玉シスターズってね
冬優子,うわぁ……
唯,あー、そんなコト言う～？
愛依,ちょっと付き合ってもらわないとね～？
冬優子,え？な、何を？！
唯,も～、取って食うわけじゃないから、緊張すんな♪
愛依,軽く朝までカラオケに付き合ってもらうだけじゃん☆
冬優子,うわぁ……
ソースの製法,陸軍、軍隊調理法より
鍋に醤油と水とを入れ煮出汁、屑野菜、玉葱、唐辛子、砂糖、塩を入れ文火にて時々攪拌しつつ1,2時間,野菜がドロドロに溶ける迄
玉葱400g、人参400g、生姜110g、唐辛子6本、大蒜50g、塩200g、黄ザラ,砂糖
ちなみに陸軍でも肉桂末や薄荷を使えとか、煮出汁,煮干
ちな、チョージ,丁字
