モバＰ(裸ネクタイ),どスケベ祭りの日だ！い～～～～やっほーーーーーっ！
ちひろ,なんて格好で事務所に来ているんですか！？
モバＰ,だって今日は待ちに待ったどスケベ祭りですよ。当然じゃないですか！
ちひろ,いや、知りませんよ。さっさと服を着てください
モバＰ,そんなこと言われても服は家まで帰らないと無いですよ
ちひろ,は？ここまでその格好で来たんですか？よく逮捕されませんでしたね
モバＰ,いや、だって俺プロデューサーですよ。誰にも見られずに事務所に来るなんて余裕ですよ
ちひろ,プロデューサーとその技能にまったく関連性が見えないんですけど
モバＰ,はは、悪魔がなんか言ってやがる。さて、さっそく祭りの準備を始めるか
ちひろ,ま、待ってください。そのままデスクに座ったら・・・
モバＰ,え？
ちひろ,ああ、手遅れだった
モバＰ,なんだ、乃々。机の下にいたのか・・・って気絶している！なんで！
ちひろ,自分の格好考えてください！
モバＰ,だいたいなんですかちひろさん！せっかくのどスケベ祭りだって言うのにその格好は！。ちひろさんのことだから全裸に紙幣を貼り付けて来ると思っていたのに！
ちひろ,一体どんな目で私を見ているんですか？
モバＰ,お金に欲情する悪魔を見る目で見てます
ちひろ,お金に欲情するわけないでしょ！流石にそこまでお金お金してません！
モバＰ,じゃあ、一番セクシーな紙幣ってなんだと思います？
ちひろ,1000フラン札もセクシーですけど、やっぱり王道はシンガポールの1万ドル札ですよね
モバＰ,・・・普通の人は紙幣をセクシーとは思いませんよ
ちひろ,そもそも今日がそんな怪しい祭りの日だなんて聞いていませんよ
モバＰ,嘘でしょ。ちゃんとちひろさんの携帯にメールを送っておいたのに
ちひろ,どんなタイトルでですか？
モバＰ,どスケベ祭り開催のお知らせってタイトルでメールしていたと思うんですけど？
ちひろ,普通に迷惑メールだと思って消去しましたよ！
モバＰ,そんな酷い！せっかく残業してまで文面を考えたのに！
ちひろ,残業代返せや！
モバＰ,そんなこと言っても、アイドルのみんなは思い思いのどスケベスタイルで事務所に来てますよ？
ちひろ,え？嘘ですよね？いくらなんでもそこまで頭がアレなアイドルはいないと思うんですけど
モバＰ,凜や加蓮は制服の胸元開けてどスケベアピールしてますし、卯月もブルマー姿ですし。未央なんか制服の上にどスケベピンクのパーカー羽織って、これぞどスケベって格好ですよ！
ちひろ,・・・プロデューサーさん、それみんなの普段着ですよ
モバＰ,はっはっはっ。まさかそんな常日頃からどスケベな格好している訳が・・・普段着だ！。え？じゃあ、一昔前のスケバンみたいな制服着ている拓海や、制服の上に白衣とか性癖直撃な格好をしている晶葉も
ちひろ,普段着です
モバＰ,鈴帆がファラオなのも、あやめが対魔忍なのも、早苗さんがミニスカポリスなのも
ちひろ,普段着です
モバＰ,この暑い中ゆったりしている服を着ているのにやたらと股間を刺激する文香も、欲求不満の未亡人オーラを出している美優さんも
ちひろ,仕様です
モバＰ,・・・なんてこった。どいつもこいつも普段からどスケベ祭りしやがって
ちひろ,だいたいなんでいきなりどスケベ祭りなんて始めようと思ったんですか？
モバＰ,なに言ってるんですか？今日はあのＤＱＮの誕生日だからですよ！
ちひろ,ＤＱＮってウチの事務所のアイドルにそんな人居る訳ないでしょ
モバＰ,いるでしょ。どスケベ・クイーン・新田。略してＤＱＮ！
ちひろ,最低だなあんた！自分の担当アイドルをなんて呼び方してるんですか！。それで、なんで美波ちゃんの誕生日だからってこんなキ○ガイみたいな事を始めたんですか？
モバＰ,いや、ほら、美波って普段から歩くＳＥＸだとか、どスケベサバイバーとか言われてて、本人もそれを気にしているからさ。みんなでどスケベな格好をすれば美波のどスケベも目立たなくなるかなって
ちひろ,プロデューサー・・・まさか美波ちゃんのためにこんな企画を・・・
モバＰ,あとみんなのどスケベな格好が見たかったから
ちひろ,やっぱ最低だなアンタ！それに少しは美波ちゃんがどスケベだってのを否定してあげなさいよ
モバＰ,俺を信頼してくれているアイドルに嘘なんて付けません！
ちひろ,良いこと言ってますけど、担当アイドルをどスケベって思ってる時点で最低ですよ
モバＰ,仕方ないでしょ、美波なんですから・・あ、ケータイに電話が来たのでちょっと待ってくださいね
ちひろ,この人、全裸にネクタイなのにドコに電話持ってたんだろう
モバＰ,え？はい・・・はい・・・わかりました。今すぐ行きます
ちひろ,どうしたんですかプロデューサー？
モバＰ,いえ、美波がですね、今日は日差しが強いからってサマーコートを来て事務所に向かってたんですよ
ちひろ,それがなにか？
モバＰ,著しく劣情を煽る格好をしているとか、公序良俗に反するとかいうことで警察に補導されました
ちひろ,は？いや、いくら美波ちゃんでも・・・
モバＰ,イメージしろ。この暑い中、サマーコートでうっすら汗ばむ美波を。そしてわずかに息の乱れた様を！
ちひろ,・・・なんでしょうかね。そんな筈ないのにコートの下は全裸の気がしてきました
モバＰ,俺にはコートの下に亀甲縛りの縄が見えました。結局、人間いくらどスケベな格好しても、素でどスケベな人間には勝てないんですね・・・。ははっ、美波のためにこんな企画を考えたのに全部無駄でしたよ・・・
ちひろ,プロデューサーさん、気を落とさないで下さい
モバＰ,大丈夫ですよ。アイドルに落ち込んだ顔は見せれませんから。じゃあ、迎えに行ってきます
ちひろ,・・・・あ。プロデューサーさん、全裸のままだった
