本田未央,おっはー！
渋谷凛,未央！後ろ後ろ！蜂が！！
未央,うぇぇぇ！？ど、どこどこ！？！？。ちょ、ちょっと！どこにいるの！？ねえ！
凛,ふふっ、冗談だよ
未央,はっ倒すぞ。なんなの朝っぱらから！
凛,この前さ？ふと、“卯月が慌てる姿って見たことないな”って思ったんだ
未央,どしたの急に
凛,そこで、今みたいに、卯月！蜂が後ろに！って言ったんだよ
未央,ああ、そういう流れだったんだ……。それで？
凛,普通さ、今の未央みたいに、周りを見渡すでしょ？なんとも情けない感じで
未央,ちょくちょくケンカを売るよね
凛,卯月は、私から一度も目線を外さないまま、蜂なんてどこにもいませんよ？凛ちゃん♪って笑顔で言ってきたんだよ……
未央,ええ！？ってか怖っ！
凛,というわけで、今日は卯月の弱点を探したいなって
未央,うーん……。そんなこと言われても……
凛,じゃあ未央は卯月の慌てる姿、見たくないの？
未央,いや、そりゃあ見てみたいけどさ……
凛,もう！はっきりしてよ！私がついてるんだよ！？
未央,それが１番の不安要素なんだよ！！！
凛,じゃあ、卯月が驚きそうな状況をいくつか挙げていこうか
未央,そうは言っても、しまむーが狼狽えるなんて想像つかないなー
凛,じゃあ逆に、自分だったら慌てるなーって状況を考えて、それが卯月にも通用するかを考えるのは？
未央,お、それいいね！例えばしぶりんはどんな時に慌てちゃう？
凛,ピッチャー相手に３ボール０ストライク
未央,野球！？しぶりんやったことないでしょ！？
凛,失礼な！前世はイチローだよ！
未央,イチローはバリバリご存命だよ！？失礼はどっちだ！！！。そもそもその状況は再現できないじゃん！
凛,じゃあ未央は何かある？
未央,え？う、うーん……
凛,まさか、対案もないのに文句言ったの！？
未央,そ、そんな、文句というかツッコミというか
凛,まるでどこかの野党みたいだね
未央,そんなに野球宗教政治の３大タブーで会話したいの！？
凛,あ！いいこと思いついた。いきなり耳元で般若心経を唱えるのはどうかな？
未央,宗教要素の入れ方は雑だな！！！。というかいきなりそんなの唱えられても、しぶりんに対して不安になるだけだよ
凛,そうかな？この前卯月にやった時はハモってくれたけど
未央,念仏にオクターブという概念が！？ってかやったんかい！
凛,思えばあれがアイドルになるきっかけだったな……
未央,般若心経で！？そのエピソードは聞きたくなかった！！！
凛,じゃあ未央は南無妙法蓮華経から？
未央,なんでアイドルの入り口は念仏限定なのさ！？
凛,SSR［馬の耳に念仏］本田未央
未央,馬鹿にしてるよね！？！？
凛,この線は諦めた方がいいのかな
未央,もっと早く気づいてほしかったよ……
凛,他に何かない？
未央,うーん……。じゃあ、怖い話をしてみるとかは？
凛,お前だぁーーーー！！！！！！
未央,雑。確かによく使われるオチではあるけどさぁ！？
凛,今のセリフと共に、いきなり殴りかかったら驚くかな？
未央,こちとらその思考回路に驚天動地だよ
凛,あ、でも卯月は柔術に通じてるから１人じゃ無理かな……。未央、手伝ってくれる？
未央,イヤだけど！？
凛,未央が加勢してくれれば0.5人力なのに……
未央,期待値低くない！？
凛,はい次ー
未央,完全にふざけてるでしょ
凛,いいからいいから！
未央,もう……。じゃあ、後ろからそっと近づいてわっ！！！とか？
凛,半径50メートルは卯月の補足範囲だから無理だね
未央,しまむーは超音波でも出してるの？
凛,逆に聞くけど超音波出せないの？
未央,逆って何！？
凛,呆れた。そんな覚悟で漫才してたの？
未央,そもそも漫才はしてないから！！！
凛,１度NSCに戻って鍛え直したら？
未央,吉本の養成所に通っていた過去も持ってないよ！！！
凛,未央と話すと、どうしても脱線しちゃうね
未央,10割10分10厘までしぶりんのせいだからね
凛,あ！ドアに黒板消しをはさむのは？
未央,あ！って言った割にアイデアは小学生レベルだね！？
凛,上履きに画鋲？
未央,もはやただのいじめだ！！！ってかこの歳で上履きって
凛,さすがにそういう、危害を加える系のアイデアは感心しないな
未央,なんで私が責められてるの！？
凛,次いこうか
未央,どういう精神構造してるの？
凛,卯月の音楽プレーヤーの中身を全部落語に変えるとかどうかな
未央,発想がもう普通に怖いもん
凛,あ、でも卯月は真打だから逆に嬉しがっちゃうか……
未央,それはウソでしょ！？17歳が駆け上がれるポジションじゃないよ！？
凛,得意な演目は時子そば時子様に10回叩かれる間に何度も“今何時？”と聞くことで、カウントが巻き戻って無限に叩いてもらえる話
未央,全体的におかしいけどとりあえず蕎麦どこ行った！？
凛,うーん……、なかなか浮かばないものだね
未央,そりゃまぁ、しまむーだし……
凛,卯月のスマホに入ってる写真を全部常務の画像に変えるとかどうかな
未央,さっきからその全部〇〇に変えるとかどうかなシリーズはなんなの！？
凛,あ、でも卯月のスマホのロックを解除できないか……
未央,あれ？どんなロックなの？
凛,英数字20桁を1秒以内に入力しないといけないんだけど
未央,無理でしょ！？
凛,卯月は親指だけでできるからね
未央,物理的にありえないって！！！
凛,このシリーズ、手ごたえを感じるね……！
未央,感じないよ。糠に釘か暖簾に腕押しか豆腐に鎹か迷うレベルだよ
凛,ツッコミがくどい
未央,とうとうダメ出し！？
凛,でもそんな未央が好き
未央,この流れで！？リアクションに困るってレベルじゃないよ！？
凛,じゃあ、卯月のレッスンを全部カズダンスに変えるとかどうかな
未央,そのシリーズ続けるんかい！というかカズダンスを極めたアイドルはどこに需要があるの！？
凛,あ、でも卯月はなでしこジャパンの招集を断ったらしいから、見る機会がないか……
未央,もう驚くことに疲れてきたよ
凛,結局、めぼしい成果はなしだね……
未央,もう本人に聞いた方が早いって
凛,そうかもね
島村卯月,おはようございます！
未央,絶対タイミング計ってたでしょ！？
凛,卯月、ちょっと聞きたいんだけど、卯月って苦手なものってある？
卯月,ありますよ！ライオンは10匹を超えると危ないです！
未央,状況が非日常的すぎるでしょ！？いや1匹でも危ないし！！！
卯月,あと、お饅頭も怖いですね！
未央,落語の流れを汲む必要はないからね！？
凛,ホント！？饅頭買ってくる！
未央,純粋
卯月,40秒で！
未央,邪悪
凛,結局、卯月の驚いた顔は見れずじまいかな
未央,で、でも、これからずっと一緒にいれば、いつか見る機会もあるかもよ？
凛,それが彼女の最期の言葉であった
未央,不穏なモノローグを追加しないで！？
卯月,まだ若かったのに……、非常に残念です……
未央,弔辞を用意しないで！！！
凛,先立つ不孝をお許しください
未央,それは遺書じゃないの！？
卯月,資格はたくさん♪死角はないさ♪襲う刺客は見るも無残♪
未央,無駄に殺伐としたオチやめて！？
