未央SSです,嘘です
P,未央を癒す会？何だソレ
凛,そのまんまの会、みたい。私も最初聞いたとき何かと思ったけど
藍子,頑張りすぎる未央ちゃんに、少しでも癒やされてほしいなって思ったんです
P,具体的に何をやるかは決めているのか？
凛,ううん、今から
藍子,と言いますか、さっきたまたま二人でそういう話になったんです。だから、会ができてからそんなに時間、経っていなくて
P,成程な。案出しなら俺も手伝おう。未央にはいつも元気を貰ってる事だしな
藍子,では、考えてみましょう。まず、未央ちゃんをどうすれば癒やしてあげられるかですけど
凛,はい
P,あ、挙手制なのね
藍子,はい、凛ちゃん
凛,動物とかどうかな、触れ合うと癒やされるよ、ハナコとか
P,ハナコな、可愛いもんなぁ
藍子,そうですね、小さくて、ふわふわして、もこもこしてて……想像しただけで癒やされちゃいます
凛,写真あるよ。これとか
P,これは……いいな……
藍子,この写真の癒やし成分……この私のゆるふわ時空と互角かもしれません
P,お前は一体何なんだよ………わかるけど
凛,とりあえず、ハナコの写真とか、実際にハナコをもふもふするとかはいい線いってるかも。このまま考えてみよう
藍子,はい
P,お、何かあるのか？
藍子,はい、ズバリですね、みどりを使うんです
P,……翠を使う……？矢でも撃ち込むつもりか？
凛,公演で食べてた料理を奪うとか…？
藍子,違います、翠さんじゃなくて……もう、わかってやってますね、ふたりともっ
P,バレたか
凛,まぁ現実的でもなかったしね
P,現実的だったら奪うつもりだったのかオイ
藍子,ええと、話を戻しますけど……森の草花の香りですとか、緑に囲まれた景色とか、そういうのって癒やし効果があるんですよ
P,あぁ、アレだな、マイナスイオンだ
凛,マイナスイオンって言っとけばそれっぽくなると思ってない…？
藍子,でも実際マイナスイオンですよ？後はフィトンチッドですとか……
P,あぁ、知ってる知ってる、布団キットな、癒やされる癒やされる
凛,プロデューサーは勝手に布団作っとけばいいと思うよ
藍子,あ、あははは……ええと、プロデューサーさんは何かありませんか？
P,癒やされる方法？
藍子,はい。プロデューサーさん流の回復法、みたいなものって、何でしょう？
凛,何となく予想はできるけどね
P,星のマークのエナジードリンクだよ
藍子,え、ええっ、ドリンクですか！？
凛,ほらね予想通り
P,あぁ、スタミナドリンクの方が良かったか？
藍子,いえ、そうじゃなくて………というかプロデューサーさん、最近ちゃんと休んでます…？
P,さて、真剣に考えてみようか
藍子,ごまかした……
P,この前未央から聞いたところによれば、未央の体には元気成分ミオニウムなるものが秘められているらしい
凛,未央……また適当な事言って……
藍子,まぁまぁ……でも、それって未央ちゃんの体に元からあるんですよね？。つまり、未央ちゃんで未央ちゃんを癒やすって事になりますけど……
P,とんだ自浄作用だな
凛,ものすごくシュールな気が……
P,ミオニウムの上をいく元気成分にプロデューシウムなるものもあるらしいが
凛,別のにしたら？何か、もっとちゃんとした感じの…
藍子,そうですね……それに、プロデューサーさんもお疲れみたいですし…
P,あ、却下なのね……何か自分で言うとちょっと恥ずかしいなプロデューシウム…。後はそうだなぁ……プロデューサーとして出来ることと言えば、温泉ロケの仕事や遊園地でのちょっとした仕事を取り付けて、ドサクサに余暇を確保してやるくらいなもんかなぁ
凛,サラッと職権乱用しだしたよ
藍子,でも、そんな簡単に出来ることなんですか…？
P,なぁに、3日くらい寝ずに駆け回ればどっかにねじ込めるだろ、ハッハッハ
凛,目が笑ってないよプロデューサー
藍子,もう、自分が無理するの禁止です、ダメですっ
P,おう…そうか、そうだな…
凛,プロデューサーが倒れたら私達だって色々危ないんだからね、仕事とか
藍子,励まし方他にないんですか凛ちゃん
P,仕事に響くのは良くないな……！
藍子,ああ、仕事人間のプロデューサーさんには効果絶大でした……
P,職権乱用まではいかなくても、1日未央のスケジュールをオフにするくらいはできるぞ、ただのPの裁量の話だからな
凛,じゃあプロデューサーにはそっちで頑張ってもらうとして……後は……
藍子,つまり………どうなるんですかね？
緑色のハナコ,ﾜﾌ
未央,うん………何かな、このハナコ……
凛,癒やしだよ
藍子,ですです
未央,このために千葉から事務所に呼ばれたの…私……？
P,疲れも吹っ飛ぶよな？
未央,吹っ飛んでるのは三人の頭だよ
亜季,ハナコ殿を迷彩柄にペイントしてくれと頼まれたのですが…猟犬になるにしても少し小さいですな……？
ハナコ,ﾜﾌ
