シャニP,以下、P
P,よし、これでひと段落かな。んーっ……っと、時間は？。あれ、もう10時か。結構長い間作業続けてたな……。腹減ったな……。……よし！。……よし、そろそろだな！。お湯を流して、ソースをかけてっと……。うーん……ニオイが腹にくるな。それじゃ、いっただきまーす！
風野灯織,以下、灯織
P,灯織？なんで、こんな時間に事務所に？。明日、学校じゃなかったっけ？
灯織,それは……そうなんですけど。明日持って行く宿題、事務所に忘れてちゃって
P,ああ、それなら仕方ないか……。それじゃ、家まで送るよ。これ食べ終わるまで待っててくれ
灯織,いえ、迷惑をかけるわけには……
P,バカ言うな、こんな時間に女の子を出歩かせられるか
灯織,……それじゃ、お言葉に甘えさせてもらいます。……ところで、何食べてるんですか？
P,ソース焼きそば！いやぁ、今日は濃い目の奴で……
灯織,…………
P,……良いじゃないか、たまには
灯織,……まぁ、私も美味しいと思いますけど
P,……食べるか？
灯織,べ、別に食べたかったわけじゃ
P,身体はそう思ってないみたいだけど
灯織,…………
P,わ、悪かった……
灯織,……それじゃ、頂いてもいいですか？
P,いいよ、はい
灯織,えっ？
P,あっ、すまん……割り箸取ってくる
灯織,……い、良いです
P,え？でも……
灯織,わざわざ割り箸無駄遣いする必要もないですから
P,そうか？まぁ、灯織がそう言うなら良いけどさ
灯織,……それじゃあ
P,はい、召し上がれ
灯織,えっ、食べさせてくれるんじゃ……
P,ん？
灯織,な、なんでもないです！。…………
P,どうだ？
灯織,……美味しいです
P,そうか、それは良かった……
灯織,…………
P,……灯織、お腹空いてたのか？
灯織,んっ……夜ご飯、帰ってから食べようかと思ってたので
P,あれ、それじゃ悪い事したかな？
灯織,大丈夫です、作り置きした物なので
P,そうか……なら、良かったよ。よし、そのソース焼きそば食べちゃっていいからなー
灯織,でも、それじゃプロデューサーが……
P,大丈夫大丈夫！大人は腹八分で済ませるもんだからさ！
灯織,本当ですか……？
P,ホントホント！さ、早く食べちゃってくれ
灯織,ごちそうさまでした……
P,それじゃ、早いとこ出るか。灯織、宿題ちゃんと持ったな？
灯織,はい、確認しました
P,よし、それなら……
灯織,……プロデューサー？
P,……気のせいだ、早く行こう
灯織,そういうわけにはいきませんよ！。私が食べたせいで……
P,だ、大丈夫だよ……帰って食べればいいからさ
灯織,……でも、それだと栄養偏るじゃないですか。どうせ、また冷凍食品なんですよね？
P,……か、カップラーメンかもしれないぞ？
灯織,…………。プロデューサー、事務所のキッチン借りてもいいですか
P,へ？まさか、今から作るのか？
灯織,はい……ダメですか？
P,いや、俺も灯織の手料理は嬉しいけどさ……
灯織,……よし
P,灯織さん？
灯織,食材、何が余ってるか見てきますね
P,灯織！？
灯織,あるのは、卵に玉ねぎに鶏肉……
P,そういえば、恋鐘がなんか作ってたな。それの余りかもしれない
灯織,なるほど……使っても良いんでしょうか
P,なんかあったら使って良いって言ってたしな、大丈夫だろ。……ってか、本当に作る気なのか？
灯織,乗りかかった船ですから
P,そうかい……
灯織,プロデューサー、リクエストはありますか？
P,リクエストか……
灯織,あまり、大した物はできないと思いますけど
P,ふぅむ……そうだなぁ。卵って言ったよな？それに鶏肉
灯織,はい……親子丼でも作りますか？
P,がっつりしてるし、ナシじゃないけど……そうだな。……うん、オムライスが食べたいかな
灯織,オムライス……ですか
P,ああ、たまーに食べたくなるんだよな
灯織,…………
P,すまん、無理なら——
灯織,いえ、大丈夫です。すぐ作りますから、プロデューサーは座って待っててください
P,えっ、そういう訳にも……
灯織,側にいられたら集中できませんから
P,ひどい……。それじゃ、宣材写真でも眺めながら待ってるよ……
灯織,……頑張らなきゃ。プロデューサー、お待たせしました
P,えっ、早くないか……？
灯織,何回もやってれば慣れますよ、このくらい
P,そういうものなのか……俺も練習してみようかな
灯織,さ、冷めない内に食べちゃって下さい
P,おう！それじゃ……
灯織,どうかしたんですか？
P,灯織、一つだけ聞かせてくれ。……なんで、ケチャップでハート書いたの？
灯織,そ、それは……その
P,その？
灯織,……気まぐれです
P,そうなの？
灯織,他に、描くものが思いつかなかったので
P,普通にジグザグにかければ良いんじゃないか？
灯織,……それだと、見栄えがあんまり良くないじゃないですか
P,うーん……？
灯織,ほら、早く食べちゃって下さい
P,わ、分かった……いただきます
灯織,……ど、どうですか？
P,……うっ
灯織,！？
P,美味い！凄いぞ灯織、こんなに美味いオムライス久々に食べたよ！
灯織,なんだ……驚かせないでください
P,すまんすまん、ここまで美味いのが出てくるって思わなくてさ
灯織,……よしっ
P,あー、空きっ腹に沁みるな……
灯織,美味しいと思ってもらえたなら、良かったです
P,こんなのを毎日食べられる灯織の家族は幸せだな……
灯織,……そこまで言うなら、お弁当作ってきましょうか？
P,良いよ、灯織に悪いからさ
灯織,そういう訳にもいきません。プロデューサー、いつも外食ばかりじゃないですか
P,そんな事ないぞ？この前も恋鐘のサンドイッチ食べたし
灯織,……はい？
P,な、なんでそんな怒るんだ灯織……？
灯織,……別に、怒ってないですけど
P,そ、そんな頻繁にじゃないぞ？
灯織,……本当ですか？
P,ホントだって！おにぎりのお礼にって貰ったんだから！
灯織,……それなら、良いです
P,もぐ……ごちそうさま！。それじゃ、ちゃちゃっと皿洗ってくるから待っててくれな
灯織,えっ、私洗いますよ？
P,こんな美味いもん食べさせて貰ったんだ、この位はしないとな
灯織,あっ、ちょっと……。……行っちゃった
P,よし、終わったぞー……？
灯織,…………
P,……あらら、やっぱり寝ちゃったか。そりゃそうだ、かなり遅くなっちゃったもんな……。さて、と……っ！
灯織,…………
P,軽いな……自分がもうちょっとちゃんと食べないとダメだろうに。今度、どこか連れて行ってやるか……
灯織,…………♪
P,……ん？
灯織,…………
P,……気のせいか
灯織,♪
はづき,あっ、そろそろお昼ですね
P,そうですね……っと
はづき,すみません、書類作業を任せてしまって……
P,大丈夫ですよ、今日は皆レッスンですから。こういう時くらい手助けさせて下さい
はづき,わぁ……それじゃ、これからもいっぱいお手伝いお願いしますねー？
P,はは、お手柔らかに
はづき,……あれ？今日はお外に食べに行かないんですか？
P,はい、今日は弁当です！
はづき,むむ……もしかして、彼女とかですか？
P,違いますよ、灯織です
はづき,ああ、なるほど……
P,無理しなくて良いんだぞ、って言ったんですけどねー
はづき,ふふっ、感想ちゃんと伝えてあげて下さいねー？
P,勿論です……それじゃ——。——ん？
灯織,ふぅ……
P,灯織、お疲れ様
灯織,プロデューサー……お疲れ様です
P,どうだった？今日のボイスレッスン
灯織,はい……やっぱり、声量が足りなかった気がします。もっとお腹から声出さないと……
