社長,君には、ここで新しく医者として働いてもらうまずは、患者たちを見ていきなさい
P,はい
律子,まずは、こちらです
P,はい。失礼します
春香,こんにちわー！天海春香です！
P,こんにちわ。この子、病気なんですよね？そうは見えないんですけど
律子,今にわかります
春香,お茶を取りにいこっかｎｳﾞｧｲ！
P,うおっ何もないところで転んだぞ！？
律子,そうなんですこの子、何もないところで転ぶ病気なんです
P,ああなるほど。改めて、俺は●●って言うんだPってよんでくれ
春香,あ、プロデューサーって呼べばいいんですね！わかりました！
P,よろしく
春香,よろしくお願いします！プロデューサーさん！
P,こんなかわいい子が病気とは…つらいです
律子,一緒に頑張っていきましょう
P,はい
律子,じゃあ、次の患者の所に行きましょうか
P,わかりました。ここの子も女の子なんですね
律子,ナムコ病棟の患者はみんな女の子ですよ
P,そうなんですか
律子,ええじゃあ、入りましょうか
P,こんにちわ
千早,こんにちわ新しい先生ですか？
P,おっその通りだよくわかったな
千早,私を訪ねてくるのは先生と春香だけですから
P,…そうか。なんか、ちょっとネガティブっぽいな
律子,病気が原因ですよ見てればわかります
千早,ｺｿｺｿ何話してるんですか？私の胸が小さいから笑ってるんですねっく
P,え！？ち、違うぞ！？あ、でも言われてみれば胸が…
千早,っく！
律子,プロデューサー殿！
P,いてっ！なんだ！？
律子,この子の病気はそれですよ…
P,はぁ？
律子,何故か、胸だけ未発達になる病なんです…
P,そ、そうだったのか…。あ、その千早？胸が小さいとか言って悪かったな
千早,っく！
P,でもな俺は小さい胸の方が好きだぞ？
千早,な！？///
P,だから、前向きに病気と闘おうな？
千早,……はい///
律子,上出来ですよ
P,ありがと
律子,じゃあ、次行きましょう
P,はい。次はここか
律子,入りましょうか
P,こんにちわ
響,はいさーい！
P,はいさい？
律子,沖縄弁ですよ
P,あ、そうなのかはいさい響
響,うぎゃ！自分の名前を知ってるってことは新しい先生か？
P,そうだよくわかったな
響,自分は完璧だからな！
P,ははそうかそうか。あれ？特に変わった様子はありませんよ？少し臭いですけど
律子,ワキガは関係ないです問題は別にあります
響,なーハム蔵？自分凄いもんな～
P,？
律子,始まりましたよ
響,え？何々？あはははそんなわけないだろハム蔵ｗｗ
P,なんだなんだハムスターと話してるのか？
律子,それだけじゃないですよ他の動物とも話せるらしいです
P,え！？本当なのか！？
律子,んなわけないじゃないですかそんなことありえませんよだから病院に入れてるんですよ
P,そうか……まあ、そっとしといてやろう時間が解決してくれるはずだ。じゃあな響他の患者の所にいってくるから
響,はいさーい！またねプロデューサー！。自分は本当に話せるのに…
ハム蔵,じゅい
P,こんにちわ。あれ？誰もいないぞ？
律子,あ！？またいなくなってる！
P,は？
律子,あずささんは、いつも勝手にいなくなっちゃうんです…
P,病院が嫌いなんですか？
律子,いや、そうじゃないんです
P,？
アナウンス,業務連絡！三浦あずささんが見つかりました！至急、病室に連れて行きます
P,あ、見つかったみたいですね
律子,はぁあずささんが入院してから765回目ですよ…
P,ええ！？そんなに！？
あずさ,あらあら～トイレに行こうと思ってただけなんですけど～
律子,ね？本人に悪気はないんですよそれが余計に達がわるくて…
P,こんにちわ
あずさ,私の運命の人ですか？
P,ち、ちがいますよ！新しい医者です
あずさ,あらあら～よろしくお願いします
P,よろしくお願いします。凄い良い人ですね
律子,まあ、この病院の中では一番まともです
P,あずささん俺達と一緒に病気と闘いましょう！
あずさ,は～い
P,じゃあ、俺たちは次の患者の所に行ってきます
あずさ,では私も～
P律子,あずささんは病室にいてください！！
美希,zzz
P,あれ？寝てるぞ
律子,はい、ある意味この子が一番生活に支障をきたしますね
P,え？
律子,極度の不眠症なんです
P,ああなるほど
律子,一日の１８時間くらいは寝てます
美希,むにゃむにゃん？。おはようなの～
P,あ、起きたみたいだなおはよう
美希,おはようなのハニー
P,ハニー！？
美希,あふぅなんでもないの～
P,頭もヤバイみたいですね
律子,これは天然なだけです
P,あ、そうですか。じゃあ、美希他の所に行ってくるから
美希,ばいばいなの～
P,なかなか個性的な子ばかりだな
律子,まぁ…
小鳥,ぴよぉ！２X歳はまだお姉さんなのよぉ！
P,あれは？
律子,キチガイ三十路です放っておきましょう
P,はい
律子,じゃあ、次の患者の部屋です
P,特別室？
律子,入ればわかります
P,こんにち…わ！？なんだここ！？
律子,気を付けてくださいそこの穴に落ちたら死にますよ
P,えぇ！？。なんか声が聞こえるぞ
律子,穴の底に患者がいるんですよ
P,？
律子,なんか恥ずかしいことが有ったんでしょうね……
P,はぁ
律子,残念ながら今日は会えそうに無さそうですね
P,おーい！雪歩ー！また今度来るぞー！
雪歩,ひぃっ男の人ぉぉ！
P,うおっ砂が大量に出てきた！
律子,見ての通り、この子は男性恐怖症と穴掘り依存症です
P,なるほどだから、穴がたくさん掘れる特別室なんですね
