宮本フレデリカ,ありすちゃんありすちゃんありすちゃーん！！！！！
橘ありす,きゃっ！？な、なんですか急に！？何か緊急事態が……！？
フレデリカ,結婚おめでとー！！！！！
ありす,！？。け、けっこん！？わ、私がですか！？
フレデリカ,うん！！！
ありす,い、いつ！？
フレデリカ,さっき！
ありす,だ、誰と！？
フレデリカ,一般男性と！
ありす,ど、どこで！？
フレデリカ,フレちゃんの夢の中で！！！
ありす,はぁぁぁぁぁぁ……
フレデリカ,？
ありす,びっくりして損しましたよ……
フレデリカ,末永く幸せにね……！
ありす,あっダメだ完全にもう結婚するていで進んでる
フレデリカ,ちなみに結婚報告のツイートには4時間半で2000以上の祝福の言葉と29000リツイート36000いいねが来てたよ！
ありす,そんな具体的な夢あります？？？
フレデリカ,と、いうわけで！
ありす,？
フレデリカ,結婚式には誰を呼ぶの？
ありす,いえ、特に考えてませんから
フレデリカ,結婚するのに！？
ありす,その時点で噛み合ってないって言ってるんです！！！
フレデリカ,ふふふ……だいじょーぶ！フレちゃんが真っ先に呼んでもらえるってことは、この”ハート”で理解わか
ありす,ひたすらに腹が立つ表現をありがとうございます
フレデリカ,いやー、でも、ほんとーにおめでたいね！
ありす,空想の話ですけどね
フレデリカ,ほんとに……
ありす,……？どうしたんですか、急に黙って
フレデリカ,……ｸﾞｽﾞｯ……うう……
ありす,えっ！？ど、どうしたんですか！？
フレデリカ,……ううう……ｽﾞｽﾞｯ……
ありす,ふ、フレデリカさん……想像上の私の結婚でこんなに……。なんだかんだ言って、やっぱりフレデリカさんは優し……
フレデリカ,ごめんね……毎週見てたドラマの録画に失敗したの思い出しちゃって……
ありす,もみあげ引きちぎっていいですか？
フレデリカ,いままでのありすちゃんで一番こわい！！！
ありす,落差のせいですよ
フレデリカ,じゃあ、ありすちゃんはどんな結婚式にしたい？
ありす,それ、ウエディングプランナーの時にも聞いてましたよね……
フレデリカ,しょうがないでしょ！あの時は本当に結婚するなんてフレちゃん思ってなかったんだもん！！！
ありす,私はどうして怒られてるんですか！？
フレデリカ,確か身内だけでしめやかにやりたいんだよね？
ありす,未だに冠婚葬祭をもれなく葬に変換してるんですか？
フレデリカ,大丈夫！フレちゃんはありすちゃんの身内みたいなものだから！
ありす,いつにも増して話が通じないですね
フレデリカ,というわけで！
ありす,……？なんですか？その紙は
フレデリカ,もちろん！友人代表のスピーチ！
ありす,た、頼んでもないのに！？
フレデリカ,まあまあ！落ち着いて？ありすちゃんが友人代表をお願いするなら誰かなー？って考えたけど、これはもうフレちゃんかなって！でしょ！？
ありす,奈緒さんですね
フレデリカ,あれれれ？？？。……
ありす,……
フレデリカ,……
ありす,……
フレデリカ,……ふぅ
ありす,……？
フレデリカ,……友人代表あいさつ、宮本フレデリカ
ありす,なぜ？？？？？。今の流れで読み始めますか普通？？？。物騒。邪智暴虐ですね。訂正されることまで織り込み済みなんですか？。でしょうね。嬉しいですけど何をしに来たんですか？
フレデリカ,タイム！
ありす,自由ですね……
フレデリカ,パターンBに切り替えてもいいですか！
ありす,知りませんけど……。その文学作品縛りは必要なんですか？
フレデリカ,難しいね……！
ありす,奇をてらおうとするからでは……
フレデリカ,じゃ、パターンCに……あっ……
ありす,……？
フレデリカ,……
ありす,……
フレデリカ,パターンDに切り替えるね！
ありす,逆にCが凄い気になる……！！！
フレデリカ,メンタリズムだよ！
ありす,うるさいですよ
フレデリカ,それでは！ここからは真面目になるデリカ！
ありす,既に語尾が真面目とは程遠いですけど。誰？？？。そんな適当な……覚えていませんが事務所とかでしょう。それをスピーチに盛り込む度胸は認めますよ。ウソつくにしてももうちょっと平和的な馴れ初めになりません？。……ええと……ありがとうございます……？。余裕ないな！。もうなんか色々混ざって最悪のセリフが出力されましたが。いえ、想像上の私に言ってください……。ただの馬鹿じゃないですか！。パン！？。さっきからなんで結婚生活に大事な袋の説明を分割してねじ込むんですか！？。……。怖っ。何様なんですか……。フレデリカさん……。……。……
フレデリカ,……って感じかな！どうだった？どうだった？
ありす,……最後のは、本音ですか？あと、何を言おうとして……
フレデリカ,そ・れ・は！本番までのお楽しみデリカ～♪
ありす,……まあ、いいですけど。で、でも……その……。誰かと結婚するとか……今はまだ、よくわからないですが。だからといって、それで他の交流が消えるわけではないですし……。とっ、特に、フレデリカさんはきっと……私が大人になってもちょっかいかけてくるでしょうし。い、いえ！別に楽しいわけではなく！仕方ないから付き合ってあげていますが！。これからも……まあ、適度には仲良くしてくださると……その……。まあ……退屈しないかな……とか……思ったり……
速水奏,？
ありす,……
奏,……
ありす,……はい？
奏,ああ、フレデリカなら、そこの廊下でごしゅーぎごしゅーぎ～♪って言いながらスキップしてるのとすれ違ったけれど
ありす,あのもみあげ引きちぎっていいですか？
奏,怖っ。よくわからないけど、落ち着いて？
ありす,落ち着いてます
奏,あ、話は変わるけれど、私、昨日面白い夢を見たの
ありす,……えっと……あの
奏,ありすちゃんが結婚するって夢よ
ありす,……話変わってない
奏,ちなみに結婚報告のツイートには6時間半で2200以上の祝福の言葉と31000リツイート41000いいねが来ていたわ
ありす,SNSの監視は義務なんですか？
奏,でも、ありすちゃんが結婚するとして、友人代表は誰になるのかしら？
ありす,……
奏,？
ありす,もちろん……それは……
奏,……それは？
ありす,……いえ、決めていません。結婚の予定もありませんから
奏,……そう。てっきり、即答で奈緒あたりかと思ったけれど
ありす,……ご想像におまかせします
奏,それならいいけど……あら？
フレデリカ,ありすちゃんがフレちゃんにデレた気配を感じたよ！！！このもみあげで！！！
ありす,やっぱり引きちぎります！！！
奏,友人代表……まさに、だと思うけど。……ね
