モバＰ(以降Ｐ表記。そういうセカイさ）,ふーん、これが最近話題のけものフレンズかぁ…
Ｐ,確かに面白いな。特にこのゴリラの司令官とか勝平ボイスのネズミとか。まるで台本なんて無いみたいなアドリブ地獄だけど
晴,おはようございまー…。うっす
Ｐ,おはよう晴。今なんで俺しかしないって確認してから挨拶変えた？
晴,気のせいだって。そんなことしてねぇよ
Ｐ,嘘つけぇ。完全に目が合ってから言い直したろ
晴,細かい事ウジウジ言ってるとハゲるぞ
Ｐ,スタドリでシャンプーすれば毛根生き返るから平気だよ
晴,普段なんてモン飲んでんだよ…そういや喉乾いたな。何か飲み物無ぇの？
Ｐ,給湯室に蛇口があるでよ
晴,せいっ！
Ｐ,つま先で脛って、おま！
晴,…うわ、冷蔵庫の中スタドリばっかかよ…
Ｐ,間違っても飲むなよー？抗体が無いと見た目が１６ビットになったり首から上が柴犬になったりするから
晴,んなもん日常的に服用すんなよ！。おっ？なんだこれ。ラベル無いけど…。Ｐ－。テキトーに飲み物貰うからなー？
Ｐ,あいよー。さてと、続き続き……
晴,な、なんだこりゃあああああ！！
Ｐ,っ！。ど、どうした晴！ちひろが無償で１０連ガチャとか言い出したか！？。あ痛っ。いてて…なんだこれ、空き瓶？思い切り踏んじまったよ…。おーい晴ー、何があった？テラフォーマーでも出たか？
晴,こっち来んなぁ！
Ｐ,右ストレートは痛い！
晴,な、何でもねぇからあっちいけよ！いや何でもなくはないんだけど…でもいいからあっちいけ！
Ｐ,何でもなくあんな松田優作みたいな悲鳴上げるのかよ…ちょっと待って。誰かさんの鉄拳で視界が真っ白なんだよ
晴,真っ白なままでいいよ！向こう行けって！こら見るな！
Ｐ,…おぉ、意識と視界がハッキリしてきたぞ。…うん？
晴,…っ
Ｐ,…。給湯室の床に転がる空の瓶。そして散乱している布切れ。うん、さっきまで晴が着てた服と同じ柄だな。奇遇ですね。そして、手拭き用タオルで必死に体を隠して隅っこで縮こまっている晴のそっくりさん。まるで晴の７、８年後みたいな娘だなぁ。…
晴,…っ！
Ｐ,…うん。冷蔵庫に入ってた怪しいクスリを知らずに飲んでしまったアイドルシリーズか
晴,いいから出てけこのロリコンッ！！！
Ｐ,鳩尾にフライパンはっ！。…どういうことだ？犯人は一体…。原因は…もしかしなくてもこの空き瓶だよなぁ。クスリ系なら志希だろうな。よし、あのハスハスは今度卯月とユニット組ませて輿水チャレンジさせてやろう
晴,それがお仕置きになるって卯月と幸子は何なんだよ…
Ｐ,おぅ晴すけ。サイズ大丈夫か？
晴,その呼び方やめろ。ちょっとキツいとこあるけど大丈夫だよ。でも何で事務所にこんなスウェットがあんだよ
Ｐ,…
晴,…おい
Ｐ,徹夜時の俺の寝間着でございます
晴,帰れって寝ろ！
Ｐ,仕方ないんだよ！さぁてそろそろ帰るかな。とか思ってたらＧＴＡ動画の新作来てたりモンハンの誘いが来たり
晴,せめて仕事で徹夜しろよ！！
Ｐ,まぁまぁ、それは今は置いといて
晴,ちひろさん帰ってきたらチクッてやる
Ｐ,置いといて！。見た感じ２０歳…いや、ちょい若いか？随分成長したなぁ晴やん
晴,その呼び方もやめろ。…何か、前にも似たような事件があった気がすんだけど、オレの気のせいか？
Ｐ,気のせいだよ。えっと…あ、瓶に１９
晴,なんでそんなピンポイントに成長操作できるんだよ…怖ぇよこの事務所
Ｐ,その怖い事務所の冷蔵庫から無警戒にラベルのないモノ飲む方もアレだけどな
晴,１９歳…？うわマジかぁ…春休みだから学校とかは大丈夫だけど、コレいつ戻れるんだよ
Ｐ,知らん。志希の奴着信拒否ってやがる
晴,マジかよぉ…何だか落ち着かねぇんだけど。目線は高いし体はデカいし…
Ｐ,特にある一部分が特にデカくなっているけど、とは紳士なので口にしねーですよ。でも春休みなのは不幸中の幸いだったな、ほんと
楓,晴ちゃんは今春休み、ですね
Ｐ,安直。２１点
楓,！？
Ｐ,うーん…取りあえず芳乃に治して貰うか。ハハッ、スレ終わるな
晴,なぁ、楓さんが大瓶抱えてトボトボ行っちまったんだけど
Ｐ,さてさて、早速芳乃を…おーい。芳乃やーい
晴,何でデスクの引き出し開けんだよ。そこにいたら怖ぇよ
Ｐ,…あれ、今日はここじゃないのか
晴,いる時があんのかよ！？
Ｐ,あれ？スーツの内ポケットにもいない、デスクの下には…森久保しかいねぇや
乃々,ま、巻き込まれたくないんですけど…！
Ｐ,はいはい、気にせずポエム作ってなさい。…あれ、本当にどこ行ったんだ？。うん？。ｏｈ…
晴,なんだよ、どした？
Ｐ,もうちょいこの話続きそうだわ
晴,は？
Ｐ,よーし、仕事終わった。んじゃ送るからトライドロン乗れぃ
晴,やっと帰れるぜ…ずーっと休憩室に隠れてたから肩凝っちまったよ
Ｐ,ハハッ、肩凝ってる原因はそれだけじゃないと思うけどな
晴,あん？何か言ったか？
Ｐ,ナンデモナイヨ。仕方ないだろ、今の晴をほかの娘に会わせられないし。このヘンテコ薬の存在が知れ渡ったらもっと面倒臭いドタバタになりそうだ
晴,あー…なんかすっげぇ想像つくわ。ま、いいや。それじゃ早く帰ろうぜ
Ｐ,あいよ。それじゃ女子寮までひとっ走り…
晴,え？
Ｐ,え？
晴,Ｐの家じゃねぇの？
Ｐ,なんでだよ
晴,いや、今のこんなオレが寮に戻って誰かにバッタリ会ったら大騒ぎになるだろ
Ｐ,いやいやいやいや。だからって何で俺の家だよ。…そうだ、誰かに事情を説明して協力してもらうとか
晴,…
Ｐ,…
晴,頼りになりそうな相手が思いつかねぇ
Ｐ,くっ…みんな良い娘なのに！良い娘なのに！。ただいまー
晴,おかえり。んで、お邪魔しますっと
Ｐ,いらっしゃい。何？この茶番
晴,おー、何度も来たことあるけど目線が違うからすんげぇ新鮮
Ｐ,男の部屋に何度もアイドルが来るってのも問題なんだけどね。そう言や着替えとかどうするんだよ。いつまでも俺の紳士臭いスウェットっていうのもアレだろ
晴,あ、そっか。でも今のオレのこの体じゃあ寮の部屋から着替え持ってきても入らねぇだろうし…
Ｐ,一応ウチに今の晴でも入りそうな寝間着はあるけどさ。流石に下着とか替えが無いと色々とアレがアレだもんな
晴,……あ
Ｐ,…念のため聞くけどさ、お前さん今そのスウェットの下って…
