藤居朋,～♪
朋,いやぁ～、まさか雑誌で自分の特集を読む日が来るなんてね……！。"話題の占いアイドル！"ですって！照れちゃうわ……、ふふっ
緒方智絵里,おはようございますっ
朋,あ、智絵里ちゃん、おはよ……って、そのダンボール、どうしたの？けっこう大きいけど……
智絵里,朋さんの特集が載ってる雑誌ですっ！とりあえず100部だけ買っちゃいました
朋,100！？
智絵里,こっちが観賞用で、こっちが保存用で……
朋,保存してどうするのよ……
智絵里,こっちの方が暗殺用、奇襲用、殴打用……
朋,雑誌で！？出てくるワードが全部不穏よ！？
智絵里,あ、これは爆破用ですね
朋,本なのに！？
智絵里,開いたらセンサーが反応してドカンです！
朋,原理がぜんぜんわかんない……
智絵里,こっちの50冊が転売用です！
朋,売るの！？！？！？。お金儲けに使わないで！！！
智絵里,ちゃんと原価で売るので……
朋,なおさら目的がわからないわよ……
白菊ほたる,おはようございます……
智絵里,ほたるちゃん！おはようっ
朋,おはよー、あ、その雑誌……！
ほたる,はい、朋さんが載ってる雑誌ですが……。あれ？そちらの箱は……？
智絵里,100
ほたる,100……！
朋,なんで通じてるの
智絵里,買ってこなくてもほたるちゃんなら原価の50割で売ってあげたのに……
朋,悪質
ほたる,この前買った壺より安いですね……
朋,なんかもっと気になる話出てきちゃった！？
ほたる,朋さんの特集、素敵でしたね
朋,あ、ありがとー！知ってる人に見られると思うと、それはそれでちょっと恥ずかしいけどね……ふふふっ
ほたる,かわいいですねかわいいですね
智絵里,かわいいですねかわいいですね
朋,一致してるなら本音と建前の意味なくない？
智絵里,特に、"好きな人はいますか？"という意地悪な質問をした記者さんに対して秒でシャイニングウィザードを決めたシーンは涙なしでは読めませんでした……
朋,決めてないから！絶対読んでないでしょ智絵里ちゃん！
ほたる,なるほど……私でシャイニングウィザードの練習をしていたのはそのために……
朋,してないでしょ！？誤解を招く発言やめて！
ほたる,冗談です……
朋,ほたるちゃんも言うようになったわね……
智絵里,あまり朋さんを困らせちゃダメだよっ
朋,何か言った？
智絵里,いえ、何も。あ、ほたるちゃんの方の特集も面白かったよっ
ほたる,ありがとうございます……
朋,……え？
智絵里,あれ？読んでないんですか？同じ雑誌の後半部分に、ほたるちゃんの特集も組まれてるんですよ？
朋,え！？ご、ごめん！まだ全然見てなくって……！
ほたる,いえ、違う記者さんの違うコーナーですし、知らなくても無理はないと思います
智絵里,わたしも買うまで知りませんでしたからっ
ほたる,あれ？でもこの前、お部屋のカレンダーの今日のところに〇〇誌に2人の特集！って赤字で書いてあったような……
朋,え？
智絵里,う、うぬぼれないでっ！！！
朋,ここで殴打用！？！？ほたるちゃん！！！
ほたる,実は私もまだ読んでないんです。一緒に読みませんか？
朋,ユニットメンバーに雑誌で殴打されて無反応って
智絵里,次こそは……！
朋,素振りしないの！
ほたる,蚊に刺されたのかと思いました……
朋,煽っちゃダメ！
ほたる,もうちょっと後ろのページで……
朋,えっと……あ！ホントだ！"アンラッキーガールの謎に迫る！"……？
ほたる,そうなんです、いくつか私に関する疑問点を挙げていく感じの特集なんですよ
智絵里,アイドルなのに、ビックリ人間みたいな扱いだねっ
朋,智絵里ちゃん
ほたる,でも、内容について私も詳しくは知らないんです。1つ目は……
朋,あー、まあ、定番と言うか……
智絵里,前世で国でも滅ぼしたの……？
朋,壮絶すぎるでしょ前世。雑誌側も！？
ほたる,国は滅ぼしてないはずなんですが……
朋,何かを滅ぼした事実に関しては心当たりが！？。こっちは揺り戻し説ね
智絵里,でも、ほたるちゃんに良いことが起きてるのは見ないですよね……？
朋,うーん、あまり言いたくはないけど、そうかもね……
ほたる,そうですか？
朋,あれ？何かあるの？
ほたる,私、思うんです。今までずっとずーっと、運が悪かったのは、朋さんと智絵里さんに会うためだったんじゃないかって
智絵里,っ！！！
ほたる,どんなことがあっても、2人に降りかかるかもしれなかった不運を受けたと思えば全然辛くはなくって……
朋,ほ、ほたるちゃん……！！！
ほたる,わっ！と、朋さん……？
智絵里,ほたるちゃんのくせに……生意気だよ……
ほたる,な、なんでチョップを……？
朋,ふう……
ほたる,お、落ち着きましたか……？
智絵里,これに懲りたら、ふいうちはやめてね？
ほたる,？？？
朋,まあ、運が良くなくても、本人が大丈夫なら余計なお世話よね
ほたる,あ、でも、開運グッズを買ったりすることはありますよ？
智絵里,焼け石に水なんじゃないのかなっ
朋,そういうこと言わないの。例えば？
ほたる,このブレスレットとか、最近買ったんです
朋,あ！それ、ラピスラズリでしょ？私も持ってるよ、いい石だよね
ほたる,はい、そうなんで。あっ！
朋,わっ！ひ、拾わなきゃ！
智絵里,1石いくらで売れますかっ！？
朋,智絵里ちゃん！！！
ほたる,この前買った壺より安いとは思いますが……
朋,さっきからその壺のくだりめっちゃ気になるんだけど！！！。はい！これで全部拾えた？
ほたる,すみません、拾わせてしまって……
朋,へーきへーき！じゃ、雑誌の続きを読もっか？
ほたる,はい
智絵里,えっ！と、朋さんがラピスラズリの石の説明をしてほたるちゃんを元気づける展開は……！？
朋,何言ってるの？
智絵里,せっかく主役の劇場だったのに月末ガチャの更新が珍しく18時だったせいであっという間に更新されちゃったほたるちゃん美味しいポジションだねって話は……！？
朋,何の話！？。ごめん、これはあたしも気になるわ
ほたる,まず初手でバフをかけます
朋,RTAか何か？
智絵里,ザラキ
朋,即死を狙わない
ほたる,まあ、小さい頃から反復的に鍛えられているので
朋,それで納得できる強度じゃないんだけど……。失礼すぎるでしょ！！！
智絵里,ちなみに、今までで一番、"死に近づいた"って思ったのはどんな時？
朋,アイドル同士の会話の振り方じゃない……
ほたる,間違えて灯油を被ったまま山火事の中へ突撃してしまった時でしょうか……
朋,軽々と予想の上を越えて行くよね
智絵里,それで？それで？
朋,そんな食いつく話かな！？
ほたる,流石にちょっと熱かったですね
朋,ちょっと……！？
智絵里,もう溶鉱炉に沈めるしか……
朋,なんで仕留める方向で話を進めるの！！！
ほたる,……
朋,むっ！これはちょっと酷いんじゃないかな！
智絵里,そうですよっ！こんな恰好の身代わりはいないのにっ！
朋,目的
ほたる,ありがとうございます……
朋,なんで感謝してるの！？
智絵里,ダメ男に依存しそうだねっ
朋,智絵里ちゃん！！！。あれ、そういう流れもあるのね
ほたる,関係者……？誰でしょう？
朋,緒方ァ！！！
智絵里,Ｏ方ですっ
朋,それ自白してるようなものだからね！？。……
ほたる,智絵里さん……
智絵里,か、カットしてって言ったのに……じゃなくて！わ、わたしじゃなくてＯ方さんの話ですからっ！
朋,3人でいる時は、少しは隙っていうか、ちょっとずつわかってきた気がするわね……
ほたる,智絵里さんは優しい人ですから……
智絵里,えっと、殴打用の2冊目は……
朋,購入時点で複数回殴打する可能性を考えてるのヤバいでしょ。ファン層が謎のアイドルって。天井高っか！！！下も異常だけども！！！。なんで南端だけ施設名を名指しなの！？
ほたる,長崎より南にはいないのでしょうか……？
朋,当たり前でしょ！！！！！。物好きって書きかけてるじゃない！！！
ほたる,……！
朋,ふふふ、べた褒めじゃない
ほたる,は、恥ずかしいですね……
朋,急に危ないの混ざったわね
智絵里,当ててほしいのかな？
ほたる,流石にファンに当てたらおしまいです
朋,……ファン？？？。奴。輩。さっきから呼び方が失礼すぎて感動が薄れてるのよ！！！。急に書き方おかしくない！？
ほたる,なんでと言われましても……
智絵里,前世で植木鉢でも滅ぼしたの……？
朋,植木鉢を滅ぼすって何！？
ほたる,植木鉢は滅ぼしてないはずなんですが……
朋,そもそも滅びるモノじゃないでしょ植木鉢は！。植木鉢植木鉢うるさいな！！！！！。あ、次がラストなのね。……
ほたる,……
智絵里,・・－・・－・・－・
朋,なんで1人だけモールス信号打ってるの
ほたる,SOSなら誰よりも速く打つ自信がありますよ
朋,どう反応すればいいのよ……。あ、この対談方式になってる部分、実際に取材受けたのね？
ほたる,はい
朋,コミュニケーションが下手か。智絵里ちゃん！！！
智絵里,な、なんでバレちゃったんでしょう……！？
朋,なんでバレないと思ったの！！！そもそも雑誌なんだからカットすればいいのに！！！。しんみりさせる気がないの！？
智絵里,なんで植木鉢なんだよっ
朋,ツッコミにさっきのタイトルを引用しないの！。植木鉢植木鉢うるさいな！！！！！。ほたるちゃん……
智絵里,……
朋,何も言わないの？
智絵里,……気分じゃないだけですっ
朋,ふふふ……。まったくもう……、変なこと聞いて……。さっきからなんで罰の定番がシャイニングウィザードなの！？。ま、まあ目が離せない内容ではあったけど……
智絵里,これでお金をもらえるなんて、ボロい商売ですねっ
朋,週刊誌に恨みでもあるの？。肝心なところで語彙力がない！！！。す、すごい記事だったわね……
智絵里,どちらかというと図鑑の生態解説のような
朋,昆虫みたいな扱いやめて
智絵里,ホタルは昆虫ですよ
朋,だから何！？
ほたる,でも、少しでも私のことを知ってもらえたなら嬉しいですね
朋,そうね、印象を貶めるようなゴシップよりは……
ほたる,朋さんと同じ雑誌に載れたことも良い記念になります
智絵里,ﾁｯ
朋,智絵里ちゃん
ほたる,この雑誌、大事にします……
朋,それがいいと思うな
ほたる,あ、こっちの記事もおもしろそ……は、はくしょん！！！
朋,あああ！！！ざ、雑誌が！！！
ほたる,ああ……
朋,ほ、ほたるちゃん……
ほたる,ま、まあ、帰りにまた買うので……
智絵里,わたしが買い占めたから、ここら辺にはもう売ってないよ？
朋,智絵里ちゃん！！！
智絵里,なんて、冗談ですっ。ほたるちゃん、そこの箱から持っていって？
ほたる,あ、ありがとうございます……！
朋,よかった……
智絵里,2980円になります
朋,智絵里ちゃん！！！
ほたる,アド街を見ました
朋,それ久しぶりに聞いた！！！
智絵里,タダにせざるを得ません……
朋,アド街そんな強いの！？！？！？
ほたる,じゃあ、1冊いただきますね
智絵里,どうぞっ
朋,ホントに100冊入ってるのね……
ほたる,まあ選ぶも何もないですよね……、これを頂きます
朋,まあ、よかったわ
智絵里,あ！そ、その1冊は爆破用ですっ！！！
朋,ええ！？ここにきて最初の伏線が！？。ほたるちゃん！！！！！！！
