モバP(以下P),おーい。すまん！待たせたか？
P,………………
周子,………………
P,…………実際は？
周子,２時間待った♪
P,別に深い意味はないよ。ちょっと面白い店を見つけたからさ、外食と言えば周子かなーって
周子,ふーん
橘ありす,実際の待ち時間は？
ありす,…………………
まゆ,……なにか？。ええ
ありす,……あれじゃないですよね？
まゆ,……あれではないですよぉ
周子,ていうかさー。ぶっちゃけ、罪滅ぼしだったり？
P,………なんのことだ？
周子,この前、あたしをハブってみんなでご飯を食べたこととか？
P,うっ………すまんかった。…………………。周子……
周子,なに？Pさん？
P,……そういうノリで行くのか？
周子,うーん。正直、突っ込むタイミングを失したというか
P,ですよねー……
周子,Pさんの背中のオシャレなリュックには、しばらく触れない方向で行こうかなーと
P,本当にすまない。事務所で何十分も格闘したんだがどうしても外れなくて
周子,おお。声が出た。もういっちょ！。…………………。…………………
P,しゅ、周子さん……？
周子,ま、いっか！その分、目の前でPさんとイチャイチャすれば！！
P,おい
周子,お？本気のトーン。こういうの好き？
P,嫌いじゃない。ちょ……いくら変装してるとはいえ、それはマズイ
周子,さ、行くよ。どこ行くか知らないケド！さぁさぁ
P,おう。腕を……そして腕に……まぁ、いっか
まゆ,……！！
ありす,アイドル……っていうか女の子がしちゃいけない顔になってますよ
まゆ,う、うふふ……
ありす,いい、笑顔です。……ハイライト消えてますが
まゆ,ただのお詫びっていうのは知ってましたが、念の為、尾行を計画して正解でしたねぇ
ありす,まぁこんな機会、うちの子達なら誰でも全力で利用するでしょうしね
まゆ,う、うふふ
ありす,というか、あれ
まゆ,はい？
ありす,Pさんの背中のあれ、何なんですか？
まゆ,ああ……
ありす,頭おかし……いえ、完璧な理論ですね
まゆ,えっ？
ありす,完全に論破されました
まゆ,あ、あの……。ありすちゃん？
ところで、今度,あり椅子
まゆ,やめておいた方がいいんじゃないかしらぁ
ありす,そうですよね……。私じゃ高さが足りませんしね。…………………。……ええ、冗談です。Pさんに突っ込んで貰うために少しボケの練習をしてみました
まゆ,目が本気だったんですけどねぇ……
ありす,ちなみに今の突っ込んでもらうには２つの
まゆ,あ、解説はいいです。すみません。ごめんなさい。勘弁して下さい
ありす,なんでですか！そしてなぜ露骨な敬語？
まゆ,どんびきです
ありす,あなただけには言われたくありません！。自覚あるんなら少しはあらためて下さい！
まゆ,Pさんが絡んだら、いいちこだなー、で通ってる楓さんよりはマシです
ありす,そのセンス、あの人の自称じゃないですか！？
まゆ,素敵ですよね
ありす,喋らなければ、ですけどね！
まゆ,そうこうしているうちに、見事2人を見失いました
ありす,あ、本当だ。いや、まぁ当然でしょうけど
まゆ,どこに行くつもりかはリサーチ済みですから問題ないんですけどね
ありす,さすがですね。そういう所は見習いたいです。今後の４年間の為にも
まゆ,その４年間は必要ありませんよぉ。途中で決着がつきますから。………………
ありす,………………
まゆ,………………
ありす,………………
まゆ,まぁ……ここで争っていても仕方ありませんね
ありす,ええ……。今は仮とはいえ、味方同士、仲良くやりましょう
まゆ,一時休戦、ですねぇ
ありす,ああ、味方といえば、今回もう一人、協力者がいるんですよね。どなたですか？。専門家……ああ、あの人ですか。どことなく不安ですが、まぁ、大丈夫なのかな？
まゆ,さぁ、私たちも行きましょう。Pさんが女狐の毒牙にかかる前に
ありす,文字通りのコブ付きですから、多分何も起こりようがないと思いますけどね
周子,で、ここから結構歩くの？
P,いや、すぐそこだよ。歩いて５分くらいかな？
周子,どんなお店？ガス◯？サイ◯？吉野◯？
P,なんでそのチョイス？
周子,それぞれ未央ちゃん、蘭子ちゃん、藍子ちゃんがPさんに連れて行ってもらったって言ってたから
P,マジでか。そんな話するんだ。う。そ、そっか。難しいな。おう。追い討ちやめーや
周子,で？結局どれ？どんなとこ？。サ◯ゼか。おお？なんかすごそう。え、あたしほぼ私服だけど大丈夫？
P,大丈夫大丈夫。俺のボロスーツでも全く問題ない。あっはっは。いっぱい注文していいぞ！今日は俺の奢りだ！
周子,……やっぱ、なんか怪しいな
ありす,このお店ですか。ちょっと中を覗いてみましょう…….
まゆ,どうですかぁ？
ありす,二人とも席に案内されました。向かい合わせに座って……あ、りゅっくぼが潰れた
まゆ,自業自得ですねぇ
ありす,けど、凄く嬉しそうに悦に入ってます
まゆ,マジパネェ
ありす,なんですか！？そのキャラ！！
まゆ,最近の乃々ちゃんの病み度は1.5MAYUくらいありますからねぇ。侮れません
ありす,変な単位作らないでもらえますか？
まゆ,ちなみに智絵里ちゃんは2.5MAYUくらいでしょうか
ありす,高っ！！というか、自分を過少申告してません？
まゆ,ゆかりちゃんと響子ちゃんは0.5MAYUくらいですね
ありす,良かった。やっぱり何ちゃら四天王は風評被害だったんですね
まゆ,通常時は
ありす,通常時！？
まゆ,あ、ほら、店員さんが注文を聞きに来たみたいですよ
ありす,いや、ちょっと。微妙に気になる伏線残さないでもらえますか？
まゆ,ここじゃ声が聞こえませんし、頃合いをみて中に入りたいですね
周子,ふんふん。これがメニューかー。シューコ、ツッコムの苦手だから軽めにいくね
P,おう？。おおー。流れるように品を選びつつ、ノリツッコミ！！
周子,へ？
P,メニューの他の料理見てみろ。ラーメンアラビアータとかラーメンミネストローネとか、結構それっぽいのあるだろ？
周子,あれ？ホントだ。へー……。つ、次って…………ズルイわぁ
P,ん？何がだ？
周子,！？そ、そこはえ？何だって？でイイのっ！！
P,痛い痛い。叩くな叩くな。お。店員さん来たぞ。注文はさっきのでいいよな？
周子,いいよっ！！
店員,お待たせしましたぁ～
ありす,イヴさんじゃないですか！！
まゆ,？さっきそう言いましたよぉ？
ありす,言ってません！あのフリなら普通、忍者なあやめさんじゃありません？
まゆ,たぶん半分くらいの人は察してたんじゃないかと
ありす,無理ですよ！あと、メタ禁止！。なんで電気街……。けど隠密行動の専門家って……
まゆ,サンタさんですからねぇ。忍び込んだり気配を消したりするのは得意だって
ありす,派手なアイドル多しといえども、あれほど外見で人目をひく人物は、そういませんよ
まゆ,でも絶の使い手ですよぉ？
