※枕バグはやばかった,過去形
P,果穂、来週はオーディションに出てもらう
果穂,オーディションですか。私としては、ライブも近いのでレッスンを入れて欲しいのですが……
P,懇意にしてるディレクターさんからのご指名でな。可能なかぎり行ってもらいたい。これ、オーディションの資料だ。目を通してくれ
果穂,分かりました。あ……このアイドルグループ……
P,今年度のW.I.N.G優勝グループだ。近頃勢いを付けてきてる
果穂,アイドルAさんとアイドルBさんのデュオ、でしたよね。所属は業界大手の〇〇〇プロダクション
P,ああ。良く知ってるな……って、それはそうだよな
果穂,……。プロデューサーさん、今から少しレッスンスタジオ借りますね。オーディションにむけて、動きを確認したいので
P,……ああ、分かった。場所は押さえてあるから、気がすむまで使ってくれ
果穂,ありがとうございます。プロデューサーさん、共演者の方に挨拶に行ってきます
P,分かった。開始30分前には戻ってきてくれよ。えっとあのグループの控え室は……
果穂,大丈夫です。自分の足で探しますので。この局なら顔パスですから
アイドルA,うーん、だるぅー
アイドルB,こらこら、そんなこと言ったらダメじゃん。私達って一応アイドルなんだからさ。まぁ、だるいってのは同意だけどね
アイドルA,ここ局の中だし、聞かれちゃまずい人なんていねーじゃん。あー、オーディションってホント面倒。どうせ受かるんだし、さっさと収録に入ればいいのに
アイドルB,まぁまぁ、いつも通りゆるーくやろうよ。疲れない範囲でさ。それよりさ、それよりさ！この前の番組で共演したイケメン俳優なんだけどさ！
アイドルA,まーたその話？何回目だよそれー
果穂,楽しそうなお話をされてますね
アイドルA,んー、どちら様？誰だか知らないけど、人の話に入ってこないで貰えますか？。って、どっかで見たことあるような……
アイドルB,ちょ、Aちゃん！この人あれだよ、あれ！トップアイドルの小宮果穂！
アイドルA,小宮果穂って……小宮果穂！？あの！？
果穂,はい。多分その小宮果穂で間違いありません
アイドルB,えっと……その、小宮果穂……いえ、果穂さんがどうして、ここに……？
果穂,同じオーディションを受けるので挨拶を、と思いまして
アイドルA,え、同じオーディションを？果穂さんとですか？あの、ちょ、ちょっとだけ、待ってください
果穂,……
アイドルA,ちょっとB、あんたはこの事知ってたの……！？
アイドルB,し、知らなかったよ！でも社長は何しても合格するって言ってたし……。いつも通り、その……いわゆる根回しは、ちゃんとされてるはず……。合格枠だって2ユニット分あるわけだし……
アイドルA,そう、だよね。大丈夫、だよね。なら普段通りで……。か、果穂さん。あの……！。あれ、果穂さん？居なくなってる……
審査員,え、えっと……オーディション終了です。いやはや圧巻のパフォーマンスでした。しかし困りました。エントリーナンバー5番、小宮果穂さんの印象が強すぎて、その……。二位を決めるのが、とても困難と言わざるを得ないです。さすがに全員合格というわけにも……
果穂,問題無いですよ
審査員,……？果穂さん？
果穂,本番の収録では、私が2ユニット分の働きをしますから。合格者は私一人でいいです
審査員,果穂さんの人気を考えればそれは数字取れそうですが……。いや、しかしですね。規定人数の合格者を出さないというのは……
果穂,大丈夫ですって。他の皆さんだって、実力差は分かったはずですから。Aさん、Bさん
アイドルA,ひ、ひっ……！
果穂,一緒に出演したら、きっと私と比べられます。それはきっと、貴方達の益にはなりません。だから……。辞退、してくれますよね？
DJ,それでは最後のお便りです！お便りは東京都お住いのNさんから！。果穂ちゃん、DJさんこんばんは～。いつも番組楽しませてもらってます～はい、こんばんは
果穂,こんばんは、です！
DJ,番組の最後にいつも流れてる曲、とっても気に入っちゃいました。CDも何とか探して手に入れました！
果穂,わぁ！Nさん、ありがとうございますっ！
DJ,でも、これって発売からもう七年くらい経ってますよね。そこで質問なんですが、今の果穂ちゃんがこの曲を歌う予定はないんですか？是非聞きたいです～！。熱いご意見、ありがとうございます。番組の最後で流れてる曲と言えば夢咲きAfterschoolのことですが……。どうなんですか、果穂ちゃん？
