でみほ,熊本じゃあんまり納豆食べないから……
沙織,いっただっきまーす
麻子,今日も納豆追加したのか、沙織
沙織,うん！美容に良いんだもん、納豆って
優花里,そういえばいつも食べていますよね、武部殿
みほ,納豆好きなんだね
沙織,うん！あ、もしかしてみぽりん苦手？
みほ,え？どうして？
沙織,西日本に住んでる人って納豆嫌いってイメージあるから
みほ,ううん！わたし納豆大好きだよ！
沙織,そうなんだ
みほ,熊本はね、丸美屋とマルキンって二つの納豆会社があって加藤清正公の時代から納豆が食べられてきたんだって！
華,お詳しいですね
左衛門佐,補足しよう
沙織,ひゃっ！？
左衛門佐,熊本で納豆が食べられるようになったきっかけは諸説あるが、納豆学会によれば、１５９２年文禄の役の際、満州に派遣され、飢えに襲われていた加藤清正軍において、俵に入れて保存していた煮豆がやがて発酵して納豆になり、それに気づいた清正や部下が香ばしい、香ばしい・・・・。他にも、熊本は昔九州の中心で、関東の人間が派遣されてくることが多かったことから納豆文化が普及した、という説もあるぞ。加えて室町時代に
エルヴィン,何してんだ左衛門佐！！突然走りだして！
おりょう,あんこうチームも困っているぜよ
カエサル,急に申し訳ない、隊長。ほらいくぞ、もんざ
左衛門佐,ええ！？今からいいところだったというのに……。詳しくは納豆学会のホームページをチェックだ
沙織,あ、うん。大丈夫だよ……
麻子,なんだったんだ今のは
みほ,フフ、でもさくら納豆とか美味しかったなぁ
優花里,熊本の納豆ですか？
みほ,うーん、ちょっと違うかな。馬刺しと納豆を和えた熊本の郷土料理なの。親戚で集まった時とかに出てくるの。お姉ちゃんと二人で食べ過ぎちゃって怒られたりしたこともあったなぁ
華,ずいぶんと納豆に思い入れがあるんですね、みほさん
みほ,……うん。実はね、大洗に引っ越してきたとき、言葉のイントネーションとか、料理の味付けとか、みんなが話す茨城の話題とか全然わからなくて心細かったんだ
沙織,みぽりん……
みほ,でもね、納豆っていう共通点が熊本と茨城にはあったから。それでみんなとつながれた気がして
優花里,西住殿！そんなもの無くたって我々はつながってます！
沙織,そうだよみぽりん！納豆に頼らなくても私達親友じゃん！
麻子,逆に今まで納豆の話したこと無いだろう
華,納豆友達、略してなっとも、ですね
杏,お、いいねーなっとも
あんこうチーム,会長！？
桃,私たちもいる
みほ,生徒会の皆さんまで……
柚子,実はあんこうチームに緊急の用事があるの
みほ,緊急、ですか？
沙織,もしかしてまた廃校とかっ！？
桃,いや、そんなことではない。そんなことではないんだが……
杏,実はさ、茨城の面子にかかわる重大な事態が起きてねぇ……
華,茨城県の面子、ですか？
優花里,何やら大変なことのような気がします
桃,実は昨年の茨城県の納豆消費量が……。９位だった平成２７年
沙織,は？
優花里,９……、９位ですか！？納豆消費量が！？茨城県の？
麻子,意外だな
柚子,生産量は文句なしに１位なんだけど、消費量は２０１３年に一度１位になったきり。１４年に２位に転落して、そこからは……
華,確かに、毎日食べているわけではありませんしねぇ
みほ,消費量と生産量って比例しないんだね
桃,ええい！なぜそんなにのん気なのだ！茨城の危機だぞ！
柚子,納豆といえば茨城、茨城といえば納豆。そのイメージが崩れる瀬戸際なの
