本当は、今すぐ駆け寄ってきて,行くな
抱きしめて,そばにいてくれ
紅莉栖,……っ！いったいなにが……。急にくらっとしたと思ったら視界が歪んで……そのまま。今はなんともない……なにが起きたのか分からない。とりあえず、もう一度ラボに……あれ？。ここは……ラボじゃない。今私がいるのは……。ベッドがある、それにこの部屋の雰囲気は……ホテルみたいね。……でも、私が泊まっていたホテルとは違う。いつの間に移動した？意識を失っていたってこと？。そんなはずは……ともかく、現状を把握しないと。手帳を見る限りは、私は日本に講演、講義、それに視察で来た……らしい。それ自体はあまり変わりはない。でも、明らかに変わっている。……記憶障害？私が？そんなことがある訳……ん？。電話……誰からだろう。とりあえず、今の状況では出た方がいいか……。もしもし、どちら様ですか？。……ああ、七月の終わりに講義した時の。岡部を徹底的に論破してやった時のアレね……もうずいぶん前に感じるけど。そ、そうですか……わざわざありがとうございます。ええ、そうさせてもらいます。それでは、またいつか。帰国することは岡部しか知らないはず……それなのに。……違和感、なにかがおかしい気がする。とりあえず今は。ラボにもう一度戻って……岡部に会おう。……もともとはそのつもりでラボに向かったんだから、今更迷う必要はないわよね。暑い……ホテルから距離があったから途中でタクシーで来ちゃったけど。……そんなこと言ったら、また岡部にセレセブとか馬鹿にされそうね。セレブじゃないって言ってんのに、つーかセブンティーンでもないっつーの。……もし、もう少しだけ早く知り合えてたら、岡部に誕生日祝ってもらえたのかな。って、そんなこと考えてる場合じゃない！私は岡部に会いに来た……よし！。この階段を上れば、もう一度岡部に……。へっ！？こ、この声は……店長さん？
天王寺,確かに俺はブラウン管工房の店長だが……それよりもあんた、どこへ行こうとしてんだよ
紅莉栖,ど、どこって……ラボですけど
天王寺,ラボぉ？んなもんウチの上にはねえよ。なにと勘違いしてんだ？
紅莉栖,えっ……？なにを言ってるんですか。ラボですよ、正式には未来ガジェット研究所
天王寺,それはコッチの台詞だ、その未来ナントカはこのビルにはねえんだ
紅莉栖,冗談、ですよね？だって、上には岡部や橋田やまゆりが……
天王寺,岡部？んー……悪いが、知り合いに岡部なんてヤツはいねえな
紅莉栖,そんな……か、確認させてください！上の部屋を見せてください！
天王寺,別にいいけどよ……本当になんもねえぞ？
紅莉栖,……お願いします。そんなはずは……ないんです
天王寺,わかったわかった……今鍵を持ってきてやる、ちょっと待ってろ。じゃ、開けるぞ。……よっと
紅莉栖,中に入れば、岡部や橋田やまゆりが……えっ？。なにも……ない
天王寺,言ったじゃねえか、なんにもねえってよ
紅莉栖,嘘……嘘よ！こんなことがあるはずない！
天王寺,落ち着けって。ここは前から空き部屋だ、しばらくは誰も入ってねえんだ
紅莉栖,机も、ソファーも、橋田の使ってたＰＣも。電話レンジも……タイムリープマシンも……なにも、ない。ラボが……消えた。そんな……なにかの間違いだ……有り得ない
天王寺,お、おい、大丈夫か？
