？？？,だ～れだ♪
モバＰ,・・・そういうのって首に腕回して抱き着くんじゃなくて目を隠すんじゃないのか？奏さん？
奏,あら？そうだったかしら？
モバＰ,で？突然後ろから不意打ちして来た理由は？
奏,そうね・・・デートのお誘いかしら
モバＰ,いや、駄目に決まってるだろ
奏,ふふっ、冗談よ
モバＰ,遊ばれてんなぁ・・・
奏,次の仕事のイメージを決めたいから一緒に付き合ってくれるかしら？
モバＰ,あぁ、あの水族館のか・・・。ん？俺が行かなくてもいいじゃん。誰か友達でも誘って・・・
奏,でも女の子だけじゃ絵にならないでしょ？それに。いざという時のボディーガード。必要でしょ？
モバＰ,絵になったらいけないんだけどなぁ・・・まぁ変装してくるなら
奏,ふふっ、それじゃあ今度の休日・・・ね
モバＰ,はいはい
美嘉,・・・マジ？
奏,・・・
志希,こちらスリッピー異常無ーし
フレデリカ,こちらファルコ、目標クリスタルに異常ナーシ！どうぞ♪
美嘉,こちらペッピー・・・何これ？
周子,こちらフォックス、お腹すいたーん
美嘉,というかさ。こんなに近くにいるのに無線いらなくない？というかそもそも無線自体いらないと思うんだけど
志希,いやいや～こういうのは雰囲気だよ～
フレデリカ,折角だから亜季ちゃんから借りて来たしね～
美嘉,壊さないでよ？多分すっごく怒られるから
周子,というかこれなんなん？
志希,美嘉ちゃんが奏ちゃんがデートするー！って騒ぐからねー
フレデリカ,面白そう・・・ｹﾌﾝｹﾌﾝ・・・心配だし着いていこうってことに
周子,バレたらめっちゃ怒られると思うけどね
美嘉,アタシは止めたからね・・・
志希,着いてきてる時点で同罪だよ♪
フレデリカ,にしても気合入った勝負服ですね～。どう見ますか！実況のカリスマギャル的に？
美嘉,あれは相当勝負かけてるね。胸元も見せて肩出しルック、露骨にインナーも露出してるのがヤバイね。アタシも着るのに勇気がいるレベルだわ
周子,ところで・・・もうかれこれ４０分は待ってるけどいつ待ち合わせなんだろ？
美嘉,気合い入ってるなぁ
奏,・・・
モバＰ,おはよう奏・・・早いな
奏,おはよう。そうでもないわ。プロデューサーさんが遅いのよ
モバＰ,待ち合わせ時間１０分前なのに！？
奏,女の子待たせてる時点で失格よ。ふふっ、お詫びにクレープでもご馳走してもらおうかしら
モバＰ,まぁそれくらいなら構わんよ。随分待たせたみたいだしな
奏,・・・待ってないわ
モバＰ,そうか？見た時随分暇そうにしてたから結構待ってたんだろ？
奏,・・・そういうところよく見てるのね
モバＰ,仕事柄だよ
奏,ふふっ、じゃ行きましょうか
モバＰ,お、おい
奏,ほーら、暴れないの。今日は一日エスコートよろしくね
モバＰ,やわらかいのがやわらかいのがやわらかいのがー！！
フレデリカ,あ！目標クリスタルに動きあり！行くよ！
志希,待ちかねた★★★
美嘉,いいなー
周子,美嘉ちゃーん行くよー？
モバＰ,で？どれにする？
奏,あら？本当にご馳走してくれるの？
モバＰ,これくらいはな
