グラサン,提出は来週の火曜日だ。絶対に忘れるんじゃないぞ
ガヴリール,なんで今時ぎょう虫検査なんてやらないといけないんだよ
ヴィーネ,なんでも伝統を大事にする校風なんだって
ガヴリール,そんな伝統捨てちまえよ！
サターニャ,ねえ、この青いシートなんなの？
ヴィーネ,説明聞いてなかったの？
サターニャ,失敬な！。私にわかるように説明しなかったグラサンが悪い！
ガヴリール,馬鹿にもほどがあるぞ
ヴィーネ,もう、じゃあ説明するからちゃんと聞いててね？
ガヴリール,いや、私が説明するよ。まず紙袋にクラスと名前を書く
サターニャ,ふむふむ
ガヴリール,シートは二日分に分かれている。朝起きたらまず一日目の方のシートのセロハンをめくって。自分の尻にシートを押し付ける
サターニャ,お尻！？。なんでそんなことしなきゃいけないのよ！。また騙してるんじゃないでしょうね
ガヴリール,いやいやマジマジ
サターニャ,ヴィネット？
ヴィーネ,うん
サターニャ,ヴィネットが言うのなら間違いないわね……
ガヴリール,信頼がないなあ。んで、二日目も二日目の方のシートで同じようにやる。最後にセロハンを取ってシートを折りたたむ。それでおしまいだ
サターニャ,ヴィネット？
ヴィーネ,うん
ガヴリール,それで注意しなきゃいけないこととしては。絶対トイレする前にやること！。自分でやること！。便を採取するわけではないこと！。ってとこかな
サターニャ,なるほど、感謝するわ！
ヴィーネ,ガヴが正直に説明してあげるなんて珍しい
ガヴリール,ああ、普段散々騙してるからな。たまにはこういうのもいいだろ。なんてね。あいつのことだからきっと……
サターニャ,……でもおかしいわよね。ガヴリールが本当の事を言うとは考えにくい……。前の尿検査の時だって！。ねえこれってどうやるの？
ガヴリール,ああ、それは。このスポイトを使ってお茶を入れるんだ。なるほど！感謝するわ
サターニャ,あの時は警察沙汰で大変だったんだから！。でもヴィネットも頷いてたし……。はっ！頷くところまでは正解ということね！。つまり、自分でやるという所とトイレの前にするという所と便を採取するんじゃないっていう所が嘘……。ふふふ、敗れたわねガヴリール！。この大悪魔サタニキア様に嘘は通じないのよ！。じゃあトイレをした後にうんちを誰かにとってもらえばいいのね。ってそんなこと出来るわけないでしょ！。そんなことやってくれそうな相手って……。一人しかいないわよね……
ラフィエル,サターニャさんにお招き頂けるなんて光栄ですー
サターニャ,ま、まあ師匠としてたまには弟子に優しくしないとね
ラフィエル,まだその設定生きてたんですね
サターニャ,それで、今日は師匠としてあんたに仕事があるのよ！
ラフィエル,仕事？
サターニャ,ぎょう虫検査を手伝いなさい！
ラフィエル,はい？
サターニャ,偉大なる私のぎょう虫検査を手伝えるんだから。光栄に思いなさい！
ラフィエル,……なるほど。光栄です！
サターニャ,朝するんだっけ、今日は泊まっていきなさい
ラフィエル,はーい。サターニャさん、起きてください！。ぎょう虫検査ですよ！
サターニャ,むにゃ……はっ！。忘れてたわ！。急いでトイレにいかなきゃ
ラフィエル,あ、ぎょう虫検査はトイレの前に……
サターニャ,トイレしてから便を挟むのよね？
ラフィエル,あ、はい！そうです！。早速お願いします！
サターニャ,でもどうやって便を採取すればいいの？
ラフィエル,おトイレを済ませたあと拭かずにそのまま出てきて。シートを押し付けるというのはいかがでしょう
サターニャ,名案ね。じゃあ早速行ってくるわ！
ラフィエル,私そういう趣味はないのですが……。何事も挑戦ですよね
サターニャ,はい！早くお願い！
ラフィエル,ではそこに四つん這いになってください
サターニャ,う、恥ずかしいわねこれ
ラフィエル,サターニャさんのお尻……。仄かに香る便の香り。悪くありませんね。じゃあやりますよー
サターニャ,ひぅっ
ラフィエル,押し付けますね
サターニャ,ん……んっ……。ちょっ、そんなにやる必要あるの……？
ラフィエル,しっかり押し付けねば正しい検査結果が出ませんので
サターニャ,うう……
ラフィエル,もう少し押し付けますね
サターニャ,あっ、あんっ……
ラフィエル,何度も押し付けているとなんだか少しずつほぐれていってる気がしますね。もっと強く押し付けたら入ってしまいそう……。……
サターニャ,っ。……んはぅっ！？
ラフィエル,ひゃあ！
サターニャ,ちょ、ちょっと！今の、なに？
ラフィエル,すいません、ちょっと強く押し付けすぎたみたいです
サターニャ,まったく……。言われた仕事も出来ないなんて不出来な弟子ね！
ラフィエル,……
サターニャ,んひゃぁぅ！？。お尻をいじるなぁ……
ラフィエル,名残惜しいですがこのへんで終わりですね
サターニャ,はふぅ……。じゃあ次はラフィエルね
ラフィエル,……はい？
サターニャ,あなたもぎょう虫検査あるでしょ？。特別にこの私が手伝ってあげるわ
ラフィエル,うっ。その。えっと。はい、お願いします
