夢見りあむ,……は？
P,だから、仕事だよ
りあむ,いや、そこは聞こえてるけど……食レポ？ぼくに？なんで？？？
P,事務所に来たオファーで、先方から特にアイドルの指定は無かったからな。俺がお前に取ってきた。感謝しろよ？
りあむ,だから、なんでぼくなの！？食レポってあれでしょ？お店の人と談笑して、美味しそうに商品を食べて、気の利いた感想を言うんでしょ？むりムリむりムリ！！！いっっっっっこもできないよ！！！
P,じゃあ説明するからな
りあむ,Pサマ基本的にぼくの話を聞かないよね。耳取れてんの？
P,まず、クライアントは下町の商店街だ。都内だが、お世辞にも栄えてるとは言えない地域だな。どうやら、近くに大型の商業施設が建設されたことで売り上げが落ち込み、一発逆転のためにアイドルを使って……ははは、お前みたいだな
りあむ,笑えるか！
P,商店街の会長がウチの幹部社員と顔馴染みらしい。ご本人もアイドルなどには理解があるようで、”この事務所のアイドルはみんな可愛くて愛嬌があるから、誰が来ても大丈夫ですよ！期待してますね！”とのことだ。そこでお前を捻じ込んだ
りあむ,そうやって向こうの優しさに甘えて好き勝手するのやめようよう～～～！！！”経歴不問！”って求人に前科持ち送り込むくらい非人道的じゃんか～～～！！！
P,向こうが言ったんだからいいんだよ
りあむ,Pサマ絶対地獄に落ちるからね
P,それ、友達にもよく言われるよ
りあむ,頻繁に友達と死後の行き先トークをするなし！
P,ってかそうでもしないとお前を指名してくれる仕事なんてないんだよ！こういうのから知名度上げなきゃどうにもならんだろうが！
りあむ,うぅ……それはそうだけど……
P,それに、良くも悪くも悪くも悪くも、お前の見た目は今どきの若者だ。そういう層へのアピールには問題ないだろう
りあむ,”良くも”と”悪くも”は戦力の均衡が取れてなきゃダメだと思う
P,こういうのは見た人が自分をターゲットにしてる！って思わなきゃダメなんだよ。”若い人がもっと来てくれれば……”って先方も言ってたみたいだし、そこは理にかなってるはずだ
りあむ,お仕事ならやるけど……
P,まあ、どんなアイドルでもこういう、地味な仕事から始まるんだ。頼んだぞ
りあむ,……
P,？
りあむ,……別に、仕事の大きさなんてどうでもいいけど……上手くできなかったら悪いって思うだけだよぅ
P,りあむ……
りあむ,……
P,悪いモノでも食ったのか……？
りあむ,茶化すなあ！！！
P,いや、お前の辞書に”プロ意識”という言葉が載ってるとは思わなくて
りあむ,言いたい放題だよ！ってかそんなんじゃないし！ぼくの熱量と商店街の期待が乖離してて怖いって話！
P,じゃあこっちはアイドル初心者だから、テキトーにやるねって伝えるか？
りあむ,……
P,こっちはアイドル初心者のクソザコメンタルで碌にやる気もなくてカバンには承認欲求だけ詰め込まれたクズですって伝えるか？
りあむ,わかった！わかったからやめて！！！
P,ま、もしかしたらお前の隠れた才能が開花するかもしれないじゃないか
りあむ,そんな都合のいい世界ならアイドルなんてなってないし……
P,ちなみに食レポの経験は……ないよな
りあむ,専門学校のカリキュラムに入ってるなら嫌でもやってるんだけどね
P,じゃあ、適当に……
りあむ,？
P,お、そうだ、さっき取引先から差し入れにチョコ貰ったんだ。ほれ
りあむ,わわっ！？
P,食べてみろ
りあむ,？
P,感想は？
りあむ,あまくておいしいよ？
P,○すぞ
りあむ,いつ逆鱗に触れた！？！？！？
P,どう考えても食レポの適性を試すテストだろうが！！！
りあむ,うぇ！？そんなん言ってくれなきゃわかんないよ！！！
P,そうでもなきゃ俺がお前にチョコなんてやるわけないだろ！！！
りあむ,ふぇぇ……！！！”あっ、差し入れくれるなんてPサマ優しい……！”ってキュンとした一瞬を返してよ！！！
P,そういうところだぞお前！！！
りあむ,あ、あれだよ！ぼく、本番に強いタイプだから！
P,本当か？
りあむ,ごめんウソ
P,無駄に素直なのわけわかんないな……まあ、確かに急すぎたかもしれないからそこは謝ろう……
りあむ,うわ！？なにこれ！？
P,これは、俺がお忍びで買ってきた商店街の名物たちだ
りあむ,いやPサマはアイドルじゃないんだし、お忍びとかなくない？
P,これは、お前に適切な食レポができるわけないと危惧した俺が他の仕事とかでめちゃくちゃ忙しい中、なんとか予定の合間を縫って買い集めた商店街の名物たちだ
りあむ,ごめんって！！！！！。これって、やっぱりアレ？ぶっつけ本番はヤバそうって感じ？
P,当然だろ。兵器を実戦投入する前にテストは必要不可欠だ
りあむ,兵器って
P,じゃあまずは、このおせんべいだ。商店街の入り口の方で売っていて、相当な老舗らしい
りあむ,おせんべいかぁ……ちょっとジジくさいよね……
P,それ現場で言ったら翌日からお前の籍はこの事務所にないからな
りあむ,ひぃぃぃぃぃぃぃ
P,いいから早く食って感想を言え
りあむ,そんな脅迫されながらおせんべいを食べるの、生まれて初めてだよう……
P,俺もおせんべい食うのを他人に強いたのは生まれて初めてだ……どうだ？俺も食べたが、なかなか
りあむ,かっっっった！！！か、かたいんだけど！！！
P,……
りあむ,こんなの齧れないよう……！あ、手で割っちゃえ……！えいっ！ようやく割れた……硬すぎか……石か……
P,……
りあむ,んー……いや割っても硬いなこれ……
P,……
りあむ,あー、でも味がわかってきた。おせんべい！って感じ！まあ美味しいんじゃない？ふつうに
P,……
りあむ,これ全部食べるの、あご疲れそうだなー。ま、美味しいけどさ
P,……
