・地の文,奏目線
フレデリカ,カナデちゃーん、ぼんそわ～☆
奏,・・フレちゃん？私、今日は映画を見るって言っていたでしょう？
フレ,まあまあ、これからお楽しみの所だと思うけど、ちょっとフレちゃんの話を聞いてほしいんだ～！
奏,・・それ、フレちゃん関係ないじゃない。それより・・。・・それで、この薬は何に効くのかしら？。記憶を？。・・そうね。駄作をもう一度見るはめにならないといいけど・・
フレ,まだ使い道はあるよ！今度は、他の人にこれを飲ませちゃう！
奏,他の人に？。そうね・・秘密を守るには、いいかもしれないわ・・。これが、その薬なのね・・で、私はこの・・スペシャリカ？な薬を手に入れるのに何の対価を支払えばいいのかしら？
フレ,んー、何もいらないよ？
奏,ご褒美・・ね。適当なようで、気配りのできる子なんだから・・。試すって・・フレちゃんが飲むのかしら？。私が？
フレ,そう！コップにお水を一杯、入れてほしいな。オッケー？この薬を飲んでから三分で効力が出るよ！今、九時三十分。さ、すぐにそれを飲んじゃって。ホラ、お水お水。どうかな？効いたでしょ
奏,え？もう、まだ三分たってないじゃない
フレ,たったよ？ホラ見て見て、今九時三十三分だよ。つまり、薬を飲んだ時から、効き目が出るまでの三分間、カナデちゃんの記憶が消えちゃったってこと！
奏,あ、フレちゃん、ちょっと。九時三十分からの三分間、私とフレちゃんはどんな話をしていたのかしら？
志希,奏ちゃん、グッドイブニング～。突然だけど、今夜ここにフレちゃんが来なかった？
奏,あら、志希じゃない・・フレちゃん？ええ、来たわよ
志希,ふむふむ。じゃあ、記憶が消える薬・・を、フレちゃんから貰った？
奏,ええ、貰ったわよ。また妙な薬を完成させたわね
志希,にゃはは・・ごめんごめん、実はあの薬、何の効果も無いのだ！
奏,えっ？。・・そう、あの薬は効果が無いの・・フレちゃん・・フレデリカもそれを知っていたのかしら？
志希,うん、話したよ
奏,・・待って？でも私、さっきあの薬を飲んで、確かに記憶が・・
志希,ノンノン。効果のない薬だよ？どういう感じだったの？。ふ～ん・・奏ちゃん、それって、始める時間をちゃんと確認した？
奏,・・・。あら・・まったく、小悪魔なんだから・・
志希,にゃはは、フレちゃんに一本とられたね。そうだにゃ～。またあたしの興味が向けば完成する時が来るかも！乞うご期待！
奏,・・・あと三分で、すべてがわかるのね。・・なんてこと。すると、やっぱり私にとって記憶消失薬は存在しなかったことになるじゃない
終わりです元ネタは広瀬正短編集,タイムマシンのつくりかた
