日野茜,凛ちゃん！おはようございますっ！！
渋谷凛,おはよう茜。今日も元気一杯だね
茜,アイドルのお仕事はとっても大変だけど、すごく楽しいですから！！。毎日を情熱爆発で行きますよー！！
凛,おぉ、茜の背中に炎が見えるよ……。ふと思ったんだけど、茜って文字で表すなら紅って感じだと思うんだ
茜,赤、ですか？？
凛,そう、紅。あ、レッドの赤じゃないからね。紅だよ紅、またはくれない
茜,くれない？
凛,情熱や明るさいっぱいで、でもちょっとずつ大人の女性に近付いている。そんな茜を表すのにピッタリの言葉じゃないかな
茜,んー……よくわかりませんが、凛ちゃんは褒めてくれてるんでしょうかっ？
凛,そうだよ
茜,だったら嬉しいですっ！！。そういえばハナコちゃんは元気にしていますか！
凛,元気だよ。でも最近、忙しくてあまり構ってあげられないんだ。ハナコも寂しがってると思うけど私も寂しいかな。大切な存在だから、ね
茜,凛ちゃん……。そうだっ！！良いことを思いつきました凛ちゃん！！
凛,どうしたの？
茜,私をなでてください！！
凛,……え？
茜,ハナコちゃんに触れられない寂しさを少しでも和らげようと思って！！。不肖、日野茜！ハナコちゃんの代理を務めさせてもらいます！！さぁ遠慮なくどうぞ！！
凛,う、うん？
茜,さぁ！さぁさぁ！！
凛,じゃあ、ちょっとだけ……
茜,……
凛,……
茜,どうですかっ？
凛,うん。無言かつ真顔でアイドルをなでるアイドルって異様な光景だと思う。でも、なんとなく楽になったかな。なんというか、癒しだね茜は
茜,よかったらもっとどうぞ！！凛ちゃんの役に立ちたいので！！
凛,それじゃあ、もうちょっとだけ……
茜,なんだかぽかぽかしますね！！
凛,ふふっ……そうだね
片桐早苗,ねぇ瑞樹
川島瑞樹,なにかしら
早苗,ひま
瑞樹,急に押しかけて来ておいて随分な言い草だわ
早苗,だってぇ～一人でいてもマジ暇なんだもんっていうかぁ～
瑞樹,どうしたのその喋り方？
早苗,え、美嘉ちゃんの真似だけど？ナウなヤングにバカウケよ！
瑞樹,早苗、明日美嘉ちゃんに謝っておきなさい
