モバP(以下P),理不尽です常務
美城常務,もう決まったことだ
P,こんなの横暴です
美城常務,君がいくら喚こうが決定は絶対だ
P,納得できません
美城常務,君の納得を得る必要はないと思うが
P,他の社員から不評を買いかねませんよ？
美城常務,異議申し立てをしてきたのは君1人だけだ
P,………何を言ってももう駄目そうですね
美城常務,当然だ
P,そんな……そんな……。事務所内の喫煙所を全て撤去するなんて………！！
美城常務,言わせてもらうが、346プロ内で君以外に喫煙所を利用する者はいない。だからこそ喫煙所の撤廃に踏み切ったのだが
P,ってことは俺以外に喫煙所を利用する人がいればいいわけですね？！
常務,いや、もう業者に手配してしまっているから決定は……
P,大挙して押し寄せてやりますからね！覚悟の準備をしておいてください！
常務,覆らない……って行ってしまったか。ハァ、彼は仕事はできるが頭が悪いのが考え物だな……
P,それにしても、俺の他にタバコ吸う人なんていたっけな……ん？
片桐早苗,
P,あそこにいるのは早苗さん。そして口に白い棒状のものをくわえている……まさか早苗さんが喫煙者だったなんて！これは思わぬ僥倖！
早苗,あら、Pくんじゃない。どうしたの……
P,早苗さああああああああああああああああああん！！！
早苗,きゃあっ！？ほ、ホントにどうしたのよ？！
P,まさか早苗さんが喫煙者だったとは思いませんでしたよ！あ、火どうそ
早苗,……………はあ？
P,何ですかその阿呆を見る目は
早苗,煙草じゃないわよ、これ
P,へ？
早苗,シガレットチョコよ
P,……………………へ？
早苗,最近ハマってるのよね。口寂しい時によく食べてるのよ。コンパクトで持ち歩きもできるし
P,そうですか……
早苗,そんなに落ち込んでどうしたのよPくん
P,いやそれがですね、かくかくしかじかでして
早苗,それであたしをが喫煙者だと思ったと
P,そうです
早苗,あのねえ、あたしアイドルなのよ？煙草なんて吸うわけないじゃない
P,そりゃ未成年はアウトですよ。それに、早苗さんなら吸ってても別にファンも気にしないんじゃないですかね
早苗,それはそれでちょっと傷つくわね…
P,ところで、早苗さんこそどうしたんですか？今日はオフじゃありませんでしたっけ
早苗,今日は楓ちゃん達と飲みに行く約束しててね。事務所で待ち合わせしてるのよ
P,あまりハメは外し過ぎないでくださいよ？
早苗,わかってるわよ
P,具体的に言うと俺が迎えに行くような事態にはならないでくださいね？
早苗,………善処はするわ
P,それじゃあ俺は同志を捜さなきゃいけないので、それじゃ
早苗,あたしも付いていこうかしら。楓ちゃんたちの仕事終わるまで暇だし
P,えー…
早苗,何よ。不満なの？
P,若干
早苗,何か言ったかしら？
P,何も言ってません！何も言ってないからよくわからない関節技はやめて！
早苗,わかればよろしい
P,柔らかい物2つ当たってたからプラマイ0だけど
早苗,それじゃ、あたしも付いていくから
P,邪魔はしないでくださいね。こちとら死活問題なんですから
早苗,これを機にP君も煙草やめたら？
P,それができたらこんな必死になって喫煙所の撤廃の撤回に必死になったりしませんよ
早苗,家に帰って吸えばいいじゃない
P,家に帰るまで我慢できないんですよ。だって、ストレス溜まるんですよこの業界。うちの事務所は仕事量が頭おかしいだけで大したことありませんけど、理不尽な事要求してくる取引先や無理な要望出してくるテレビ局、毎度毎度高いドリンクを買わせて来る事務員
早苗,わかるわ
P,それらのストレスを手軽に解消するのに煙草は必要不可欠なんですよ。わかりますね？
早苗,わからないわ
P,でしょうね。あと川島さんに怒られても知りませんからね
早苗,平気よ、多分。瑞樹ちゃん懐広いし
P,そっすか……そしてあそこに見えるのはかな子……かな子ぉ！？
早苗,いやー、あのかな子ちゃんが煙草なんて吸うわけ……って煙出てるわね
P,流石に未成年の喫煙はまずいですわ。止めてきます
かな子,あー、美味しい。でもこんなところPさんに見つかったら……
P,かな子ぉ！どういうつもりだぁ！？
かな子,ぷ、Pさん！？ごめんなさい！
P,煙草なんて……
かな子,ダイエット中に甘い物なんて食べちゃって……
P,へ？甘い物？
かな子,煙草？
P・かな子,……………どういう事ですか
P,だってその棒の先から煙が…え？何くわえてるの？
かな子,これはですね………。志希ちゃんと晶葉ちゃんに作ってもらった特性ペロペロキャンディーです
P,明らかにかな子の顔より面積が大きいキャンディーが出てきてビックリしてるでごぜーますよ。でも何でペロキャンから煙が？
かな子,舐めてると棒の先がちょっとずつ燃えてって舐め終わると棒も一緒になくなる仕様だって言ってました
P,銀八先生かよ……まぁ、かな子が煙草なんて吸う不良娘じゃなくて安心したよ。ただ、パッと見煙草吸ってるように見えるから事務所の中だけにしておくんだぞ？
かな子,はい。確かにそうですね。気を付けます。というか、私は成人しても煙草なんて絶対吸いません
P,あれ、ハイライトさんがいなくなった
かな子,煙草を吸った後のごはんって美味しくないって話良く聞くじゃないですか。だから煙草は大丈夫じゃないんです。美味しくないから、大丈夫じゃ、ないんです
P,ｱｯﾊｲ。鬼気迫る勢いだ。あの温厚なかな子がここまで……！。と、ところでそのキャンディーのカロリーってどのくらいなんだ？
かな子,10万カロリーです……って、あ
P,………
かな子,…………
P,マストレさんに連絡しとくから
かな子,はい…
早苗,よかったわね。スキャンダラスなことにならなくて
P,まったくですよ。っとお次は拓海を見付けたぞ
早苗,拓海ちゃんなら昔吸ってても違和感ないけど……未成年だし誘っちゃだめよ？シメるわよ？
P,誘いませんよ、流石に。ただ隠れてこっそり吸ってるかもしれないしいい機会なんでカマかけてみますよ
早苗,性格悪いわね
P,何を今更。よう、拓海。レッスン帰りか？
拓海,Pじゃねえか。どうしたんだ
P,いや少しな
拓海,何だよ。まさかまたフリフリの格好させるつもりじゃ……
P,ハッハッハッ。その仕事は来月だ
拓海,あるんじゃねーか！クッソ、今度は絶対着ねーからな！
P,まぁそこは追々口説き落とすとしてだ。1つ聞きたいことがあってな
拓海,何だよ
P,お前、隠れて煙草吸ってたりしないよな？
早苗,カマをかけるとはいったい何だったのか
拓海,…………あ”ぁ？
P,思わずちびる程のメンチ。俺じゃなきゃ失禁してるね
拓海,誰が吸うかあんなもん！くせえ、臭いがこびりつきやすい胸糞悪いもんを！
P,どうどう、落ち着け拓海。そんな睨まないで怖くて泣いちゃう俺。というかすごい剣幕だな。何か煙草で嫌な事でもあったのか？
拓海,うっ……い、いや。ねえよ、そんなもん
早苗,拓海ちゃーん？吐いちゃった方が楽になるわよー？
拓海,ゲッ、早苗………さん
早苗,ほらほら、ちゃっちゃと吐いちゃった方が楽になるわよ？
拓海,お、おいやめ、ってどこ触って……！
P,おっぱい2人が絡み合ってる構図。清良さんと個人レッスンに励んでる師匠にも見せてやりたかった
早苗,Pくん？いったい何考えてるのかしら？
P,ナンデモナイデス
拓海,わかった！言うよ！言うから離してくれ！
早苗,わかればよろしい
拓海,……………。……こが……ちまうんだよ
早苗,なんて？
拓海,だから！猫が逃げちまうんだよ！煙草の臭いで！
P・早苗,あー
早苗,でも何でそんな事知ってるの？拓海ちゃん
拓海,ツレが吸ってたんスよ。アタシ自身は今言ったのが理由で吸った事はないっすけど。それで、煙草の臭いがアタシにこびり付いて路地裏で世話してた猫にしばらく避けられてた事があって
早苗,あらそうなの
P,そのままの君でいて
早苗,可愛いとこあるじゃない。それじゃね、拓海ちゃん
拓海,うっす。Pも口くせえから煙草やめろよー
P,うっせ。それから仕事ほったらかして喫煙者探しに勤しんだが一向に俺以外の喫煙者は見付からなかった。というより高確率でアイドルと遭遇したため思う様に喫煙者探しが上手くいかなかった。当然アイドルの中に喫煙者なんているわけもなく、喫煙者探しは困難の一途をたどった
早苗,そろそろ諦めたらどう？もう見付からないわよ。いい機会だから禁煙もしちゃいなさいな
P,喫煙所の撤廃如きで禁煙できたら苦労はしないんですよ
早苗,禁煙するには十分すぎるくらいの理由だと思うけど
ちひろ,あ、早苗さん。ちょうどいいところに。Pさんを見ませんでしたか？
早苗,P君なら目の前にいるじゃない、ほら
ちひろ,………私の目の前にあるのは白い壁だけですけど……ってここ喫煙所じゃないですか。真っ白ですけど、バルサンでも炊いたんですか？
早苗,違うわよ。これ全部Pくんの煙草の煙
P,その声はちひろさんじゃないですか。どうしましたか？
ちひろ,煙をかき分けて出てきたPさんが無駄にカッコいいのがムカつく。Pさんこそどうしたんですか。テツノのオッサンみたいなことになってますけど
P,半日近く煙草吸えなかった禁断症状です。1本1本ちまちま吸ってたんじゃ間に合わないんで
ちひろ,ちょっとヤバくないですかこの人
早苗,かなりヤバいわね。というか軽い依存症入ってるんじゃない、これ？
P,手足が震えてないだけまだましですよ
ちひろ,基準が基準が
P,ところで、俺に何の用ですかちひろさん
ちひろ,用も何も、仕事に戻ってくださいよ
P,今日分の仕事は終わらせてあります！
ちひろ,書類仕事だけでしょ？！電話対応とかPさんじゃなきゃわかんない案件があるんですから早く戻ってください！
P,待ってください！最後に、最後に1人だけ……噂をすれば！今西部長ー！
今西部長,おや、モバP君じゃないか。相変わらずヤニ臭いね君は
P,いやいや、そんな褒めなくても…っとそんな世間話をするために呼び止めたんじゃないんですよ。今西部長、喫煙所撤廃の話は知っていますか？
今西部長,らしいね。まぁ私には関係のない話だがね
P,あれ？今西部長って煙草吸う人じゃありませんでしたっけ？昔よく喫煙所でお会いした気が
今西部長,昔はね。今はすっかり吸わなくなったよ
P,そんな！昔はあんなに煙草の煙を交換した仲なのに！
？？？,腐臭の臭いを嗅ぎつけたじぇ！
P,大西、ハウス！腐臭は腐臭でもナマモノだ！お前の管轄外だ、森へお帰り！
今西部長,そんな事をした覚えはないが……いやね、妻に言われたんだよ
P,奥様に？
今西部長,あぁ。煙草の臭いがキツいからキスをしたくないってね。そう言われてしまっては、やめるしかないだろう
P,うわっ、惚気っすか
今西部長,ハハハ。君もそういう相手を見付けたら案外すぐに煙草を辞められるかもしれないね
P,融通の利かない女上司に守銭奴事務員しかいない職場でどうやって相手を見付けろと
早苗,やっぱりアイドルはそういう対象じゃないのね
ちひろ,そこまで私守銭奴してますか？
早苗,してるわよ
今西部長,まぁ頑張ってくれ。それじゃあ
P,うーっす……お疲れ様でーす………はぁ、振り出しか。煙草を辞めたくなるような相手かぁ。うーむ、やっぱり早苗さんやちひろさんもキスの時の臭いって気になったりします？
早苗,あ、あたしは特に気にならない……と思うけど、煙草吸ってる人と付き合ったことがないからわからないわね。そもそもまともな恋愛経験が幼稚園の頃がピークだなんて言えない
