愛土瑠流,あいどるりゅう
歌鈴,なるほど、村長さんの娘さんがいなくなって以来、度々村人が失踪していると。それも、女性ばかり.....。心中お察します.....でも大丈夫です！道明寺家の名に賭けて、私が絶対にこの村を襲う怪異を祓ってみせます！。ここに来るまでに、何度もころんじゃって.....じゃなくて！。人が攫われるところを見たって、ほんとですか！？。.....！この帯、微かに妖気が残ってる。本当にあやかしが攫って行ったんだ！。散々だった？。酷い！その食い逃げは捕まったんですか？
？？？,あー、なんかそれっぽい人、あっちの方の団子屋で見たよー
歌鈴,あっ、はい！お気を付けてー！
？？？,頑張ってねー♪。それで？見た感じ陰陽師の子みたいだけど、どしたん？
歌鈴,私ですか？私はこの村を襲う怪異について調査しに来た、道明寺家の陰陽師、歌鈴です
？？？,へー、道明寺家かー。有名なとこだねー
歌鈴,はい！由緒正しき道明寺家の名に賭けて、必ず怪異を祓って見せます！
？？？,そっかー。あたしはこの村に来たばっかだから事件の事は分かんないけど、応援してるよー
歌鈴,来たばかり？
？？？,うん。連れと一緒に、色んなところをフラフラ旅してまわってるんだー
周子,そう言えば名乗ってなかったね。あたし塩見周子、よろしくね♪
歌鈴,周子さんですね、よろしくお願いします
周子,あたし達しばらくはこの村にいる予定だから、なんか分かったら伝えてあげるよ
歌鈴,本当ですか？でも気を付けてください、例のあやかしは女性を狙うらしいので、もしかしたら周子さんも.....
周子,あははは！心配してくれてるんやね。でも、あたしは大丈夫だよ
歌鈴,笑い事じゃないですって！そうやって油断してる人ほど狙われるんですよ！
周子,まっ、そうだろうねー。でも、ホントに大丈夫だから。んじゃあたし、連れ待たせてるからこの辺で失礼するよ。またねー♪
歌鈴,ホントに気を付けてくださいねー！
周子,確かこの辺で待ち合わせ......みっけ♪おーい、紗枝はーん！
紗枝,もう、周子はん。待ちくたびれてしもうたよ？
周子,ゴメンゴメン、ちょっと話し込んじゃってさ。それよりもお腹すいたーん♪お姉さん、お団子二つくださいなー？
紗枝,......そう言えば周子はん、また食い逃げしはったやろ？さっきこの辺で、食い逃げはどこだー！って叫んどったよ？
周子,まぁねー、だって夜中に急にお腹すいちゃったんだもん。それに、人間にちょっかい出したくなるのは、あたし達のサガじゃん？
