北条加蓮,ねぇ奈緒
神谷奈緒,ん？どうした？
加蓮,明日ってさ、奈緒の誕生日だよね
奈緒,あー、まあそうだな
加蓮,そこでさ、明日、奈緒に手紙を読んであげようと思うんだ
奈緒,なんで本人に言っちゃうんだよ、正気か。それ言う必要ないよな？明日のあたしの驚きを奪うなよ
加蓮,でもさ、いざとなったら緊張しちゃうかもじゃん？
奈緒,前日にネタばらしするメンタルがあるなら平気だと思うけどな
加蓮,だから、今から練習で読むから、聞いてもらっていい？
奈緒,なんで本人に読んじゃうんだよ、狂気か。待ってくれ、あたしに手紙を読むのに緊張するかもだから、あたしに練習として読むのか？これ以上ないレベルで論理が崩壊してるぞ？
加蓮,はい、これ原稿ね。余分に刷ってあるから読めなかったら言って
奈緒,誕生日の手紙を大量印刷するな。というか聞くだけじゃなくて読まなきゃダメなのか
加蓮,大丈夫、中身が平気だったら明日までに手書きにするからさ
奈緒,そういう問題じゃない
加蓮,新聞記事の切り抜きとかで作ってもいいんだけどね
奈緒,典型的な脅迫文かよ
加蓮,じゃ、準備はいい？
奈緒,準備なんて一生できないからさっさと初めてくれ
加蓮,では……
奈緒,Dearだろ。誰が鹿だ
加蓮,ごめん、これはペットの鹿に送る手紙だった
奈緒,Deerで合ってるのかよ。あと鹿にあたしの名前を付けるな
加蓮,ペットに鹿を飼ってることに突っ込んでよ
奈緒,ツッコミ所が多すぎて追い付かないんだよ勘弁してくれ
加蓮,まあいいや、飼ってないし
奈緒,一発殴っていいか？
加蓮,ホントの手紙はこっち
奈緒,はあ……いいけどさ
加蓮,じゃあ、今度こそ
奈緒,Dear使わないのかよ。お前が目の前で読んでんだよ。……。……。早く祝え
加蓮,もー、奈緒はせっかちだね
奈緒,どう考えても時候の挨拶とか捨てていいとこだろ
加蓮,わかった、今の部分は短くまとめるよ
奈緒,そうした方がいいよ。エグいまとめ方したな。まずあたしいないし加蓮はパフェに話しかけるサイコパスみたいだし。これ以上あたしの脳のキャパシティを越えた文章を投げつけるのはやめてくれ。奈緒を食うな
加蓮,続けるね？
奈緒,願わくば終わってほしいけどな。ま、まあ、なんか照れくさいけど……。2人目以降の表彰者かよ
加蓮,ほら、凛の誕生日の時にも手紙書いたんだけどさ、その"凛"を"奈緒"に変えても平気そうだったから
奈緒,人間の心がないのか
加蓮,なんて、もちろん冗談だよ、ホントの手紙はこっち
奈緒,このパターン多すぎるだろ
加蓮,じゃ、329ページ開いて
奈緒,厚っっっつ。もう手紙じゃねえよ、出版物のカテゴリに分類されるよ
加蓮,あ、間違えた、これ奈緒の写真集だ
奈緒,だとしても多いわ。実家のアルバムにダブルスコアつけられるわ
加蓮,あ、見て見て！5歳の時の奈緒！
奈緒,ホントにアルバムじゃねえか
加蓮,恋ダンス踊ってる～
奈緒,時代の先取り凄すぎるだろ。エスパーかよ
加蓮,じゃあ、そろそろ本物の手紙を読もうかな
奈緒,ここまでに何分使うんだよ
加蓮,では……
奈緒,なんかポエム始まった。親がそう名付けたからに他ならねぇよ。何食わぬ顔で普通のテンションに戻るの怖すぎる。言わなくていいよそういうの。書いてる途中に見えたモノを描写すんな。どこで書いてんの？。待て、何が起きた、おい。それよりみくどうなったんだ。答えず進むのか。……そんなこともあったな。捨てろ捨てろ。ポカリってそういうんじゃねえよ。腹壊すぞ。そりゃ覚えてるけど……。……。だからイヤだったんだよ。思い出を振り返る流れで脳トレするな。おばあちゃんかよ。ってかおとといは一緒にファミレス行ったろ？。もう病気だろ。想像以上に中身がない手紙だった。ぶっこんできたな。どんな顔して誕生日に流れる国歌を聴けばいいんだ
加蓮,ちなみに前奏ある方ね
奈緒,本当にどっちでもいいわ。確かに歌い始めたらまだ前奏だったとかよくあるけども
加蓮,違う曲の方がいい？
奈緒,別に国歌に文句を言うわけじゃないけどこのタイミングではない
加蓮,わかった、じゃあ"毒茸伝説"
奈緒,持つのか加蓮の体力とキャラクター
加蓮,明日の帰りは救急車かな
奈緒,公共交通機関として救急車をカウントするなよ
加蓮,どうだった？
奈緒,感想すら浮かばないほどに酷かった
加蓮,ありがと
奈緒,単純に疑問なんだけどメンタルどうなってるんだ？
加蓮,それくらい、私が病院で受けてきた屈辱に比べれば車に轢かれたレベルでしかないよ
奈緒,それは一般的には致命傷だよ
加蓮,さっき"お金がないから手紙だけ"って言ったよね？
奈緒,言ってたけど
加蓮,あれ、実はウソなんだ
奈緒,なんだ、そうならそうと言ってくれよ……
加蓮,手紙すら書いてない
奈緒,そっちかよ
加蓮,残念ながらね
奈緒,残念なのは加蓮のアタマだからな
加蓮,逆に、なにか欲しいものある？
奈緒,言っても金欠なんだろ？気持ちだけでいいよ
加蓮,平気だよ、千円札はあるし、これをコンビニでコピーすれば
奈緒,ニセ札作成方法が雑すぎて小学生でも騙せない
加蓮,サイキック・大金持ちだね
奈緒,罪を他のアイドルに投げつけるな。別に何もいらないからな？
加蓮,ホントに？
奈緒,平気だって、ま、一言くらい祝ってくれると嬉しいけど
加蓮,ええ……
奈緒,なんで引かれてんの？
加蓮,というわけで奈緒、誕生日おめでと。これ、プレゼントの鹿肉詰め合わせね
奈緒,奈緒ー！！！！！
加蓮,……いやウソだから、飼ってないから。これビックリ箱
奈緒,もう何も信じられねえよ
