本田未央,さて、今週もやってまいりました、逝ってm@s！司会の本田未央です
春日未来,
最上静香,
望月杏奈,
北沢志保,
未来,おーっと、そこのミリオン勢。元気がないぞーっ！！
箱崎星梨花,わー！
未央,うんうん、やっぱり元気で笑顔が一番だね
輿水幸子,皆さん、今回は何をやらされたんでしょうか……
未央,まずは名物コーナーから！
幸子,無視ですかーっ！
未央,それではVTRスタート！
未来,おっはよーございまーす！
静香,未来……
未来,ど、どーしたの静香ちゃん。そんなに落ち込んで
静香,落ち込んでいるわけじゃないわ……ただ
未央,ただ？
星梨花,おめでとうございます、未来さん！
未来,あ、星梨花。おはよう……というかおめでとうって何かな？
星梨花,未来さんを含むシアターのみんなで、テレビ番組に出ることが決まったんですよ
未来,へぇー、そうなんだ。どんな番組かな？
星梨花,ええと……たしか
志保,……逝ってm@sよ。未来
未来,ゑ？。し、志保……今……なんて
杏奈,杏奈達……世界の果てまで逝ってm@sに出ることになったの……
未来,マジ？。ちょっと用事を……
静香,逃がさないわよ
未来,やーっ！離して！！まだ私、死にたくないよーっ！！
杏奈,あ、あっちは奈緒さんや可奈ちゃん。それから紬さんに瑞希さんが出ることになってるから……
未来,マジ？
杏奈,マジ
未来,……
しずしほ,マテヤコラ
静香,ちなみに……
未来,ん？。プロデューサァァァァァァ！！。えー、やってまいりました……
静香,未来、もう逃げられないんだから
志保,ふふふ……
杏奈,ふぇーん
未来,この声は？
静香,麻倉……
杏奈,もも……？
志保,まってちがう
星梨花,皆さん、おはようございます
みんな星梨花,ちゃん
未来,だ、ダメだよ。星梨花はこんな危ない番組に参加しちゃダメ
静香,そうよ、未来の言う通りよ
星梨花,でも、皆さんの案内役って聞きましたので
志保,案内役？
杏奈,じゃあ、今日ここで何があるか知ってるの？
星梨花,はい！
ナレーション,そこは東京から離れ、高速を飛ばして約2時間
星梨花,♪ここはお国を何百里～
杏奈,ちなみに空自の百里基地の大きさは、百里もないから……
未来,何の話？
志保,……コホン。で、ということは国内かしら？
静香,油断させてどこかの無人島へのフェリー乗り場へ向かっているかもしれないわ
未来,でも山の方へ向かってるね
ナレーション,そしてさらに1時間ほど山奥に入ると
星梨花,着きました！ここが
及川雫,おいかわ牧場へいらっしゃいませ
一同,えー？
未来,えっと……お祭り会場って
雫,はい、ここですよ
静香,あの……毎年、お祭りとかを
雫,いえ、うちのプロデューサーに何か目玉なイベントとかないか相談して作りました
志保,な、ならいつものトンデモイベントみたいにはならなそうね
杏奈,よかったぁ……
雫,それでは明日行われるイベントについてですが
星梨花,私からご説明させていただきますね。えっと……あれ？
未来,星梨花、どうしたのかな？
静香,台本をどこかにやったのかしら？
星梨花,えっと……えって……
志保,可愛い
杏奈,可愛い
静香,えっと……そうだ、雫さん
雫,は、はい
静香,ちょ、ちょっとMCを繋いでいただけませんか？
雫,わかりましたぁ
静香,星梨花、星梨花
星梨花,は、はい
静香,今のうちに台本を探しておきましょう
未来,私も手伝うよ
星梨花,静香さん…未来さん……ありがとうございます！。というわけで、もっと牧場や酪農を知ってほしいということで今回から始まりました
雫,はい、そうなんですよ
志保,聞きたくないけど……例えば？
雫,はい、牛乳早呑みとか牛さんに赤い布を見せたりとかです
杏奈,……それはちょっと
雫,なので、今回はこの四つを選びました
星梨花,まずは、牛乳プリン作りです
雫,普通のカスタードを使うプリンより崩れやすいし難しいんですよ
星梨花,次は、ひよこの牡と雌を見分けるのです
未来,聞いたことはあるけど、そんなのやるんだぁ
星梨花,それから、新鮮な卵や牛乳を見分ける競技です
志保,卵は光に当てて清んでいるのがいいとか聞くけど、牛乳ねぇ……
星梨花,で、最後に牛さんや鶏さんとかをゲージの中へ入れる競技ですね
雫,たまーに、興奮している子がいますから、気をつけないといけませんよぉ
星梨花,これは誕生日が近いということで、未来さんにやってもらいます
未来,…………
志保,じゃあ、ひよこ別けは私がやるわ
静香,そう？お願いするわ
未来,あ、あの……
杏奈,杏奈は……。あうっ！
未来,ねぇ、ねぇったら！
星梨花,というわけで、志保さんが新鮮さ選び。静香さんがプリン作りで、杏奈さんがひよこ別けですね
杏奈,……うん
志保,じゃあ、一旦解散ね
雫,今晩の夕飯は、牧場で取れたおいしいお肉でステーキになりますよ
未来,あの……
静香,ダメよ、一度決めたら度胸は猛烈でしょ
志保,あら？勇気は猛烈じゃなかったかしら？
未来,そんなのどっちでもいいよー――っ！
ナレーション,春日未来、明日の彼女の運命は！
未央,一旦CMです
海美,よっしゃ、私の真女子力パワーでみなちんとこの料理制覇だ！
美奈子,なら私は、海美ちゃんの消費カロリーを上回る量の料理をじゃんじゃん作るからね！
桃子,ここに例の村があるのね……
育,うん。そこには私たちのルーツがあるって
環,くふふっ、楽しみだな！
昴,それじゃあ……
杏奈,えと……お尻を見るって……
プロ鑑定士,えっと……今のところ半分も当てていませんね
杏奈,そんなぁ……
星梨花,難しいんですね
未来,雄はたしかお肉になるんだっけ？
雫,はい。でももう少し育てないといけませんし、ウチでは本来の卵の産み方で作ってますからね。ちょうどあんな風にです
志保,交尾してる……有精卵っていうやつね
静香,……月見うどん頼む度に思いだしそう
