王,勇者よ、頼んだぞ
勇者,はい、必ずや魔王を討ち滅ぼしてみせます！
姫,250cm220kg
勇者,姫、どうしたんだ
姫,私も連れていって……！
勇者,それはダメだ！君が来てしまったら……！
姫,ただ待ってるだけなんて嫌！私だって戦える！
勇者,姫……！
姫,お願い！私も連れていって！。でないと私……！寂しさでどうなってしまうか……！
勇者,分かったよ、姫。ただし一つ約束してくれ。同行するのはいいが、君は決して戦ってはならない。君が戦ってしまったら、僕は勇者失格になってしまうから……
姫,分かったわ！私は戦わない！約束する！
勇者,ならいいけど……
村長,おお、これはこれはお強そうな勇者様と姫様じゃ。この村では昔から、近くの洞窟の主に多くの作物、時には生贄まで要求されておりますのじゃ。どうか助けて下され……！
勇者,分かりました。この僕が洞窟の主を倒し、この村の人々を救ってみせます！。さあ行こう、姫。ただしずっと僕の後ろにいなきゃダメだよ
姫,はいっ！
洞窟の主,なんだお前たちは……
勇者,魔物め、永らく村の人々を苦しめてきた罪、今こそ償う時だ！
姫,行くわよ！
勇者,えっ
姫,ぬぅんッ！！！
勇者,……。姫！
姫,は、はいっ！
勇者,あれほどいったのになんで戦ってしまったんだ！君は戦うなといっただろう！
姫,ごめんなさい、つい……
勇者,次からは気をつけてくれよ。分かったね！
姫,はい……
勇者,この山には山賊が出るらしい
姫,まあ、怖い……
勇者,君は絶対手を出さないように――。――あ
姫,山賊だわ！
山賊A,！
山賊B,！
山賊A,ひ、ひいいいい……！なんだありゃ……！
山賊B,絶対勝てねえ……！
山賊たち,もう二度と悪いことはしませぇぇぇぇぇん！！！
姫,……あらやだ、私たちを見ただけで逃げていったわ。どうしてかしら？
勇者,さぁ……
市長,おお、勇者様！各地でのご活躍は耳にしております。今この街は魔物の大軍勢に狙われており、まもなく総攻撃が始まるでしょう。とても常備兵だけでは守り切れません！力をお貸し下さい！
勇者,もちろんです。魔物の軍勢など、僕の手でやすやすと打ち破ってみせましょう。姫はこの市庁舎で休んでいて……。あれ、姫！？
姫,来たわね、魔物の軍勢。数はざっと一万……ってところかしら。破ァァァァァ……。勢ィィィ！！！
魔王,四天王よ、揃ったか。勇者の進撃により、我が魔王軍の部隊が次々と敗れ去っておる！。貴様らの手で、なんとしても勇者を葬り去るのだ！
鉄巨人,オレ様の怪力で叩き潰してやりましょう！
火炎竜,勇者如き、ワシが焼き尽くしてくれるわ
闇術士,ククク、お任せ下さい……いかなる力も“闇”の前には無力……
暗黒騎士,吾輩の剣に斬れぬものはありませぬ
鉄巨人,オレ様は魔王軍四天王の一人、鉄巨人！勇者、お前を捻り潰してやる！
勇者,ついに現れたな、四天王！
姫,ここは私がやるわ！
勇者,えっ
鉄巨人,アイアンパーンチ！！！
姫,まるで蝿が止まったかのようだわ
鉄巨人,な……！？
姫,むんっ！
鉄巨人,や、やめ……！ひぎゃああああ……！！！
姫,できた、鉄球！
勇者,ああ……
火炎竜,鉄巨人を倒しおったか……勇者。下等生物にしてはやるようじゃのう。ワシの火炎吐息を受けてみよ！
勇者,来い！
姫,私が戦う！
勇者,あっ
火炎竜,フハハハ……！骨も残らぬわ！さあ次は勇者がこうなる――
姫,あーあ、お肌が日焼けのようになってしまったわ
火炎竜,……なにい！？
姫,お肌が荒れたらどうするの！
姫の張り手,ビンタ
闇術士,ククク……いかな力や技の持ち主でも我が術の前では木偶と化す……
勇者,面白い……どんな術か見せてもらおうか！
姫,まず私に見せて！
勇者,ちょっ
闇術士,愚かな……。闇よ、あの者を縛りつけよ！
姫,喝ッ！！！
闇術士,えっ
暗黒騎士,会いたかったぞ、勇者よ……。四天王をことごとく打ち破るとは大したもの。この海や大地をも切り裂く暗黒剣で……貴様の命をもらい受ける
勇者,勝負だ！
姫,私だって戦える！
勇者,姫ぇ！
暗黒騎士,ば、馬鹿な……！
姫,笑止！！！
勇者,ついにここまでたどり着いた……
姫,空は黒い雲に覆われてるわね
勇者,姫！
姫,なにかしら？
勇者,危ないから魔王城には絶対入ってはダメだよ。これだけは絶対守ってもらう！
姫,……分かったわ！絶対入らない！。だから、魔王城を持ち上げて……。太陽へ！
勇者,あ……。暗雲が晴れていく……魔王が死んだ証だ……。結局、最初から最後まで姫が戦ってしまった……。姫ぇぇぇっ！！！
姫,どうしたの？
勇者,なぜこんなことするんだ！自分ばかり戦って！あんまりじゃないか！
姫,！。ご、ごめんなさい……私ったら……
勇者,涙……。ごめん、言いすぎた。君だって一生懸命やってくれたというのに
姫,勇者様……！
勇者,姫……！
姫,大好きっ！！！
勇者,あ……
姫,ご、ごふっ……！。さすが……勇者様……。私より……大きく、重く……そして強、い……
勇者,姫ぇっ！！！。しまった！つい抱き締めすぎて、姫の骨を砕いてしまった！。こんなか弱い姫をずっと戦わせてしまったなんて、やっぱり僕は勇者失格だ！
