古賀小春,あの、あいさん～
東郷あい,…なんだい小春君。というか今のは私の空耳かな
小春,ヒョウくんが、高いところから降りられなくなっちゃったみたいなんです～
あい,…おや。そのようだね…どうやって登ったんだか
小春,助けて欲しいんです～
あい,…
小春,お願いですぅ…
あい,…
小春,メイドちょ～…
あい,はい呼んだ。晴君！晴君はいるか！
結城晴,…ぐぅ
あい,…
晴,……
あい,こら
晴,いて
あい,事務所のソファーでのんきに寝ているとは…全く、アイドルにあるまじき痴態だ
晴,大げさじゃね
あい,プロデューサー君は仕事をしているというのに、君は事務所をなんだと思っているんだ
Ｐ,事務所で意味もなくメイド服着てる人がそれを言いますか
小春,ヒョウくん～…
晴,悪かったよ。で、なんか用？
あい,うむ。先ほど、ついに小春君にまでメイド長などと呼ばれてしまった
晴,…
あい,由々しき事態だ
晴,…。そうか？
あい,うん
晴,そうか？
あい,このままでは、まるで私がメイドの長であるかのような誤解が事務所中に広まってしまう
晴,じゃあまずメイド服を脱ぐなりしろよ
あい,この格好は可愛くて気に入っているので却下だ
晴,その発言が可愛い
小春,こうなったら…自分でなんとかしてみますぅ～
Ｐ,お、おいおい。危ないぞ
晴,…。そもそも、なんでメイド長って呼ばれるのが嫌なんだ？カッコいいじゃん
あい,……。か、かっこいいかな？
晴,え、うん、まあ。ただのメイドよりは
あい,そ、そうか…。ふふ、晴君がそう言うのなら、悪くないかもしれないな
晴,なにこのちょろい感じ
Ｐ,よっと。ほら
小春,わあ…！あ、ありがとうございますぅ～。えへへ、ヒョウくんぺろぺろですぅ～。お礼にプロデューサーさんも、ヒョウくんぺろぺろしてもいいですよ～？
Ｐ,えっ
あい,……おや。私の出番はなかったようだ
晴,…
あい,…？どうかしたかい、晴君
晴,…あ、いや。今の台詞はだせー
あい,えっ
晴,だせー
あい,(´・ω・｀)
小春,あ、…あの～。プロデューサーさんが助けてくれたので、大丈夫でした～
あい,そ、そうか…うむ。それはなによりだよ
晴,カッコわるー
あい,うぐぅ
小春,？。は、はい～。ご心配おかけしました、…その、メイドさん～
ただのメイド,にゃんっ
小春,！？
晴,いいトドメだな
あい,……
小春,…？め…メイドさん～？
あい,…ふ、…
晴,？
あい,ふふ、ふふ……い、いいだろう。そういうことなら、――。もう一度ヒョウくんを上にやって、今度こそ私が救えばいいのだな！
晴,なに言ってんだアンタ
あい,か、貸したまえ！
小春,ひう！？
晴,追い込まれた悪役の立ち回りだぞ、それ
あい,…？
ヒョウくん,……
あい,……、っ……
小春,…？
晴,あいさん？
あい,……ふ。――晴君。あとは頼んだよ
晴,あ？
あい,きゅう
晴,……
