乃木園子,わっしー……私眠いんよ……
東郷美森,そのっちが眠そうにしているのはいつものことだけれど、今日は一段と眠そうね？
園子,昨日は十時間しか、寝てないんよ……
美森,それは寝過ぎよ、そのっち。九十分周期に睡眠を組み込めていないのと睡眠過剰で眠くなっているのよきっと
園子,それは言わないお約束だよぉ、わっしー
結城友奈,……
友奈,ねぇ、東郷さん。園ちゃんがわっしーって呼んでいる由来は今更だけど聞いても良いのかな？
美森,もちろん構わないわよ、友奈ちゃん。──私は昔、小学6年生の時分に、鷲尾という親戚筋の養子となったの。その際改めた名前が鷲尾須美になるわ
園子,当時の勇者は大赦の身内でやっていかなければならなかったからね。名家である鷲尾家はどうしても勇者の素質のあるわっしーが欲しかったんだよ
友奈,そう、なんだ……。そ、それじゃあ私も東郷さんのことを須美ちゃんって呼んじゃったり、なんて──
美森,友奈さん！今からでぇとに行きましょうか！？
友奈,と、東郷さん……？
園子,わっしー、ゆーゆに近づき。あと、鼻息荒くてちょっと怖いよ？
美森,ご、ごめんなさい友奈ちゃん。新鮮な呼ばれ方だったものだからちょっとだけ興奮しちゃった
友奈,そ、そうなんだ。……ええと、須美ちゃん？
美森,はい！友奈さん！！どこまでもお付き合いさせてください！！
園子,……人様にお見せできない顔になってんるよ、わっしー……
美森,返ってきた私たちの供物……。だけれど、これは本当に私たちのものなの？。端的に言えば、自分の肉体で五感のはずなのに"慣れる"のに時間が掛かり過ぎだったように思うのだ。例えば夏凜ちゃん。彼女の満開時期を考えれば、私の足のように筋力が衰えていることは考えづらく供物返還と共に歩行可能となっていてもおかしくないのではないだろうか？。もちろん神樹様の行うことを現実の事象と照らし合わせることは無為であるのだけれど違和感はどうしても付きまとう。現に私の記憶だって──。……はっ！。もしかしてこれは──"供物返還がちゃ"と言うものなのかしら！？。返ってきた供物に違和感があるのは、そう！神樹様が他の子と取り違えてしまったに違いないわ！。足の機能を供物として捧げたのは私、そのっち、夏凜ちゃん、そして──友奈ちゃん！。つまり、この足の機能は！友奈ちゃんのものなのかもしれない！！。友奈ちゃんの立ちくらみが心配なの……
三好夏凜,友奈自身は大したことがないって毎回言っているけど確かに気になるわよね
美森,あまり考えたくないことなのだけれど、立ちくらみの間、実は樹海化が起きていて、友奈ちゃんが一人でバーテックスと戦っているなんてことを最近考えてしまうの……
夏凜,そ、それはちょっと飛躍し過ぎじゃない？第一、そんな大事を秘密にするような子じゃないでしょうよ
美森,もちろん、私も分かってはいるのだけれど、どうしても考えが頭を過ぎってしまって……
夏凜,そもそも、私たちの身体って前より疲れやすくなっているわよね？だから、友奈の立ちくらみもその部類じゃないの？
美森,……やっぱり夏凜ちゃんも自覚していたのね。でもね、夏凜ちゃん！例えば、友奈ちゃんが過去の世界に行って今も戦っていたりとか、考えたりすることはない？
夏凜,流石にないわよ！でも、ええと、高嶋友奈だっけ？園子の家の倉にあった書物に書かれていた先代勇者の名前。あれが友奈本人かもしれないって東郷は思っているってこと？
美森,そう、二冊目の勇者御記には友奈ちゃんと同じ名前の勇者が居て、そこではきっと仲間の勇者と共に──
■■■,高嶋さんと二人で恋愛ノベルゲーム……なんて罪深い行為なのかしら！だけど、もう引き返すことなんて出来ないわ！
美森,そして遊んでいるうちに電子紙芝居に影響されて二人は良い雰囲気になるに違いないわ！それから、それから……っ！？ゆ、許すまじ■■■！！
夏凜,お、落ち着きなさいって東郷！あと、■ってどう発音している言葉なのよ！？
犬吠埼樹,えい！……戦車の逆位置……。あ、あの！東郷先輩
美森,なあに、樹ちゃん？ぼたもち食べる？
樹,あ、はい。ではなくて、もしかして東郷先輩、何かにお悩みですか？ぼたもちは後でいただきます
美森,……。……樹ちゃん、私って分かりやすいものなのかしら？
樹,あ、いえ、タロットの結果なだけなんですが……。でも、本当にお悩みだったんですね。私で良ければ聞きます、お話！……その、本当に聞くだけになっちゃうかもしれませんけど……
美森,……ありがとう、樹ちゃん。悩んだら相談だものね。でも、聞いていて愉快な話じゃないし、皆との決め事を少し破ってしまうような話になってしまうのよ
樹,大丈夫です。私これでも口が堅いんですよ？
美森,……本当に勇者部の未来は安泰ね。あのね、樹ちゃん……。──私には贖罪が必要なのよ
樹,ええと、しょくざい……罪を償うって意味でしたか？
美森,ええ。私は壁を壊してこの世界を終わらせようとした。その事実は例え優しい皆が許してくれても決して消えることはないの
樹,そんなことありません！東郷先輩は誰よりも苦しんで、その、想像しかできませんけど辛いなんて言葉では表現できないくらい大変だったはずで、そんな思いをすればきっと私だって──
美森,……樹ちゃんのその言葉だけで救われる心地よ。ありがとう、樹ちゃんは本当に優しいね
樹,いいえ、こちらこそありがとうございます。それに、東郷さんはもっと優しいから思い詰めてしまうんだと思います。だから、頼りにはならないと思いますけど、私を頼ってもらえると嬉しいです。もちろん、お姉ちゃんや友奈さん、夏凜さん、園子さんにもです
美森,……風先輩が樹ちゃんの成長を泣いて喜ぶ気持ちがよく分かるわ。ねぇ、樹ちゃん、抱きしめても良い？
樹,えぇ！？
美森,だめ？
樹,え、え、ええっと……はい、どうぞ
美森,かわいい！
樹,うぅ……何だか恥ずかしいです
