【4/1,エイプリルフール
P,おはよう奈緒
奈緒,おはようプロデューサーさん。あれ？今日は午後からじゃなかったのか？
P,嘘だ
奈緒,は？
P,今日はエイプリルフールだろ。引っかかったな。ふはは
奈緒,午前中は休みって言ったのは昨日だよな。反則じゃね？
P,ギリギリセーフだろ
奈緒,アウトだよ。ばか
P,馬鹿とはなんだ
奈緒,ばかはばかだ。それから、嘘をつくならもっといい嘘をつけよ。あんまりびっくりしなかったし。面白くもなんともないぞ
P,いい嘘って？
奈緒,こう…なんつーか心に残る感じの嘘？
P,漠然としてるな
奈緒,悪かったな
P,例えば、何かある？
奈緒,例えば、かー。…。プロデューサーさん
P,ん？
奈緒,好きだ
P,
奈緒,大好きだ
P,う、嘘だろ！？
奈緒,本気だよ。あたしが嘘をつくわけないだろ？
P,へ、へぇ
奈緒,心の底から言ってるのに疑ってるのか〜♪
P,こ、言葉だけだと信じられないかな
奈緒,疑り深いな。ほら抱きつけば信じるのか？
P,吐血
奈緒,はー、こんなに好きなのに♪
P,まずい…このままでは奈緒に殺される…！。…。俺は奈緒のこと嫌いなんだよなぁ
奈緒,え…
P,ん？
奈緒,…
P,…。な、奈緒…今日はエイプリルフールだぞ？
奈緒,ああ…嘘だってことくらい知ってるよ…。知ってる…よ…
P,思った以上にダメージが大きい。可愛いぞ奈緒
奈緒,う、うるさい。そんなことくらいわかってるけど、もうプロデューサーさんなんて嫌いだ
P,それは嘘？
奈緒,嘘じゃない。本気で嫌いだ
P,裏を返せば？
奈緒,大嫌いだ。いまの私は本気で怒ってるんだからな
P,いやエイプリルフールだから…
奈緒,ふーん！
P,奈緒。好きだー
奈緒,…嘘つけ
P,嘘じゃないよ
奈緒,…どうせエイプリルフールだろ
P,大好きだ
奈緒,…。ったく本当は嫌いなんだろ。知ってるっつーの〜♪
P,ああもうめっちゃ好き
奈緒,本当は嫌いなのわかってるからな〜♪
P,はいはい
凛,…。プロデューサー。おはよう
P,あ、凛もいたのか。おはよう
奈緒,凛は奥のキッチンでコーヒー淹れてくれてたんだ
P,へー、俺の分までコーヒー余ってる？
凛,余ってないかな
P,そっか。残念
凛,口の中が甘いなぁ。ブラックコーヒーが美味しいなぁ
奈緒,何もしてないのに口の中が甘いって…病気じゃないのか？
凛,かも
P,騙されるな奈緒。これは嘘だ
奈緒,な、何ぃ！
凛,…。奈緒。この前、プロデューサーが奈緒は面倒くさくて嫌いだって言ってたよ
奈緒,…！？
P,な、奈緒ッ！？
奈緒,
P,う、嘘だぞ！？こんなことでショック死するなァ！
凛,プロデューサー。ハグしたら多分復活するよ
P,それこそ嘘だろ！
凛,やってみたら？
P,はん！そんな嘘に騙されるわけ…
奈緒,♪
P,復活したァ！
奈緒,ｴﾍﾍ...♪
凛,私は嘘をつかないよ
P,奈緒を気絶に追い込むほどの嘘をついた子が何を言うか
凛,今から嘘はつかないって
奈緒,あ、あたしは信じないぞ！そうやって油断させておいてあたしをからかうんだ！
凛,信じても信じなくてもいいよ。ところで奈緒。プロデューサーにもらったホワイトデーのお返しに頬ずりしてたよね
奈緒,！？！？
P,ほう
凛,嬉しそうにニマニマしながらクッキーの入った袋を抱きしめてたよ
奈緒,な、なななななんでそんなこといきなり暴露すんだよォ！？
凛,ほらプロデューサー。奈緒の反応から分かるように私は嘘をつかないんだよ
P,信じよう
奈緒,はっ！ぷ、プロデューサーさん！今のは嘘だからな！
P,恥ずかしがるなよ。俺も奈緒からもらったチョコに頬ずりしたし
奈緒,そ、そうなのか…？じゃあお揃いだ…♪
P,嘘だけどな
奈緒,ちくしょう！もう何も信じないぞ！
P,ごめん奈緒。今度はするから
奈緒,ふーん！
P,奈緒〜
奈緒,だー！困るたびに人の髪の毛もふもふするんじゃねえよ！
P,…へくちっ！花粉が舞うっ！
奈緒,あーもう…ほらティッシュあるぞ
P,ありがとう奈緒。好きだ
奈緒,はいはい。あたしもだよ
P,今日のお昼どこで食べる？
奈緒,駅前の蕎麦屋は？ペア限定のメニュー注文しようぜ
P,いいね
凛,甘い
奈緒,ていうかさ。せっかくのエイプリルフールなのにこんな適当な嘘だけでいいのか？
P,いや言い出しっぺの俺が言うのもなんだけどさ。いつも通りでよくない？
奈緒,なんか寂しいなぁ
P,ハグするか？
奈緒,そういう寂しさじゃなくてな？あ、続けていいぞ
P,はい
奈緒,♪
凛,たとえエイプリルフールでもさ、嘘をつかれるのって嫌だよね
奈緒,わかる
P,そうだな
凛,だからあえて嘘をつかない日にしない？
P,ほう
奈緒,いつも通りってことか？
凛,いつも以上に正直に
奈緒,普段からあたしは正直だぞ？
凛,どう思う？プロデューサー
P,奈緒はもっと素直になっていいんじゃないかな
