キャラ名,英文
うるか,またやるのー？
成幸,当たり前だろ。前に一回やっただけじゃないか
うるか,そうだけどー。もう話すのは慣れたから大丈夫だって！
成幸,そんなわけないだろ。ある程度決まったことが聞かれるとしても、必ず準備してないことも聞かれる。そういうときにとっさに反応できるようにするためには、練習あるのみだ
うるか,うう……わかった。で、でもこれは成幸と2人きりで練習するチャンス！？。よっしゃー！成幸！早くやろ！
成幸,お、おう。なんで急にテンション上がったんだ？。それじゃあ今回も面接形式じゃなく、普通の英会話形式でやろう
うるか,別にいいけど……なんで？
成幸,スポーツ推薦で受けるわけだからそこまで高度な英語力は多分求められてないだろ？。だから、単純に英語に慣れるほうが重要だと思う。特にこの前の練習のこと考えると……
うるか,い、今はあそこまでじゃないって！家でもよくやってるし！
成幸,同じだったら困るしなあ……。まあどのみち俺も面接の練習する用意はしてないし、とりあえず英語で会話するようにしよう
うるか,オッケー！
成幸,よし、じゃあなんでもいいから言ってみてくれ
うるか,え、えーと……Istudyhardeveryday.I'mverytierd!
成幸,Howlongdidyoustudyyesterday?
うるか,Well,Istudiedforaboutfivehoursyesterday.
成幸,Fivehours!Verygood!
うるか,Thanks!
成幸,Whatdoyoudowhenyouwantachangeofair?
うるか,Ofcourse,Iswim!
成幸,OK.StoptalkingwithEnglishonce.
うるか,Isee.。ど、どうかな？
成幸,凄いじゃないか！この間よりずっと良くなってるぞ！
うるか,ほ、ほんとに！？
成幸,ああ、雲泥の差だ。家で練習してた成果が出てるんだな
うるか,まあねー！いやーこの分なら面接試験も余裕かなー！？
成幸,調子に乗るなって。でも苦手意識とかはもうなさそうだな
うるか,さすがに毎日やってればねー。日本語みたいにとはいかないから、逆に細かいとこわかんなくても通じればいっかって
成幸,……日常会話ならともかく、受験だからあんまり良くはないと思うけど……。まあ喋れないよりは全然いいか。でもなるべく正確に喋れるように練習するんだぞ
うるか,はーい！
成幸,じゃあ続きだ。次は何でもいいから質問してみてくれ
うるか,りょーかい！。質問かあ。なんにしよっかな……。……なんでもいいって言ってたし、せ、せっかくだし成幸がキスしたときのこと聞いちゃおっかな？。キスしたって言ってたけど、どういう感じだったか聞いてないし。結構時間経ったしもう大丈夫だよね
成幸,おーい、うるかー？
うるか,だ、大丈夫！えっと……。Whydon'tyouteachmeyourkiss?
成幸,………………は？。う、うるか！？きゅ、急に何言っ……！
うるか,English!
成幸,え？
うるか,YousaidwehavetospeakEnglishonly,didn'tyou!?
成幸,い、いや確かに言ったけど！？
うるか,ENGLISH!。英語を話す勢いで聞かないと聞けるわけないじゃん！
成幸,わ、わかったって。OK.。なんでうるかは急に俺のキスを教えてなんて言い出したんだ？。Whydoyouaskit?
うるか,Ah,Ah...。なんで聞いたかって言われても、成幸が好きだから、なんて言えるわけないし……。Well,becauseyouareclosestmalefriend.Soitiseasyformetosayit.。……ってこれじゃダメだー！？成幸が聞きたいのって言いやすいとか言いにくいとかじゃないよね！？
成幸,俺が一番仲がいいから……いやいやいや！そんな理由でキスしてなんて言っちゃダメだろ！？。さすがにガツンと言わないと……。も、もしかして小林たちのキスを見たあとのバスのときのお返しをしろってことなのか！？。キスされたときの気分を教えてあげたんだから、俺からもみたいな……ありえる……か？。でも実際に言ってるわけだしな……
うるか,あ、あれ？なんか悩んでる？
成幸,……というかあれ夢じゃなかったのか！？
うるか,なんか赤くなってる！？
