ウサミン星,６畳１間
菜々,明日はひさしぶりにＰさんとお出かけです！。えへへ……そろそろ、こう……オトナな展開を期待してもいいんじゃないかなー///。オトナな展開……。キャー//////。んぅぅ……こんなこと考えるなんて……ナナはえっちなＪＫですね……///。こうしちゃいられません！今から明日の準備です！。脱がされてガッカリされないように、ちゃんとした下着を選ばないと！。……でも、ナナに合ってる下着ってなんなんでしょうね？。……………………。やっぱり……歳相応の？。この場合の歳相応って、どっちなんだろう？。１７歳なのか……じ、実年齢小声。う～ん……。と、とりあえず、ちょっと試してみましょう！。鏡で見てしっくり来たのをつけていけばいいと思いますし！
～ﾒﾙﾍﾝﾁｪｰﾝｼﾞ!,着替え中
菜々,じゃーん！上下純白！清楚系ウサミン！。ど、どうでしょうか……無難だとは思いますけど……
鏡,せやな
菜々,男の人は派手なのより、こういうのの方が好きって言いますし……これなら大丈夫でしょう！。……本当にＪＫだったらですけど。そうなんですよね……もういい年小声。大人っぽいの、大人っぽいの。んー、これとかどうでしょう。だ、大丈夫でしょうか、これ……。まず、つけてみましょう！
～ﾒﾙﾍﾝﾁｪｰﾝｼﾞ!,着替え中
菜々,ということで、セクシーウサミン！。……セクシーってなんか私に似合わない言葉のような
鏡,そもそもなんで買ったんや
菜々,うーん……客観的に見て、なーんかやっぱり似合わない気が……。自分で言うのもなんですけど、顔立ちのせいですかねえ。もっとカラフルに攻めてみるのはどうでしょう。えーっと、これとか……。ナナのカラーといえばピンク……ですが、ちょっとこれは派手すぎますかねえ。結局さっきの黒と同じようになってしまう気が……。と、とりあえず……。ピンクで可愛く！カラフルウサミン！
鏡,言うほどカラフルか？
菜々,んー、派手派手すぎ……？。もうちょっと抑え目にする感じで……。これなんてどうでしょう
つ淡いピンク,フリル付
菜々,これならいい感じになりそうじゃないですかっ？
鏡,言うほど抑え目か？
菜々,それじゃあ早速……。フリルで可愛く！キューティーウサミン！。おおっ……！これはなかなか好感触じゃないですかっ？。もうこれで決定でいいような気がしてきました！。……でも、これはちょっと……やっぱりなんていうか、大人っぽくないような……。気にしすぎですかねえ……。他に選択肢は……。！こ、これは……！？。礼子さんと一緒に買い物したときにノリだけで買ったＴバック！。……Ｔバック？Ｔバッグ？んん？まあどっちでもいいです！。ずっとタンスの中にしまっていましたが……履くなら今！かも。で、でもこれ、やっぱり抵抗ありますね……///。うう……恥ずかしいですけど……そ、それでもっ！。こ、こ、これは……思った以上に恥ずかしい……///。うう……こうやってみると、なんかお尻も垂れてるような気がします……
鏡,せやろか？
菜々,うん……張りがないです。ハリが。っていうか、さっきから思考がループしてるような。セクシー路線で行くと大人っぽすぎるって言ってるし、逆だと子供っぽすぎるって言ってるし。どうしてこんなに迷ってるんでしょうか。下着といえば……前にライブの後、みんなで温泉いったなあ。あのとき、きらりちゃんがフリフリした可愛いのじゃなくて、すっごい普通のだったのにはビックリした……。アメリカに行けばあるんじゃないですかね適当。……まあナナも人のこと言えませんからねえ。サイズ的な意味では。きらりちゃん、ナナより苦労してるんだろうなあ……ナナと似た体型の人より、きらりちゃん体型の人の方が少ないだろうし。でも、あのときのきらりちゃんみたいなのは、参考になるかも……リアル１７歳だし。……いや、それをいい年小声。うーん……。他の子たちはどうだったかなあ……。あのとき一緒にいたのは……。はっきり言うのも申し訳ないですけど……杏ちゃん、色気ないスポブラ……。あれはちょっと参考にはならないです。基本的にあれなんですかねえ……あー、そんな気がしてきました。ま、まあ杏ちゃんはいいでしょう。えーっと、他にいたのは……蘭子ちゃんと友紀さん。蘭子ちゃんはともかく、友紀さんは参考になるかも！童顔な大人だし！
蘭子は、八対の瞳に晒されたまま、我が真の姿を晒すのは、まだ時の束縛が良しとしない……,み、みんなの前で脱ぐの、恥ずかしいです……///
蘭子し、しかし……,そうですけどぉ……
蘭子や、や、やっぱり恥ずかしいです……,我が躯を目にした限り、混沌へと堕ちてもらう！
蘭子友紀さんにしてもらわなくても……！,白き宝玉の女神に頼らずとも己の手で……！
