櫻井桃華,…Pちゃま、今なんと？
モバP,桃華のヘソを舐め尽くしたい
桃華,ごめんあそばせ、もう少しゆっくりはっきりと言ってくださる？
P,桃華の。ヘソを。舐め。尽くしたい
桃華,残念ながら、わたくしの耳に狂いはなかったようですわね…。い、いきなり、なにをおっしゃいまして！！？
P,お願いだ！舐めさせてくれえええええええええ！
桃華,じょっ…常軌を逸していますわ！
P,お願いだ！舐めさせてくれえええええええええ！
桃華,先程と一語一句変わっていませんわよ！！？
P,頼む！桃華のプロデューサーになってから決めてたんだ！
桃華,け、警察を呼びますわよ！
P,独房から出ても、俺は桃華のヘソを舐めに何度でも蘇る！
桃華,ひ、ひぃっ！
P,俺は桃華のヘソを舐めるために生まれてきたんだよおおおおおおお！
桃華,変態が！変態がいますわ！このプロダクションにー！
P,お願いだ…舐めさせてくれ…
桃華,P、Pちゃま…。だ、大の大人が本気で泣いてますわ…。…ひとまず、落ち着いてくださる？
P,うん
桃華,わたくしの話がきけないほど、憔悴なさってはいませんわよね？
P,うん
桃華,…これは、いわゆるドッキリというものでは
P,ううん
桃華,となると、Pちゃまがどなたかに弱味を握られ、いいえ、まさか、他の事務所に脅されて…
P,ううん
桃華,やはり、Pちゃまが自身が望んで、あのような戯言を？
P,うん
桃華,―本当に、本当の本当の本当に本気ですのね？
P,うん！
桃華,…お気持ちはよーくわかりましたわ
P,やった！
桃華,まだなんとも言っておりませんわ！。…ですが、どうしても、Pちゃまのおっしゃることはわたくしには理解できませんの…
P,うわあああああああ
桃華,し、静まりなさって！
P,頼む、一生のお願いなんだ！
桃華,嫌と言ったら嫌ですの！
P,―そういえば、一般庶民はお互いの信頼を確認し合うためにお互いのヘソを舐めあうという通例が
桃華,刹那で嘘だと分かりますわ！
P,お願いだああああ何でもするからああああああああああああ
桃華,いい加減に、静まりなさい！
P,うん
桃華,ふぅ…ふぅ…。いくらわたくしのプロデューサーの頼みとはいえ、それはお受けすることはできませんの
P,うっ
桃華,あのような言動は、殿方の発言とは思えませんわ
P,ううっ…
桃華,…金輪際、わたくしに近寄らないでくださる？
P,へあっ
桃華,…担当のプロデューサーも変えさせて頂きます
P,へああああああああっ
桃華,わたくしをアイドルへと導いて頂いたことは、忘れませんわ。それでは
P,へあああああああああああああああ
桃華,…。…ばか。わたくしのばか…！！。いくらPちゃまの発言が奇妙きわまりなくても、そんな些細なことでこれまでの全てが壊れてしまうような失言を…。…Pちゃまは、わたくし専属のプロデューサーとして、日々つきっきりでプロデュースしていただきました。お休みの日にはわたくしの好きな紅茶をご一緒に飲んでくださいましたし、この間は純白の花嫁衣装も…。そんなPちゃまとの思い出が、このままだと無碍になってしまいますわ…！！。…紛れもなく、多大な信頼を寄せていたのは、わたくし自身のほうでしたわ。Pちゃまがわたくしをどんな目で見ているかは、分からなくなりましたが…。…わたくしも、まだまだ子どもですわね。Pちゃま！？
P,うぇ？
桃華,…こんなところにいらっしゃいましたのね
P,も…も…か…？
