喜多見柚,……むー…
Ｐ,柚ー
柚,…
Ｐ,…おーい
柚,…
Ｐ,危ないぞー
柚,…？ふわっ――んにゃっ！？
高垣楓,え？
荒木比奈,うわ
市原仁奈,？？
柚,…っ…！！？…！？？
Ｐ,だ、大丈夫か？
柚,……っ……っ…。…いた……いたい…なにこれ…なにこれ…
Ｐ,落ち着け。…。ちゃんと前を向いて歩こうな
柚,……はい…
Ｐ,よしよし
柚,…。あ、ありがとー
Ｐ,？うん
楓,…！。私も電柱にぶつかると頭を撫でてもらえるのかしら…
比奈,……楓さんはまた、なにかよからぬことを考えている顔でスねぇ…
仁奈,仁奈もなでなでするですよー
柚,へへ、ありがとー…
Ｐ,ﾆﾊﾟｰにも元気がないな。立てるか？
柚,う、うん。…あー…、と
Ｐ,ん？
柚,…手、貸して欲しいな
Ｐ,おう。ほら
柚,…ん。わぷ
Ｐ,っと、悪いな。思ったより軽かったから…
柚,……へへ。ううん、平気。ありがとね、Ｐサン
Ｐ,いえいえ。ちゃんとご飯食べてるか？
柚,た、食べてるよ？というか、さっき一緒にご飯食べて来たところじゃん！
Ｐ,それもそうか
柚,もー。Ｐサンってばしっかりしてよー♪
Ｐ,頭を叩くなー
仁奈,仁奈もぺちぺちするですよー
Ｐ,そこは真似しなくてもいいところだぞー
楓,…
比奈,なにか考えごとッスか？
柚,ン？あー…えと。うん。まーそんなところかなー
Ｐ,へえ
柚,な、なに？
Ｐ,…いや、…柚でも、考えごとをしたりするんだなーって
柚,なにそれひどい
Ｐ,てっきりお腹いっぱいでぼーっとしてたのかと
柚,あ、アタシはそんなに子どもっぽくなんてないよぅ！
楓,……ふあ……お腹いっぱいだなー……幸せー…
仁奈,？楓おねーさん、眠そうでやがりますね。まだ寝ちゃダメでごぜーますよー
比奈,……あはは
柚,Ｐサンはいじわるだ！
Ｐ,すいません
柚,へらへらしないの！
Ｐ,してません
柚,し、してるじゃん！もー…
Ｐ,…なあ、柚
柚,な、なに？
Ｐ,手、もう離していいか？
柚,…………。…ど、どぞ
Ｐ,おう
柚,…。……
Ｐ,…
柚,…へ、へらへらしないの！
Ｐ,してません
柚,Ｐサンのばーか！
Ｐ,子どもか
比奈,プロデューサー
Ｐ,ん？
楓,…
比奈,楓さんがおねむなんで、そろそろ事務所に戻りましょう
楓,…
Ｐ,だから子どもか
仁奈,よしよしですよー
楓,…♪
Ｐ,…べつにどこにも寄り道してるわけじゃないんだけど、この四人と歩いていると…いつもこんな感じになるな
柚,…………。…。……えへへ…
Ｐ,柚？
柚,！は、はい
Ｐ,…ぼーっとしてると、また電柱にぶつかるぞ
柚,……。わ、分かってるもん！
Ｐ,ならいいけど
柚,……へへ
比奈,柚は乙女ッスねー
Ｐ,？？
柚,♪
Ｐ,そういえば
柚,ン？
Ｐ,さっき言ってた、考えごとって？
柚,……。てへ。いじわるなＰサンには教えてあげないよーだ
Ｐ,なんだよー
柚,へへっ、秘密だもーん♪
Ｐ,なんだよー
比奈,青春ッスねぇ
Ｐ,他人事だな
比奈,他人事ッス！
Ｐ,力強いな。まだ二十歳のやつがよく言うよ
比奈,……。そうでスかね
Ｐ,そうそう
比奈,そうでスかー
Ｐ,うん
比奈,じゃあ、えい
Ｐ,…
比奈,…
Ｐ,…
比奈,…。な、なんか言って欲しいッス
Ｐ,あ、はい。…えっと…
比奈,…
Ｐ,……や、柔らかいでスね
比奈,セクハラッス！
Ｐ,いやいや！理不尽だろ！
比奈,私のどきどきを返すッス！
Ｐ,なんだか素敵な台詞だな
楓,えいっ
Ｐ,おっと
楓,ふふ、ふふっ…ぷろでゅーさー……さん…
Ｐ,な、なんですか？
楓,……えへへ。私を、仲間外れにしたらー…めっ…ですよー…
Ｐ,……。了解です
楓,えへへ…そうですかー……なら、いいでしゅ…
Ｐ,というか、いま手を離したら本当に危ないので、離しません
仁奈,仁奈も仲間に入れてくだせー！
Ｐ,おっと
比奈,ふふ。じゃあ仁奈ちゃんには、こっちの手を貸してあげるッス
仁奈,わーいです！
