読んでいる方がわかる過去作,同じ世界観、繋げていく部分有
女提督,──という訳で、近々舞鶴さん所に演習しに行くから皆宜しくね
阿賀野,えー…遠いなぁ
能代,何言ってんの、阿賀野姉ぇは普段からゴロゴロしてるんだから…太るよ
阿賀野,…それは嫌だなぁ
女提督,ふふっ…ﾋｯｸ…
阿賀野,おやおや
能代,あら
矢矧,ん
酒匂,指令？
女提督,やだ…恥ずかしい…ﾋｯｸ
阿賀野,しゃっくりだ
能代,しゃっくりだね
矢矧,しゃっくりか
酒匂,しゃっくり？
女提督,ﾋｯｸ…やだ…治まらﾋｯｸ…ないかな
阿賀野,たしか止める方法って色々あるよね
能代,まぁ、それなりには…
矢矧,人によっては違うみたいだけどね
酒匂,ぴゃん♪定番だけど、息を止めるやつとかぁ？
女提督,ﾋｯｸ…良いね、やってみる…ｽｩ～
阿賀野,30秒くらい止めるんだよ～
能代,止めた後に唾を3回ほど飲み込むのも良いとか
矢矧,たしか鼻も摘まんだ方が良いんじゃなかったかしら
女提督,んん…
酒匂,ぴゃん♪指令可愛い♪
女提督,んへへ…
阿賀野,…そろそろかな？
女提督,……ぷはっ
阿賀野,どう？
女提督,あ…うん、なおﾋｯｸ…た
矢矧,駄目みたいね
女提督,くぅ……ﾋｯｸ
能代,うーん、他に定番は…
酒匂,じゃあ水を飲むとか！
女提督,水…たしか複数回に分けて飲むとっていうﾋｯｸ…
阿賀野,あれ？含みながら息を止めるんじゃなかった？
矢矧,どっちでも良いんじゃない…かなぁ
能代,あ、じゃあ私お水持ってきます！待ってて下さいね提督！
女提督,うん、ありがとぉ～…ﾋｯｸ
酒匂,指令のﾋｯｸって声可愛い♪
女提督,酒匂ちゃん…からかわないでよぉ…///
阿賀野,あ、提督ちょっと嬉しそう
矢矧,褒められてるからね
阿賀野,これは…褒めてるの？
矢矧,…多分。どうなの？
女提督,えぇっ！そこで私に振るの！ﾋｯｸ
阿賀野,やっぱり本人が一番わかってるかなって、どう？
女提督,えぇ…ﾋｯｸ
酒匂,指令は可愛いよ？
女提督,ﾋｯｸ…悪い気はしないよね！
矢矧,…何か意味が違う気もするんだけど…
阿賀野,酒匂は相変わらずだねー
能代,お待たせしました提督ー！
女提督,ありがとぉ～ﾋｯｸ…能代ちゃん～！
阿賀野,では早速いってみましょーか
女提督,ﾋｯｸ…うん、治ればいいけど…
能代,阿賀野姉ぇ、ちょっと提督顔赤かったけど何の話してたの？
阿賀野,提督が可愛いって話だよ
女提督,こら…
能代,なんだ、そんな今更の話を…
女提督,ひえぇ…やっぱり此処に居ると色々危ない…
酒匂,何の話ぃ？
女提督,こっちの話ぃ……ふぅ
阿賀野,どお？
女提督,うん！ﾋｯｸ…駄目みたい…
能代,これも駄目ですか…
酒匂,指令のしゃっくりしぶといね～
阿賀野,…やっぱりここは驚かせるっきゃないね！
能代,驚かせるって…提督が知ってたんじゃ意味ないでしょ？
女提督,皆ありがと。もう良いよ～、そのうちﾋｯｸ…治るしね
酒匂,う～ん…
矢矧,提督がそう言うなら…この件は終わりかしらね？
阿賀野,えーっ！それじゃ提督可哀想じゃん！…ていうかつまんないじゃん！
女提督,うーん…！嬉しいようなﾋｯｸ…嬉しくないような…！
能代,阿賀野姉ぇ！提督に我儘言っちゃ駄目でしょ！
矢矧,…偶にどっちが姉か忘れそうになるわね
女提督,わかる…ﾋｯｸ
阿賀野,あっ……提督が知らなければ良いんでしょ？
能代,ん…？まぁ…そうだけど
阿賀野,そっか……うんうん
女提督,ﾋｯｸ…阿賀野ちゃん？
阿賀野,ちょっと後ろ
能代,阿賀野姉ぇ？。きゃぁっ！？
女提督,んん！？
阿賀野,言ってなかったけど……私達、実はこういう関係なの…
能代,ひゃぅっ…
