時雨,提督は立派だね。見習うよ！
夕立,夕立も一緒に走るっぽい！
村雨,提督、結構いい体してるなー♪
春雨,何か叫んでますけど大丈夫でしょうか・・・？
雷,司令官帰ったわよ！
提督,おうおつかれ
暁,って、ずいぶん暑いじゃないこの部屋
提督,遠征の帰りだし、そう思うんだろ
暁,28度強って汗かいちゃうわよ
提督,むしろ寒くね？
雷,え？まさか司令官・・・
電,わっ！すごい熱なのです
提督,ホントだ・・・体力には自信あったんだがな。まあ執務を休むわけには・・・っと!?
響,司令官！？
雷,そんなんじゃ駄目よ！ゆっくり休んで！
響,今日は動かないほうがよさそうだね
提督,ああ。布団で寝て過ごすさ
電,シャツが汗でベトベトなのです
雷,体拭いてあげるわ
提督,すまない。迷惑かけるな
暁,ｷｬｯ!?レディの前で脱ぐなんて何考えてるのよ///
提督,上くらい別にいいだろ
響,ﾊﾗｼｮｰ///
電,はわわ、すごい筋肉なのです///
雷,い、いいモノ持ってるわね司令官///
雷・電・響,・・・・・・
響,暁、司令官は私達に任せてくれないか
電,なにか食べ物を作って来てほしいのです
雷,精のつくものがいいわ！
暁,？。よく分からないけど分かったわ。おかゆでも作ってくるから待っててよねっ
雷,さあ司令官！下も脱いで
提督,え？上だけで十分だぞ
電,風邪のときこそ、清潔にするのが大事なのです
提督,いや、間違ってはないけどさ
響,司令官。薬をどうぞ
提督,ありがとう響
響,さあ口を開けて。司令官
提督,薬くらい自分で飲める
響,いいじゃないか。ほら、あーん
提督,あ、あーん
響,ふふっ。上手に飲めたね
提督,なんか今日の響は変だな
響,早く元気になってほしいからさ。それに・・・いつも頼れる司令官が、こうも弱ってるのを見てると。・・・ふふっ
提督,？
雷,しかしこの部屋あっついわね
電,ちょっと汗ばんできたのです
響,じきに汗だくになるから大丈夫だよ
提督,え、なんでお前らも脱ぐんだ？
雷,それより、元気は出たの？
提督,響の薬で少しは楽になったような。そしてなぜか別のところも元気に！？
電,は、初めてだけど頑張るのです！
提督,初めてって何！何を頑張るの！？
響,病人なんだから安静にしててほしい
提督,響のひんやりした手が・・・気持ちいい。って！病人なんだから安静にさせろーーー！
電,はわわ、司令官さんが逃げたのです
雷,背筋もありね///
響,すぐに連れ戻さないと
提督,はああー心なしか熱があがったような
大鳳,ええっ！？提督がついに露出趣味に・・・///
提督,ちょ、大鳳！？この姿にはワケが。まあそんな事情で上の服が無いんだ
大鳳,いけませんよ提督！風邪なのにそんな格好をしていては！。まずは体温を上げ、免疫力を高めること。次に発汗による水分を補うための水分補給。加えて、消化のよいものを食べるなどして免疫力をつけなくては。暑いからと服を脱いで体を冷やしていては治るものも治りません！
提督,大鳳・・・おまえはできるやつだと思っていたよ
大鳳,軍人たるもの体調管理も仕事のうちですよ？
提督,そうだな！風邪ごときに負けてられるか！
大鳳,いい心掛けです。では走り込みから始めましょうか
提督,は？
大鳳,体温を上げて、汗をかくにはもってこいですよ！。それに風邪なんて気の迷い！走れば治りますよ！
提督,このっ・・・スポコン野郎がああああああ
雷,見つけたわ！
提督,ちっ、こうしちゃいられねぇ
大鳳,さあ大鳳出るわよ！駆逐艦のみんなも元気かな？
響,任務意味深
電,なのです！///
島風,駆けっこしたいんですか？負けませんよ？
提督,なんだお前！？。誰か助けて！
