美城常務,ふむ、全員集まったようだな。では、今月のプロジェクトクローネ会議を行う
神谷奈緒,こ、この会議ホントに毎月やるのか！？
常務,今回も、それぞれの今月の活動方針を、決定している範囲で確認するだけのものだ。肩の力は抜いてくれてかまわない。何か質問は？
宮本フレデリカ,アーニャちゃんは今日もお休みー？
常務,ああ、アナスタシアは病欠だ
橘ありす,え！？ご病気ですか？
常務,“朝起きたら髪がなんか白かったので休む”だそうだ
渋谷凛,それサボりなんじゃ！？
常務,では出欠を取る。呼ばれた者は一昨日の晩御飯を叫んでくれ
北条加蓮,脳トレ！？これ前回なかったよね！？
常務,大槻
大槻唯,ハンバーーーーグ！！！
奈緒,どこかの芸人みたいになってるぞ
常務,塩見
塩見周子,水
凛,死ぬよ！？
加蓮,さっそく叫んでもないし！
常務,宮本
フレデリカ,シェフの気まぐれフレンチコース☆～魚介の美味しさシルブプレ♪～！！！
奈緒,なっげえ！！！
常務,速水
速水奏,シェフの気まぐれフレンチコース☆～魚介の美味しさシルブプレ♪～！！！
凛,一緒に食べに行ったんだ！？
常務,鷺沢
鷺沢文香,シェフの！気まぐれ！フレンチコース！～魚介の美味しさ！シルブプレ♪～！！！！！
凛,3人で！？
加蓮,というかそのテンションは何！？
常務,橘
ありす,あ、あの……シェフの……気まぐれフレンチコース……～魚介の美味しさシルブプレ……です……
奈緒,なんか巻き込まれてるし！！？？
常務,味はどうだった
ありす,え！？……お、美味しかったですが……
常務,何よりだ
凛,今の必要？
常務,渋谷
凛,確か……、カレー
常務,神谷
奈緒,えっと、オムライス！……だったはず
常務,その眉毛でか
奈緒,関係ないだろ！？
常務,北条
加蓮,あー、ハンバーガー……
常務,マク〇か
加蓮,え？いや、ロッテ〇ア……ですけど
常務,ならいい
奈緒,マ〇ドだったらどうなってたんだよ怖えーな
常務,では会議に移る。まずは大槻
唯,はーい！
常務,CDデビュー、おめでとう。売り上げも好調のようだ
唯,うんうん！楽しくやってるよー！
常務,うむ。れいでぃおはっぴーは、おりこんちゃーとでも良い位置にいるようだ
凛,急に横文字に弱くなるよね
唯,ありがとー！でも、他のみんなもいい曲ばっかりだよ☆
常務,当然だ。lilac世界のハンバーグエナジーも、全て自信をもって送り出しているからな
加蓮,なんでまとめちゃったのかなあ！
常務,今月も、5人でのイベントが多くなるだろう。頑張ってくれ
唯,はーい！！
常務,良い返事だ。これからも頼むぞ
唯,はーい！！！
常務,良い返事だ。期待している
唯,はーい！！！！
常務,良い返事だ
唯,はーい！！！！！
ありす,もういいですから！！！！！
常務,塩見と速水はLIPPSの活動が一段落ついたな。お疲れ様
周子,楽しかったよー
奏,ええ、期間限定にするには惜しいユニットだったわね
常務,城ヶ崎以外の４人はそう言っているな
凛,美嘉……
奈緒,美嘉……
加蓮,美嘉……
常務,速水、リーダーとして、何か言うことはあるか？
奏,そうね……。楽しかったのは本当よ。その中でも刺激的なメンバーのおかげで、いくつもの新しい発見があった。今後の活動にきっと活きるわ
周子,うんうん、名残惜しいね～
凛,なお美嘉は
奈緒,なお美嘉は
加蓮,なお美嘉は
文香,あ……、家のカギ、閉めたでしょうか……
ありす,文香さん、関係ないこと考えてません？
常務,そして宮本
フレデリカ,忘れられてたのかと思ってた！！！
ありす,そんなわけないでしょう……
常務,……
ありす,常務！？
常務,冗談だ
奈緒,わかりにくいんだよ
常務,宮本は、すでに次の仕事が決まっている
フレデリカ,え！？なになに？？？
常務,ありすだ
ありす,！？。は、はい？
常務,と言っても、橘は関係ない
ありす,ま、紛らわしいですね……
常務,不思議の国のアリスのアリス役をやってもらう
フレデリカ,本人がいるのに！？
ありす,本人ではないです！！！
文香,本人ではないのですか？
ありす,文香さん！！！
常務,確かにこちらとしても悩んだ。もしかしたらアリス役の宮本に橘がどちらが真のありすか……、ここで教えてあげます！
ありす,そんな人間に思われてるんですか
常務,もしかしたら公演の終盤、宮本のピンチに橘が乱入してきてお、お前は誰だ！？
加蓮,一周回ってそっちの方が面白そう
常務,しかし、フランスとの国交を考えて宮本になった
奈緒,国交！？
凛,抱えてるモノが大きすぎるでしょ！
フレデリカ,ありすちゃん！フレちゃん、頑張るから！見ててね！
ありす,どうでもいいです……
常務,ちなみに前述のような乱入を危惧して、橘は観覧禁止だ
ありす,私が何をしたっていうんですか！！！
常務,そんな橘の今月の予定はー？
ありす,入り方がイラッときますね
奈緒,気持ちはわかる
常務,あまり大きなものは入っていないが、先月よりもソロ活動が多くなるだろう。頑張ってくれ
ありす,まあ……お仕事はこなしますが……
常務,鷺沢も同様だな
文香,御意
ありす,本当に大丈夫ですか？
常務,では、次に恵比寿
凛,渋谷！！！
奈緒,駅ネタを一回は言わないといけないのか！？
加蓮,しかも前回と逆回り！
文香,表参道では？
凛,し！ぶ！や！
ありす,文香さんはとうとう山手線を使わずに東京メトロで渋谷から出ましたね
奈緒,伝わりにくいって言ってんだろ！！！！！
凛,そもそもさっきの晩御飯を言う流れではちゃんと呼べてたのに
常務,気を悪くしたのなら謝ろう。いくら欲しい？
奈緒,解決手段が生々しいな！？
唯,100円！
周子,5000円！
加蓮,何か始まった
奏,39800円
ありす,通販みたいな価格設定ですね！？
フレデリカ,500ドル！
奈緒,外貨を捻じ込むな！！！
文香,倍プッシュです……。800ドル……
ありす,倍に届いてませんけど！？
文香,うっかりしてました……
ありす,そしてこの音はどこから！？
常務,OK次回の会議のおやつは800ドルまでだ
凛,その話し合いだったの！？
奈緒,というか上げ放題だろこのシステムだと
常務,何か質問は
フレデリカ,はい！
常務,どうした
フレデリカ,捨てたバナナの皮で誰かがケガをした場合、その治療費はおやつ代に含みますかー？
加蓮,その想定いらないでしょ絶対！！
常務,いい質問だ
凛,ひさびさに出た
常務,そもそもバナナの皮を道には捨てるな
奈緒,マトモな解答だ！！！
フレデリカ,その手があったか！
加蓮,その手しかないわよ
常務,さて、話が逸れてしまったな。戻そう。恵比寿についてだが
凛,そこまで戻らなくていいから！！！
常務,次の仕事では、ロードバイクに乗ってもらう
凛,ロードバイク……
常務,ああ、プロモーションだな。補助輪はいるか？
奈緒,バカにしすぎだろ
常務,不運ﾊｰﾄﾞﾗｯｸ
加蓮,信頼度0なの？
常務,それに伴って、かみやんと北なんとかは少しオフが増えるかもしれない
奈緒,あたしだけ信頼度100かよ。基準はどこだよ
加蓮,私なんていつの間にか名前を忘れられてるわよ
常務,決して、不運ﾊｰﾄﾞﾗｯｸ
ありす,その言い回しのどこに惹かれたんですか
常務,さて、この辺りで、今月の会議を終わりにしよう。号令！
奈緒,そのシステム初耳だぞ！？
文香,起立！
ありす,文香さん！？
文香,着席！
ありす,何もせずに！！？？
文香,起立！！
凛,これただのスクワットでしょ！？
文香,着席！！
ありす,なんなんですか！？
文香,礼！！！
加蓮,結局座った状態で！？
常務,Seeyounexttime
奈緒,英会話教室か！！！
