※状況：幼女戦記(Web版)第八二話より,卑怯者！逃げるのですか！
メアリー,逃がしはしません！主のッ！断罪をッ！受けなさい！！
ターニャ,許さんぞおぉぉ！存在イィィィィィィ！エックスゥゥゥゥゥゥゥゥゥゥゥゥ！！！誰が！！お前を！！お前なんぞを！！信じる！！もの、かぁあああああぁぁぁぁぁ！！！！
サターニャ,ちょっとアンタ大丈夫なの！？
ターニャ,わた、し、は……
サターニャ,ちょ、ちょっとこれ、どうすればいいのよ！？あーもー家に運んでから考えるわよもう！。ふぅ、ふぅ、家に運んだのはいいけどどうすれば……とりあえず見えるところだけでも綺麗にして、バンソーコーとか貼っておけばいいかしら？。お、起きたの？アンタあんなところでボッロボロで倒れてたりしていったいどうしたのよ？。わ、ど、どこか痛むの？あ、どこが痛んでもおかしくなさそうよね、だ、大丈夫？そうだ！痛み止めも家にあるんだった！備えれば嬉しいのよ！。ほら、痛み止めと水！……ってこれ15歳以上用じゃない！どう見ても15歳にはなってないわよね……うっ……すぐに使えそうな痛み止めを見つけてきて泣き止ませてみせるわ！。今度こそ使える痛み止めよ！
ターニャ(ロリボイス),お、おねえさん、あ、ありがとう、ございます……
サターニャ,いいのよ。ふふっ、大悪魔たる私は弱っている子供を放置なんてする訳がないでしょう？大悪魔の余裕ってヤツね。げっ、こんな時間！？ヴィーネ達に怒られるけど……かといって放置する訳にも……
ターニャ(ロリボイス),おねえさん、わたしのことはいいですから、おともだち？のところにいってください
サターニャ,う……事情を説明したらすぐに戻ってくるからくつろいでなさい！。あ、イタズラしちゃ駄目なんだからね！
ターニャ(ロリボイス),はいっ！
ターニャ(悪魔大百科？,大悪魔
サターニャ,戻ってきたわよ！
ターニャ(ロリボイス),あ、おねえさん、これって？
サターニャ,あら、いいものに目をつけたわね。見る目があるじゃない！。これは魔界通販で買ったデビルパイソンっていう銃よ！撃たれた相手は10分間笑い転げるわ！
ターニャ,あはははは！あひっ！いひぃひひっ！あはははっ！
サターニャ,安心しなさい。笑いすぎて死んだりはしないわ
ターニャ,あはっ、あはははははは、いひぃぃぃひひひひひひ。ひぃーっひひひひひひひひ、いひぃぃぃぃぃ！。あひぃっ！あひひっ！ひひひひひっ！
ターニャ(……そもそもコイツはなんて言った、,魔界通販
ターニャ,ひひひっ！あひぃ！くぅぅぅっはっはっはっ！ひぃぃぃぃ！
サターニャ,さっきから顔が色々と凄い事になってるわね……私もこんな風になってたのかしら…………。その、大丈夫だったかしら……怪我してるのに……その、ごめんなさいね
ターニャ(ロリボイス),ふーっ、ふーっ……だ、だいじょうぶですよ、このくらい。その、ぜんぶかすりきずですから
サターニャ,そういえば服もボロボロになってるし結構身体も汚れてるみたいだし身体洗ってくる？服は……まあとりあえず私の服を着れなくは無いだろうし
ターニャ(ロリボイス),い、いいんですか？
ターニャ(,恥ずかしいものが入っているから見るな
ターニャ(ロリボイス),おねえさん、いっしょにはいってください
サターニャ,その、アイツら……私の友達に、アンタを拾ったから、って断って戻ったけどアイツらはアイツらで色々持ってくるから
ターニャ(ロリボイス),そうだったんですか！ありがとうございます
サターニャ,今開けるわー！
ヴィーネ,こんにちは。私はヴィネット。月乃瀬=ヴィネット=エイプリル。よろしくね
ラフィエル,私は白羽=ラフィエル=エインズワースといいます～
ガヴリール,あー、私はガヴリール
ターニャ(ロリボイス),は、はじめまして、わたしはター……
サターニャ,あ、私も名乗ってなかったわね。私はサタニキア。胡桃沢=サタニキア=マクドウェル！魔界の支配者となる大悪魔よ！
ターニャ(ロリボイス),わ、わたしは……
ガヴリール,なんかボロボロだったとかサターニャが言ってたけど、ひょっとして名前が出てこないとか？
ヴィーネ,流石にそんなの現実に早々ある訳ないんじゃないの？
ターニャ(ロリボイス),その、まさかみたいです……ター
サターニャ,名前が出てこないって記憶喪失って事！？大変じゃない！
ガヴリール,まあ、起こり得る事はいつか起きるんだよ
ヴィーネ,そ、その、本当にそんな事になってるなんて考えずに軽く……そのごめんなさい
ターニャ(ロリボイス),い、いえ、そんなしんじられないようなことですから！
ラフィエル,まあ人生色々ですからね
ヴィーネ,ところで……えーっとターちゃん？普段はちゃんと食べているのかしら？
ターニャ(ロリボイス),ふだんはあまり……それにさいきんはもっと…………
ガヴリール,んじゃーとりあえずこれ、食べる？。おお、そんなに目を輝かせたりして、そこまで欲しいのか……
ヴィーネ,ちょっと、身体に……いや、こういう時は早さも必要よね、カップ麺1つで足りる？
ターニャ(ロリボイス),とってもおなかがすいているのでもっとたくさんたべられます！
ガヴリール,水はこれくらいで……と
ヴィーネ,サターニャ、台所借りるわよー……っと、それにしてもやけに活動的ねガヴ……普段からそれくらい動いてくれればいいのに
ガヴリール,小さい子がおなかすいたー
ヴィーネ,ああ、そういう理由で活動的なのね……はぁ…………
ガヴリール,ほーらカップ麺だぞー、あ、箸持ってきちゃったけど箸で平気か？
ターニャ(ロリボイス),はい、だいじょうぶです、ガヴリールおねえちゃん！
ガヴリール,おお、よく食べるよく食べる……ってか食べるの早いな、なんだこの洗練された早さ
ヴィーネ,ターちゃんできたわよー。ご飯は用意できなかったけど、ごめんね？
ターニャ(ロリボイス),わー、つきのせおねえちゃんのりょうりだー！……んっ、おいしいです！。えっといいおよめさんになれる
ヴィーネ,え、ええっ！？
ターニャ(とりあえずの名前を決める話で,ターシャ
サターニャ,ところでターちゃんの呼び名なんだけど、とりあえず仮の名前として何か付けた方がいいんじゃないかしら
ガヴリール,別にいいけどいきなり思いつかないぞ？
サターニャ,ふっ、ガヴリールはまだ思いついてないみたいだけど私はもう思いついているわ！
ガヴリール,そりゃ他人が料理したりターちゃんに付き合っている間に考えてたんだろ
サターニャ,うるさいわよガヴリール！名前を考えるのだって大事な事じゃない！
ラフィエル,お二人共そうやってケンカしてターちゃんを怖がらせるような真似はやめませんか？
サターニャ,ふっ、私が考えた名前はシャイターン、シャイターンよ！
ヴィーネ,却下。そもそもそれ女の子の名前なの？
ガヴリール,本人もなんか微妙な顔してるしダメじゃないか？
ラフィエル,ちょーっと言いにくい名前な気がしますねー
サターニャ,ちょっと集中砲火浴びせてないでアンタ達も名前考えなさいよ！
ガヴリール,えー、じゃあなんか聞き覚えがあるからター坊
