藤居朋,久々に来たわねこの部屋……
緒方智絵里,はい……確か以前は冠番組が決まったというお話をいただいた時に使用した会議室で、少人数での話し合いのために円卓と4つの椅子がある部屋ですが1つの椅子だけが豪華で色々察することができるんでしたよね……
白菊ほたる,誰に説明してるんでしょう……
朋,ま、誰が来るのかは目に見えてるわね
ほたる,はい……
智絵里,ウワサをすれば、ですね……
宮本フレデリカ,……
朋,！？
智絵里,！？
ほたる,！？
フレデリカ,！？
朋,本人も！？
フレデリカ,……
朋,入ってきた……
フレデリカ,……
ほたる,椅子に座りました……
フレデリカ,ふぅ……
智絵里,……
フレデリカ,……部屋間違えちゃった
3人,えぇ……
フレデリカ,……
朋,……
フレデリカ,……
智絵里,……
フレデリカ,……
朋,……
ほたる,……
智絵里,……
美城常務,すまない、待たせてしまったようだな。会議を始めよう
朋,今のくだり必要だった！？
常務,？
朋,ああいや、なんでもないわ……
常務,それは何よりだ……ん？
ほたる,どうかしましたか？
常務,なるほど、宮本がいたのか
朋,え！？
ほたる,ど、どうしてわかったんですか？
常務,どうして？言うまでもないだろう。香水だ
朋,に、匂いで！？
智絵里,わたしがカップラーメンを食べているのに！？
朋,何してるの！？
智絵里,ごちそうさまでしたっ
朋,どこに持ってたの……
ほたる,ですが、フレデリカさんから香水を借りた誰か……という可能性もあったかと……
常務,いや、それはありえない
智絵里,いくら賭けますか？
朋,ちょっと黙っててね
常務,なぜならこの香水は、私が彼女に贈った物だからだ。宮本は他人からの贈り物は自身で使い切る人間だと私は知っている
朋,なるほど……よく見てるわね……
常務,では、無駄話はこれくらいにして
ほたる,今日はどういった案件ですか？
常務,雪合戦をしよう
朋,直前の感心を返してよ
常務,まずはこちらを見てくれ
朋,これは……
智絵里,レトルトカレー……ですか？
ほたる,表紙に未央さんが写っていますね
常務,これは本田未央のミツボシ☆カレーという商品だ。具材が星の形に切られているのがウリだな
朋,へぇ……よく考えられてるのね
常務,味は3種類。まずお子さんも安心の味！：甘口
ほたる,可愛い具材と相まって、よく売れそうですね
常務,次にいたって普通の味：中辛
朋,急に売り文句がド下手に
常務,最後にレトルトなんかに頼らず自炊したらどうですか？：辛口
朋,辛口ってそういうことじゃなくない？
常務,本人はこの説明で売れるわけないじゃん！と言っていたが……
朋,そりゃそうでしょ……
常務,バカ売れらしい
朋,えぇ……
智絵里,バカにたくさん
朋,智絵里ちゃん
常務,今日も辛口が冴えているな……カレーだけに
朋,いや全然上手くないし！
常務&智絵里,HAHAHAHAHA！！！
朋,もう帰っていい！？
常務,さて、この度、我が社では、公式グッズの開発に力を入れるという施策を打つこととなった。このカレーのようにな
朋,なるほど……
常務,売り上げが見込めるのはもちろんだが、五月雨式に新商品を打ち出すことによって、既存の商品との同時購入も促していきたいと考えている。……まあこの辺りは経営判断にすぎない。聞き流してくれ
智絵里,お給料には反映されますかっ？
常務,聞き流してくれ
ほたる,売れなくてもクビにはなりませんか……？
常務,聞き流してくれ
朋,そもそもこのカレーの売り上げはちゃんと未央ちゃんのお給料に反映されてるの？
常務,聞き流してくれ
朋,そこは答えてよ
常務,真面目な話をすると、詳しい割合は言えないが給金には反映される
朋,よかったわね未央ちゃん
ほたる,詳しい割合を伏せるのは……？
常務,ふむ……例えば、例えばの話だ。1000円の商品1つが売れると500円がアイドルに入るとしよう。ありえない率ではあるが
朋,うん
常務,その場合に、SNS等で1つ売れると500円が私の手元に入ります。買ってくださいと呟くなどの販促戦略を打ち出すアイドルが出てくるかもしれない
朋,智絵里ちゃんやりそう……
ほたる,智絵里さんやりそうですね……
智絵里,その手があった……！
朋,良くない顔してる
常務,それを健全なグッズ販売と考えることは難しい。ファンは擬似的に、アイドルに直接お金を渡していることになってしまう。もちろん、ライブも物販もCDも、売れるだけアイドルの懐が潤うことに変わりはないが……ここまで直接的な表現はよろしくない。よって、利益率等は明かせない。すまないが理解してほしい
ほたる,それは仕方がありませんね
朋,ま、そういうのをあたしたちが考えてもね
智絵里,はいっ。お金よりもファンのみなさんのことを考えましょう￥
朋,漏れてる漏れてる
常務,ここまで言えば、この会議の目的がわかるだろう
朋,なるほど、つまり……
智絵里,この後みんなでカレーを食べに行こう、と……
朋,よく今の流れでそこに着地させたわね！？
常務,C◯C◯壱番屋の予約を4人で取ってある
朋,準備の良さも気になるけどそもそも伏せ字になってないでしょ！
常務,というわけで、君たち3人の公式グッズを作ることになった
朋,”というわけで”で押し切られた……
ほたる,どのような商品になるんですか？
常務,そこを君たちに決めてもらいたい
朋,え？決まってないの？
常務,ああ。自身の望まない商品を出されるのも嫌だろう。企画を途中で折られるよりも、むしろアイデア出しを本人にしてもらった方が手間が省ける。アイドル側としても悪くない流れだ
朋,えっと、そのカレーも？
常務,当然だ。本田の意見をほぼ、採用している
智絵里,売り文句は……？
常務,特に指定がなかったのでこちらで決めた
朋,それこそ相談してあげなきゃダメでしょ
常務,3人それぞれ1グッズずつと、ユニットで1つの計4つ。なるべく早めに１次企画案を提出してもらいたい。では何か質問は？
ほたる,予算等の制限はありますか？
常務,特には設けないし、その辺りは企画案をもらってから検討しよう。ただし、現実的な範囲で判断してくれ
朋,ネット販売だけ？イベント開いて手売りとかしないの？
常務,手売りか……モノによっては悪くないかもしれない。その辺りも案として記載してくれれば検討しよう。他には何か？
智絵里,わたしと10分間おしゃべりできる権利を198000円で売りますっ！
常務,ないならお開きにしよう
朋,この後2人時間ある？どっかで話さない？
ほたる,そうですね。早めに考え始めた方が安心です……
智絵里,あの
常務,この部屋を使っても構わないが
朋,でもお腹空いちゃったのよね～
ほたる,ファミレスかどこかに行きますか？
朋,うん、そうしよっか
常務,そうか。くれぐれも社外秘を漏らさないように
ほたる,では、解散ということで……
智絵里,な、なんでやねんっ！
常務,照れ隠しに白菊を殴打するのはやめたまえ
朋,照れ隠しにしては事件性高そうな音だったけど！？。じゃ、早速話し合いを……あ
智絵里,も、もう、朋さんったら……あ
ほたる,2人とも、そんなにお腹空いていたんですか……？
朋,ほたるちゃんのお腹だけスーパーマリオみたいな音してるけど大丈夫？。と、ともあれ腹ごしらえからね！メニュー取って！
智絵里,どうぞっ
