MILLIONTHE@TERGENERATION17の劇中で出てくる神崎水桜ちゃん,役：矢吹可奈
水桜,今日は久しぶりのオフ･･･！。多少疲れは残っているけど街に出て最新のファッションをチェックしつつ、次のロケで使う可愛い私服を探す。地味だけどこういう行動が出来るかどうかで芸能人としての寿命が決まるのよ。光駆ちゃんはその辺適当そうだし、草薙のお嬢様はどうなんだろ。お母さんに服を選んでもらったり、ぷぷ･･･。とにかく、同じユニット内でも一番目立って見せる！。そのためには２人だって出し抜くし、オフだって無駄にしないわ！
星蘭,あら神崎さん、奇遇ね
水桜,草薙ぃ･･･！！
星蘭,くさなぎ？
水桜,いえ、あの、星蘭さん
星蘭,お買い物かしら。昨日のレッスンではあんなにヘバってたのに、休みの日はお元気なのね
水桜,星蘭さんこそ、街とか出てくるんですね。籠から脱走して怒られないんですか？
星蘭,お生憎様。自分の服くらい自分で選ぶわ
水桜,お金が余ってるようで羨ましいですね。スタイリストさんに選んでもらった方が少しはマシになるんじゃないですか？
星蘭,懇意にしてるお店があるのよ。適正な値段でモノが良いお店がね。
水桜,フゥン･･･。気になる･･･草薙家のお嬢様がよく行くお店･･･。星蘭さんのファッションの傾向が分かれば、ユニット内で被らないように選べるかもしれないし･･･。変な服を選ぶようならそれをネタにして話題作りも出来るわ。敵情視察、これは敵情視察･･･！ユニット内で、出し抜かれないための敵情視察･･･！
星蘭,何よ急に、気持ち悪いわね
水桜,ユニット内でファッション情報も共有すれば、ユニットとしてもっと高みを目指せると思いませんか？
星蘭,急に冷静に喋らないでよ、気持ち悪いわね。でも確かに、お互いのファッションセンスについては忌憚なく意見した方が良いかもしれないわね。私、前々から神崎さんのファッションには一言言いたかったの。あざとい？っていうものかしら
水桜,私も歩く現代アートみたいな服装の星蘭さんの隣には立ちたくないなっていつも思ってます
星蘭,は？
水桜,すみません忌憚のない意見を言ってしまいました
星蘭,いいわ、そんなに言うなら今日は私が神崎さんの服を選んであげる
水桜,いえ、それは良いです。ただ星蘭さんの行くお店の情報だけください
星蘭,正直者ね。それなら神崎さんの服をワンセット選ばせてくれるならお店を教えてあげてもいいわ
水桜,クッ･･･、草薙ィ･･･！
星蘭,そんなに嫌なの？
水桜,先週は草薙のお嬢様に付き合わされて散々だった。ダンスレッスンでも張り切っちゃって、あのお嬢様は人の心ってものが分からないのかな。今日はゆっくり身体を休めることにしよう。それでも、家でゴロゴロなんてしないわ！岩盤浴に行って効率よく身体を休めつつ、身体をケアするの！。若いからと言って油断しない。こういう細かいことが後々大きな差になるのよ！。光駆ちゃんは全力でゴロゴロしてそうだし、草薙のお嬢様は友達いないから家で抹茶でも飲んでるんでしょ、きっと。とにかく、同じユニット内でも一番可愛く在り続ける！。そのためには２人だって出し抜くし、オフだって油断しないわ！
星蘭,あら神崎さん、奇遇ね
水桜,草薙ぃ･･･！！
星蘭,くさなぎ？
水桜,いえ、あの、星蘭さん
星蘭,神崎さんが岩盤浴なんて、似合わないわね
水桜,星蘭さんこそ、汗だくで寝そべってると今にも干上がりそうで心配になりますね
星蘭,立ってないで横になったらどう？隣、空いてるわよ
水桜,嫌ですよ。私は反対側に行きますから
星蘭,あら、暑くてヒーヒー言ってる神崎さんが見れると思っていたのに残念だわ
水桜,そんなこと言って大丈夫ですか？もうだいぶお疲れのようですけど
星蘭,お生憎様、レッスンでヒーヒー言ってるような小娘とは性根が違うの
水桜,･･･。安い挑発だけど、これに乗れば星蘭さんはきっと意地でも先に上がらないハズ。正直自分はサウナとかあんまり得意じゃないけど、星蘭さんは既にある程度暖まっている状態･･･。勝てる！そしてこれをネタにして話題作りを･･･！。しかも無理をして草薙のお嬢様は体調を崩すかもしれない、そしたら今度のライブは私の独壇場。挑発に乗ったわけではない、これは戦略的判断･･･！。私、携帯持ってきてるんで。救急車呼びたくなったらいつでも教えてくださいね
星蘭,そうね、神崎さんも辛くなったらいつでもママに連絡して良いのよ？。水分はしっかり取った？頭に何か撒くといいわよ
水桜,御心配ありがとうございます。星蘭さんは自分の身体の心配だけしていれば良いと思いますよ
星蘭,そう、ありがとう
水桜,･･･星蘭、さん
星蘭,なに？
水桜,･･･そろそろ、危ないんじゃ、ないですか？ユニットメンバーの葬式とか、盛り上がらないん、ですけど･･･
星蘭,水桜さんこそ、無理しない方がいいわよ
水桜,星蘭さん、無理しちゃって、体調管理が出来ないなんて･･･プロ失格だと、思います･･･
星蘭,･･･確かにそうね。それなら私は先に上がらせてもらうわ。
水桜,･･･草薙ぃ･･･。先週の岩盤浴では星蘭さんに勝ったけど、釈然としない･･･。レッスンでも収録でも、特にそのことに触れられないのが逆にムカつくわ。ストレスが溜まったら発散しないと、精神にも美容にも良くない。一人カラオケに行って、ストレス解消と同時に歌唱力も向上させてやる･･･！。光駆ちゃんは友達と馴れ合って歌ってそうだし、草薙のお嬢様はカラオケという存在を知らなさそうだわ。とにかく、愛嬌だけじゃなくて歌唱力でも負けるわけにはいかない！。そのためには２人だって出し抜くし、オフだって練習するわ！
星蘭,あら神崎さん、奇遇ね
水桜,草薙ぃ･･･！！。どうして草薙のお嬢様がカラオケなんて俗っぽいところにいるんですか？
星蘭,失礼ね、私だって高校生なのだけれど
水桜,それで一人でカラオケに来たんですか？友達いないんですか？
星蘭,そのままそっくり貴方にお返しするわ。私は発声方法で確認したいところがあって
水桜,私だって歌の練習をしに来たんですー！友達くらい沢山いますー！
星蘭,そう。練習だったら見てあげてもいいけど
水桜,嫌です！どうしてカラオケに来てまで星蘭さんと一緒にいないといけないんですか！
星蘭,それもそうね、別々の部屋を取りましょう
水桜,当たり前です！。どうして、隣の部屋同士に･･･！
星蘭,～♪～♪
水桜,星蘭さん、マジで曲流さずに発声練習してるし。マジメか！。選曲も選ばないといけないし、やりづらいなぁ･･･。まぁ無難に、アイドルの曲でも･･･。キラリ！Girly×Cuteな憧れを～
星蘭,神崎さん、その歌い方は喉を傷めるわ
水桜,入ってこないでよ！！！
星蘭,あと入りの音が少しズレていたわ。本来はキラリ！
水桜,聞かないで下さい！！！っていうか良い耳してますね！！！。そんなに言うなら、星蘭さんもこの曲歌えるんですか？
星蘭,当たり前でしょう。芸術の草薙と言われる所以、見せてあげるわ
水桜,草薙家の安売りが過ぎません？
星蘭,キラリ！Girly×Cuteな憧れを～
水桜,うわぁノリノリ。動画撮って後でSNSに流そうっと
星蘭,ちょっと、合いの手くらい入れなさいよ
水桜,え、マジですか？
星蘭,当たり前でしょ
水桜,ルーティン！
星蘭,抜け出して
水桜,ゴーイン！
星蘭,らしくね
水桜,ショーウィンド！
星蘭,映るSmilin'
水桜,何これ･･･。まぁいいや、後でSNSに流して星蘭さんを笑いものに･･･
光駆,･･･水桜ちゃんと星蘭さん楽しそうだなぁ
