QRK,急に梨沙が上位で来たので
光,急にどうしたの
梨沙,光が泥棒役の演技に苦労してるみたいだから、手伝ってあげようと思って
光,あ……うん、実はそうなんだ。ごっこ遊びでもいつもヒーロー役ばかりやってるから
梨沙,でも、ヒーロー番組いっぱい見てるんだから、それだけ悪役の姿も見てきてるはずでしょ？それの真似すればいいんじゃないの
光,わかるのと自分が演じるのとはまた別だろ？難しいよ、やっぱり
梨沙,なるほどねえ。まあいいわ。だったらなおさら練習が必要ってことよね
光,うん。やる気はあるし、何かいい方法があるならどんどん試して行こうと思う
梨沙,フフフ、よくぞ言ったわその言葉
光,こういうイタズラっぽいニヤニヤ顔が自然にできればいいんだけどな
梨沙,というわけで、今回アタシが提案する練習は
光,ドキドキ
梨沙,ズバリ、盗みの練習よ！
光,ぬ、盗み？
梨沙,アタシも光も物を盗む役だし、一緒にやれば一石二鳥ね
光,ちょっと待って。劇の中ならともかく、現実で盗みなんてやったら犯罪だぞ
梨沙,大丈夫よ。ちょっと知り合いの小物でも持って行って、ばれなかったらすぐに元の場所に返すだけだし。これなら麗奈がいつもやってるイタズラと同じよ
光,アタシはイタズラもやりたくないんだけどな……
梨沙,いいじゃない、一回くらい。何事もケイケンってやつよ
光,うーん……
梨沙,というわけで、まずはアタシがお手本を見せるわ。ターゲットは……あそこのソファーで寝てる飛鳥のエクステよ
光,エクステって……髪にくっついてるのにとるのは無理じゃないか？
梨沙,よく見てみなさい。うつぶせで寝ている飛鳥を。片方のエクステはちゃんとつけてるけど、もう片方は頭の上に乗っけてるだけよ
光,あ、ほんとだ……って、なんでそんなシュールな状態に？
梨沙,多分さっきのレッスン中はエクステを外してて、戻ってきてまたつけようと思ったんだけど、片方つけたところでめんどくさくなってそのまま寝たって感じね
光,飛鳥ってそんなに雑な性格だったっけ
梨沙,暑さは人をダラクさせるのよ。そーっと、そーっと
飛鳥,ｚｚｚ
梨沙,………。………
飛鳥,ｚｚｚ
梨沙,よしっ。あとは引き返すだけ。ひっ！？
飛鳥,ボクの身体を奪おうとするのは誰だ……。カエセ、カエセ……！
梨沙,きゃーーっ！。って、なんでホラー風なのよ！
飛鳥,暑いから肝試しでもと
梨沙,まともな理由になってない！暑さでキャラがおかしくなってるわよアンタ
飛鳥,どんなキャラであれ、ボクが己の意思で演じているのであれば、それもまたボクを構成する人格の一部さ
梨沙,まーたわけわかんないことを
光,というか、エクステは身体の一部だったのか……
飛鳥,なるほど、役作りか
光,実はそうなんだ
飛鳥,だったら……そうだね。まずは表情から入ってみるといいかもしれない
梨沙,表情？
飛鳥,視覚的情報は人間にとって重要だからね。見た目がそれらしければ、観客にも悪役らしく映るだろう。たとえば光。宝石を盗んでご満悦な大泥棒の顔、できるかい
光,え、えーと……こんな感じ？にひひ
梨沙,ちょっと笑顔がさわやかすぎない？
光,そうかな。自分じゃ悪い感じにしてるつもりなんだけど
飛鳥,今はうまくいかなくてもいい。これから悪い顔のできるお手本を呼んでくるから、彼女を見て練習すればいいさ
光,お手本？
飛鳥,呼んできた
時子,アァン？
梨沙,あ、悪い顔だ
光,敵の女幹部にいそうな顔だ。さっそくお手本にして真似てみよう！
時子,……なに、この状況は
飛鳥,アイドルとして一歩先に進むための練習。申し訳ないけど、付き合ってほしい
時子,練習？……まあいいわ。今は比較的気分がいいから付き合ってあげてよ。ほらそこ、もっと相手を見下すつもりで笑いなさい！
光,は、はいっ
時子,相手は豚よ！泥棒に宝を盗まれた愚かで哀れな豚。だから思い切り嘲り笑ってやりなさい！
光,ぶ、豚って、さすがにそれはやりすぎじゃ
時子,復唱！豚ァ！
光,うわっ！？ぶ、ぶた！
時子,違う！豚ァ！
光,ぶ、ぶたっ！
時子,ほらそこの貴方もやるのよ！
梨沙,へ？アタシ？
時子,貴方も泥棒役やるんでしょう
梨沙,いや、アタシの怪盗役はなんかわけありっぽいし
時子,ワケありだろうがなんだろうが盗みをやる時点で悪よ。つべこべ言わずに復唱しなさい
梨沙,は、はいっ。ぶ、豚！
飛鳥,泥棒じゃなくて何か別のものの練習みたいだ
光,つ、疲れた……
梨沙,なんでアタシまで……
飛鳥,お疲れ様。なかなか悪い顔ができるようになったじゃないか。時子さんも満足気な表情で帰っていったよ
光,そ、そうかな
飛鳥,あとで鏡を見てみるといい。悪魔の笑みが浮かべられるようになっているよ
光,なら、とりあえず表情の課題はクリアだ。やった！
梨沙,アタシも自分があそこまで悪い顔できるとは知らなかったわ。さて、見た目はよくなったから、あとはそれ以外の演技ね
飛鳥,身振り手振りとか、声とかだね
光,それの練習にも苦労してるんだ。悪役がどんなものかっていうのはわかってるつもりなんだけど
梨沙,アタシも光の演技は見てるけど……うーん、なんか足りないような気がするのよね。いや、もちろんアタシの演技もまだまだなんだけど
光,お互いもっと練習しないとな……
飛鳥,ボクもそのあたりに関しては、アドバイスできるような知識は持ち合わせていない
？？,困っているようね
飛鳥,ん？
光,あ、あなたは！
ヘレン,ヘイ！
光,ヘレンさん
ヘレン,役者の演技に大事なもの。それは自分らしさを出すことよ
飛鳥,自分らしさ？
ヘレン,もちろん役を無視するのはナンセンス。与えられた役という制約の中で、いかに己を表現できるか。それが世界へ続く道よ
光,己を表現……でも、アタシらしさって言ったら、やっぱり正義のヒーローだし。悪役の中でそれを出すのは難しいというか
飛鳥,……あぁ、なるほど。そういうことか
ヘレン,どうやらあなたも理解したようね
光,え、え？
ヘレン,光。あなたの本質は正義以外にもきちんと存在するわ
飛鳥,そもそも極論を言うと、本質が正義だなんて人間はいないだろうし
ヘレン,あなたの本質。それはどこまでも真っ直ぐに、ひたむきでいられること
飛鳥,それを悪役で活かせばいい。真っ直ぐひたむきな悪。悪逆非道の限りを尽くせばいい
ヘレン,そう、それがあなたの
ヘレン・飛鳥,世界レベルの演技！
光,世界レベル……
梨沙,え、なに。アンタたち、ふたりで打ち合わせでもしてたの。めちゃくちゃ息ぴったりなんだけど
ヘレン,フッ。二宮飛鳥、あなたもなかなか飲みこみが早いようね
飛鳥,ボクとあなたは、共鳴し合うものがあるのかもしれない
梨沙,飛鳥ワールドとヘレンワールドが融合しようとしている……ものすごくカオスになりそうな予感
光,そうか……真っ直ぐ、ひたむきに。それがアタシらしさ。なんだかいろいろ見えてきた気がする
梨沙,……まあ、光の悩みが解決したんならいっか
P,飛鳥。光の演技のこと、手伝ってくれたらしいな
飛鳥,たいしたことはしてないさ。彼女を助けたのは、大人達の力だよ
P,だとしても、君や梨沙が頑張ってくれたことに変わりはないだろう
飛鳥,……まあ、そういうことにしておいてもいいよ
P,でも、ちょっと意外というかなんというか。正義とか悪とかの話になったら、飛鳥はその定義について持論を語ったりするのかと思ったよ
飛鳥,それは今回の光の求める答えとは違うだろう。あくまで彼女の正義と悪の定義を前提にしたうえでの演技の悩みだったんだから。話の腰を折ってまで自分の考えの理解を要求するほど、ボクは子どもじゃないつもりだよ
P,なるほど。それもそうか。あれ？でも、俺にはよくいろんなことの理解を求めてきてるよな。あれはどういうことなんだ
飛鳥,………。キミは例外だということさ
P,ん？
飛鳥,それこそ、ボクの気持ちを理解わか
光,今回の泥棒は根っからの悪。どこまでも悪。それは逆に言えば、はっきりとした信念を持っている証拠だ。信念があるのはヒーローだって同じ！だったらアタシだって演じられるはず。よし！アタシらしく悪党を演じてやる！
若葉,光ちゃん、なんだか今日は元気～
千夏,なにか、気づいたことがあるのかもしれないわね
梨沙,さて。光も吹っ切れたみたいだし、アタシも自分の演技頑張らないと。といっても、セクシーな怪盗役ってアタシにはまり役だし。このまま練習を続けたらきっとうまくいく――
愛梨,今日は暑いですねー。脱いでもいいですかぁ？
美波,ダメだよ愛梨ちゃん。女の子しかいない場所でも脱いではいけません
雫,こう暑いと、気持ちもわかっちゃいますけどね
梨沙,………。セクシーな役作り、しようかな
PMD,パーチケなんてマストレしか出ない
