緻華(千歌),数取団突込総長やらしてもらってる緻華だけどよぉ…
緻華,今日はいつもとは違う形でバンバン輝かせてもらうんで夜露死苦ぅ!!
一同,夜露死苦ぅ!!
哩虎(梨子),数取団二級乱闘生の哩虎だけどぉ
哩虎,この間うちのノクターンの絵を見た奴らからお前本当に美術部やってたのかって疑いかけられちまった…。あれは哩嘉虎の姉貴が描いたやつなんで夜露死苦!!
妖(曜),数取団二級乱闘生の妖だけどよぉ…
妖,さっきこのくだり練習してたら、緻華ちゃんにあ、妖ちゃん！それは妖ちゃんの名前と語尾の"よぉ"をかけて…とかなんとか食いつかれたぜぇ。ダジャレじゃないんで夜露死苦ぅ!!
夜紫乎,クックックッ…数取団堕天使の約翰(ヨハネ)…。…ってスタッフ!!勝手にテロップ夜紫乎に変えるな!!。こっちのキャラでも堕天使は堕天使なんで夜露死苦!!
華魔留(花丸),数取団三級乱闘生の華魔留ずらぁ
華魔留,このキャラやってる時なら安心してオラオラ言って大丈夫だってさっきスタッフさんに言われたずらぁ。うまいこと言ったつもりずら？夜露死苦ぅ!!
紅玉,数取団三級乱闘生の紅玉(ルビィ)だけどぉ。このコーナーやるって決まってこの衣装の写真を理亞ちゃんに見せてみたら。ルビィがグレたら私はどうすればいいんだって半泣きで心配されちまったよぉ…。あの子ああ見えてピュアなんで夜露死苦ぅ!!
金剛,数取団一級乱闘生の金剛(ダイヤ)ですわぁ。先ほど楽屋で衣装合わせをしていた際ですが。着方がきっちりし過ぎていてどちらかと言うと応援団に見えると言われました…。スクールアイドルとして応援される側でもいたいので夜露死苦っ!!
渦灘(果南),数取団一級乱闘生の渦灘だけどよぉ
渦灘,こないだネットで、Aqoursの周りに男が全然いないのは私が片っ端から捻り潰してるからってことにされてた…。私普通に人間なんで夜露死苦ぅ!!
マリー(鞠莉),数取団一級乱闘生のマリーデース！
マリー,私もいろんなStoryで、人の好感度が見えるメガネとか変な薬とか色々開発したことにされてるけど…。そういうの本当にあったら是非giveme！夜露死苦ぅ♪
緻華,はい！というわけでAqoursの9人で数取団をやるぞー！
マリー,Yeaaaaah♪
哩虎,また妙な企画を拾ってきたわね…
金剛,全くですわ…これだけの為にこのような衣装まで
夜紫乎,妖も紅玉も変なところに気合い入れてるわよね…
妖,えへへ～♪まあ、今回はアレンジ元のベースがもらえたから割と簡単だったけどね
