山風,あの…ネクタイ…あげる。どうぞ…
皐月,最近運動不足みたいだね！はい、プレゼント。ランニングシューズだよ！
響,いい酒が入ったんだ。おすそわけさ
提督,？？？
大淀,おや、提督。両手にいっぱいプレゼントですか。人気者ですね
提督,あれ？俺今日誕生日だっけ？
大淀,いやですねぇ今日は父の日ですよ
提督,……なんの関係が？
大淀,提督お正月にお年玉何人渡しました？
提督,100人くらいほぼ100万かかった。毎年100万なかなかの出費
大淀,クリスマスにはなにをしました？
提督,サンタの服着てこれも100人くらいにプレゼント200万は払った
大淀,先日、文月ちゃんの誕生日プレゼントの服アレ結構いいお値段ですよね？
提督,望月の時switch買ってあげちゃったからさ姉妹で金額差大きいと
大淀,なるほどなるほど子供相手だと気前のいいこと。そんでもってよく遊んであげてますよね？
提督,サッカーとかするとあいつら体力無限なんだよなーそうか、だから皐月はシューズを
大淀,例えば最近誰と遊びました？
提督,島風とかけっこ。清霜とコロラドごっこ。漣と一緒に海防艦達へお遊戯会とか。あとはそうだなー。初雪にお手玉教えて、こないだ卯月弥生はボードゲーム持参で部屋に
大淀,やってること父親やん！。休日に子供と遊んであげる優しい父親やん！
提督,あと勉強も教えているやはり戦いの経験だけでは将来が不安で
大淀,超絶いい父親やん！。それ6年続けたらまぁ父の日にプレゼント渡す感じになりますよ
提督,別に父親になりたいわけでは
大淀,ええ、知ってます
提督,どのような理由であろうか。あんな年端もいかぬ子が戦場に…なんと哀れな。私は大人として当然の慈愛を与えているだけだよ。言わば足長おじさんというやつだな
大淀,…足長おじさんは子供を性的に見ませんが
提督,うぐっ
大淀,忘れもしませんよあの駆逐艦たちの毛髪コレクション。朝潮ちゃん改二時の落胆顔。時津風が膝に乗ってきたとき慌てて下した瞬間。あなたの股間は膨らんでおりました。単にロリコンだから子供に優しいだけだろ
提督,て、手は出していないからロリコンではない
大淀,欲情している時点でロリコンだよこのクソ変質者
提督,少しは認めてくれよぉ。ジャーヴィスは抱っこをせがんでくる。寝転がっていると佐渡とか占守とか小さいのが上に乗ってくる。ちょっとテレビを見はじめようなものなら周囲に群がる睦月型。嗚呼なぜ俺は極上の女性に好かれ囲まれ手が出せない
大淀,刑法だよ
提督,しこしこ僕悪いロリコンじゃないよ
大淀,幼女をおかずにしてるその事象が有罪です
提督,溜まったらマジでやっちまう
大淀,とりあえず誰か合法艦娘を嫁にしとけばいいんじゃないですか？。好みじゃなくても抱いてりゃ性欲発散できるでしょ
提督,お前、他人事だと思ってどんだけ失礼。大体俺みたいなクソロリコンに結婚してくれる相手なんて
電,あ、あのお話し中のところ申し訳ないのですが…
提督,ん？何かな？
電,その…父の日だからではないですが日ごろの感謝を込めて。プレゼントでネクタイなので……あっもう持ってる。ううう他の子と被ってしまったのです。これは返品ありがとう！！
提督,ありがとう嬉しいよ！！
電,へ？でもネクタイはもう
提督,なにを言ってる？ネクタイは毎日変えるんだよ？。わーいこれで7本目が埋まったうれしいなぁ。これで毎日働けるよありがとうお返しはきっとするからねじゃバイバイ～
大淀,……。全員にそんな感じに接してれば嫁が5，6人できるぞ
提督,マジで？じゃ五月雨あたりと接してくる
大淀,幼い幼い
提督,なにぃ？五月雨まで行けば合法ではないのか？。ま、まさか陽炎黒潮ランクまでいかないと非合法だとでも？ちょっと俺には熟れすぎて
大淀,嫁探すなら最悪でも重巡あたりな
提督,そんな！？。あんなオバ〇×△□？
大淀,……控えめに言って最低ですね。嗚呼、なんで神はこんな屑を若くして提督になれるほどの上級国民として生んだのでしょうか？
提督,いぇーい父親元帥俺高学歴エリートグレート世襲だyo!
大淀,金持ちのボンボンが……
？？？,では本日の結果報告を行うよ。全員プレゼントを渡すだけ距離を縮めるには至らず。それどころか危うく嫁を斡旋されそうになっていたのです。要反省…だね。奴が骨の髄までロリコンであることは確認している。だが襲いはしない。恐るべき自制心だ。けれど一度たった一度誰かに手を出してしまえば…。もはや我慢できるわけありません。ロリ王ハーレムの誕生っぴょん。皆で…豊かな暮らしを…手に入れる！
？？,んー？なんかわかんないけどたぶんまかせといて！。負けるはず…ないわ
次週,校長への一歩
