ーつくづく思うわ。,恋ってすごい
アナタに恋して、こうして恋仲になって……。昔は、,恋をすると人は弱くなるんじゃないか
それに、よかったことも多いと思うのよ。アナタと付き合ってから,もっと綺麗になった
それに…アナタが私の背中をいつも見守ってくれている。そう思うだけで私、どんなに落ち込んでも,頑張ろう
だって、私が誰よりも愛してる人が,頑張れ
夏葉,ーシ出る時に耳元で可愛い
P,え、それが言いたかったの？
夏葉,そうよ！いつもいつも耳元であんな…！
P,…でも、夏葉もかけて欲しい言葉なんだろ？
夏葉,そ、そうだけど…！でも、もっとこう、最初以降は言わないで欲しいの！
P,…えっと、最初っていうのは具体的には？
夏葉,服を脱がせてキスするとこまで！そこで言われる綺麗だ
P,いや、序盤も序盤じゃん…
夏葉,アナタはもう知ってるでしょう！？私が、その、あれよ。何回もその……セッ……シてるんだから…
P,…ああ、夏葉、意外と感じやすいというか、言葉に弱いというか…
夏葉,そこは言わなくていいのよ…！ああもう、いつもいつもアナタにあんな痴態を…！
P,痴態ってそんな。すごく可愛いのに
夏葉,…っ！う、うるさいわ…！
P,お腹の辺り撫でるとビクッとしたり、首に手を回してたくさんキスをせがんできたりさ…
夏葉,そ、それも言わなくていいのよ！
P,でもさ、俺だって夏葉を恥ずかしがらせようとして言ってるんじゃなくて俺なりに無我夢中で夏葉を愛して気持ちよくさせたいからー
夏葉,〜！もうっ！
P,いたた…はは、可愛いなあ夏葉は
夏葉,っ…今はそんなの聞きたくないわ！
P,…
夏葉,な、何よ…
P,…夏葉は可愛いよ
夏葉,〜！
P,夏葉…愛してる
夏葉,んぅ…！ん…！ちゅ…ぅ…はぁっ…
P,……ぷはっ
夏葉,…………ばかぁ
P,…ごめんごめん
夏葉,……いじわるよ
P,…はは
夏葉,なにがおもしろいのよぉ…
P,いや、面白いって言うか…嬉しくて。夏葉のこんな可愛いところ見られるの、俺だけの特権だなって思ったらさ
夏葉,…………ばか
P,ごめんごめん……あ…えっと、夏葉？
夏葉,ん……ん、ちゅっ……
P,んあっ……あの、キスマークは仕事に支障が出るからつけないはずじゃ
夏葉,そんなの…ちゅう…忘れたわ…
P,困ったな…
夏葉,いじわるなアナタへの…オシオキよ…
P,……っあ
夏葉,んっ……ふぅ……ふふ、アナタの首筋にオシオキの証、付けちゃったわ
P,…やっぱり夏葉だなあ
夏葉,どんなことでも負けず嫌いなの、私
P,ああ。知ってるよ。それでこそ俺の好きな夏葉だ
夏葉,……ふふ♪
P,夏葉…
夏葉,プロデューサー…
P,…汗の匂い、すごいな
夏葉,…あんまりかがないで。汗っかきなのよ
P,夏葉の汗の匂い、俺は好きだよ
夏葉,…そういうフェティシズム？
P,違うよ。夏葉のだからいいんだ。夏葉のだから…顔も声も髪も身体も汗の匂いも、全部愛おしくて…興奮する
夏葉,…ふふ。ベタ惚れってヤツね？
P,ご名答
夏葉,…私もアナタの全部が好きよ。そういえば最近身体つきがたくましくなったわね…胸板も厚くなったような…
P,夏葉のトレーニングの賜物だな。せっかくなら、うん。夏葉好みの身体になりたいし
夏葉,あら、そう？それならもう少し筋肉をつけて欲しいわね
P,ボディビルダーくらいとかは無理だぞ？
夏葉,………………そう
P,や、シュンとしないで。無理だからな？
夏葉,ふふ、冗談よ
P,はは、それは良かった
夏葉,…プロデューサー
P,ん……
夏葉,……
P,……ふぅ。はは、何回もキスしてるからお互い顔がベトベトだ
夏葉,プロデューサー？
P,んー？
夏葉,…愛してるわ。アナタは？
P,聞くまでもないだろ。…愛してるよ。世界一
夏葉,くすっ、ええ。私もよ…
P,……さてと、そろそろ片付けようか。ずっとしてたからすごい匂いだ。シーツも洗濯しなきゃな。あ、その前に風呂沸かして来ようか
夏葉,待ちなさい
P,え
夏葉,何、勝手に終わらそうとしてるのかしら？
P,…え。だって、終わったじゃないですか
夏葉,ええ。休憩がね
P,…………え。いやいや、無理だって！
夏葉,私、無理
P,だって、俺もう、3回もー
夏葉,こんなこともあろうかと夕飯は精の付くものをたくさん出したのよ？私の…あ、愛情だってたくさん込めたわ。まだまだイケるはずよ
P,過信だって！……んぁ！
夏葉,ふふ…アナタのここ、まだ元気じゃない
P,それは夏葉が触ってくるから…！
夏葉,つまり私に欲情してるのでしょう？良かったじゃない。その私がシたいって言ってるんだから。ほら、見て？足を絡めて、アナタの大好きな私の胸も押し付けて…
P,…っ！
夏葉,…プロデューサー、私、負けず嫌いなの。今日は……私が満足するまでするわよ
P,そんな、無理だって！
夏葉,プロデューサー
P,な、夏葉？
夏葉,……ふふ、知ってるわ。いつものお返しをして欲しいのよね？
P,な、何を言ってるんだ…？
夏葉,……
P,っ！
夏葉,ふふ…♪やっぱり。アナタ、耳が弱いのよね？息を吹きかけて耳元で囁いてるだけなのに反応が他とは違うものね…
P,な、なつは…
夏葉,蕩けた顔、とっても可愛いわ…
P,ほんとにもう、無理だってー
夏葉,そんなに急かさなくても、いつものお返し。……アナタが今言って欲しい言葉、ちゃーんと言ってあげるわ…。…プロデューサー、頑張れ♡。……
P,……
夏葉,…………なんで逆転されるのよ
P,夏葉が弱いからじゃ…
夏葉,…っ！も、もう1回よ！今日は休みだもの！私が勝つまでするわよ！
P,いや、もう本当の本当に無理…何も出ない…
夏葉,プロデューサー！頑張りなさい！さあ、立ち上がって！
P,俺のソレに向けて激励を送らないでくれ…また今度再試合を受け付けるから
夏葉,〜！もうっ！
