清良,あら……包帯の備蓄が切れてるわね
ぷちきよ,ｱﾗﾗ…
ぷちかれ,ﾎﾟﾃｪ。ｸﾞﾝｿｰ
亜季,おや、ぷちかれ殿。いかがされましたか？
ぷちかれ,ﾀｲﾎｳﾁｮﾀﾞ!
亜季,何……ですと……！？
ぷちかれ,ｵﾁﾊﾞｱﾂﾒﾀﾖ
ぷちかれB,ｲﾓﾓｱﾙﾖ
ぷちかれC,ｱﾄﾊﾋﾀﾞﾈ
ぷちかれD,ﾔｷﾀｲﾖ…
ぷちかれE,ﾂﾚﾃｷﾀ!
イャンガルルガ,ｷﾞｬｱｱｱｯ!
ぷちかれ達,ﾎﾟﾃｪ……
ぷちかれ,ｲﾓﾓｵﾁﾊﾞﾓﾌｯﾄﾝﾀﾞﾖ!
ぷちかれB,ﾎﾟﾃｪ…
ぷちかれC,ｵﾁﾊﾞｱﾂﾒﾀﾖ
ぷちかれD,ｲﾓﾓﾏﾀﾞｱﾙﾖ
ぷちかれ,ｱﾄﾊﾋﾀﾞﾈ
ぷちかれE,ﾂﾚﾃｷﾀ!
山本元柳斎重國,万象一切灰燼と為せ
ぷちかれ達,ﾏｯﾃｰ!
ぷちかれ,ﾔｷｲﾓｶﾞﾎｼｲﾓ
ぷちかれE,ﾎﾟｲ
ぷちかれ,ｺｹﾞｲﾓﾁｶﾞｳ
ぷちかれE,ﾎﾟｲ
ぷちかれ,ﾜｶｯﾀ?
ぷちかれE,ﾏｯﾃﾃ
ぷちかれ,ﾎﾟﾃｪ?
ぷちかれE,ﾂﾚﾃｷﾀ!
焼き芋の屋台,いしや～きいも～
ぷちかれ達,ﾎﾟﾃｪ…
ぷちかれ,ﾔｷｲﾓｰ…
志々雄,終の秘剣…！
サカズキ,消し炭にしちゃるけぇ
サスケ,この眼は闇がよく見える…
飛影,邪眼の力を舐めるなよ…
ぷちかれE,ｺﾚﾅﾗﾄﾞｳﾖ
ぷちかれ,ﾓｰｲｰﾎﾟﾃ…
一般通過澪田唯吹,ｶｾｯﾄｺﾝﾛｫｵｵ!!
ぷちかれ,ﾎﾟﾃｪ?。ｵﾁﾊﾞｱﾂﾒﾀ
ぷちかれB,ｲﾓﾓｱﾙﾖ
ぷちかれC,ｱﾄﾊﾋﾀﾞﾈ
ぷちかれE,ﾓﾃｷﾀ!
ぷちかれD,ﾅﾆｺﾚ
ぷちかれE,ﾋﾀﾞﾖ!。ｵｲｼｲﾖｶﾗｲﾉ
ぷちかれ,ｵｲｼｲﾈｴ♪
ぷちかれB,ﾔｷｲﾓﾔｷｲﾓ
ぷちかれ,ﾎﾟﾃ!。ｵﾁﾊﾞ!
ぷちかれB,ｲﾓ!
ぷちかれC,ﾋﾀﾞﾈ
ぷちかれD,ｻﾞﾂﾆﾅｯﾀﾈ
ぷちかれE,ﾂﾚﾃｷﾀ!
ヒロミの飛竜,ｷﾞｬｰｵｳ!
ぷちかれ,ﾎﾟﾃｪ……
ぷちかれE,ﾋﾀﾞﾈ
ぷちかれ,ﾏｯﾃｰ!
ぷちかれB,ﾊﾀｹﾏﾙﾔｷ!
ぷちかれC,ﾔﾒﾃｰ!
ぶつかれE,ﾎﾟﾃﾝﾄﾞｰﾝ!
信玄,ぬるーい！！もっと腹の底から声を出してかかれい！
ぶつかれE,ﾎﾟﾃﾝﾄﾞｰﾝ!!!
幸村,佐助、あれは前田家のまつ殿のもぐらでござろうか…
佐助,いやぁ、アレ世界観から違うと思うんだけど…
でも当初の目的,焼き芋
ぷちかれ,ﾋﾀﾞﾈ
ぷちかれE,ﾂﾚﾃｷﾀ!
四天王のオーバ,………………………
ぷちかれE,ﾎﾟﾃｪ?
※燃え尽きたオーバ,ポケモン
ぷちかれ,ﾋ
ぷちかれE,ﾂﾚﾃｷﾀ!
ヒロミ,わわ、引っ張らないでよぷちかれちゃん。な、なに！？
ぷちかれE,ﾎﾟｯﾃﾝ!
ガルルガ,ｷﾞｬｱｱｵ!
山本元柳斎重國,儂に敵うと思うてか…
サカズキ,派手な葬式は嫌いか……？
永沢君,やめてくれ……やめてくれ…
ちーあか,ﾎﾞﾝﾊﾞｱｱｱｱ!
ふぁいともか,ﾌﾚﾌﾚｺﾞｰｺﾞｰ!
P,事務所が溶けるわ他所でやれ！！！！！。こっちはちっともめでたくない！！！！
みなみけ保坂,………ムゥ、やはり弁当だ…そうに決まっている
ぷちかれ,ﾎﾟﾃｪ?
保坂,となると、メインの料理を何にするか…南ハルカが喜ぶ何か…作ってみせよう…必ず
ぷちかれ,ﾅﾏｲﾓｰ
保坂,生……そうか生か…生野菜は確かに栄養価が豊富だ
芋を持った保坂,野菜は加熱してしまえば消えてしまう栄養も……生なら満遍なく摂る事ができる……ビタミン云々……カロテン云々…
加蓮,ぷちかれー、帰るよー
ぷちかれ,ﾎﾟｰｲ!
保坂,ムゥ……生か……生はいい…そうに違いない……
速水,保坂～、今日も懲りずに作ってきたの、お弁当
保坂,懲りるとは何の事だ。決まっているだろう、1日たりとこの弁当作りを欠かした日はないぞ
速水,渡せた日もないけどねー。で、何作ってきたの？
保坂,いや……この弁当箱には何も入ってはいない
速水,へ？
保坂,俺は気付いたのだ……生で野菜を摂らせようと言うのなら、土の状態や温度、陽の当たり方、何より丹精込めて作った野菜でなければこの想いは届かないと
速水,…つまり、どういう事？
保坂,ふ……今日も放課後は家庭菜園で弁当作りだ……最高のものを作ってみせよう…そう…最高の生芋を……！
速水,何で脱ぐの保坂…
保坂,待っていろ……南ハルカ！！！
ちひろ,へくちっ
未央,あれ、ちひろさん、風邪？
ちひろ,いえ……もしかして、誰かが噂をしているのかも……？
ぷちみお,ﾍﾝﾅｼﾞﾀｲﾀﾞｰ…
