若林智香,あっ！おはようございますプロデューサーさん！
モバP,おはようさん。なんでこのクソ寒い中路上でチア姿なんだ？
智香,朝早くからお仕事に向かう皆さんを励まそうと思って！
モバP,そうか、汗が冷える前に中に入るんだぞ
智香,はいっ！
モバP,いい返事だ。それと、いいアンスコだ
智香,どこみてるんですか？・・・それはともかく。プロデューサーも！今日こそ成し遂げてくださいね！
モバP,おう、今日こそ説き伏せてみせるさ
高垣楓,おはようございますプロデューサー
モバP,おはようございます。始業時刻はまだですが、誰かと待ち合わせですか？
楓,いいえ・・・？どうしてですか？
モバP,自販機コーナーに人がいるのって大体はレッスン前後ですし
楓,そうですか、これは私の日課です。
モバP,日課？
楓,実は毎日自販機コーナーのラインナップをチェックしてたんです
モバP,そうなんですか、何か飲みたい飲み物でも？言ってくれたら申請なりなんなりしますよ？
楓,いいんですか？プロデューサーは仕事が多くて忙しいと聞きましたが
モバP,いえ？仕事量は適切ですよ？僕が無能なので無駄に時間がかかっているというだけです
楓,はぁ・・・そうですか、それで何か希望を伝えてもいいんですか？
モバP,ええ、楓さんの希望なら通るでしょうし
楓,でしたらいくつか飲みたいお酒の銘柄が
モバP,始業準備があるので失礼します、今日も頑張っていきましょう
楓,・・・・・・しゅーん。・・・・・・・・・プロデューサーも、頑張ってくださいね？
モバP,(階段を上がり、レッスンルームを窓越しに覗く)。(朝一のレッスンに備えたアイドルたちが各々柔軟運動していた)。(しかし、僕にはやるべきことがあるのでさらに階段を上がる)。(３階は事務室、その入口を抜けると僕は机の間を歩いていく)。(いやがうえにも緊張してしまう、今日こそ上手くいくといいのだが)。(大丈夫・・・大丈夫だ・・・今回は給料三ヶ月分も貯めたんだからな)
千川ちひろ,おはようございます、プロデューサーさん！
モバP,おはようございます。ちひろさん、ちょっといいですか・・・？。ガチャを引かせてください
ちひろ,ダメです
モバP,ｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱ!!!。なんでや！なんでガチャ回したらあかんのや！！
土屋亜子,似非関西弁やめーや、まぁ最近ガチャ事業周りは厳しいしなぁ
モバP,プロデューサーやぞ！うちプロデューサーやぞ!!
亜子,レア排出率も表示せなあかんようなったし、商法として苦しいんかなぁ・・・
モバP,合意の上だから！！合意の上だから！！
亜子,買春現場を抑えられたオッサンか。ちひろさんもガチャの窓口やから、慎重になってるんやろうな
モバP,なんでだよスタージュエル売ってくれよぉ・・・！
亜子,ちひろさんもアホやないし、下手にPちゃんから毟って"ガチャのせいで生活貧窮"なんて醜聞は避けたいんやろ
モバP,僕はそれでも構わない！
亜子,ちひろさんの気持ちも分かったげてーや。これ以上世間からガチャに悪い印象を持たれたくないんや
モバP,ただの需要と供給じゃないのか！？僕は合意の上で買い物をしているだけだ！
亜子,Pちゃんの場合、身を持ち崩すレベルで買い物した前科があるしなー
モバP,僕はそれでも構わない！！！！！！
亜子,会社の風聞に構えや社会人やろ
モバP,・・・でも、だったらどうしたらいい？
亜子,うーん、こればっかりはローンと一緒やな。"この人ならスタージュエルを売ってもいい"と信用してもらわんとなぁ
モバP,デレステの購入画面にはそんなこと書いてないのに・・・でも、分かった。なんとかするよ
亜子,頑張ってなPちゃん
モバP,話は変わるがストローとか持ってないか？。丸められる紙とかでもいいけど
亜子,２千円札ならあるで
モバP,５千円札にして返すよ
亜子,毎度
智香,おはようございます！今日もお寒い中通勤ご苦労様です！
モバP,おはよう。今日もゲリラチアリングか。精が出るな！
智香,はいっ、朝から頑張る人たちに少しでも元気になって欲しくて！
モバP,そうか。汗が冷える前に中に入って暖かくするんだよ
智香,プロデューサーももう少し暖かい格好したらいいと思いますよ？
モバP,あぁ、大丈夫だよ。今日はいいスーツだから
智香,だからコートを着ていなかったんですね！いいスーツなら安心です！
楓,おはようございます、プロデューサー。もしかしてスーツ買い換えました？
モバP,そうなんですよ。コートを売ったお金で買ったんです
楓,そうなんですか。・・・あれ？そういえばコート着てませんね
モバP,ええ、でもいいスーツなので平気です。智香に元気もらいましたし
楓,それは重畳です・・・・・・あれ？ところであのコートって、夏服を全部売り飛ばしてギリギリ買えた安物って言ってませんでした？
モバP,まぁ安物ですよ、なので加えて秋に買った衣類と家財の殆どを質に出したんですよ
楓,まぁまぁ、思いの籠ったスーツなんですね
モバP,ええ、アイドルでなくとも社会人は見た目を着飾ることこそ第一戦略ですから
楓,いいですね、ところでこの自販機のラインナップ、お酒が並ぶとより見栄えが
モバP,寒くなってきたんで失礼しますね
楓,それでは熱燗なんていかがで・・・・・・行ってしまいました
モバP,(レッスンルームではニューウェーブの三人がレッスンをしていた)。(バランスボールの上で態勢を維持する基礎レッスンだ。微笑ましい)。ちひろさん、見てくださいこのスーツ
ちひろ,あら、収入に見合わない上物ですね
モバP,こう見えて、実は僕やりくり上手だったんですよ
ちひろ,なるほど。節制を心がけていたんですね。感心です
モバP,ここに節制の末に貯めた給料三ヶ月分のギフトカードがあるんですよ
ちひろ,まぁまぁ、課金していただけるんですか
モバP,ええ、なのでガチャを
ちひろ,ところでモバPさん、今日の晩御飯の予定って決まってます？
モバP,え？いきなりなんです、ディナーのお誘いですか？
ちひろ,いえいえ、やりくり上手なモバPさんを私も見習ってみようかと
モバP,なるほど、僕の節約料理に興味があるんですね
ちひろ,はい、参考までに・・・と
モバP,アイスの蓋ですよ。それではガチャを
ちひろ,ダメです
モバP,ｷｭｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳ!!!!。きゅっぷいきゅっぷい！！ア、アイスの蓋の何が悪いんだ！！
亜子,主食にならないところかなぁ・・・
モバP,ちょっと溶けたアイスがくっついてて舐めると甘くて美味しいんやぞ！
亜子,味じゃないんよなあ
モバP,なんでだ、子供から大人までペロペロしてるじゃないか！買ってきたアイスを食べる前にさぁ！
亜子,せめてアイス本体の方を食べてやりーな。多少のカロリーはあるんやし
モバP,はい？僕が貰えるのは蓋だけなんだが？
亜子,他人の食い残しかい！！！！
モバP,他人じゃない！！ライラちゃんは僕の大事な担当アイドルだ！！！
亜子,うっさい！！！！！。よー考えたら、ちひろさんはPちゃんの収入とか把握してるやん
モバP,そういやそうだっけ・・・あの人の業務はあらゆる部署に食い込んでるらしいからな
亜子,なんやそれ怖・・・だから変に高級なモン身につけたところで無理してるのはモロバレやろ
モバP,あっ、そっかぁ・・・暖房器具まで売り払ったのも見ぬかれたかな・・・
亜子,知らんけど・・・・・・えっ？暖房器具？
モバP,それはそうと亜子、はいこれ５千円札ね
亜子,貰い辛いわ！！！
モバP,いいのいいの、ギフトカードの一部を金券ショップに持っていった分だから
亜子,(生活切り詰めてるのに金にはきっちりしてるなぁ・・・)。で、どうするんや。見栄を張ったところで信用は得られへんみたいやけど
モバP,身だしなみを整える、歯も磨く、笑顔を絶やさないでいい印象を相手に与える
亜子,就活か
モバP,経済面での信用獲得が難しいなら、心証面で信用を勝ち得るしかない！
亜子,Pちゃんの場合、それも怪しいんやけどな。趣味が趣味やし
モバP,趣味？手元にある僅かな有償ジュエルで遊んでるだけじゃないか
亜子,あっそ。・・・心証を良くするってどうするんや？
モバP,自分に相応しいランクの服と身だしなみ、これでいくよ
亜子,社会人としてはスタートラインやけどなそれ
モバP,とりあえずこの高いスーツは売りに出すよ、それでランクにあった一式を揃える
亜子,うんうん
モバP,まず、散髪にも行く、食事にも500円以上使ってみる
亜子,ほうほう、なんや分かってるやん
モバP,春菜に頼んでいいメガネも見繕ってもらう
亜子,うん？・・・うん、まあいいんちゃう。あの人メガネに嘘はつかんし
モバP,あいさんに良いネクタイも選んでもらう
亜子,あの人ネクタイ専門家ちゃうで？プレゼントにネクタイ選んだりはしたけど
モバP,それと時子さんにも靴、選んでもらおう
亜子,時子サン！？
モバP,知らないのか？あの人靴にはこだわる人なんだぜ、踏まれるとわかるぞ
亜子,革靴選びは別ちゃうか・・・？
モバP,・・・・・・・あ
亜子,どしたん？
モバP,亜子、筒、筒みたいなの、紙でもいいから・・・
亜子,ええ・・・なんか目がうつろで怖い・・・はい５千円札
モバP,ありがとう、1万円札にして返すよ
亜子,毎度
モバP,お札をくるくる丸めてストローに・・・・・・
智香,おっはようございまーーす！プロデューサー！！
モバP,おはよう智香、なんだか日を追うごとに元気になっていくな
智香,そうなんですか？こうやって毎日社会人の皆さんを応援しているからでしょうか！？
モバP,うーん、確かに道を歩いている人たちも生き生きしているというか、歩みが力強い・・・？
智香,はい！毎日この道を通ってくれる常連さんです！！
モバP,常連？・・・ゲリラチアの常連って何なんだろう
智香,私のおかげで皆が元気になって、皆の元気な姿で私が元気づけられる・・・素敵ですね！！
モバP,永久機関はここにあったんだな、原発なんて窓から捨ててやろう
智香,プロデューサーさんも元気になってくださいね！！！
モバP,スタージュエルさえ買えれば元気一杯になるんだけどな
智香,まだ許可が下りないんですか！でもファイトです！！
モバP,おう、智香もメルトダウンする前に切り上げるんだぞ
楓,おはようございます・・・
モバP,おはようございます。なんだか落ち込んでますね？
楓,自販機にお酒がないんです
モバP,でしょうね
楓,どうしてでしょう、アンケートに何度も書いたのに・・・
モバP,許可される理由がどこにもありませんからねえ
楓,それだとしても、こんなのひどいです・・・私に見せつけるようにして・・・
モバP,確か昨日、自販機の増設工事してましたしね。お酒が加わると思ったんですよね？
楓,確かにラインナップは増えましたが、アルコールようの自販機は影も形も・・・
モバP,うちは元々アイドルが多いですからね、それに対応できるよう商品を増やしたんでしょ
楓,私や早苗さんに対応してないんですよぉ・・・
