村上銀蔵,３７
テロップ,村上銀蔵３７
村上,あの……。俺、どうしても君に言いたいことがあるんだ……
テロップ,吉村明美客室添乗員
明美,何？もったいぶってないで、さっさと言ったらどう？
村上,実は俺……。この間、菱沼GFJ銀行を……！リストラされたんだ……！！
明美,えっ……！？
村上,本当だよ……！！今の俺は無職なんだ……！！でも、頑張って次の就職先を見つけるつもりだ……！！
明美,そうなんだ……。私が好きだったのは銀行員の村上さんであって、無職の村上さんではないから！
村上,えっ！？それじゃあ……！！
明美,私、あなたと別れることに決めた！！婚約の話もなしよ！！今までありがとう……！！
村上,ま……、待ってくれ！！吉村さん！！
喪黒,そんな所に立っていたら危ないですよ……
村上,あなたは……
喪黒,まさか、あなた……。電車に飛び込んで死のうとでも考えていたんですか……！？
村上,う、うう……！！
喪黒,なるほど……。否定しないのですか……。どうやら、あなたは嘘がつけないお方のようですね
村上,あああ……！！
喪黒,よろしかったら、私が相談に乗りましょうか！？あなたのために……
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
BAR,魔の巣
喪黒,ほう……、村上さんは菱沼GFJ銀行の行員なのですか。なかなかのエリートですなぁ……
村上,……正確には、菱沼GFJ銀行の元行員……。銀行員だったと言った方がいいでしょうね
喪黒,つまり、あなたは何かの事情があって銀行をお辞めになったのですか？
村上,リストラされたんですよ
喪黒,大銀行によるリストラですか！？日経平均が好調で、メガバンクの業績も安定しているのになぜ……
村上,実はですね……。最近、メガバンクではAIの導入による業務削減が進められているんです
喪黒,つまり、最近流行りのAI導入によるリストラというわけですか
村上,そうです。でも、私が首を切られたのはそれだけではありません
喪黒,……と言うと！？
村上,私が無能だったから……。銀行員に向いていなかったから……。それに尽きます
喪黒,まあまあ……。あまり自分を責めるべきではありませんよ
村上,ほら……、喪黒さんが駅で私におっしゃっていましたよね？私は嘘がつけない人間だと……
喪黒,銀行員は堅実な職業だから、誠実な性格のお人の方が向いているでしょうに……
村上,それは、建前の話ですよ
喪黒,でも、村上さんは嘘がつけないお方ですからねぇ……
村上,はい。人を疑うことを知らない主婦や老人を騙して、危なっかしい金融商品を売るなんて……
喪黒,あなたのお気持ち、よーく分かりますよ……。正直者で実に何より……
村上,ええ……。仕事の面だけではありません……。恋愛でも、その性格が災いしました
喪黒,当然、あなたは彼女にフラれたでしょうなぁ……
村上,言うまでもありませんよ
喪黒,なるほど……。今の村上さんの境遇は実に気の毒なようですなぁ……
村上,立ち直ることができれば、それに越したことはありませんよ……
喪黒,新しい仕事を見つけ、新しい人生の目標と興味を見つける……
村上,それができれば苦労しませんよ！！
喪黒,ならば……、これから先、投資家として生活していくというのはどうです！？
村上,じゃあ、喪黒さん……。私は投資家になるべきとでも……
喪黒,そうです。自分の得意な分野を仕事とし、自分の趣味を生活に生かす……
村上,ですがね……。マネーゲームってのは、一歩間違えれば自分の身を滅ぼすことにもなりかねませんよ……
喪黒,大丈夫です！あなたならきっとうまくいきます！そのために、いいものがありますから……
銅銭には,永楽通宝
村上,これは……！？
喪黒,永楽通宝の眼帯ですよ。この永楽銭は本物です
村上,永楽通宝……。明王朝のころ永楽帝によって鋳造された銅銭……
喪黒,そうです
村上,なるほど……。投資家になる私への、お守り代わりというわけですか
喪黒,それだけではありません……。この眼帯には特殊な効果があります
村上,どういうことなんです！？
喪黒,これを使用すれば、あなたは生活に困らない程度のお金に恵まれるようになります
村上,その話、本当ですか……！？
喪黒,本当ですよ。これは私からあなたへのプレゼントです
村上,面白いことをおっしゃりますね……。じゃあ、騙されたと思って……
喪黒,いやぁ、どうも……
村上,俺は競馬の知識が全くない初心者……
実況,1着はビッグバンファントム！！2着はワンドエース！！これは大穴です……！！
観客たち,ちくしょぉおお！！よりによってテイオウオペラオーが3着かよ……！！
村上,あ……、当たった……！！こんなことが……！！。あの眼帯の効果は……、本物だったのか……！！。眼帯の効果が本物ならば……、やるべきことは一つ……！！
女性,では、村上様……。羽島建設の株を購入なさるということで、よろしいのですね！？
村上,ああ……！！。伝説の投資家ジョージ・ソロスが、師とあがめている科学哲学者カール・ポパー……
BAR,魔の巣
喪黒,どうです、村上さん？あなた、投資家としてうまくいっているでしょう？
村上,ええ、まあ……。儲けることもあれば、損をすることもあるけど……
喪黒,よかったですなぁ、村上さん
村上,喪黒さんからいただいた眼帯の効果は……、本物でした。ありがとうございます
喪黒,村上さんにこうやって感謝されて、誠に恐縮です……
村上,まあ……。一人でコツコツと投資生活を行っていますから……
喪黒,村上さん……。あなたの今の生き方が続くのならば、何も心配はいりません
村上,そうですか……
喪黒,約束してください。自分や他人に嘘をつくような生き方をしてはいけませんよ
村上,わ、分かりました。喪黒さん……。よし……！！為替の動きは俺の読み通りだ……！！
女性,では、村上様……。武井製薬の株を購入なさるということで、よろしいのですね！？
村上,そうです……！！
新聞,武井製薬、がん治療の新薬開発
村上,やった……！！これで、俺が持っていた株は間違いなく値上がりするぞ……！！
主婦,今月の配当、無事受け取ることができました。ありがとうございます
村上,どういたしまして
主婦,さすがは村上さん……。新進気鋭のディーラーと呼ばれているだけのことはありますね
社長,村上さん、実はうちの会社の資金の運用を頼みたいのですが……
村上,ええ、喜んで……
テレビ,ニュースをお伝えします
村上,何てことだ……！！日本国内のありとあらゆる企業が、兵庫製鋼に仕事を受注しているんだぞ……！！
