ミリP,以外P
P,押す！！
このみ,ひゃん❤
P,お、さっそく
このみ,え？え？なに急に！？
P,このみさん、どうかしました？
このみ,P！？い、いえ、なんでもないわくぅぅんっ❤
P,どうしたんです？俺の顔を見るなり妙な反応して
このみ,ご、ごめんなさい！本当になんでもないから！。嘘……Pが近くにいたからだって言うの？。私、とんでもない変態じゃない！
P,大丈夫ですか？熱でもあるんじゃあ──。このみさんの額に手を触れて熱を計るこの瞬間！逆の手に隠し持ってるスマホでFairyTaleじゃいられないをプレイ開始！！
このみ,はぁぁぁん❤❤❤。おでこ触られただけで……こんな……
P,ふへへへへへへ♪
莉緒,おはようございまーす。あら、どうしたの二人とも？
このみ,あぁ、莉緒ちゃん。おはようぅぅんっっ♥
莉緒,ど、どうしたの、このみ姉さん！どこか具合悪いの？
このみ,それが……
P,ん？
莉緒,Pくん。ちょっと向こう行ってて
P,えー！
莉緒,Pくんが居ると言いづらいみたいなのよ！空気読みなさい！
P,ちぇー
莉緒,ほら、Pくん向こうへ行ったわよ。それで、どうしたの？
このみ,……。あの、引かないでね
莉緒,大丈夫よ。私とこのみ姉さんの仲じゃない♪
このみ,ありがとう。私、Pの近くに居ると、その……果てちゃうの
莉緒,……。……。へ、へぇ。あ！私、急用思い出した！
このみ,ちょっと待って！だから引かないでって言ったじゃない！
莉緒,そんなこと言われても
P,暇だからミリシタやろ。曲はもろちん！。
このみ,あ……
P,
このみ,ああああああっっ♥♥♥
莉緒,えぇ……。姉さん、言いづらいんだけど……。とんだド変態ね
このみ,言わないでえええぇぇんっ♥。どうしよう。私、病気かしらぁぁん♥♥
莉緒,恋の病じゃないかしら
P,莉緒、そろそろ時間だぞ
莉緒,あ、本当だわ
このみ,なにかあるの？
P,これからFaチームでFairyTaleじゃいられないのレッスンなんです。！！。よかったら、見学していきませんか？
このみ,えっ、今日はちょっと──
P,いいからいいから
このみ,私Anだし
P,いいからいいから
このみ,
P,いいからいいから
このみ,ステージで練習するのね
