①本田未央,雨のち晴れのち植木鉢
②橘ありす,ポンコツハイスペック
③藤居朋,板前フレデリカ？
本田未央,雨のち晴れのち植木鉢。天気予報はびみょーだったけど、雨は降らなそうかな？
未央,レッスンまでの間、カフェで休んでよっと！。雨とか降ってきたら中に逃げればいいし……。アイスコーヒーで！あ、1名でーす。よいしょっと。さて、さっき買ったサイクリング雑誌でも読もうかな？。表紙のしぶりん、黙ってればかっこいいのに……。まいっか、……あれ、でも、けっこう雲もなくなってきたかな？。うん、もう少しで太陽も……見え……。あれ……？なにか……降って……。うわぁぁぁぁぁぁ！？！？。な、なな何！？う、植木鉢！？なんで！？。……あ！も、もしかして……
白菊ほたる,あ、未央さん、こんにちは
未央,ほ、ほたるん……やっぱりって思っちゃった……
緒方智絵里,あなたの植木鉢はどこから？わたしは空から
未央,ちえりんはもはやアイドルの登場の仕方じゃないよ！？
ほたる,ご一緒しても大丈夫ですか？
未央,あ、もちろん！
ほたる,失礼します……
智絵里,割り勘ねっ
未央,なんで釘刺したの
智絵里,あ、メニューの端から端まで！
未央,最低だ！！！
ほたる,いえ……私は水で十分です……はい……
未央,こっちはこっちでリアクションに困るな！
ほたる,そういえば、未央さんとこうして話す機会はあまりないですね……
未央,あー、確かにね？担当みたいなものが決まってるし……
智絵里,相方がもう決まってるからねっ！
未央,言わないでおいたのにさ
智絵里,凛ちゃんと卯月ちゃんは個性的だから、未央ちゃんも大変だよねっ
未央,ちえりんが言う！？
ほたる,みなさん、キャラが立ってますよね……、うらやましいです
未央,ウソでしょ？それがトラックに轢かれても平気な人のセリフ？私がおかしいの？
智絵里,未央ちゃんはこんなところでたったのひとりぼっちでさびしく
未央,なんか間がなかった！？
智絵里,朋さんなら行間の二文字で片づけてたのに……、修行が足りないよ！
未央,ともともヤバいね！？知らないけども！！
ほたる,ﾄﾞﾔｧ
未央,なんでほたるんがドヤ顔してるの！！！かわいいけども！！！。いや、レッスンまでヒマだから、本でも読んでよっかなーって
智絵里,ほたるちゃん、未央ちゃんがどんな本を読んでるか当てる勝負しない？
未央,勝手に
ほたる,その顔を絶望に染めてあげましょう……
未央,そんなキャラだったっけ！？
智絵里,本はカバンからまだ出さないでねっ。なにかヒントあるかな？
未央,どんどん進むよね……。えっと、雑誌だから、そのジャンルを当てるのはどう？
智絵里,月刊セパタクロー！
ほたる,月刊カバディ！
未央,当てる気ないでしょ！？
智絵里,どっちが近いとかは
未央,ないよ！！！
ほたる,週刊大相撲と迷ったんですが……、そっちにしておけば……
未央,どっちにしろだよ
智絵里,奇遇だね！わたしも週刊大相模と迷ったんだ～
未央,なんで同じ迷い方を……、いやちえりんの方のコレ相模だ！！！相撲じゃない！！！
智絵里,東海大相撲って書いても誰も気が付かないと思うけど……
未央,馬鹿にするな！！！
智絵里,正解は？
未央,諦め早いね……。このサイクリング雑誌だよ、しぶりんが載ってるから買っちゃったんだ
智絵里,まあ今回は痛み分けかな……
ほたる,仕方がないので見逃してあげましょう……
未央,仲悪いの？
智絵里,失礼なっ！ほたるちゃんとわたしはとっても仲良しなんだよ！ね？
ほたる,はいとてもなかよし
未央,カタコト
智絵里,夜に会ったら一戦交える仲だもんねっ
未央,世界観がバキなの？最強死刑囚編なの？
ほたる,せめてかすり傷の1つでもつけてから言ってほしいですね
未央,もうほたるんの顔をまともに見れないよ
智絵里,未央ちゃん、拳銃持ってないかな？
未央,逆に持ってたらどうするの！？撃つの！？
ほたる,あ、そこに麗奈ちゃんのバズーカが落ちてますね、はい、どうぞ
未央,なんで！？
智絵里,ありがとう！ほたるちゃん！
未央,ちえりん！！！！！。もう私怖いよ！！！なんでこんな自然なやりとりからこうなるの！？
智絵里,あ、ミルクティーお願いしますっ
未央,完全にサイコだよちえりん！！！
智絵里,もうっ！朋さんなら智絵里ちゃん！！！で片づけて、すぐにほたるちゃんに駆け寄るのに！
未央,ともともの切り替え力はどうなってるの！？。って、そうだ！ほたるん！！！
ほたる,こんにちは、白菊あふろです
未央,誰！？
智絵里,あふろちゃん！！！
未央,もうちえりんは黙っててよ！！！。ふ、2人はこれからお仕事だったりしない！？大丈夫！？
ほたる,今日はレッスンなので……
智絵里,うんっ
未央,それならいいけど……。いやよくないけども
智絵里,ちょっと早いけど行こうかな？
未央,あれ、同じ時間かな？私たちはレッスンルームAだけど
智絵里,レッスンルーム斬だよっ
未央,無駄にかっこいいな！？名付け親出てこい！！！
ほたる,レッスンルームBですよ
智絵里,ﾁｯ
未央,もうなんかやりたい放題だよねちえりんは
ほたる,早めに行って、自動販売機のスペースで待ってましょうか
未央,うん！それがいいね
智絵里,どうやってここから食い逃げしよっか？
未央,緒方ァ！！！
智絵里,苗字はダメっ！
未央,そこは怒るんかい！！！！
橘ありす,ポンコツハイスペック
渋谷凛,～♪
橘ありす,あれ、凛さんですか？
凛,あれ、ありす、珍しいね
ありす,橘で……、まあいいです。ちょっと風でも浴びようかと。水やりですか？
凛,うん、ありすもやってみる？ありすならきっと、ありすらしい素晴らしい水やりでありすのような花を育てることができるでありすよ？
ありす,前言撤回！！！どんだけ詰め込むんですか！！！あと語尾！！！
凛,ふふ、軽いジョークンだよ
ありす,冗談とジョークが混ざってますが
凛,ありすにおすすめの花はこれかな？
ありす,き、聞いてもないのに？
凛,シロツメクサ。確か花言葉は……は、は、ﾊｸｼｮﾝ!!!!!!!!!!!
ありす,わあああ！植木鉢が飛んでった！！！
凛,あー、やっちゃったね
ありす,なに冷静に言ってるんですか！？この下、確かカフェのあたりですよ！？
凛,きっと、誰かが私の載ってる雑誌でも見てかっこいい……とかウワサしてたんだろうね
ありす,無駄にポジティブ
凛,大丈夫、手袋してるから、指紋はついてないよ、安心して
ありす,どこに安心する要素があるんですか！？
凛,そんなことよりさ、最近……その……どう？
ありす,話を振るの下手すぎるでしょう
凛,しょうがないでしょ！？普段は未央と卯月とあのなんか病弱なのと眉毛くらいしか話さないんだから！
ありす,後半2人の扱い！
凛,まだこっちではあんまり出てきてないし
ありす,そういう発言はやめましょうよ
凛,なんか話題！ちょうだい！
ありす,凛さんのイメージは話すたびに崩れていきますね。でもまあ、凛さんと話す機会はそう多くなかったですからね。これを機に、お互いのことを知るのもいいですね
凛,あ、そういうのパスで
ありす,なんなんですかもう！この人は！！！
凛,私としては、政治・宗教・野球のどれかについて話したいな
ありす,なんでよりにもよってそのチョイスなんですか！？確かやめた方がいいやつですよね！？
凛,未央なら3大タブーを的確に！？の一言で片づけるのに……、修行が足りないんじゃないの？
ありす,未央さんすごいな！いや知らないですけど！。だいたい、こっちは小学生ですよ！？限度があるでしょう！
凛,わかったよ、じゃあ１＋１は？
ありす,うっわ腹立つ！
凛,次は因数分解ね
ありす,急に跳ね上げますよね
凛,わがままだね
ありす,凛さんだけには言われたくないです
凛,WHY！？！？
ありす,そういうとこですよ！！！
凛,でもさ、ありすと私は、同系統のクールアイドルだと思うんだよね
ありす,クール？この前BBQの雑誌読んでた人が？
凛,だから、もっと私に頼っていいんだよ？
ありす,……例えば？
凛,甘えるな
ありす,ああもう！。あ……
凛,なに！？どうしたの！？聞きたいこと！？
ありす,食いつき方
凛,凛お姉さんになんでも聞いちゃってよ
ありす,……ユニットに年下がいないからお姉さんポジションになってみたいんでしょうか
凛,……
ありす,凛さんは犬を飼ってましたよね？私も飼ってみたいんですが、ペットってどんな感じなんですか？
凛,いい質問ですねぇ！
ありす,それキャラ崩してまで言いたかったんですか？
凛,まずやっぱり癒されるよね、仕事で疲れても、家に帰るとハナコがいると思えば、電車にも飛び込まないで済むし
ありす,そんなギリギリの毎日を送ってるんですか！？
凛,あと散歩。いい運動になるよ
ありす,まあ、それは聞きますね。1人で歩くよりも楽しいでしょうし
凛,散歩中に同じようにペットを散歩させてる人と話したりね
ありす,なるほど、交友関係にもいい影響があるんですね
凛,この前卯月がチーター連れてたときは笑っちゃったよ
ありす,チーター！？
凛,飼育許可持ってるんだって
ありす,なんなんですかあの人は！！！
凛,ただやっぱり、ペットを飼うってことは命を預かるってことだから、あまり軽い気持ちで手を出すのは感心しないな
ありす,さっきまで好き勝手言ってた人のセリフでなければ胸に響いたんですけどね
凛,まずは試しに、ピラニアとかどう？
ありす,さ、散歩とかのくだりの意味は！？
凛,あ、散歩させたいの？じゃあベンガルトラとか
ありす,さっきから危険なのばっかり！！！。もう！ろくなアドバイスがないじゃないですか！
凛,うーん、私だけじゃ、ちょっと偏ったアドバイスになっちゃうね
ありす,ちょっと？
凛,こんな時に卯月が来てくれれば……
島村卯月,こんにちは！
凛,卯月！
ありす,ええ……
卯月,どうして引いてるんですか？
ありす,だってタイミングがおかしいじゃないですか！
卯月,未央ちゃんもよく言ってますね
ありす,でしょうね！
卯月,それよりありすちゃん！ペットが飼いたいんですか？
ありす,い、いや、そこまで本気でってわけではないんですが
卯月,ぬるい
ありす,ええ！？
凛,ペットを飼うってことは命を
ありす,それはもう聞きました！
卯月,いいですか、飼いたい！って思ったら、ワシントン条約を捻じ曲げるくらいの全力で手に入れるんです！
ありす,とうとう国際条約にまで！？。私の知っているアイドルとはかけ離れているんですが
凛,照れるね
ありす,あなたではなく！いや凛さんもある意味かけ離れてますけども！
凛,あ、この後レッスンだから、そろそろ移動しようか
ありす,あれ、そちらもレッスンなんですか。私はレッスンルームCですが
凛,レッスンルーム蒼だね
ありす,無駄にかっこいいですね！？誰が名付けたんですか！？
卯月,レッスンルームAです！
凛,そう呼ぶ人も少なくないね
ありす,凛さん以外全員です
凛,あ、そうだ、話に付き合ってくれたありすにはこれをあげる
ありす,？なんですか？
卯月,土地です！
ありす,土地！？そんな大それたものもらえませんよ！？おかしいじゃないですか！
凛,もう……、未央なら規模の二文字で片づけてたのに……
卯月,精進してくださいね！
