モバＰ,以降Ｐ表記ですか？メモしておきますね
梨沙,さておかないでよ。聞き捨てならないんだけど
Ｐ,例によってこの事務所のアイドルどいつもこいつも痩せすぎじゃね？肉つけさせようぜ
梨沙,まぁ、そりゃあ今日はもう帰ってパパにメールしてお風呂入ってパパに電話してご飯食べてパパとＬＩＮＥしてお布団入ってパパとライゼクス狩りして寝るだけだけど
Ｐ,ちょっと何言ってるのかわかんないんですけど。要は暇なんだろ？強制はしないけどさ
梨沙,暇じゃないってば。だからこの後ギッシリとパパとのスケジュールが
Ｐ,いやぁ、本当はもっと前もって色々準備してからやってるんだけどさ
梨沙,聞きなさいよ
Ｐ,とある事情でめっちゃ大量に食材が手に入っちゃって。１人２人じゃ食べきれなくてさ
梨沙,聞きなさいってばロリコン！
Ｐ,年上専だし脛は痛い！。痛た…。まぁ、そういう事だから。もし気が向いたら事務所の食堂においで。他にもちょっと声かけてみるから
梨沙,だからこれから部屋に戻ってパパ成分接種に忙しいんだってば
Ｐ,いつもは持ち込み可
梨沙,パパとの時間は他の何よりも優先されるんだけど？
Ｐ,夕方ぐらいから始めるからなー
梨沙,少しは人の話を聞きなさい！
Ｐ,靴を投げるな痛い！。さてと、他に暇そうな娘は居らんもんかね。橘さんと文香は北海道のアイヌ埋蔵金ロケだし、森久保と幸子はチュパカブラ探索に川越行ってるし…。みんな忙しそうだもんなぁ…それだけ売れっ子ばかりって事だしプロデューサー冥利には尽きるけど
ネネ,何が尽きるんですか？
Ｐ,うわぁビックリした！
ネネ,ご、ごめんなさい…お姿があったので背後に立っていました
Ｐ,声をかけて！？
ネネ,す、すみません。お詫びに焼きまんじゅうどうぞ
Ｐ,なんで常備してるんですかそんふぁふぉふぉもふ
ネネ,ところでどうかなさったんですか？何か考え事をしているようでしたけど
Ｐ,ひふぁ、ひょっふぉ
ネネ,ああ、またお食事会をやるんですね
Ｐ,ふぉふふぁふぇふぉ、ふぁんひぇふぁふぁふ？
ネネ,あ、もし良ければ私も参加していいですか？今日はもうレッスンも終わったので
Ｐ,ふもっふ
ネネ,はい、夕方に事務所の食堂に集合ですね？
Ｐ,んぐっ……ぷはっ。…何でわかるん？
ネネ,それじゃあ私、一度お部屋に戻ってシャワーを浴びてきますね
Ｐ,あ、うん。また後でな
ネネ,はい。楽しみにしてます♪。では後ほど。あ、焼きまんじゅうどうぞ
Ｐ,フゴフゴフゴ！。けふ…夕飯前にお腹いっぱいになっちまいそう。これで今のところ２人か…せめてもう２人ぐらいメンツが欲しいな。えっと…今日この後スケジュールが空いてるのは…っと。まゆは…ダメだ、昨夜の小梅セレクションでまだ寝込んでるんだっけ。みくは…やめておこう。ウサミンはアルバイトだし時子は特売日だし楓さんはシンデレラガールだし肇は千枝に取られちゃったし…
悠貴,こんにちはっ
Ｐ,うわぁビックリした！
悠貴,ご、ごめんなさいっ。ついプロデューサーさんを見つけたんで後ろからそ～っと近づいたんですけど
Ｐ,声かけて！？
悠貴,ところでどうかしたんですか？珍しく真剣な顔で悩んでたみたいですけど
Ｐ,珍しくは余計だコノヤロウ頭わしゃわしゃしてやろうか
悠貴,わっ、わっ！も、もうやってるじゃないですかっ！
Ｐ,いやさ、今日の夜に３４６のアイドルＢＭＩヤバすぎ食わせてもちもちボディにしようぜ
悠貴,ああっ聞いてます。時々みんなで集まってご飯食べてるんですよね？いいなぁ、私まだ参加したことないんですよっ。いっつもスケジュールが合わなくて
Ｐ,あれ、悠貴ってまだ参加したこと無かったのか。予定入ってないなら今日来る？
悠貴,いいんですかっ？
Ｐ,駄目なんて言う訳ないだろ。お前さんは特に沢山食べてもうちょいお肉つけた方がいいもんな
悠貴,お肉…やっぱり、そうなんでしょうか
Ｐ,待って違うそういう意味じゃない
悠貴,でも、プロデューサーさんは大きい方が好きなんですよね
Ｐ,そりゃあ紳士と言えど男ですから……って嘘嘘！冗談だから！
悠貴,…ふふっ、大丈夫ですよ？私っ、まだまだこれから成長期ですからっ
Ｐ,うわぁ意外と気にしてたのかゴメン悠貴！頭わしゃわしゃしてあげるから戻ってきて！
悠貴,わわっ、わふっ、…えへへっ
Ｐ,あ、戻ってきた。…どうしてこうウチのアイドルたちはすぐハイライト休業させちゃうかなぁ。これで梨沙にネネさんに悠貴の３人か…あと１人ぐらい欲しいな
晴,何が欲しいんだよ
Ｐ,獰猛イビルジョーの素材かな
晴,なんだよ、相変わらずゲームばっかりだな
Ｐ,そりゃ３４６の天才ゲーマーＰと言えば俺の事だしな。…
晴,？
Ｐ,いつからそこにいたんよ
晴,えっ？いや、Ｐが変な顔して歩いてるの見かけたから後ろからコッソリついて来てたんだけど
Ｐ,声かけろぉ！。まぁいいや。おい晴すけ、お前さん今夜暇か？
晴,今夜？まぁ、特に何にもねぇけど。録画してたサッカー番組でも見ようかなってぐらいかな
Ｐ,そっか。なら丁度いい。一緒に飯食べないか？
晴,晩飯？…えっ、Ｐと？
Ｐ,卯月と一緒の方がいいなら無理強いはしないけど
晴,オレには荷が重いよ！。…まぁ、別に構わねぇけど。随分いきなりだな
Ｐ,気にしなさんな。ってかお前さん普段から俺にメシたかりまくってるだろうが
晴,別にいいじゃんか！
Ｐ,別にいいよ！
晴,じゃあ言うなよ！
Ｐ,てな訳だから。それじゃあ夕方に事務所の食堂でな。俺もこれから用意してくるからさ
晴,ん、りょーかい。美味いモン食わせろよ？
Ｐ,お前の晩飯歌舞伎揚げオンリーなー
晴,肉食わせろよ肉っ！……ったく、いつもいつも人の事おちょくりやがって…。…。……。Ｐとご飯か…
Ｐ,さてメンツも揃ったところで、ちゃっちゃと用意するか。って言うか５人でも食べきれるかな…これ。…うん、きっと大丈夫だろ。みんな育ち盛りだし。えーっと、流石に１匹丸々捌くのは初めてだなぁ…まぁ、何とかなるか
ネネ,あらっ
梨沙,なによ、ネネも呼ばれたの？
ネネ,梨沙ちゃんもお食事会に誘われたんですね
梨沙,ホントはパパと電話してＬＩＮＥして一狩りして過ごそうと思ってたのに、良い迷惑よ
ネネ,って言いながらちゃんと来るんですね
悠貴,あれっ？お２人もプロデューサーさんに誘われたんですか？
ネネ,こんばんは。そういう悠貴ちゃんも？
悠貴,はいっ。さっき偶然プロデューサーさんを見かけたので背後からそ～っと
ネネ,あ、私も後ろからこっそり近づいたらビックリされちゃいました
梨沙,そりゃ驚きもするでしょ
晴,～♪。……あれ？
梨沙,あら、晴もなの？
ネネ,こんばんは晴ちゃん。晴ちゃんもお呼ばれされたんですか？
悠貴,こんばんはっ
晴,………っ！。…そういうことかよ！
梨沙,ど、どうしたのよ突然荒ぶって
Ｐ,おっ、みんな揃ってるな。おまたせ、準備できたぞー
晴,せいっ！
Ｐ,出会い頭に理不尽に痛い！。いってぇ……何で俺いきなり蹴られたの？
梨沙,どうせまたやらかしたんでしょ？ロリコンだもんね
Ｐ,子供相手に何も感じねぇわい
晴,せいっ！
悠貴,え、えいっ
Ｐ,特に理由のない暴力！。と、とりあえず適当に座り給え…今ご飯もってくるから
ネネ,あ、私もお手伝いしますよ朴念…Ｐさん
Ｐ,ネネさん？
晴,………。なぁ、Ｐ
Ｐ,なんだよ、ちゃんと晴の分はしこたま大盛りにしてやるから
晴,ちげーって。…あれ、なに？
Ｐ,あれ？
梨沙,アタシもさっきから凄い気になってたのよ。よかった、誰もツッコまないからアタシがおかしいのかと思ったわ
悠貴,あの、プロデューサーさん？あれは一体…
Ｐ,いや、見ての通りだけど。むしろ何に見えるのさ
ネネ,それはそれは、とても立派なマグロですね
Ｐ,うん、マグロ。キハダでもメバチでもない本物のクロマグロだぞ
晴,クロとかキハダとか違いよく分かんねーけどさ……１匹丸々がデーンッてテーブルの上にあるんだけど
Ｐ,いやぁ、地方ロケから帰ってきた七海がおすそ分けなのれすよ～
ネネ,わっ、Ｐさん声真似上手です
梨沙,オッサンの口から女の子の声が出てくる絵面が酷いんだけど
Ｐ,ハハッ、まさか俺も丸々くれるとは思わなくてなぁ。どうしようかと思ってたんだよ。ちなみにクロマグロってのはわかりやすい言い方すれば本マグロのことな。高級品だぞ、高級品。何せ海のダイヤとか言われてるぐらいだし
晴,凄ぇのは何となく分かったけどよ…どうすんだよコレ。丸ごとあるじゃんか。デカいしちょっと怖ぇよ
Ｐ,もちろん捌くよ？
梨沙,ちょっと待って。素人がそんな軽々しく捌けるものなの？
Ｐ,心配するなって。ちゃんとさっき将太の寿司
悠貴,ちょっと何言ってるのか分からないんですけど
ネネ,はーい、ご飯ですよー
晴,梨沙、そっちの箸取ってくれね？
梨沙,んっ
Ｐ,よーし、んじゃ早速やるか
悠貴,わっ！か、刀？
Ｐ,ただの鮪包丁だよ
梨沙,ねぇ、何でアイドル事務所の食堂にそんなのあるのよ
Ｐ,私物
梨沙,誰の！？
Ｐ,んじゃ解体するぞー
マグロ,ぎゃあっ
ネネ,わぁ、あっという間にどんどん部位ごとに切り分けられていきますね
梨沙,プロデューサーをクビになっても築地で働けそうね
Ｐ,縁起でもないことを。あ、晴ぴょん戸棚からスプーン取ってくれ
晴,キモい呼び方すんな！ほらよっ
Ｐ,サンクス。これで、こうしてこそぎ落として…
悠貴,わぁ、私これ知ってますっ！中落ちですよね！
Ｐ,本当はスプーンとかだと金物臭さがついちゃうからハマグリの殻とかで削ぐんだけどね。さてと、大まかに切り分けられたし、まずは定番の刺身から作るか
ネネ,立派な柳葉包丁ですね
梨沙,だからどうしてそんな本格的なものが事務所の食堂にあるのよ
Ｐ,私物
梨沙,だから誰の！？
アッキー,まずは赤身部分の刺身だ。ワサビは卸したてを添えるのが刺身のルールだろう
悠貴,わぁ、アッキーが運んできてくれましたよっ
Ｐ,手伝いありがとうなアッキー。あとでちゃんとアッキーの分も作るから
アッキー,気にするな。アイドルたちが喜んでくれるのなら、それでいい
梨沙,もうアッキーがプロデューサーでアンタは優の犬になればいいんじゃない？
Ｐ,何でだよ
悠貴,ありがとうねっアッキー
アッキー,耳の、裏も、頼む
ネネ,あ、悠貴ちゃん。これからご飯なんだから動物触ったら手を洗わないと駄目ですよ？
Ｐ,ほれ、まずは定番の刺身盛り合わせ。大トロばっかり食うなよ？特に晴すけ
晴,オレだけ名指しかよ！とその呼び方もやめろ！
ネネ,はい、お醤油皿ですよー
悠貴,あ、じゃあ私ワサビ取りますね
梨沙,…食堂でこんな船盛り出てくる事務所は、多分ウチぐらいなんでしょうね
悠貴,うわぁ、凄く綺麗ですっ。流石取れ立てですね！
Ｐ,いんや、別に取れ立てじゃあないぞ？
悠貴,えっ？そ、そうなんですか？
Ｐ,魚も肉も、旨味成分ってのはタンパク質が分解されてアミノ酸とかになって作られるもんだからな。温度や湿度に気を付けてしばらく寝かせて熟成させないと美味くならないんだよ
晴,へぇー、取れ立てが一番って訳じゃないのな
Ｐ,取れ立てが一番美味いのは野菜や果物だな。ほれ中落ち。卵黄とごま油も添えておくから好きに使いな
悠貴,わぁ…凄いですっ！こんなマグロがいっぱいなの、お爺ちゃんの還暦祝い以来ですっ！
梨沙,ま、まぁ……悪くはないわね
ネネ,梨沙ちゃんヨダレ、ヨダレ
梨沙,んぶぶっ
Ｐ,今アラ汁作ってるから、ご飯冷めないうちに食べてていいぞー
晴,ん。それじゃ食っちまおうぜ
ネネ,みんなお茶碗とお箸と焼きまんじゅう揃いましたね？
梨沙,えっ？あっ、いつの間にか焼きまんじゅうあるし！
ネネ,それじゃあ、マグロとＰさんに感謝を込めて…
Ｐ,はいはい、いただきなさい。あ、お手伝いありがとうなアッキー。はい、これ塩控えめのマグロハンバーグ
アッキー,気を使わせてすまない
ネネ,お米が艶々していて…わぁ、これだけで美味しいです
Ｐ,肇の実家からの頂き物なんよ。事務所の床抜けそうなぐらい送られてきたから沢山お食べ
梨沙,この人数で消費できる量なんて微々たるもんでしょ。あ、美味しい
悠貴,お刺身がっ、お刺身がお口の中でトロッと、トロッとします！
ネネ,トロだけに？
晴,おーいやめとけー。それは別の人の個性だぞ
Ｐ,見れば大体わかると思うけど右から赤身、中トロ、大トロな
晴,あれ、そっちのは？
Ｐ,ん？ああ、これはスナズリとか脳天とか腰とかマニアックな部位だから俺が処理するよ
晴,ふーん…うわっ！何だこの脂すげぇ！
Ｐ,お前いきなり大トロいくのかよ
梨沙,晴、騙されないの。あれ全部希少部位よ
悠貴,きしょーぶい？
ネネ,取れる数が少ない、美味しい部分のことですね
晴,ズリィぞＰ！それが大人のすることかよ！
Ｐ,ズルくない大人などこの世にいないわい
晴,よーこーせぇー！
Ｐ,お子様は赤身食べてろ赤身！お前この前も回転寿司で黒い皿ばっかり食べやがって！
梨沙,ネネ、そこのごま油頂戴？中落ちに使いたいの
ネネ,えっと…止めなくていいんでしょうかね？
梨沙,放っときなさい。ああしてじゃれ合うのが日課なのよ。…うわ、合うわねこれ
悠貴,お醤油をちっょと多めにつけてっ…ご飯に乗せて、ご飯と一緒に……うわぁ、うわぁぁ…！
晴,よっしゃ取ったぁ！
Ｐ,取られたァ！
ネネ,何だか兄妹みたいですね
梨沙,あんな闇が深くて目が濁っててロリコンヘンタイでデレステ下手な兄なんてご免だけどね。あっ、このアラ汁美味しい
悠貴,ふわぁぁぁ……！中トロもおいしぃですっ！とろけますっとろけちゃいますっ！
晴,んー…確かに美味いけどそんなに凄いモンなのか？変わった歯応えしてるけどさぁ
Ｐ,子供にはまだ早い。返せっ
梨沙,このアラ汁ちょっとクセになるわね…割と薄口なのに味がしっかりしてるからどんどん飲めちゃうわ
Ｐ,マグロのダシが出るから味噌以外の味付けはしてないんだよ。汁物というよりかは口休めって感じだな
ネネ,中落ちにごま油って凄く合いますね。あ、これユッケになるんですね？
悠貴,ご飯の真ん中をちょっと窪ませて…卵黄を乗せて、その上にお刺身を…
晴,…ん、こっちの方がやっぱ好きだわオレ
Ｐ,だから最初からお子様は赤身食べてろって言っただろうが。…ああもう、そう言いながら結構食べやがって
梨沙,大の大人がオカズ取られたぐらいでメソメソするんじゃないわよ。ほら、モタモタしてたら晴と悠貴に全部食べられちゃうわよ？
ネネ,悠貴ちゃん、さっきからもう夢中で食べてますもんね
悠貴,はむはむ………はむ？
Ｐ,いや、そんな呼びました？
