モバＰ,以降Ｐ表記の可能性もあるじぇ…
Ｐ,うん、良い天気だ。絶好の洗濯日和だな
芳乃,ぽかぽかとー、日差しが心地良いのでしてー
Ｐ,芳乃の着物もこのまま洗っちまおうか。何故か同じ柄のが何十着もあるし
芳乃,そなたのスーツも、同じものがいくつもありますー
Ｐ,毎日衣装変わってたら作画が死ぬからな
芳乃,ほー
Ｐ,ん？集金か？
芳乃,勧誘でしょうかー
Ｐ,はいはい、今出ますよー。どちら様ー？
凛,お届け物です
Ｐ,何だ３代目シンデレラガールか
凛,おはよ
Ｐ,おはよ。…どした？今日オフだろ
凛,うん。だから遊びに来たよ
Ｐ,あのな、お前さんは仮にも人気アイドルなんだから軽々しくオッサンの部屋に来るのは如何なものかと
加蓮,やっほー。わっ、プロデューサーが私服だ。変なの
奈緒,あ、あたしは一応止めたんだぞ！？
Ｐ,あのな、お前さん達は立派な人気アイドルなんだから軽々しくオッサンの部屋にだね
凛,お邪魔しまーす
芳乃,スリッパですー
Ｐ,如何なものかと！？
加蓮,わぁ、ぴにゃこら太スリッパだ。へぇー、何か意外。こういうカワイイの買うんだ？
Ｐ,貰い物だよ。ってコラコラそこは俺の部屋！
凛,うん
Ｐ,うん、じゃなくて。こら加蓮ゥ！クローゼットを開けるなァ！
加蓮,わっ！何で同じスーツがこんなにいっぱいあるの？
奈緒,うっわ凄！なんだこのガンプラとゲームの山！働けよ！
Ｐ,日々あくせく働いとるわ！よく知ってるだろ！。てか奈緒まで一緒になってるんじゃないよ
奈緒,えっ？あ、ゴメン…つい
凛,あれ、プロデューサーのシーツが無い……ああ、今干してるんだね
Ｐ,状況から推理したんだよな？鼻すんすんしてるのは関係ないよな？
加蓮,うーん、やっぱりＨな本とか無いなぁ…
Ｐ,ベッドの下から出てこいや
芳乃,お茶を淹れてきますー
凛,あ、うん。ありがと芳乃
加蓮,お茶菓子はポテチがいいなー
Ｐ,取り合えず俺の部屋探索するのやめない？
奈緒,…お？引き出しに何入れてるのかと思ったら何だコレ。キン肉マンの消しゴム？
Ｐ,お前ら昔のＲＰＧの勇者か何か！？
凛,でさ、たまたま３人オフが重なってさ。あっお茶美味しい
Ｐ,たまたまじゃないよ。気を聞かせて合わせたんだよ
加蓮,それでみんなで遊びに行こうかって話になってね。映画かカラオケかプロデューサーん家かって
Ｐ,俺の家をアミューズメント施設に入れるなよ
奈緒,あたしはちゃんとお土産ぐらい持って行こうって言ったんだぞ！？
Ｐ,止める気０じゃねーか
芳乃,ごゆるりとー
Ｐ,芳乃！？。オッサンの家に映画館やカラオケと同等の娯楽を求められても困るんだけど
凛,でもほとんどのゲーム機揃ってるし
加蓮,美味しいご飯はあるし
奈緒,正直引くぐらいアニメや特撮のＤＶＤ持ってるし
Ｐ,くそぅ反論できねぇ
芳乃,お茶請けでしてー
凛,ありがとう。わぁ、当たり前のように歌舞伎揚げだね
Ｐ,せめて芳乃は援護してくれない？
加蓮,あ、任天〇ｓｗｉｔｃｈだ。ねぇねぇやってみていい？
Ｐ,許可する前に起動準備するな加蓮ｩ！
奈緒,なぁなぁ、コレ観てもいいか？
Ｐ,開き直って物色するな神谷ァ！
凛,ふーん、ふーん、悪くないかなっ悪くないかなっ
Ｐ,人ん家のクッション抱きしめて転がり回るな渋谷ァ！
芳乃,そなたはとても慕われておりますのでー
Ｐ,このカオスを見て出てくる感想がそれ！？。お前らなぁ、オフだからって男の部屋に入っていくところをパパラッチされたら一体どうなると…
芳乃,ご心配なくー
悪徳記者,クカカカカカ、見たぞ見たぞぉ？トライアドプリムスが妙にハイライトうっすいオッサンの部屋に入っていくのを。コイツはとんだスクープだぜェ。明日の一面はイタダキだな！。ん？何だ今の。部屋に近づこうとしたら何だかピリッと…。………
記者,東都政府と難波重工の癒着を暴かなきゃ
加蓮,あっ、テレビの下に落としちゃった。うんしょっと…
奈緒,しっかしホント凄い量あるよなぁ…観る時間あるの？
Ｐ,何言ってんだ。俺は遊ぶために働いてるんだぞ
凛,うん、流石にカバンには入らないか。どうしようかな
Ｐ,そこの凛さんや。うちのクッションをどこに持っていく気だ
加蓮,もうちょい…！あっ取れた！……あれ？体が抜けない
Ｐ,もう今更感あるけど、あんまり男の家に出入りするのは控えろよ？スキャンダルはアイドルには命取りなんだからさ
奈緒,大丈夫だよ。あたし達は単に芳乃の家に遊びに来てるだけだから
凛,そうそう。プロデューサーはたまたま芳乃の家にいただけって事。あ、芳乃そこ変わって？
芳乃,ここはわたくしの特等席なのですー
Ｐ,俺の膝だよ
加蓮,あ、これ本当に抜けない。うんしょ、よいしょ…！ふんにゅにゅにゅにゅにゅ！
凛,そう言えばさ、もうすぐ未央の誕生日だよね。卯月が張り切っちゃっててさ
Ｐ,ロシアンシリーズはやめてやれよ？誕生日ってのは１年で一番幸せな日であるべきなんだから
奈緒,あれ加蓮？おーい加蓮どうしたー？さっきから静かだけど
加蓮,
奈緒,ああもう、加蓮はすぐ生きるのを諦めるよなぁ
凛,すぐにコンティニューするよ。ねぇ芳乃５分でいいからそこ代わってくれない？
芳乃,やー、なのですー
Ｐ,俺の膝を争わないでくれない？
加蓮,
奈緒,うんしょ、よいしょ…取り合えず日当たりのいいとこに老いてくと復活早いんだよな
Ｐ,どこからツッコめばいいんだろ…
こずえ,あきらめろぉ…
Ｐ,ロケに集中しなさい
加蓮,あっ、テレビの下に落としちゃった。うんしょっと…
奈緒,しっかしホント凄い量あるよなぁ…観る時間あるの？
Ｐ,何言ってんだ。俺は遊ぶために働いてるんだぞ
凛,うん、流石にカバンには入らないか。どうしようかな
Ｐ,そこの凛さんや。うちのクッションをどこに持っていく気だ
加蓮,もうちょい…！あっ取れた！……あれ？体が抜けない
Ｐ,もう今更感あるけど、あんまり男の家に出入りするのは控えろよ？スキャンダルはアイドルには命取りなんだからさ
奈緒,大丈夫だよ。あたし達は単に芳乃の家に遊びに来てるだけだから
凛,そうそう。プロデューサーはたまたま芳乃の家にいただけって事。あ、芳乃そこ変わって？
芳乃,ここはわたくしの特等席なのですー
Ｐ,俺の膝だよ
加蓮,あ、これ本当に抜けない。うんしょ、よいしょ…！ふんにゅにゅにゅにゅにゅ！
凛,そう言えばさ、もうすぐ未央の誕生日だよね。卯月が張り切っちゃっててさ
Ｐ,ロシアンシリーズはやめてやれよ？誕生日ってのは１年で一番幸せな日であるべきなんだから
