テレビ沖縄では――,かなさんどー
小鳥,かなさんどー、か……いいなぁ……
貴音,小鳥嬢、何を見ているのですか？
小鳥,あ、貴音ちゃん。今ね、沖縄特集やってるのよ
貴音,沖縄ですか。響の出身地ですね
小鳥,ええ。海も綺麗だし、いつか行ってみたいわね
貴音,そうですね。ところで、かなさんどがどうとか聞こえましたが――。貰うと嬉しいような物なのですか？
小鳥,貰う……？まあ、凄く嬉しいものだと思うけど……
貴音,ふむ……そうですか
Ｐ,ただいま戻りました
小鳥,おかえりなさい、プロデューサーさん。またすぐに出るんですか？
Ｐ,ええ。時間がありませんから。貴音。準備はできてるか？
貴音,はい
Ｐ,よし。では、行ってきます
小鳥,はい。行ってらっしゃい
Ｐ,音無さんと何か話してたみたいだな。邪魔したか？
貴音,いえ、お気になさらず。時間も迫っておりましたし
Ｐ,そうか。ありがとう
貴音,あの、プロデューサー。一つお尋ねしたい事が
Ｐ,何だ？
貴音,かなさんどなる物をご存知ですか？
Ｐ,……いや、知らないな。すまない
貴音,そうですか……
Ｐ,何か大切な事なのか？
貴音,その……先程、小鳥嬢とかなさんどについて話しておりまして
Ｐ,ふむ
貴音,小鳥嬢曰く貰うと凄く嬉しい物であると……
Ｐ,成程な。それで欲しくなったという訳か
貴音,はい。沖縄の食べ物だと思うのですが……どうにも手掛かりに乏しく……。プロデューサー、何か妙案はございませんか？
Ｐ,んー……妙案かどうかは分からないけど、響に頼めばいいんじゃないか？
貴音,響ですか？
Ｐ,ああ。響って沖縄出身だし、料理も得意みたいだしさ。きっと、貴音が頼めばすぐにしてくれると思うぞ
貴音,そうですね……ご助言、感謝いたします
Ｐ,どういたしまして……さて、着いたぞ。頑張ってこい
貴音,はいっ！
響,ふんふんふ～ん♪
貴音,響、少しよろしいですか？
響,ん？どうしたの、貴音？
貴音,実は、折り入って頼みがあるのです
響,何？
貴音,その……かなさんどが欲しいのです
響,……は？
貴音,どうか、わたくしにかなさんどを――
響,ちょ、ちょっと待って！
貴音,はい？
響,え？本気で？本気で言ってるの？
貴音,冗談に見えますか？
響,うっ……全然見えないぞ……
貴音,わたくしは真剣にかなさんどが欲しいのです
響,えっと……あの……貴音？
貴音,何ですか？
響,貴音が本気なのは分かったぞ……でも――。自分と貴音は女の子同士でしょ？だから……そういうのは駄目なんだ
貴音,なんと！？まさかそのような事が……
響,いや、驚くところじゃないよね？一般常識だよね？
貴音,そうだったのですか……しかし、そこを何とかして頂けませんか？
響,うーん……まあ、あげるかどうかは置いといて
貴音,はい
響,こういうのは段階が必要だと思うんだ
貴音,段階……ですか？
響,うん。最低でも……1年ぐらい？
貴音,1年！？そんなに時間が掛かるものなのですか！？
