女1,キャハハ！処女が許されるのは小学生までだよね！
女2,そうそう！ホントあり得ないよな！
女3,そ、そうだね…
真美,…。…ねえ兄ちゃん
P,ん？なんだ真美
真美,もてる癖に処女ってあり得るとおもう？
P,ブッッッッ！。ま、真美？突然何を言い出すんだ
真美,だってね？真美ちょーモテモテじゃん？ファンの兄ちゃんや姉ちゃんとかいっぱいいるし
P,まあ、そうかもな。ああ大丈夫だ、続けて
真美,うん…それでさ、今日クラスの子が処女が許されるのは小学生までだよねって
P,ふぅ……真美、それは違うぞ
真美,違うってなにさ
P,ほら、見ろ真美
小鳥,ピヨッ！？
真美,ピヨちゃんがどうかしたの？
P,あのひとはな、実はもてるんだ
小鳥,そうなの？
真美,え？じゃあなんで処女なの？
P,あのひとは素晴らしい人でな、結婚するまで処女をとっておいてるんだよ
小鳥,え？別にそういうんじゃ…
真美,ふーん、そっかあ
P,それにほら、事務所のみんなも処女だろう？
真美,えっそうなの？
P,ん？え？
真美,？
P,だからほら、事務所のみんなも処女だろう？
真美,そうなの？
P,えっ
真美,え？
P,えっと、真美は処女なんだよな？亜美は？
真美,うーんどうだろ？そういう話し聞かないけど
P,他のみんなは？
真美,そういう話し聞かないかな
P,じゃあ処女じゃないの？。いや…その子の例だけで言われてもな…
真美,じゃあ逆になんで処女って思うの？
P,なんでって…あり得ないからな
真美,？あり得ないってなんで？。女3の例だけどそういう質問があったらいつもいないって答えるよ？
P,そんなのは一部の例だけだ
真美,そうなのかなあ？
小鳥,そういうの調べるいい方法がありますよ？
P・真美,いい方法？
小鳥,プロデューサーさんのチンコをアイドルのマンコに突っ込むんですよ！
真美,いや、ピヨちゃんそれ同時に処女じゃなくなるよね？
P,いえ、別にないですけど
小鳥,ﾁｯ
P,あ、でも興味あるアイドルはいますけど
小鳥,えっ！？誰ですか！？
真美,えっ？あ、うん
P,…
真美,あー疲れたー
P,お疲れさま。ところで真美、さっきの話おぼえてるか？
真美,ディレクターの好きなスイーツの話？
P,違う違う、処女なのかどうかって話
真美,あー、みんな結局どうなんだろうね
P,さあな、ちょっとよりたいところがあるんだがいいか？
真美,いいよー。？ここどこ？
P,俺の家だ
真美,へーまあまあじゃない？
P,入ってくれ
真美,わかったー。へー真美とかの写真いっぱいあるんだね
P,まあな
真美,エロ本あるかなー？
P,ないよ…エロ本は使わないしな
真美,ふーん
P,なあ真美
真美,なあに？兄ちゃん
P,お前本当に処女なんだよな？
真美,そうだよ？…なんか兄ちゃん怖いよ？
P,真美！
真美,キャッ！
P,真美の処女、俺にくれよ
真美,いや！やめて兄ちゃん！
P,真美！
真美,えっ！いや！ちょ…
P,…
真美,かわいい…
P,…
真美,あのね兄ちゃん、元気出して！
P,俺は最低だ…
真美,た、確かに無理矢理やろうとしたのはあれだけどさ…。えーっと
P,…
真美,あはは…。あのね兄ちゃん
P,…
真美,兄ちゃんが襲ってきたときね、真美スッゴく怖かった！
P,…。…
真美,だから兄ちゃんに処女、あげるよ
P,真美！。ありがとう、真美
真美,えへへー
P,そうだな！真美が待っててくれるんだ！俺はもっとしっかりしなくちゃな！
真美,そうだよ！あ！真美が大人になるまでに他の女のところにいったら駄目だからね！
P,わかってるって！真美こそ他の男になびいちゃ駄目だからな
真美,当たり前っしょ！。兄ちゃん！仕事いこ！
小鳥,くぅ～～！今日もイチャイチャしやがって！
アイドルたち,完全に負けた…
