モバP(以下、P),
P,。・・・小腹が空いたな。事務所に何かあったっけ。えーっと
どん兵衛,
P,おっ、一個だけ残ってた。ラッキー。～♪。あとは5分待つと・・・その間トイレにでも行ってくるかな。ふぃー・・・・え？
周子,
P,・・・・おい
周子,ん？やっほー
P,やっほーじゃないんだが。それ俺のどん兵衛だぞ
周子,いや～、お出汁の良い匂いにつられちゃってさー
P,・・・というか何で猫耳なんかつけてるんだ？
周子,猫耳じゃないよ？狐耳
P,狐耳？
周子,しゅーこちゃんの正体はなんと、どん兵衛きつねの妖精だったのです
P,はいはい、どいたどいた
周子,やーん♪
P,まったく。さてと・・・・ってあれ、お揚げは？。なぁ周子、食べるときお揚げ入ってなかっｔ―――
周子,
P,おまっ！？こら、待てぇっ！
周子,・・・
P,さっきからスマホ耳に当てて何してるんだ？
周子,んー？これ聞いてた
P,？。・・・・・・お、この声ってあの人じゃないか？ほら、最近結婚したって話題になった声優さん
周子,らしいね
P,らしいねって自分からかけたんだろ？
周子,どん兵衛のキャンペーンだってさー。これなんだけど
P,もう戻らない刺激的な夏を取り戻せ―――？
周子,ここの電話番号にかけると声優さんが青春っぽいセリフを言ってくれるんだって
P,へぇー・・・・って周子は青春を思い返すような年齢じゃないだろ。そういうのは俺くらいの年齢の人間が聴くもんだ
周子,Pさんにもそういう時代あったん？
P,失礼なやつだな・・・俺だって甘酸っぱい青春の一つや二つくらい・・・一つや二つ・・・・・・いや、一つくらいは・・・・・・
周子,・・・
P,・・・まぁ甘酸っぱいだけが青春じゃないし
周子,女性声優バージョンもあるけど聴く？
P,うん・・・。・・・・・・・・・・・・・蘭子！？。うっめ、どん兵衛うんめっ
周子,
P,なんだ？
周子,・・・ううん、昔の事を思い出しちゃってさー
P,昔の事？
周子,あの時の狐です
P,そんな経験はない。腹減ったな。おっ、どん兵衛発見～♪。・・・ん？
○ちゃん赤いきつね,
P,・・・。たまにはこっちにしてみるか。いただきま～す♪。うん、○ちゃんも美味いな。え？
箸,
周子,
P,しゅ、周子！？
周子,Pさん・・・それって・・・
P,あっ、いやっ！これは違うんだ！その・・・たまたまあったから！
周子,・・・。・・・・・ううん、いいんだ
P,え？
周子,たまには違う物にも手を付けたくなっちゃったんでしょ？その気持ち分かるよ
P,周子・・・
周子,でもこれだけは約束して欲しいな・・・最後にはあたしの所に戻ってくるって
P,！
周子,綺麗な満月・・・月見そば食べたくなっちゃったな
P,しゅうこぉぉ！俺は・・・俺はぁっ・・・！
ちひろ,早く仕事に戻ってくれませんか？
周子,うわー、寒そう。こういう日はやっぱおこたに限るよー
P,うぅ～！寒い寒い！。ほら、どん兵衛作ってきたぞ！
周子,おつかれ～♪
P,うぅ～さぶっ！何で俺が周子の分まで作らなくちゃいけないんだよ
