男子生徒A,なーなー、いいじゃん大崎
甜花,ひうっ...その...やだ...
男子生徒B,減るもんじゃないし、いいじゃんよー
甜花,あの...ごめんなさい...こわいです...
？？？,ちょっとそこの男子！！！甜花ちゃんに何してんの！！！
男子生徒AB,おわっ！？やべぇ妹来た。退散退散
甘奈,ったく、ちょっと目離すと甜花ちゃんにちょっかい出すんだから...大丈夫甜花ちゃん？イタズラされてない？
甜花,うん...移動教室で...教科書持って行ってあげるって言われただけだから...大丈夫
甘奈,はぁ...ダメだよ甜花ちゃん気をつけなきゃ。男子なんてそんな小っちゃなことから段々エスカレートして行くんだから
甜花,うん...気をつける...ありがとなーちゃん
甘奈,えへへー、どういたしましてー♩大丈夫だよ。甜花ちゃんは甘奈が守ったげるから
甜花,迷惑かけて...ごめんね
甘奈,全然めーわくなんかじゃないよ。あっ、移動教室だよね。教科書は甘奈が持ってってあげるから、いこっ甜花ちゃん
甜花,うん
甘奈,いっただきまーす☆
甜花,いただきます
甘奈,おおっ、今日のお弁当はハンバーグだ！やったね。はい甜花ちゃん、あーん
甜花,なーちゃん...ここ学校...恥ずかしいよ...
甘奈,あっそっか、ごめんごめんいつもの癖で
甜花,一人で食べられるから...
甘奈,うん！一人で食べる甜花ちゃん偉い
甜花,...別に偉くはないと思う...はむっ...
甘奈,...
甜花,...。...なーちゃん、じーっと甜花見てどしたの？
甘奈,えっ、いやーもぐもぐ甜花ちゃん可愛いなーって
甜花,ありがとう...でも、あんまり見られると...食べにくいかな...
甘奈,はーい、箸持つの疲れたら言ってね。食べさせてあげるから
甜花,...うん...
甘奈,ほうかごーほうかごー、甜花ちゃんと一緒にかえるーん♩
女子生徒A,甘奈ー、進路希望書いたー？
甘奈,まだだよー
女子生徒A,良かったー。お姉ちゃんの介護士とか書いてたら止めなきゃいけないって思ってた
甘奈,...！
女子生徒B,チョップ
甘奈,ふぎゃっ。何するのさ！？
女子生徒B,閃いたみたいな顔したから
甘奈,えー、ステキな職業じゃん。甜花ちゃんの介護士だよ！お金払ってもする価値あるよ！
女子生徒A,このシスコンめ。本気で思ってそうで怖いわ。まぁ、甜花の可愛さは認めるけどさ。小動物系？
甘奈,それな！特に朝寝惚けてる甜花ちゃんなんて見ちゃった日には、世界中の富豪が札束持って駆けつけるよ。まぁ、いくらお金積まれても甜花ちゃんは渡さないけどね
女子生徒AB,へーへー
女子生徒B,んでもさ、マジな話どうすんの？甘奈だったら頭いいし、運動神経いいし、何にでもなれるでしょ？
女子生徒A,ほんとほんと、部活やってないのがもったいないよ。バレー部入る？甘奈ならいつでもウエルカムだよ
甘奈,もー何回も言ったでしょ、甘奈は今しかできないことしたいの。バレーはママさんになってもできるし
女子生徒B,選んだのはJKギャルかー、まぁ甘奈らしいといえばらしいけどね
甘奈,それに部活やっちゃうと、甜花ちゃんと一緒に下校できないし、家で遊ぶ時間減っちゃう
女子生徒A,結局それかーい！
女子生徒B,でもさ、いつまでも姉にべったりってわけもいかないっしょ？大学行ったり、就職したりでいつかは離れなきゃな時が来るよ
女子生徒A,うんうん。時間は残酷でいつか二人を引き裂いてしまうのだー！って、これはこの前のドラマのセリフね
