大石泉,プロデューサーもやっぱりスカートが短いほうがいいの？
P,えっと、疲れてるのか泉？
泉,……ごめん、どうかしてた。忘れて
P,いや、うん。別にいいけど。俺は短くても長くても、人の個性だと思うし、その時のコーデ次第じゃないか？
泉,忘れて、って言ったよ
P,無理だって。インパクトがすごいから
泉,む、プロデューサーのすけべ……
P,かわいい
泉,でも、プロデューサーは単純じゃないんだね。データの分析が必要みたい
P,マキノみたいなことを言ってるな……というか、どうして急にそんなことを？
泉,ふーん、あなたが私のプロデューサー？まあ悪くないかな
P,返答に困ったからって凛のものまねをするな。似てるけど
泉,当然です、論破です
P,泉がありすのことを論破ですと言ってばかりと認識していることはわかった
泉,む、それは違うよ。ありすちゃんのかわいいところはたくさん知ってるから。普段は、特に同年代といるときは大人に見られようと背伸びをしているけれど、憧れの人やプロデューサーの前だと年相応な子供の姿を見せるところや、いちごの前で目を輝かせるところ、本当は構ってほしくてもつい遠慮をしてしまうところ、一人でも平気だなんて言ってみても本当はそんなことないけど、人に迷惑をかけたくないから言い出せないところがあって甘やかしてあげたくな──
P,ごめん、ありすへの愛情はよくわかったから。俺が悪かったから
泉,…………ま、まあ、私も少し、暴走しちゃったかもだから。痛み分けだね
P,痛み分けって言うのかなあ
泉,プロデューサーも中学生と高校生だとやっぱり中学生が好きなの？
P,俺普段からどういう目で見られてるの？
泉,男の人は統計的により若いほうを求めるんだって
P,若いと言っても限度があってな？
泉,ま、まさか小学生のほうが……あ、ありすちゃんには手を出させないから！
P,出さないから。小学生なら中学生を選ぶから──いや違う中学生もだめだな！？
泉,中学生はだめ……プロデューサーは女子高生派だったんだ
P,女子高生派でもない
泉,中学生でもだめ、女子高生でもだめ。じゃあプロデューサーはなにがいいの？
P,それを聞いて泉は何がしたいんだ？
泉,ちひろさんがいいの？
P,返答に困ったからって質問に質問で返すのはやめような。あと、ちひろさんはそういう目で見たことは一度たりともない
ちひろ,え
P,同僚を異性として認識していたら、仕事ができなくなるだろ。だからちひろさんのことは異性として考えたことはないな。あれだ、同期の男友達みたいな感覚でいてる
