私は千歌ちゃんから,押し入れの整理してたら、すんごーいモノ見つけたから来て！
曜,えーっと、この青い上下着てるのが私で、こっちの赤と黄色のボーダーなのが千歌ちゃんだよね？
千歌,そうでーす！っていうか、いつも着てた服だしねっ
曜,んで、この白いワンピースに麦わら帽子の娘は──
梨子,はい！私、桜内梨子です！
曜,えっ!?やっぱり？
その時に撮った写真が残っていたなんて確かに,すんごーいモノ
梨子,うん。私、小1の夏休みに一度内浦へ来てたの。……すっかり忘れてたけどね
千歌,奇跡だったんだね♡わたし達がちっちゃい頃に一度会ってたのって
曜,あはは、千歌ちゃんの言うとおりかもね。だから初対面のはずなのにすぐ馴染めたのかも
梨子,運命だったのかな、私と千歌ちゃんが結ばれたのは♡あの時出逢ってからそう定められて──
曜,うわぁ、まーたトリップしてるよ
梨子,いいでしょ！私は千歌ちゃんが大好きなんだから♡
千歌,でもわたしは好きじゃないなぁ
梨子,へっ!?千歌ちゃん……私のこと、嫌いになっちゃったの……ううっ
千歌,いや、ごめん梨子ちゃん。そういうことじゃなくて
梨子,……どういうこと？
千歌,最初っから運命は決まっていた、って考え方
曜,ああ、そっちね
何せずっと,ある人
千歌,昔会ってようとも会ってなくとも、スクールアイドル活動を通して色々あったから、わたし達は仲良くなれたんだから。ねっ♡
梨子,もうっ、千歌ちゃんってば変なところでリアリストなんだから～
千歌,いいでしょ～。それにあの出逢いが運命だっていうんなら、梨子ちゃんと曜ちゃんが結ばれた可能性だってあるんだし
ようりこ,あっ
千歌,ねっ。まっ、もしそうなってたとしても、わたしは二人の仲を応援してたと思うよ
梨子,うーん、千歌ちゃんが言うような未来もあり得たかもね。曜ちゃん、卒業式の日にだーーーい好き♡って告白してくれたし♡
曜,いやいや、アレは別にそういう意味の告白じゃないから。っていうか千歌ちゃんいる前でそのこと話すのは──
千歌,ああ、その件については梨子ちゃんから聞いてるからお構いなく～
曜,って話してたの!?
梨子,何か問題でも？あの後で千歌ちゃんのことなんて忘れて私のモノになりなよ♡とか耳元で囁かれたりしてたら問題だったけど
曜,私はそんな鬼畜じゃないから！
千歌,そうだよー。とにかくあの頃は惚れたとか恋したとか関係なく、3人仲良くしてた。でしょ？
梨子,ふふっ、そうね
曜,ほんと、千歌ちゃんのそういうとこには敵わないなぁ。やっぱり関係あるの？梨子ちゃんがここへ引っ越して来たのと、昔ここへ来てたのって
梨子,うん。今の家、元々おばあちゃんとおじいちゃんが暮らしてて、あの時はおじいちゃんのお葬式のために来てたの
千歌,そっか、辛かったんだね……っていうかあの2人、梨子ちゃんのおばあちゃんとおじいちゃんだったんだね！
曜,まあ名字が違うからね。ついでに私も初耳だし
千歌,何にせよ、あの時のわたしと曜ちゃんが梨子ちゃんの力になれたみたいで良かったよ
梨子,千歌ちゃん……ありがと、2人とも
ようちか,どういたしまして
千歌,そういえば中学の頃におばあちゃんも亡くなったんだよね……
曜,……そうだったね。その時も梨子ちゃんこっちへ来てたの？
梨子,ううん、行かなかった。ピアノコンクールに出てたから
曜,いや、良かったの？
梨子,亡くなる1ヶ月くらい前に私に何かあっても、自分の夢を優先しなさいって電話が来てたから
千歌,なんか夏の予備予選の時そっくりなやり取りだね
梨子,あっ、本当ね。おばあちゃんも千歌ちゃんみたいに周りのことよく見てる人だったから
千歌,もしかしてわたしに惚れたのって、おばあちゃんに似てたから？
梨子,別におばあちゃんは関係ないから。何度も背中を押してくれたからだし、可愛いところもいっぱいあるからだし♡
千歌,いや～//可愛いだなんてそんなぁ～//
曜,このバカヨウっ！
千歌,どうしたの、曜ちゃんっ？いきなり首をブンブン振って
曜,う、ううん。何でもないよ
千歌,悩みがあったら何でも言ってね。1人で抱え込んじゃダメだよ
梨子,千歌ちゃんの言うとおりよ。私達、親友なんだからね
曜,う、うん。ありがと。でもほんとに何でもないからね
千歌,そっか、了解
梨子,……ならいいけど
もし私が,千歌ちゃんと付き合いたい！
曜,さてと、私はそろそろ失礼しますかな
千歌,そっか、お疲れさま。今日はありがとね
梨子,お疲れさま。あと明日、私と千歌ちゃんとで駅前の方までショッピングへ行くんだけど
2人の仲は認めてるんだから……いやいや,認める
曜,そうなんだ、楽しんできなよ
梨子,曜ちゃんも一緒に来ない？
曜,いや、でも──
千歌,曜ちゃんもいた方が楽しいって！ねっ？
曜,あっ、そうだ。私も明日はルビィちゃんと予定が入ってたんだ
1年生の衣装はルビィちゃんを中心に1年生だけで製作するが,生地選びとかのアドバイスがほしい
梨子,じゃあルビィちゃんも入れて4人で
千歌,なんなら善子ちゃんと花丸ちゃんも誘って6人でも──
曜,いやいや、別に休日までみんな一緒でなくちゃ、ってことはないでしょ！
千歌,だよね～、うん……あうっ!?
梨子ちゃんさぁ,諦め早いわよ！
梨子,本当にいいのね？
曜,若い2人の間に、この老いぼれが入るのもどうかと思うしのう。ほっほっほっ
千歌,老いぼれって、わたしと誕生日3ヶ月しか変わらないじゃん
曜,んなっ!?
梨子,……わかった。じゃあルビィちゃんと仲良くね
曜,うん。悪いね、千歌ちゃんも梨子ちゃんも。はぁ～、相当気を遣われてるんだな、私
さっきみたいに2人きりでどこかへ行く前に、いちいち,お伺い
曜,私のことなんて……もう気にしなくていいのに
そうやって,自分の狭量さ
千歌ちゃんはもし,私と梨子ちゃんが付き合う
梨子ちゃんも,私と千歌ちゃんが付き合う
対して私は……私だけが未だに心の底から,千歌ちゃんと梨子ちゃんが付き合っている
梨子,おはよう、千歌ちゃん
千歌,おはよう、梨子ちゃん……ってその格好は──
梨子,うん。あの頃みたいなイメージで選んでみたの。どう、似合う？
千歌,もちろん！すっごい似合ってるよ！
梨子,ほんと？
千歌,うんっ！まるで天使様がわたしの下へ舞い降りて来てくれたのかと思ったよ！
梨子,んなっ!?。んもうっ//褒めたって何も出ないわよ//
千歌,ははっ、梨子ちゃんってば顔真っ赤。照れてるんだ～、可愛いよ♡
梨子,ほんと、バカチカなんだからぁっ//
千歌,むうっ、梨子ちゃんまでそう呼んでぇ～
梨子,千歌ちゃんったらせっかくのデートなのに、そんな男の子みたいな格好で
千歌,デートだから、だよ
梨子,へっ？
千歌,わざと男の子っぽく見えるようにしたんだよ
梨子,なんでよっ!?
千歌,やっぱりさ女の子同士はおかしいって見なす人は多いしさ
梨子,……あっ
普段は女子校に通っているから意識しないでいられるけど、世間では未だに,女性同士でお付き合いする
千歌,でも気にしなくていいよ。わたしだって梨子ちゃんみたくあの頃風を意識してみたんだし
梨子,まあ、そう見えなくもないね
千歌,でしょ～、だからいいの。10年越しの再会ってフレイバーなの！
梨子,ふふっ。ほんと、変な人
千歌,変な人で結構
梨子,そろそろバスが来る時間になるし、行きましょ！
千歌,うん。今日1日楽しもうねっ♡
梨子,うん♡
私達と同じく女子高生のペアもそれなりにいるので、私も千歌ちゃんも,恋仲に見られる
千歌,嘘っ!?40ページしかないのにこんなに高いのっ!?
梨子,確かにこれで980円はちょっと……って感じね
昨日、曜ちゃんが帰った後で,交換日記を始めよう
千歌ちゃんが,どんな出来事があったのか、いつでも見返せるようにしたい
千歌,だよね？駅前の喫茶店のキャラメルマキアートRXサイズと同じ値段だもんね
梨子,なぜ比較対象がキャラメルマキアート!?
千歌,っていうかアレだって、原価考えたら相当なぼったくりだし
梨子,ああいうのって、施設の利用費も込みなんだと思ってたけど
千歌,なんだろうね。スタバのコーヒーとか8割はシャバ代だっていうし
梨子,……シャバ代ってマフィアじゃないんだから
千歌,えっ、普通に言わない？とにかくアレ持って帰るなんて、イコール8割ドブへ捨てるようなもんだよ！
梨子,理屈はわからなくはないけど、ドブへ捨てるはないんじゃないかな？ちゃんと飲むんだから
千歌,かもね。飲みたいところで飲むのが一番だよね
梨子,ところでどれにしよっか？
千歌,もういつも歌詞書いてるヤツでいい気がしてきた
梨子,ええーっ!?あの3冊100円のアレ？
千歌,うんっ。一番コスパいいし♡
梨子,コスパがいいのは認めるけどさぁ
千歌,嫌なの？
梨子,せっかくの交換日記なんだから、こういう時くらい奮発してもバチは当たらないんじゃない？
千歌,うーん、だよねぇ。でも実用性を考えると──
梨子,千歌ちゃんって、結構ケチくさいよね～
千歌,んぐあっ!?
梨子,やっぱりアレ？旅館の娘だから金勘定にはうるさいクチなの？
千歌,いいじゃんか～！このご時世、節約志向が大切なのです！
梨子,わかるけど、やっぱり出す時は出さないと。ねっ？
千歌,うーん……それもそっか
梨子,でしょっ♡
千歌,じゃあこっちの金ピカノートを──
梨子,さすがにそれは高過ぎ！
千歌,ううっ、○莉ちゃん。どうしてぇーっ……グスン
梨子,真君を守るためだからって……あんまりだわ
千歌,梨子ちゃんはわたしが殺されそうになっても、庇ったりしなくていいからね
梨子,千歌ちゃんこそ。私は私がいなくなっても、千歌ちゃんが幸せでいてくれたらそれでいいから
千歌,イヤだよぅーっ。わたし、梨子ちゃんが隣にいないと幸せでいられないもんっ！
梨子,私も。千歌ちゃんがいない世界なんて耐えられない！
千歌,梨子ちゃぁーんっ！
梨子,千歌ちゃぁーんっ！
周りの人々,ジー
ちかりこ,はっ!?
係員,お楽しみいただけたようで何よりですが……館内の清掃がありますので
ちかりこ,すみませんでした
梨子,ううっ、やらかしたー
千歌,いいじゃん、わたし達がラブラブなの見せつけられてさぁ♡
梨子,よくないっ！っていうか周りがドン引きしてたわよ
いわゆる,桃色結界
千歌,いいよ、ドン引きされるくらいで。それこそ将来は十千万名物のラブラブ夫婦って噂になるくらいにさぁ♡
梨子,私達が名物になって客が増えて嬉しいの？
千歌,んっ？お客様が増えてその分儲けになるなら結果オーライだよ！
梨子,わからなくはないけど、むしろマイナスになるんじゃ
千歌,なるの？
梨子,なるかもしれないよ
千歌,どんな風に？
梨子,例えば旅館案内サイトのレビューでここの若女将と奥さんが所構わずイチャイチャしているので、リア充爆発しろ！と嫉妬の炎が鎮まりません。せっかく日頃の疲れを癒しに来たのに、逆にイライラが募り全く癒されませんでしたってな感じの悪評が広まって──
千歌,所構わずイチャイチャなんてしないから！仕事なんだし！
梨子,そういうところはメリハリ付けるつもりなのね？所構わずスクールアイドルやろうよ～梨子ちゃ～ん♡って誘ってきたのに
まあ、その連日のお誘いがあったからこそ,今の私
千歌,えへへぇ～、だって梨子ちゃんへ一目惚れしたんだもんっ♡
梨子,作曲できるからでしょ？
千歌,うぐあっ!?
梨子,それと数合わせ
千歌,はぐわぁっ!?……そりゃ最初はそうだったけどさぁ
梨子,わかってる。千歌ちゃんが私を作曲マシンみたいに見なしてた訳じゃないって
千歌,梨子ちゃん……
梨子,私もそんな優しい人だってわかったから、千歌ちゃんとスクールアイドルやろうって決めたんだよ♡
千歌,ううっ……ありがとね、梨子ちゃん。ところで映画観てて思ったんだけどさぁ
梨子,どうしたの？
千歌,もし実際に明日世界が終わっちゃうとしたら……梨子ちゃんはどうする？
あの映画の場合,隣接する平行世界からの侵略者によって、主人公達の世界の人々が虐殺されていく
梨子,なんか聞かれるかもとは予想してたけど、答える必要あるの？
千歌,えーっと、つまり？
梨子,1日中ずーっと千歌ちゃんと一緒に過ごしたい。もし授業があるならサボっちゃう！
千歌,おおーっ、なんだかワルだねぇ～
梨子,明日で世界が終わっちゃうならワルも何もないわよ。っていうかみんながわかってるなら、そもそも授業だって休みになりそうだけど
千歌,あっ、確かにそうだね
梨子,その手の背景設定へ熱いこだわりがある千歌ちゃんとしてはどうなの？
もしかしたら、あのノートを他の誰かへ見せて馬鹿にされた経験があったから、善子ちゃんの,堕天使
千歌,そこは梨子ちゃんへお任せします
梨子,って投げちゃうの!?
千歌,それで、わたしと何をして過ごしたいの？
梨子,うーん……その時になってみないとわからないかな？
千歌,そっか、それもそうだよね～
梨子,まあ、色々思いつきはするんだけど
千歌,どんなどんな？
梨子,今日みたいにショッピングしたり、映画を観たり、美味しいものいっぱい食べたり
千歌,本当に普通のデートって感じだね
梨子,でしょ
だから私としては、今日の晩に,おやすみ
もちろん、遺された千歌ちゃんのことを想ったら胸が苦しくなるから,2人とも亡くなる
梨子,……って考えたんだけど
千歌,考えたんだけど？
梨子,みんなが明日世界が終わるってわかってたら、誰も働かないと思うの
千歌,だよね～、みんな仕事なんてやってられるか！自由に過ごすぞー！ってなっちゃうよね～
梨子,ねっ。でも私と千歌ちゃんだけが気付いてるって設定ならイケるけど
千歌,うむ、その手のこだわりは大切じゃぞ
梨子,はぁ、どうして私の周りは設定厨だらけなのか
スクールアイドルオタクのルビィちゃんなんて、姉のダイヤちゃん共々閉校祭の振替休日に,クイズ大会の補習講座
千歌,そりゃみんな自分が好きなものへのこだわりが強いから、でしょ？
梨子,ああ……かもね
千歌,かくいう梨子ちゃんだって壁クイへの熱意は凄まじいんだし
梨子,そ、そうかな？
千歌,そうだよ。この前プリクラ撮った時だって顎の引き方がおかしいって7回も撮り直したし
梨子,はうぅっ//
千歌,こだわりといえば唯澪本とまどほ○本だって何十冊もあったし
梨子,推しカプの本は何冊あっても困らないんです！
千歌,ええーっ!?そうかなー？
梨子,作者ごとの違った解釈を見られるのが楽しいの！
千歌,それってガワだけ同じの別キャラなような──
梨子,そういうのは言いっこなしです！
千歌,推しカプ本の話聞いてて思ったんだけどさ
梨子,なぁに？
千歌,平行世界ってさ、1つだけじゃないのかもね。あの映画だと1つだけだったけど
梨子,3つとか4つとか？そもそも平行世界自体、実際にあるのかなんてわからないけど
千歌,まあね。ただあるとしたらそんなもんじゃなくて、それこそ何万何億……無限にありそうな気がする
梨子,で、その中の1つ1つに私と千歌ちゃんがいるってこと？
千歌,うん。だとしたら、その中には梨子ちゃん以外の誰かと付き合っているわたしがいてもおかしくないんじゃないかな……ってさ
梨子,曜ちゃんとか？
千歌,うん。あるいは果南ちゃんとか、普通に男の人とか。もしくは誰とも付き合ってないわたしなんかも
梨子,ふふっ、乙女ゲーの個別シナリオみたいだね
千歌,でしょ。んでそういうのを考えていったらさ
梨子,考えていったら？
千歌,こうしてわたしと梨子ちゃんが付き合っているのって、実は相当なレアケースなんじゃないかなーって
梨子,えーっと、つまり全ての平行世界で千歌ちゃんが誰とお付き合いしてるのか調べていったら私とお付き合いしている世界の割合はかなり低い、と？
千歌,うん。なんとなく、ね
もしかしたら千歌ちゃんも,自分は順当にいけば曜ちゃんと付き合っていたはずだ
千歌,だからこそ……ううん、そんなもしものこととか関係なく、梨子ちゃんとこうして隣にいられる時間を大切にしたいな♡
梨子,千歌ちゃん……うん、私も♡
平行世界がどれだけ存在していて、それらの中で,私と千歌ちゃんが付き合っている世界
千歌,ところでお昼どうしよっか？
梨子,なんかポップコーンでお腹いっぱいになっちゃった
千歌,えへへ、実はわたしもなんだけど
梨子,じゃあこのまま家電屋さんまで行く？
千歌,うん、そうしよっか。うーん、なんだか曇ってきたね
梨子,予報通りだね。雨は降らないみたいだけど
千歌,そっか。あっ、あれって──
梨子,曜ちゃんかな？
千歌,曜ちゃんだね。幼なじみのわたしが言うんだから間違いなく
梨子,ふふっ。にしても、ルビィちゃんは一緒じゃないのね
千歌,じゃあ行こっか、曜ちゃんのとこへ
梨子,もちろん！
千歌,やっほ～曜ちゃ～ん！
梨子,こんにちは、曜ちゃん
曜,って千歌ちゃんに梨子ちゃんっ!?
千歌,ごめんね、曜ちゃんっ！
曜,わわっ!?いきなりハグしてこないでよ//
千歌,えっ!?ダメ？
曜,ダメも何も彼女がいる前で──
梨子,ああ、私のことならお構いなく。あと私もハグしていい？
2人が仲良くしている様を見ているのは、過去のすれ違いを知ってしまった身としては,わだかまりが解けて良かった
曜,いやいや、梨子ちゃんも大切な親友だけどさぁ
梨子,ふふっ、ありがと
曜,っていうか今の彼女って梨子ちゃんのことじゃなくてだね
梨子,私じゃなくて？
？？？,ジーっ
千歌,あっ、ルビィちゃんもいたんだ～♡
ルビィ,……やっぱり曜さんにとって、千歌ちゃんが一番なんですね
曜,い、いや……そんなことはなくて、千歌ちゃんの方からハグしてきて……
千歌,ご、ごめん
ルビィ,ううん、ルビィは何も怒ってませんから♡
梨子,ルビィちゃん、私達は曜ちゃんが1人で来てたと勘違いしてて……ごめんなさい
ルビィ,だと思いました。大丈夫ですよ、梨子さん
梨子,ふぅ、ありがと
曜,だから昨日話したでしょ。ルビィちゃんと2人で予定が入ってるって
千歌,そうだ。曜ちゃん、わたし達これから家電屋さんまで行くんだけど、一緒に来ない？もちろんルビィちゃんも
曜,ああ、ごめんね。私達、これから手芸店へ行くから遠慮しとくね
千歌,えっ!?でも──
梨子,曜ちゃんには曜ちゃんの用事があるの
千歌,はーい
梨子,じゃあ私達はこの辺で失礼するね。行こっ、千歌ちゃん
千歌,うん。また今度ね～
曜,うん。私のことは気にせず、2人とも楽しんで！
千歌,ルビィちゃん、曜ちゃんをしっかりリードしてあげてね！
ルビィ,はいっ、任せてください！
曜,ってリードされるのは私なの!?。なんていうか、もう熟年夫婦感出てるなぁ。千歌ちゃんと梨子ちゃんは
ルビィ,そうですね～、出逢ってからまだ1年しか経ってないってのに
曜,まああの2人の場合、色々あったみたいだからね
2人はスクールアイドル活動を通して、悲しいことや辛いことも乗り越えてきた,同志
ルビィ,ルビィ達全員、色々ありましたよ。9人みんなが自分の物語の主役なんです
曜,あはは、だよね。他の誰かになれる訳でもないんだからね
ルビィ,そういうことですよ、曜さん。だから──
曜,だから？
ルビィ,ルビィの……わたしのこと、もっとちゃんと見てください
ただ、私達が付き合い始めた,あの日
曜,見てるよ、ルビィちゃんのこと
ルビィ,今のままじゃなくて……千歌ちゃんの代わりじゃなくて、ですよ？
曜,千歌ちゃんの代わり？
ルビィ,はい
曜,……ルビィちゃんまでそんなこと言うの？
ルビィ,だって曜さん、ずーーーっと千歌ちゃんしか視界に入れてなかったですし
曜,そ、そう……かな？
ルビィ,今だって千歌ちゃんにハグされて、おもいっきり鼻の下伸ばしてましたし
曜,はぐうっ!?
ルビィ,未練タラタラなんですね？
曜,そ、そんなことないっての！
もちろん,友情
ルビィ,色々聞いてるんですよ。例えば善子ちゃんからは曜ってば、バスの中でも口を開けば半分くらいは千歌の話なんだからって
曜,善子、ちゃん？
ルビィ,果南さんからは私だって曜の幼なじみなのに……鞠莉じゃないけど嫉妬ファイヤーしちゃうなぁとか
曜,いや、果南ちゃんは歳が1つ違うからさぁ
ルビィ,そして花丸ちゃんからはマルはそもそも存在を認知されているのかすら怪しいずら。この前ランニングで遅れたら全員いるね
曜,その件はごめん！悪気はなかったから！。っていうか、そんなに私千歌ちゃん千歌ちゃん言ってる？
ルビィ,お姉ちゃんのですわぐらいには
曜,ぶっぶーですわ！や千歌ちゃんの奇跡だよ！の比じゃないよね？そこまでくると
ルビィ,ほらっ、また千歌ちゃんで例えた！
曜,はぐわっ!?
ルビィ,まっ、10年以上も片想いしていたそうですから仕方ないですけどね。曜さんの半分は千歌ちゃんで出来ていると言っても過言じゃないですし
曜,いやいや、どこぞの風邪薬じゃないんだから。……勇気を貰ってきたりはしたけど
千歌ちゃんは自分のこと,普通怪獣ちかちー
曜,千歌ちゃん！
千歌,んっ？どうしたの？
曜,私……千歌ちゃんのことが──
千歌,わたしのことが？
曜,──好きです！
千歌,うんっ！これからもいい友達で──
曜,い、いや。そうじゃなくて
千歌,そう、じゃない？どういうこと？
曜,恋愛対象として好きってこと
千歌,ふへっ!?。ええーっ!?。ちょっ!?いや、で、でも……だけど、わたしは……
曜,千歌ちゃん？
千歌,曜ちゃんの気持ち……すっごいすっごい嬉しいよ。ありがとう
曜,じゃあ私達──
千歌,だけど……ごめんなさい
そして最後に残ったのは,私は千歌ちゃんから振られた
曜,あ、ああ……
千歌,曜ちゃんっ!?。曜ちゃんが嫌いって訳じゃないよ。っていうかどうやったら嫌いになれるの？って感じだし
曜,あ、ううっ……
千歌,でも……わたし、好きな人がいるから
曜,う、うん。わかってる、梨子ちゃんのことだよね？
千歌,う、うん。だから、ごめん。ごめんね、曜ちゃん
曜,それで、梨子ちゃんへいつ告るの？
千歌,決勝が終わったら。結果発表は翌日でしょ？
曜,うん、そうだね
千歌,夕方デートへ誘って、その時に告白する
曜,そっか
千歌,わたし、先に教室へ戻ってるね
曜,う、うん。あはは……そう、だよね。うっ、ううっ……千歌ちゃん、千歌ちゃんっ
ルビィ,曜さんっ!?
曜,る、ルビィちゃんっ!?
ルビィ,もしかして千歌ちゃんに……ごめんなさいっ
曜,いや、いいって。ルビィちゃんが思ったとおりだから
ルビィ,いや、でも──
曜,わかってたんだけどね。千歌ちゃんが梨子ちゃんへ恋してたって
ルビィ,曜さん……
曜,ああ……やだやだ！私が梨子ちゃんだったらなんて、梨子ちゃんになれたらなんて。そんなの……あの頃から何にも変われてないってことじゃんか！。ううっ……ああーっ！
ルビィ,泣いても、いいですよ。ルビィの胸で良ければ
曜,うああぁーっ！千歌ちゃん、千歌ちゃんっ、千歌ちゃぁーんっ！！。ごめんね、情けない先輩で
ルビィ,いいんですよ。フラれたら悲しいのは当たり前ですもん
曜,ルビィちゃんは経験あるの？
ルビィ,……知ったかぶりですよ。すみませんね
曜,ふふっ、あははっ！確かにルビィちゃんは恋とは無縁そうだしね！
ルビィ,笑わないでくださいよぅー、これでも気にしてるんですからー
曜,あはは、ごめんごめん
ルビィ,花丸ちゃんと善子ちゃんだって付き合ってたりしますし
曜,ああ、あの2人もかー
ルビィ,さっき上級リトルデーモン0号がどうたらって言ってキスしてましたし、空き教室で
曜,あの占いの館の？
ルビィ,はいっ、そこです
曜,へぇー、やるじゃん。ねぇ、ルビィちゃん
ルビィ,なんですか？
曜,付き合おっか。私達も
ルビィ,えっ？。……ええーっ!?
曜,駄目、かな？
ルビィ,いや、その……駄目ってことは、ない……ですけど。一応……色々尊敬してますし
曜,じゃあ、これからよろしくね
なんだかんだ言って私だってルビィちゃんへ単なる,後輩
ルビィ,ま、まあ付き合い始めてから親しくなる恋ってのも、アリだとは思いますし
一刻も早く,本命
ルビィ,……こんなルビィで良ければ、よろしくお願いします
曜,うん。よろしくね、ルビィちゃん。完全にその場のノリで……って感じだったけどね
ルビィ,わかってますよ。長年片想いしてた人へフラれて、自棄になってたことぐらい。でも、きっかけなんてそんなんでいいんです
曜,ルビィちゃん……
ルビィ,ルビィとしても憧れの人とお付き合いできるってことに浮かれてて、その後のプランなんかこれっぽっちも考えてませんでしたから
曜,私のこと、そんな風に見ててくれてたんだね
ルビィ,でも、もう付き合い始めて3ヶ月にもなるんです。だからそろそろルビィを千歌ちゃんの代わりじゃなくてルビィとして見てほしいんです
？？？,ジー
曜,ちょっとそこの君？何見てるのっ!?
？？？,何か問題でも？別にカメラで撮影している訳ではありませんし
曜,いや、それはそうだけどさ
？？？,個人の肖像権を侵害していない以上、公共の場で起こっていることへ目を向けるのに特別の問題はありませんよね？
曜,ま、まあ。ってことだから、また今度ね。ルビィちゃん
ルビィ,そう、ですね。……わかりました
？？？,止めるんですか？彼女さんとのキスを
曜,そんなに見たかったの？他人がキスしてるのを
？？？,いえ、別に
曜,だったらいいでしょ、見せ物じゃないんだから
ルビィ,そうですよ、みのり副会長
曜,へっ!?副会長？
みのり,はい、冬木みのりと申します。月会長から話は耳にしていますよ、神童渡辺曜
曜,神童ねぇ
浦女時代でも,高飛び込みの技能がオリンピック選手級
さすがに,神童
曜,別にそんな持ち上げるほどの人間じゃ──
みのり,みたいですね。このヘタレっぷりからして
曜,へ、ヘタレって……
みのり,違いますか？一番欲しかったモノを諦めて代替品で妥協しているんですから
曜,ルビィちゃんをそんな風には──
みのり,見え透いた嘘はつかなくていいですよ
曜,だから嘘なんてついてないっての！
みのり,でしたら、どうしてキスしてあげなかったんですか？
曜,それは、みのりちゃんが見ていたからで
みのり,高海千歌が相手なら、周囲の視線なんて二の次だった。でしょう？
曜,千歌ちゃんなら……。……そんなことない、から
みのり,でしょうね。一度フラれた程度で諦めてしまうヘタレですし
曜,だからヘタレヘタレ言わないでよ！
みのり,一番を本気で求めず、二番で満足したフリをする。これをヘタレと呼ばずして何と呼べばいいんですか？
彼女は先入観に基づいて他人を見て,こういうものだ
