本田未央,おっはよーう！まだまだ暑いねー！
渋谷凛,あ、未央、お疲れ様
未央,お疲れー、何読んでるの？企画書？
凛,そう、新しいお仕事の概要だって
未央,ソロ？ははーん。さっすが売れっ子ですなあ〜
凛,茶化さないでよ……そんな騒ぐような仕事じゃないし
未央,ふーん？ちなみに、どんなお仕事？
凛,東京オリンピックのオープニングアクト
未央,すげぇ！！！！！！！！！！。す、すげえ！！！！しぶりんすげえ！！！！すご谷凛じゃん！！！ヤバ谷凛だよ！！！！
凛,そんなはしゃぐこと？
未央,はしゃぐよ！！！いやはしゃげよ！！！
凛,なんで怒られてるの？
未央,逆になんで落ち着いてるの！？オリンピックを知らないの！？教えてやろうか！！！オリンピックの起源は紀元前にまで遡る！！！！！
凛,うるさいな。落ち着いた？
未央,うん……ごめん、テンション上がっちゃって
凛,そんな……たかだか4年に1度開催される世界で最も有名なスポーツの祭典でしょ？どこにそんなはしゃぐ要素があるの？
未央,今しぶりんが説明したことが全てだよ
凛,最初は断ろうと思ったんだけどさ
未央,なんで！？来年まで生きてる予定がないの！？
凛,ツッコミ尖りすぎじゃない？
未央,なんでなんで！？
凛,だって……この規模ならニュージェネでやりたかったし……でもやっぱり、アイドルがああいう場所に表立って登場するのは賛否があるんだってさ
未央,しぶりん……！
凛,私だってアイドルなのにね
未央,まあ、しぶりんはもう、カテゴリ的には歌手とかだもんね
凛,だから、今回は私一人で頑張るよ。未央と卯月には悪いけど……
未央,ううん、それが聞けただけでも嬉しいよ、しぶりん！この事務所の代表として……いや、アイドル業界の代表として、頑張ってね！いやー、誇らしい！
凛,ありがと。それでもやっぱりアイドル上がりがって、そういう声はあると思うけど……
未央,思うけど……？
凛,実力で、黙らせるよ
未央,しぶりん……かっこいい……！
凛,最悪、卯月がね、こう……”話し合い”とかで黙らせる
未央,最悪だ
凛,まあ、別にそれはいいんだよ。いつも通りパフォーマンスするだけだから
未央,クソみたいなメンタルの強さはこういう時に活きるんだねしぶりん……
凛,クソみたいな？
未央,なんでもない、続けて
