人を見る目が無い事に定評のある主任,以後貴虎表記
貴虎,ふぅ…取り敢えずはこれで一段落、といったところか
貴様,…
貴虎,大分復旧が進んだとは言え、まだまだこの街は元通りになるには程遠いな…。…嘆いていても始まらない。つまらん愚痴など零している暇など私には無いのだからな。…とは言え流石に腹が減ったな。思えば朝からコーヒー程度しか口にしていなかったか。だがまだ仕事が残っている。ゆっくり食事を取っている余裕も無いな。またコンビニでおにぎりでも買うとしよう。光実にまた叱られそうだが、レシートを処分すればバレはしないだろう。さて、では近くのコンビニを探すとするか。…む？何だ、この匂いは…。空腹の胃を刺激する醤油と肉の匂い……あれは、牛丼のチェーン店か。…思えばこういった店は今までほとんど入ったことが無かったな。よし、丁度良い機会だ。行ってみるとしよう。くっ…！自動ドアでは無かったのか…。牛丼を１つ頂こう
店員,注文はそこの自販機で商品を選び、食券を渡してくれ
貴虎,何…？これのことか。成程…そういうシステムになっているのか。牛丼、牛丼……これだな。他にも色々種類があるようだな…折角だ、普通の牛丼をただ注文するのも趣が無い。このおろし牛丼というものにするとしよう。量も選べるのか……朝からまともに食べていないことだ、大盛りにしておこう。サイドメニューもあるのだな。玉子も欲しいところだが…温泉玉子と生卵があるとは、悩みどころだな…。いや、欲を掻いてはならない。ここは玉子はつけずに単品でいくとしよう。食券が出たぞ。これで良いのだろう
店員,おろし牛丼大盛り。了解した。では空いている席について待っていろ。それと、食券を買ったらつり銭を回収するのが人間のルールではないのか
貴虎,なっ…！し、しまった、不慣れだとは言えこんな油断を…。くっ…、とんだ醜態を晒してしまったか…。…幸い、他の客に笑われたりはしていないようだ。みんな自分の食事のことしか関心が無いといった顔だ。一人でテーブル席に座るのも店に迷惑だろう。カウンターでいいな
店員,お茶だ。おかわりが必要ならばいつでも声をかけてくれ
貴虎,ああ、ありがたく頂こう。最近急に冷え込んできたからな、温かいお茶がありがたい………うむ、当たり前の事だが安物だな。だが、不思議と悪くない味だ。…最近のファストフード店というのは、こうなっているのか…。ほう、ドレッシングが多種多様だな。今度機会があればサラダも注文してみるか…。いや、よく見ると半分近くはサラダ用ではなく丼や定食につかうものなのだな。バーベキュー、カルビ、ポン酢…成程、どれも肉や米と相性がよさそうなものばかりだ。後で試してみるとしよう
店員,おろし牛丼大盛り、お待たせだ
貴虎,おお、流石に早いな。もう注文が来るとは。んっ？味噌汁は頼んでいないのだが、これはセットとしてついてくるものなのか？。ふむ…、どうやら味噌汁は注文をしていなくてもついてくるようだ。…成程、料金を払う事によって豚汁にする事も出来るのか。よく出来ているものだ。この小さな木の箱は何だ？爪楊枝はこっちの箱に入っている…おお、これは七味入れか。随分趣のある入れ物だな。どれ、では注文も来たことだ、冷めないうちに早速…。いただきます
店員,ﾀﾍﾞﾃｲｰﾖ
