本田未央,おっはよーございますー！
渋谷凛,あ、未央。待ってたよ
未央,？どうかしたの？
凛,そろそろ24日だよ。何の日か、もちろんわかってるよね？
未央,あ！そっか！もちろんわかってるよー！大事な日だね！
凛,そう、4月24日は中国が初の人工衛星東方紅1号
未央,ごめん違った。え、冗談でしょ？
凛,中国の技術力が？
未央,違うよ！そっち方面にケンカを売る予定はないよ！！
凛,ごめんごめん、今のは未央を試したんだ
未央,試し方が雑すぎでしょ……
凛,本当は、アメリカのスペースシャトル“ディスカバリー”がハッブル宇宙望遠鏡を放出した日だね
未央,天体方面のイベント多すぎじゃない！？。しまむーの誕生日でしょ！？
凛,もちろん
未央,どの口が言うんだ
凛,パーティーは事務所でするでしょ？
未央,うん、隊長がフレちゃんなのは不安しかないけど
凛,大丈夫、智絵里や雪美がサポートしてくれるって
未央,不安が増大するだけなんだよ……
凛,卯月も手伝ってくれるみたいだし
未央,本人の名が挙がるのはおかしくない！？
凛,だから、私たちはそれとは別に、何かプレゼントをあげたいなって
未央,うん、それはいい考えだと思うけど、何を贈ろうか悩んでるんだよね……
凛,私は1つ、考えがあるんだ
未央,お？何を贈るの？参考にしたいな
凛,土地
未央,規模。バカなの！？
凛,え！？私の想いを馬鹿にするの！？
未央,よくここでキレられるね！？お祝いに土地ってなんだ！！大名か！！！
凛,ナイスツッコミ～♪
未央,煽るな！！！
凛,で、どこの土地を贈るかなんだけど
未央,土地の贈与を前提に進まないで！！！
凛,月と火星ならどっちがいいと思う？
未央,また宇宙！？
凛,え？地上じゃ面白くないと思って
未央,土地を贈る発想がすでに愉快極まりないからね！？。そんな大それたモノをあげてもしまむービックリしちゃうでしょ？
凛,そうかな……
未央,もっと日常で使えるモノとかさ？
凛,バーベキュー用のトングとか？
未央,普通の人の日常にバーベキューは組み込まれてないんだよ
凛,ホントに！？！？！？
未央,そんなに驚くかな！？
凛,これから何を信じて生きれば……
未央,今までトングを信じて生きてたの？友達やめる？
凛,友達じゃなくて親友……でしょ？
未央,よくこの流れで言えたものだよ！
凛,卯月ってあんまり〇〇が欲しいって言わないタイプだからさ
未央,まあそうだよね。……だいたい自力で手に入れてるし
凛,やっぱり服飾品がベターなのかな……？
未央,うん、しまむーは喜んでくれると思うよ
凛,じゃあメリケンサックあたりで……
未央,残念だけどそれのカテゴリーは服飾品じゃなくて凶器だよ
凛,使ってくれるかな？
未央,イヤだよ！そんなしまむー見たくない！
凛,卯月が好きそうな柄があるといいんだけど
未央,柄とかあるの！？ターゲット層をどこに設けてるの！？
凛,それがダメならもう肩たたき券しかないね
未央,急に母の日の小学生みたいな発想！？。もっとあるでしょ！？髪飾りとか！ペンダントとか！！
凛,面白くない
未央,笑いを求めるな！！！
凛,未央ならそれらをもらって嬉しいの？
未央,嬉しいよ！！！至極妥当な選択だと感心する所存だよ！！！
凛,別に身につける物でなくても、日用品でいいんだよね
未央,さっき言ったはずなんだけど……
凛,乾電池一年分とか
未央,業者か！！！
凛,便利だと思うんだけど
未央,便利ではあるけど！！！。こういう時は、しぶりんなら何をもらったら嬉しいか考えるんだよ
凛,土地
未央,戻るな！！！
凛,または美貌
未央,他人に求めるものじゃないでしょ！？
凛,あと電球買わなきゃ
未央,急に規模を畳まないで！！！
凛,じゃあ未央なら何がほしいの？胃薬？
未央,自覚あるなら緩めてくれないかな
凛,朋もありすも頑張ってるんだよ！
未央,今度３人でボイコットしてやるからね！？
凛,その場合は杏と奈緒と晶葉かな
未央,ちくしょう！見捨てられない！！！。……話を戻すけど、私なら普通にさっき言ったようなの髪飾り、ペンダント
凛,さっき言ったようなの火星の土地、メリケンサック１年分
未央,待って、多分伝わってない
凛,１日にメリケンサックはいくつくらい使う？
未央,ほら伝わってない！！！
凛,じゃあ、いっそ２人で何か卯月にプレゼントしない？
未央,あ！それはいいかもね！おそろいのモノとか？
凛,おそろいのブレスレットとか
未央,おお！
凛,ペンとか
未央,いいね！いいね！
凛,広辞苑とか！
未央,しぶりんは5秒間しか常識人でいられない決まりでもあるの！？
凛,でさ、モノとは別に、面白いアイデアがあるんだけど
未央,ええ……？一応聞くけどどんな……？
凛,卯月ってさ、いろんな資格持ってるよね？
未央,むしろ持ってない資格があるのかってレベルでね
凛,まさに死角なし！……ふふっ
未央,うるさい
凛,だからさ、私たちからも何か“資格”を贈ろうかなって
未央,？どういうこと？
凛,凛と未央になんでもお願いできる資格みたいなさ。ちょっと肩たたき券みたいで稚拙かもしれないけど……
未央,しぶりん……
凛,ダメかな？
未央,ううん！それいいよ！逆になんか全然期待してなくてごめんね！？
凛,じゃ、また24日にね
未央,うん！……あれ？そういえば、今回はしまむー、途中で来なかったね？
凛,空気を読んだんじゃないかな？
未央,それバレてるってことじゃない！？
？？,凛ちゃん、未央ちゃん……、ありがとうございます♪
島村卯月,2人とも、今日はありがとうございました！
凛,うん、楽しんでもらえたならなによりだよ
未央,そうそう！これからもよろしくね！
卯月,はいっ！凛ちゃんがくれたメリケンサック、大事にしますね！
未央,結局あげちゃったの！？
凛,ううん、あげてないよ
卯月,へへっ、ジョークです！
未央,なんであげようとしたことを知ってるのかは聞かないでおこう
卯月,途中で植木鉢が窓から飛んできたのにはビックリしました！
未央,ほたるん！！！
卯月,面白かったです！
未央,笑うとこじゃないよ！！！
卯月,それで、私、今、……欲しい資格があるんです
未央,え？
凛,危険物取扱甲種？
未央,アイドルだよね！？
卯月,それはもう持ってます！
未央,アイドルだよね！！？？
卯月,2人ともっと仲良くなる資格がほしいです！
未央,わっ！
凛,！
卯月,えへへ……
未央,もう……、そんな顔されたら何も言えないよ……
凛,うん……
卯月,あ、火星の土地も持ってますよ
未央,やっぱり聴いてたでしょ！！？？
