渋谷凛,色?
モバP,ほら、結構使ってるから再塗装も兼ねてな
本田未央,本当だ、所々(インクが)禿げてきてるね
モバP,だろ？
島村卯月,今は緑ですね
モバP,疲れ目に優しい緑なんだがみんなも見飽きただろうし
未央,次は何色にするの？
モバP,そうだな…
凛,私は蒼がいいと思うよ
モバP,青か…
凛,うん、蒼
卯月,スーツの色に合ってて良いかもしれませんね
未央,とりあえず試してみれば？
モバP,そうだな
モバP(青),ふぅ…終わったー
未央,いい感じだね
凛,もっと濃い方が…
池袋晶葉,そんな細かい差は沙紀とかが居るときにいってくれ
卯月,あ、晶葉ちゃん
凛,晶葉が手伝ったの
モバP,正確には晶葉の作った機械だけどな
晶葉,再塗装するというから緑作るために青と黄色しか用意してないんだ
未央,ロボットとかに使う塗料とかはなかったの？
晶葉,Pヘッド用の塗料は特別だからな、それしか用意してない
未央,結構手が込んでるんだね
モバP,そりゃあ毎日使う道具だからな、色々工夫がされてるぞ
晶葉,全て私がやってるんだがね
卯月,他にどんな工夫がされてるんですか？
モバP,中で蒸れないようにファンが付いてる
晶葉,しかも全く音が出ない私の特別製だ
モバP,他にも銃弾を弾き、俺に来る衝撃を無くしたり
未央,銃に撃たれるの!?
モバP,Pだ撃たれたことは無いな
晶葉,雷が落ちても中のバッテリーにチャージされるよいになってるぞ
モバP,他にも猫アレルギーの和久井さんでもこれを被れば何一つ不便なく猫と戯れられる
未央,と、特許の塊だね…
晶葉,まぁ、確実に軍事転用されるだろうな
卯月,でもそこまでして付ける必要あるんですか？
モバP,Pヘッドつけてるとな、鍵つきクローゼットの有無がわかるんだ
凛,何それ？
モバP,まぁ便利ってことだ
凛,ふーん
晶葉,そういえば仁奈と薫は迎えに行かなくていいのか？
モバP,あ、やべっ
未央,大丈夫なの？
モバP,まだ間に合うだろうけど急いで行くから留守番頼んだ
凛,いってらっしゃい
市原仁奈,ただいまでこぜーます
薫,ただいまー
モバP,ただいま…
未央,おかえりー
凛,どうしたの？
モバP,Pヘッドの色変えるよ
晶葉,何かあったのか？
モバP,仁奈と薫に泣かれてな
未央,泣かせたの?
モバP,故意にやった訳じゃないんだが、さっき迎えにいったとき…。という訳なんだ
未央,つまりどういうこと？
モバP,ちょうど下から見たらこの色が空の色に溶け込んで首無しに見えるらしい
卯月,なるほどー
モバP,その後大声で泣かれるわ、警察が来るわ、大変だったよ
凛,よく30分で戻ってこれたね
晶葉,じゃあどうするんだ、さっきの青の残りじゃちひろさんみたいな黄緑しかできないぞ
モバP,緑からずれたいな
未央,じゃあ逆に黄色したら？
モバP,そうだな、黄色にしてみようか
晶葉,やれやれ、仕方ないな
