和泉マサムネ,はぁ……新作のネタがなかなか思いつかないな
マサムネ,あっ、電話だ。あっ、はい。いやぁ……それがなかなかいい案が浮かばなくて。す、すみません。うーん、どうしようかな。何か新作のいいネタは……。はっ、そうだ！。座薬になればいいんだ！！。座薬になって紗霧の中を探索すれば何かいいアイディアが思いつくかもしれない！よし、早速座薬になってトイレで待機しよう
座薬(マサムネ),よし、準備万端だ。紗霧はトイレの時は部屋から出てくる。そして紗霧のお尻の穴に挿れてもらうんだ！。お、紗霧か？
山田エルフ,トイレ借りるわよー
座薬(マサムネ),って、なんで山田エルフが！？
エルフ,はぁ、まさか家のトイレが急に壊れちゃうだなんて。まあ古い家だししかたがないか
座薬(マサムネ),うわぁ、お尻が丸見え///
エルフ,ふぅ……
座薬(マサムネ),うわ、汚い！
エルフ,スッキリしたぁ～。あら、こんなところに座薬があるわね
座薬(マサムネ),ファッ！？
エルフ,ちょうどいいわ、使うわよ
座薬(マサムネ),ちょっ、待て！俺は紗霧のお尻の中に入るために座薬になったんだ！！
エルフ,さて、では早速……
座薬(マサムネ),待て、拭いてないうんこだらけのケツ穴になんか入りたくない！せめて洗ってからで……
エルフ,ふぅ……
座薬(マサムネ),やめろ、うわあぁぁぁぁぁぁぁぁーーーーーーーーーーーー！！
紗霧,兄さん、兄さん！
マサムネ,はっ！？ここは……
紗霧,兄さん、目が覚めた？
マサムネ,俺はいったい……
紗霧,兄さんは風邪をひいててうなされてたんだよ。それで私が看病してたの
マサムネ,そうだったのか、ありがとな紗霧
紗霧,うん
マサムネ,これが新作の原稿です
編集の人,おおーー、いいですね！よし、次回作はこれで行きましょう！
マサムネ,はい、ありがとうございます！
編集の人,これからも一緒に頑張りましょうね
マサムネ,はいっ！。よし、早速紗霧にも報告するぞ！喜んでくれるかな。おーい、紗霧！次回作が決まったぞ
紗霧,ほんとに！？
マサムネ,ああ、これだ。どうだ？
紗霧,…………
マサムネ,あれ、どうしたんだ紗霧？
紗霧,兄さんの、バカァァァァーーーーーーー///
マサムネ,ええっーーーーーー！？
